ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3492,3666,3522,3604,3334,3472,3637,3460,3478,3345,3548,3672,3570,3469,3038,3559,3487,3433,3000,2854,3661,3620,3608,3362
3488,3666,3522,3604,3334,3472,3637,3460,3478,3352,3547,3665,3580,3467,3030,3560,3495,3415,3006,2860,3665,3620,3612,3359
3488,3662,3518,3604,3336,3473,3632,3464,3478,3343,3542,3672,3580,3474,3022,3558,3496,3428,3009,2863,3670,3620,3612,3359
3490,3660,3516,3610,3341,3483,3634,3462,3481,3346,3545,3675,3578,3474,3022,3558,3496,3428,3009,2863,3670,3624,3608,3351
3492,3662,3520,3605,3331,3483,3634,3462,3481,3346,3545,3675,3578,3470,3015,3556,3498,3429,3007,2863,3666,3617,3606,3360
3492,3662,3520,3605,3331,3485,3633,3465,3485,3351,3543,3667,3581,3472,3013,3561,3489,3425,3002,2865,3664,3625,3610,3367
3489,3663,3529,3607,3334,3482,3632,3456,3482,3355,3545,3676,3581,3465,3014,3562,3490,3425,3002,2865,3664,3625,3610,3367
3491,3652,3514,3608,3336,3480,3634,3450,3478,3355,3545,3676,3581,3465,3014,3562,3490,3429,3003,2864,3664,3609,3607,3362
3492,3652,3514,3608,3336,3480,3634,3450,3478,3353,3542,3678,3578,3464,2994,3558,3490,3430,3002,2868,3668,3624,3613,3378
3492,3657,3494,3606,3344,3480,3631,3463,3485,3353,3547,3677,3578,3467,2992,3561,3490,3424,3006,2861,3657,3624,3613,3378
3487,3657,3514,3587,3352,3480,3630,3456,3480,3349,3541,3673,3583,3467,2992,3561,3490,3424,3006,2861,3657,3630,3609,3376
3486,3653,3513,3606,3351,3480,3630,3456,3480,3349,3541,3673,3583,3469,2977,3569,3495,3419,3009,2862,3660,3620,3608,3375
3486,3653,3513,3606,3351,3476,3634,3452,3486,3352,3540,3672,3580,3452,2974,3563,3489,3411,3003,2866,3663,3624,3615,3378
3483,3660,3506,3608,3354,3477,3633,3455,3482,3351,3540,3672,3580,3469,2965,3572,3489,3411,3003,2866,3663,3624,3615,3378
3486,3661,3509,3607,3354,3467,3634,3461,3477,3351,3540,3672,3580,3469,2965,3572,3489,3418,3005,2867,3667,3632,3616,3379
3483,3661,3509,3607,3354,3467,3634,3461,3477,3349,3546,3675,3579,3469,2962,3568,3492,3419,3013,2865,3662,3627,3583,3382
3483,3653,3512,3604,3353,3470,3632,3450,3479,3350,3539,3674,3585,3464,2949,3572,3493,3416,3004,2855,3669,3627,3583,3382
3483,3658,3510,3601,3359,3473,3626,3465,3479,3348,3542,3662,3585,3464,2949,3572,3493,3416,3004,2855,3669,3628,3606,3380
3475,3656,3506,3604,3366,3473,3626,3465,3479,3348,3542,3662,3585,3467,2936,3570,3492,3402,3005,2871,3664,3614,3608,3378
3475,3656,3506,3604,3366,3468,3633,3456,3477,3344,3543,3678,3583,3470,2907,3569,3482,3421,3006,2872,3664,3621,3612,3380
3484,3659,3510,3598,3372,3470,3634,3458,3480,3351,3542,3674,3587,3467,2887,3574,3478,3421,3006,2872,3664,3621,3612,3380
3481,3661,3508,3603,3345,3469,3634,3455,3478,3351,3542,3674,3587,3467,2887,3574,3478,3416,3002,2870,3666,3621,3601,3373
3482,3661,3508,3603,3345,3469,3634,3455,3478,3341,3544,3668,3586,3469,2869,3570,3488,3412,3011,2873,3662,3617,3608,3373
3482,3657,3506,3595,3368,3465,3631,3446,3482,3354,3541,3681,3588,3455,2867,3576,3485,3415,3009,2867,3659,3617,3608,3373
3478,3656,3506,3604,3362,3470,3633,3458,3482,3346,3554,3676,3586,3455,2867,3576,3485,3415,3009,2867,3659,3624,3599,3378
3485,3655,3502,3602,3360,3470,3633,3458,3482,3346,3554,3676,3586,3460,2870,3577,3494,3425,3006,2871,3673,3621,3613,3376
3485,3655,3502,3602,3360,3469,3634,3453,3476,3342,3547,3678,3587,3472,2891,3568,3493,3419,2998,2874,3662,3619,3608,3373
3477,3665,3507,3596,3350,3466,3632,3446,3473,3346,3546,3674,3588,3469,2906,3575,3493,3419,2998,2874,3662,3619,3608,3373
3481,3652,3509,3606,3351,3468,3624,3440,3477,3346,3546,3674,3588,3469,2906,3575,3493,3416,3008,2878,3666,3622,3608,3375
3483,3652,3509,3606,3351,3468,3624,3440,3477,3353,3550,3673,3584,3467,2914,3573,3488,3408,3009,2873,3660,3629,3610,3374
3483,3659,3511,3606,3343,3469,3626,3451,3473,3348,3547,3669,3580,3475,2924,3575,3489,3414,3008,2872,3665,3629,3610,3374
3475,3655,3510,3603,3341,3472,3627,3425,3477,3359,3546,3674,3582,3475,2924,3575,3489,3414,3008,2872,3665,3632,3610,3372
3482,3654,3514,3603,3340,3472,3627,3425,3477,3359,3546,3674,3582,3462,2944,3567,3495,3419,3007,2874,3664,3624,3608,3368
3482,3654,3514,3603,3340,3485,3629,3452,3483,3357,3539,3673,3576,3469,2954,3568,3493,3397,3010,2871,3661,3627,3612,3368
3486,3657,3523,3595,3335,3482,3629,3450,3480,3353,3537,3678,3574,3474,2978,3568,3489,3397,3010,2871,3661,3627,3612,3368
3488,3661,3520,3601,3330,3487,3631,3445,3483,3353,3537,3678,3574,3474,2978,3568,3489,3406,3004,2873,3668,3621,3619,3368
3487,3661,3520,3601,3330,3487,3631,3445,3483,3362,3547,3677,3579,3474,2992,3560,3494,3410,3003,2869,3662,3623,3581,3376
3487,3659,3519,3608,3328,3482,3636,3444,3474,3360,3538,3682,3581,3471,3014,3563,3492,3414,3007,2869,3666,3623,3581,3376
3488,3659,3525,3611,3322,3490,3632,3446,3490,3361,3537,3675,3580,3471,3014,3563,3492,3414,3007,2869,3666,3630,3610,3374
3491,3662,3526,3608,3330,3490,3632,3446,3490,3361,3537,3675,3580,3472,3033,3564,3488,3416,3003,2866,3662,3618,3613,3375
3491,3662,3526,3608,3330,3496,3634,3441,3480,3365,3538,3676,3571,3474,3053,3551,3492,3415,3005,2864,3663,3632,3608,3378
3493,3657,3526,3615,3314,3496,3634,3436,3490,3366,3539,3670,3575,3474,3061,3556,3492,3415,3005,2864,3663,3632,3608,3378
3489,3655,3532,3604,3319,3493,3635,3440,3486,3366,3539,3670,3575,3474,3061,3556,3492,3418,3003,2863,3667,3617,3616,3384
3490,3655,3532,3604,3319,3493,3635,3440,3486,3368,3535,3671,3575,3472,3060,3554,3489,3410,3000,2862,3666,3628,3613,3378
3490,3667,3530,3609,3318,3497,3630,3429,3480,3370,3542,3672,3571,3461,3068,3546,3491,3400,3006,2865,3659,3628,3613,3378
3489,3664,3523,3612,3312,3494,3632,3438,3484,3369,3536,3673,3580,3461,3068,3546,3491,3400,3006,2865,3659,3631,3616,3371
3496,3661,3526,3609,3314,3494,3632,3438,3484,3369,3536,3673,3580,3473,3076,3554,3489,3411,3002,2861,3666,3631,3612,3378
3496,3661,3526,3609,3314,3494,3638,3442,3482,3367,3535,3669,3561,3474,3073,3555,3489,3412,2992,2868,3662,3627,3607,3387
3486,3664,3526,3605,3312,3496,3623,3437,3482,3364,3541,3665,3570,3468,3074,3556,3488,3412,2992,2868,3662,3627,3607,3387
3487,3662,3530,3608,3307,3491,3630,3436,3484,3364,3541,3665,3570,3468,3074,3556,3488,3405,3008,2864,3662,3633,3614,3383
3493,3662,3530,3608,3307,3491,3630,3436,3484,3369,3529,3673,3570,3476,3072,3558,3491,3397,3006,2870,3662,3628,3616,3384
3493,3663,3525,3610,3310,3488,3632,3434,3482,3365,3531,3674,3572,3473,3062,3552,3496,3401,3006,2869,3664,3628,3616,3384
3488,3661,3525,3608,3314,3497,3629,3438,3475,3371,3533,3660,3573,3473,3062,3552,3496,3401,3006,2869,3664,3624,3616,3388
3484,3661,3526,3600,3312,3497,3629,3438,3475,3371,3533,3660,3573,3468,3064,3556,3489,3398,3003,2871,3664,3626,3617,3376
3484,3661,3526,3600,3312,3486,3636,3437,3488,3353,3527,3671,3574,3475,3057,3559,3490,3402,3003,2872,3664,3628,3621,3386
3490,3659,3522,3592,3319,3489,3630,3435,3486,3360,3536,3676,3574,3468,3059,3560,3489,3402,3003,2872,3664,3628,3621,3386
3484,3662,3521,3611,3313,3493,3633,3432,3481,3360,3536,3676,3574,3468,3059,3560,3489,3408,3007,2877,3660,3623,3616,3384
3483,3662,3521,3611,3313,3493,3633,3432,3481,3372,3512,3676,3578,3473,3068,3567,3494,3410,3009,2874,3666,3627,3620,3382
3483,3659,3513,3600,3321,3488,3630,3435,3474,3363,3535,3673,3578,3480,3073,3570,3495,3417,3002,2874,3662,3627,3620,3382
3487,3652,3514,3600,3320,3486,3623,3429,3480,3361,3538,3673,3579,3480,3073,3570,3495,3417,3002,2874,3662,3631,3610,3387
3479,3656,3508,3600,3319,3486,3623,3429,3480,3361,3538,3673,3579,3472,3074,3568,3500,3421,3005,2879,3661,3625,3615,3380
3479,3656,3508,3600,3319,3478,3624,3439,3481,3369,3534,3668,3580,3475,3071,3573,3496,3418,3010,2878,3665,3625,3608,3370
3474,3651,3508,3600,3315,3476,3631,3443,3482,3369,3534,3666,3583,3478,3072,3572,3501,3418,3010,2878,3665,3625,3608,3370
3465,3656,3507,3597,3307,3482,3627,3438,3483,3369,3534,3666,3583,3478,3072,3572,3501,3425,3008,2882,3660,3626,3612,3374
3470,3656,3507,3597,3307,3482,3627,3438,3483,3375,3531,3673,3583,3480,3092,3573,3504,3430,3007,2882,3663,3622,3613,3368
3470,3650,3508,3597,3308,3480,3633,3450,3486,3368,3539,3667,3587,3481,3102,3571,3505,3421,3014,2884,3662,3622,3613,3368
3472,3656,3503,3587,3306,3471,3622,3448,3483,3368,3533,3664,3588,3481,3102,3571,3505,3421,3014,2884,3662,3620,3607,3355
3467,3654,3506,3593,3301,3471,3622,3448,3483,3368,3533,3664,3588,3484,3124,3566,3508,3438,3018,2888,3664,3619,3616,3369
3467,3654,3506,3593,3301,3476,3624,3447,3484,3363,3537,3671,3588,3482,3127,3574,3502,3437,3016,2885,3659,3617,3602,3369
3473,3656,3510,3597,3294,3476,3623,3442,3483,3373,3527,3674,3586,3485,3125,3566,3505,3437,3016,2885,3659,3617,3602,3369
3477,3660,3507,3598,3292,3476,3626,3438,3484,3373,3527,3674,3586,3485,3125,3566,3505,3426,3014,2883,3660,3611,3612,3363
3474,3660,3507,3598,3292,3476,3626,3438,3484,3363,3534,3672,3590,3481,3129,3568,3504,3431,3016,2877,3657,3619,3620,3376
3474,3656,3512,3591,3288,3477,3624,3441,3483,3363,3536,3672,3583,3480,3124,3567,3511,3428,3015,2884,3662,3619,3620,3376
3476,3656,3515,3597,3283,3479,3628,3432,3468,3377,3532,3676,3582,3480,3124,3567,3511,3428,3015,2884,3662,3618,3615,3368
3477,3656,3512,3604,3282,3479,3628,3432,3468,3377,3532,3676,3582,3479,3115,3576,3505,3423,3007,2886,3658,3611,3610,3364
3477,3656,3512,3604,3282,3479,3623,3420,3476,3371,3531,3671,3586,3471,3118,3568,3506,3423,3014,2888,3661,3618,3611,3365
3476,3657,3516,3596,3280,3480,3621,3429,3490,3377,3530,3672,3581,3473,3119,3573,3500,3423,3014,2888,3661,3618,3611,3365
3478,3642,3517,3596,3276,3488,3622,3422,3488,3377,3530,3672,3581,3473,3119,3573,3500,3416,3011,2885,3662,3620,3612,3362
3480,3642,3517,3596,3276,3488,3622,3422,3488,3372,3530,3663,3574,3484,3114,3569,3502,3417,3010,2885,3657,3622,3612,3369
3480,3659,3516,3598,3276,3484,3624,3412,3482,3378,3528,3673,3574,3474,3117,3570,3507,3412,3005,2892,3660,3622,3612,3369
