ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3483,3666,3561,3650,3492,3545,3704,3561,3543,3441,3516,3658,3536,3402,3295,3513,3518,3513,3021,2871,3653,3620,3544,3346
3493,3667,3560,3656,3491,3544,3702,3561,3543,3441,3516,3658,3536,3402,3295,3526,3528,3524,3026,2870,3658,3628,3549,3349
3493,3667,3560,3656,3491,3544,3702,3567,3544,3444,3508,3661,3544,3401,3286,3529,3516,3512,3030,2871,3656,3632,3546,3347
3486,3665,3561,3644,3502,3545,3702,3559,3543,3438,3514,3657,3543,3402,3286,3523,3522,3525,3026,2871,3656,3632,3546,3347
3485,3667,3563,3646,3496,3544,3706,3554,3544,3446,3508,3657,3543,3402,3286,3523,3522,3525,3026,2872,3652,3624,3549,3350
3481,3669,3559,3646,3496,3544,3706,3554,3544,3446,3508,3660,3537,3408,3287,3526,3521,3518,3031,2874,3656,3623,3547,3354
3481,3669,3559,3650,3498,3546,3701,3555,3546,3443,3513,3660,3541,3394,3286,3525,3528,3521,3031,2871,3658,3633,3548,3354
3483,3664,3556,3651,3496,3547,3706,3565,3538,3440,3516,3653,3540,3401,3289,3525,3528,3521,3031,2871,3658,3633,3548,3355
3490,3668,3560,3647,3501,3541,3707,3565,3538,3440,3516,3653,3540,3401,3289,3524,3525,3516,3029,2873,3651,3635,3546,3354
3490,3668,3560,3647,3501,3541,3707,3562,3546,3444,3517,3658,3544,3408,3292,3527,3521,3514,3030,2878,3654,3629,3544,3355
3485,3651,3559,3652,3500,3542,3704,3546,3541,3449,3521,3655,3541,3404,3285,3528,3521,3515,3030,2878,3654,3629,3544,3355
3482,3660,3558,3649,3498,3547,3705,3563,3546,3443,3517,3655,3541,3404,3285,3528,3521,3515,3030,2874,3652,3632,3544,3329
3482,3665,3560,3649,3498,3547,3705,3563,3546,3443,3517,3662,3544,3402,3290,3531,3524,3507,3031,2875,3657,3629,3545,3346
3482,3665,3560,3650,3497,3540,3697,3562,3547,3442,3517,3664,3538,3406,3290,3525,3518,3516,3029,2879,3652,3630,3539,3346
3481,3663,3557,3650,3485,3544,3705,3557,3547,3444,3518,3665,3545,3403,3292,3525,3518,3516,3029,2879,3652,3630,3539,3335
3463,3664,3565,3625,3486,3541,3710,3557,3547,3444,3518,3665,3545,3403,3292,3524,3522,3512,3034,2872,3654,3633,3544,3333
3463,3664,3565,3625,3486,3541,3710,3567,3544,3448,3516,3651,3547,3407,3290,3523,3524,3506,3029,2870,3657,3633,3541,3338
3486,3665,3563,3648,3486,3547,3708,3564,3544,3452,3512,3663,3544,3408,3294,3523,3517,3515,3029,2870,3657,3633,3541,3338
3485,3667,3557,3651,3488,3543,3706,3560,3548,3444,3518,3663,3544,3408,3294,3523,3517,3515,3029,2874,3651,3629,3534,3329
3480,3668,3560,3651,3488,3543,3706,3560,3548,3444,3518,3654,3541,3410,3295,3524,3514,3515,3026,2873,3657,3632,3539,3332
3480,3668,3560,3651,3479,3554,3702,3561,3542,3434,3515,3661,3541,3417,3293,3521,3521,3520,3027,2866,3653,3625,3534,3332
3488,3656,3561,3653,3476,3549,3701,3556,3547,3454,3512,3667,3543,3398,3301,3521,3521,3520,3027,2866,3653,3625,3534,3328
3488,3664,3570,3656,3474,3554,3706,3556,3547,3454,3512,3667,3543,3398,3301,3522,3525,3521,3028,2871,3658,3624,3544,3322
3488,3664,3570,3656,3474,3554,3706,3562,3554,3448,3522,3661,3544,3419,3291,3520,3521,3522,3028,2876,3652,3626,3541,3319
3499,3671,3564,3654,3472,3556,3706,3565,3543,3446,3517,3664,3540,3411,3301,3518,3521,3514,3030,2876,3652,3626,3541,3319
3491,3669,3566,3646,3475,3554,3702,3559,3545,3448,3518,3664,3540,3411,3301,3518,3521,3514,3030,2866,3653,3624,3542,3314
3492,3661,3568,3646,3475,3554,3702,3559,3545,3448,3518,3664,3541,3409,3299,3521,3525,3491,3028,2866,3652,3625,3540,3311
3492,3661,3568,3650,3470,3557,3707,3549,3549,3450,3519,3667,3542,3421,3297,3519,3519,3508,3022,2871,3654,3622,3540,3311
3504,3669,3574,3650,3468,3554,3703,3563,3546,3451,3517,3660,3531,3413,3309,3519,3519,3508,3022,2871,3654,3622,3540,3301
3494,3674,3574,3651,3467,3557,3702,3563,3546,3451,3517,3660,3531,3413,3309,3517,3518,3508,3019,2862,3650,3624,3535,3301
3494,3674,3574,3651,3467,3557,3702,3555,3548,3449,3522,3665,3539,3425,3313,3515,3520,3520,3028,2870,3652,3627,3531,3291
