ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3472,3649,3486,3581,3493,3449,3644,3534,3517,3397,3536,3682,3602,3540,3531,3578,3567,3538,3042,2901,3672,3631,3661,3534
3472,3649,3486,3581,3490,3451,3645,3534,3511,3386,3543,3686,3600,3528,3526,3580,3562,3538,3046,2896,3670,3631,3669,3534
3468,3638,3487,3583,3483,3448,3644,3537,3516,3389,3540,3691,3602,3537,3532,3580,3562,3538,3046,2896,3670,3631,3669,3536
3464,3642,3492,3579,3489,3446,3640,3537,3516,3389,3540,3691,3602,3537,3532,3575,3570,3538,3041,2897,3669,3635,3666,3539
3464,3642,3492,3579,3489,3446,3640,3537,3487,3393,3544,3688,3598,3539,3527,3582,3569,3542,3038,2903,3670,3625,3667,3537
3461,3641,3482,3575,3480,3444,3638,3508,3504,3384,3542,3689,3605,3532,3528,3576,3574,3536,3042,2903,3670,3625,3667,3537
3460,3646,3475,3573,3478,3431,3629,3517,3512,3391,3546,3689,3605,3532,3528,3576,3574,3536,3042,2906,3676,3636,3668,3538
3464,3631,3468,3573,3478,3431,3629,3517,3512,3391,3546,3686,3601,3534,3534,3584,3567,3545,3043,2901,3676,3638,3668,3529
3464,3631,3468,3570,3473,3425,3621,3526,3502,3384,3549,3682,3603,3540,3526,3591,3569,3530,3036,2904,3669,3635,3670,3529
3457,3639,3461,3562,3480,3418,3626,3522,3509,3387,3544,3684,3600,3533,3534,3591,3569,3530,3036,2904,3669,3635,3670,3537
3451,3643,3465,3564,3483,3433,3620,3522,3509,3387,3544,3684,3600,3533,3534,3583,3548,3533,3049,2904,3672,3635,3675,3537
3451,3643,3465,3564,3483,3433,3620,3532,3508,3384,3550,3686,3601,3540,3537,3584,3566,3537,3041,2908,3672,3639,3670,3524
3455,3640,3462,3566,3470,3425,3629,3531,3509,3379,3538,3681,3594,3544,3531,3576,3574,3536,3043,2908,3672,3639,3670,3524
3449,3641,3468,3554,3450,3431,3626,3527,3508,3385,3548,3681,3594,3544,3531,3576,3574,3536,3043,2906,3675,3640,3674,3533
3445,3647,3454,3554,3450,3431,3626,3527,3508,3385,3548,3690,3605,3542,3536,3583,3574,3539,3045,2906,3677,3631,3678,3541
3445,3647,3454,3552,3465,3417,3620,3533,3504,3385,3541,3686,3609,3542,3524,3591,3569,3543,3049,2910,3678,3623,3670,3541
3448,3636,3445,3537,3461,3405,3612,3523,3507,3384,3553,3689,3612,3546,3531,3591,3569,3543,3049,2910,3678,3623,3670,3530
3445,3622,3437,3535,3457,3397,3610,3523,3507,3384,3553,3689,3612,3546,3531,3592,3571,3536,3046,2914,3675,3640,3670,3536
3445,3622,3437,3535,3457,3397,3610,3522,3499,3371,3560,3696,3611,3551,3537,3592,3575,3542,3049,2912,3670,3622,3675,3534
3454,3632,3438,3529,3456,3392,3605,3523,3504,3379,3558,3688,3616,3550,3530,3602,3570,3547,3043,2912,3670,3622,3675,3534
3447,3641,3431,3529,3446,3390,3601,3521,3499,3374,3555,3688,3616,3550,3530,3602,3570,3547,3043,2910,3668,3629,3675,3532
3447,3646,3433,3529,3446,3390,3601,3521,3499,3374,3555,3690,3621,3546,3527,3594,3576,3541,3041,2910,3674,3621,3674,3533
3447,3646,3433,3536,3444,3394,3609,3521,3499,3375,3556,3690,3616,3542,3539,3598,3573,3535,3049,2905,3678,3628,3671,3533
3455,3630,3441,3536,3446,3404,3605,3514,3503,3374,3560,3682,3608,3544,3530,3598,3573,3535,3049,2905,3678,3628,3671,3540
3456,3639,3449,3541,3450,3401,3611,3514,3503,3374,3560,3682,3608,3544,3530,3600,3572,3538,3041,2909,3675,3631,3670,3530
3456,3639,3449,3541,3450,3401,3611,3521,3502,3375,3548,3690,3616,3541,3532,3598,3580,3544,3049,2903,3674,3631,3671,3533
3462,3634,3452,3542,3449,3411,3602,3518,3501,3375,3559,3681,3608,3542,3531,3595,3576,3541,3038,2903,3674,3631,3671,3533
3462,3639,3445,3540,3436,3399,3600,3519,3499,3376,3552,3681,3608,3542,3531,3595,3576,3541,3038,2908,3676,3630,3679,3536
3462,3640,3440,3540,3436,3399,3600,3519,3499,3376,3552,3680,3616,3550,3535,3595,3571,3530,3044,2912,3671,3618,3673,3532
3462,3640,3440,3527,3431,3390,3593,3521,3495,3362,3559,3694,3616,3550,3538,3603,3578,3541,3045,2911,3673,3630,3674,3532
3461,3640,3437,3523,3426,3382,3598,3515,3499,3363,3559,3688,3622,3552,3536,3603,3578,3541,3045,2911,3673,3630,3674,3532
3459,3641,3441,3529,3420,3388,3593,3515,3499,3363,3559,3688,3622,3552,3536,3600,3575,3540,3049,2910,3683,3631,3665,3538
3459,3641,3441,3529,3420,3388,3593,3515,3496,3368,3561,3693,3624,3552,3535,3601,3574,3536,3045,2909,3675,3614,3666,3531
3460,3646,3443,3525,3435,3397,3595,3512,3493,3368,3557,3699,3617,3545,3532,3596,3573,3536,3042,2909,3675,3614,3666,3531
3473,3649,3452,3543,3433,3408,3603,3513,3503,3377,3560,3699,3617,3545,3532,3596,3573,3536,3042,2909,3677,3629,3675,3536
3473,3644,3454,3543,3433,3408,3603,3513,3503,3377,3560,3695,3608,3542,3537,3594,3574,3536,3047,2905,3668,3637,3672,3533
3473,3644,3454,3537,3445,3420,3612,3520,3501,3377,3555,3692,3608,3546,3527,3592,3575,3536,3039,2900,3675,3631,3670,3533
3473,3650,3474,3556,3443,3432,3616,3515,3503,3383,3553,3688,3608,3515,3531,3592,3575,3536,3039,2900,3675,3631,3670,3535
3474,3652,3472,3561,3442,3444,3624,3515,3503,3383,3553,3688,3608,3515,3531,3594,3568,3539,3045,2898,3676,3637,3675,3522
3474,3652,3472,3561,3442,3444,3624,3517,3506,3390,3554,3689,3606,3539,3528,3585,3571,3531,3042,2908,3675,3640,3672,3532
3485,3654,3486,3563,3445,3441,3624,3517,3509,3390,3553,3686,3597,3541,3531,3586,3568,3532,3034,2908,3675,3640,3672,3532
3484,3655,3488,3563,3452,3448,3620,3524,3507,3388,3557,3686,3597,3541,3531,3586,3568,3532,3034,2905,3676,3637,3665,3528
3484,3652,3486,3563,3452,3448,3620,3524,3507,3388,3557,3681,3602,3539,3528,3586,3572,3527,3048,2903,3676,3638,3670,3533
3484,3652,3486,3568,3442,3443,3626,3522,3510,3378,3552,3690,3609,3550,3528,3552,3570,3531,3043,2904,3679,3641,3672,3533
3480,3659,3487,3568,3440,3438,3624,3524,3506,3383,3552,3691,3604,3544,3531,3552,3570,3531,3043,2904,3679,3641,3672,3534
3482,3653,3483,3563,3433,3445,3618,3524,3506,3383,3552,3691,3604,3544,3531,3581,3568,3532,3042,2909,3681,3639,3666,3532
3482,3653,3483,3563,3433,3445,3618,3524,3506,3384,3553,3687,3608,3547,3519,3585,3568,3532,3041,2907,3676,3639,3675,3528
3478,3658,3487,3561,3436,3432,3616,3516,3500,3384,3558,3688,3608,3543,3533,3589,3572,3530,3042,2907,3676,3639,3675,3528
3484,3652,3481,3563,3433,3442,3613,3509,3502,3387,3555,3688,3608,3543,3533,3589,3572,3530,3042,2906,3678,3628,3674,3531
3481,3652,3484,3563,3433,3442,3613,3509,3502,3387,3555,3700,3604,3543,3531,3581,3574,3533,3045,2907,3678,3635,3676,3534
3481,3652,3484,3570,3430,3447,3614,3510,3511,3387,3559,3691,3604,3542,3537,3594,3573,3536,3048,2907,3681,3644,3677,3534
3479,3655,3486,3558,3429,3443,3610,3516,3506,3379,3549,3693,3607,3535,3528,3594,3573,3536,3048,2907,3681,3644,3677,3533
3482,3661,3482,3560,3428,3436,3608,3516,3506,3379,3549,3693,3607,3535,3528,3573,3570,3530,3045,2908,3684,3644,3672,3532
3482,3661,3482,3560,3428,3436,3608,3514,3502,3386,3551,3689,3600,3532,3528,3594,3573,3535,3038,2903,3679,3643,3679,3520
3480,3639,3480,3557,3418,3434,3610,3510,3504,3386,3552,3688,3609,3548,3526,3597,3573,3526,3041,2903,3679,3643,3679,3520
3481,3662,3472,3558,3419,3429,3602,3516,3500,3386,3553,3688,3609,3548,3526,3597,3573,3526,3041,2912,3677,3639,3672,3523
3480,3652,3472,3558,3419,3429,3602,3516,3500,3386,3553,3691,3613,3547,3533,3597,3571,3534,3041,2906,3677,3640,3675,3526
3480,3652,3472,3553,3410,3427,3593,3511,3498,3386,3558,3695,3594,3546,3527,3596,3572,3533,3049,2912,3677,3637,3668,3526
3479,3654,3472,3550,3410,3414,3597,3501,3498,3385,3550,3679,3614,3544,3532,3596,3572,3533,3049,2912,3677,3637,3668,3526
3475,3656,3472,3545,3395,3417,3593,3501,3498,3385,3550,3679,3614,3544,3532,3590,3574,3537,3041,2914,3680,3632,3674,3528
3475,3656,3472,3545,3395,3417,3593,3507,3494,3376,3560,3690,3614,3552,3535,3597,3578,3537,3044,2916,3688,3635,3680,3527
3480,3659,3465,3544,3392,3412,3589,3502,3493,3376,3554,3687,3616,3552,3528,3603,3576,3535,3048,2916,3688,3635,3680,3527
3481,3657,3464,3547,3396,3411,3584,3498,3485,3369,3557,3687,3616,3552,3528,3603,3576,3535,3048,2915,3685,3644,3675,3530
3480,3651,3465,3547,3396,3411,3584,3498,3485,3369,3557,3689,3619,3552,3523,3566,3578,3536,3050,2916,3681,3633,3679,3526
3480,3651,3465,3544,3386,3408,3581,3488,3487,3375,3556,3701,3612,3549,3530,3612,3573,3537,3047,2903,3679,3636,3673,3526
3482,3658,3465,3546,3387,3411,3580,3501,3494,3377,3560,3694,3616,3546,3532,3612,3573,3537,3047,2903,3679,3636,3673,3530
3484,3656,3474,3549,3382,3408,3574,3501,3494,3377,3560,3694,3616,3546,3532,3603,3573,3534,3043,2917,3679,3644,3680,3526
3484,3656,3474,3549,3382,3408,3574,3500,3490,3373,3563,3696,3620,3552,3529,3606,3574,3530,3050,2913,3680,3636,3675,3528
3480,3653,3469,3547,3389,3410,3576,3484,3487,3365,3564,3697,3614,3554,3528,3602,3574,3518,3048,2913,3680,3636,3675,3528
3480,3662,3462,3550,3384,3407,3571,3488,3487,3373,3560,3697,3614,3554,3528,3602,3574,3518,3048,2912,3683,3650,3675,3531
3491,3662,3468,3550,3384,3407,3571,3488,3487,3373,3560,3701,3622,3544,3528,3613,3574,3526,3045,2913,3686,3643,3675,3529
3491,3662,3468,3550,3383,3402,3557,3494,3488,3368,3568,3693,3616,3554,3524,3602,3572,3528,3048,2911,3684,3648,3669,3529
3485,3668,3468,3546,3378,3403,3570,3490,3485,3368,3562,3691,3614,3546,3527,3602,3572,3528,3048,2911,3684,3648,3669,3528
3478,3662,3470,3522,3382,3394,3569,3490,3485,3368,3562,3691,3614,3546,3527,3601,3563,3526,3045,2911,3684,3652,3677,3532
3478,3662,3470,3522,3382,3394,3569,3490,3488,3363,3560,3688,3615,3548,3532,3598,3567,3525,3047,2916,3687,3648,3679,3535
3488,3662,3464,3550,3383,3393,3569,3492,3481,3362,3559,3695,3623,3550,3530,3602,3574,3531,3045,2916,3687,3648,3679,3535
3487,3666,3463,3548,3374,3391,3563,3489,3473,3361,3567,3695,3623,3550,3530,3602,3574,3531,3045,2914,3690,3647,3680,3533
3485,3666,3465,3548,3374,3391,3563,3489,3473,3361,3567,3688,3620,3550,3521,3601,3580,3530,3048,2914,3693,3653,3673,3525
3485,3666,3465,3547,3378,3389,3560,3484,3482,3366,3565,3704,3617,3551,3526,3603,3573,3529,3042,2914,3687,3635,3677,3525
3486,3669,3464,3547,3371,3400,3563,3485,3482,3358,3564,3700,3616,3544,3523,3603,3573,3529,3042,2914,3687,3635,3677,3530
3486,3657,3473,3551,3377,3405,3565,3485,3482,3358,3564,3700,3616,3544,3523,3604,3574,3528,3046,2908,3683,3647,3674,3528
3486,3657,3473,3551,3377,3405,3565,3488,3485,3372,3561,3701,3616,3545,3529,3604,3575,3526,3045,2909,3693,3650,3680,3528
3492,3665,3479,3546,3370,3413,3566,3491,3488,3364,3564,3697,3619,3553,3521,3605,3572,3528,3044,2909,3693,3650,3680,3528
3492,3666,3476,3553,3364,3413,3566,3492,3488,3370,3571,3697,3619,3553,3521,3605,3572,3528,3044,2909,3682,3641,3676,3534
3494,3660,3480,3553,3364,3413,3566,3492,3488,3370,3571,3696,3617,3540,3527,3603,3572,3524,3042,2904,3689,3643,3683,3523
3494,3660,3480,3552,3361,3413,3564,3487,3488,3369,3574,3700,3611,3549,3515,3606,3574,3513,3039,2916,3686,3642,3682,3523
3491,3665,3473,3550,3354,3410,3568,3481,3484,3373,3566,3695,3625,3548,3524,3606,3574,3513,3039,2916,3686,3642,3682,3526
3477,3663,3474,3547,3357,3409,3564,3481,3484,3373,3566,3695,3625,3548,3524,3611,3577,3524,3040,2908,3686,3648,3681,3526
