ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3463,3654,3546,3631,3406,3541,3664,3442,3494,3446,3474,3645,3527,3461,3222,3534,3480,3364,3010,2889,3666,3640,3610,3444
3463,3654,3546,3631,3406,3541,3664,3446,3518,3449,3474,3651,3534,3464,3220,3526,3480,3364,3007,2892,3660,3619,3621,3445
3462,3642,3542,3627,3400,3541,3667,3432,3514,3443,3474,3655,3530,3459,3211,3536,3483,3369,3011,2892,3660,3619,3621,3445
3468,3646,3541,3628,3394,3540,3664,3442,3520,3450,3479,3655,3530,3459,3211,3536,3483,3369,3011,2892,3664,3628,3618,3444
3466,3657,3537,3628,3394,3540,3664,3442,3520,3450,3479,3654,3534,3458,3206,3535,3484,3377,3008,2894,3655,3631,3619,3444
3466,3657,3537,3631,3406,3534,3666,3450,3514,3448,3480,3646,3529,3459,3196,3542,3486,3368,3015,2889,3656,3630,3620,3444
3459,3643,3543,3623,3406,3540,3667,3452,3511,3444,3476,3651,3537,3454,3189,3542,3486,3368,3015,2889,3656,3630,3620,3438
3464,3645,3544,3625,3402,3540,3671,3452,3511,3444,3476,3651,3537,3454,3189,3544,3478,3370,3009,2885,3658,3636,3620,3440
3464,3645,3544,3625,3402,3540,3671,3446,3513,3452,3478,3650,3539,3468,3189,3549,3484,3370,3009,2894,3656,3634,3619,3429
3464,3649,3545,3628,3402,3536,3675,3454,3519,3447,3480,3648,3537,3458,3177,3542,3481,3373,3013,2894,3656,3634,3619,3429
3465,3640,3544,3627,3406,3541,3656,3454,3517,3449,3481,3648,3537,3458,3177,3542,3481,3373,3013,2896,3648,3632,3620,3430
3461,3650,3542,3627,3406,3541,3656,3454,3517,3449,3481,3655,3537,3458,3176,3544,3488,3377,3012,2894,3662,3634,3612,3428
3461,3650,3542,3624,3404,3541,3662,3455,3516,3443,3481,3637,3540,3461,3173,3546,3485,3364,3015,2898,3655,3621,3614,3428
3457,3651,3541,3617,3396,3540,3667,3457,3515,3445,3478,3648,3541,3464,3175,3546,3485,3364,3015,2898,3655,3621,3614,3428
3462,3652,3542,3622,3404,3538,3668,3457,3515,3445,3478,3648,3541,3464,3175,3550,3488,3375,3019,2898,3655,3627,3615,3432
3462,3652,3542,3622,3404,3538,3668,3457,3524,3449,3475,3647,3545,3463,3181,3548,3474,3378,3017,2900,3651,3635,3612,3432
3457,3647,3533,3628,3397,3538,3662,3453,3517,3440,3473,3642,3543,3463,3183,3547,3484,3373,3018,2900,3651,3635,3612,3432
3453,3650,3538,3619,3402,3533,3669,3455,3518,3431,3474,3642,3543,3463,3183,3547,3484,3373,3018,2902,3651,3630,3616,3430
3450,3653,3543,3619,3402,3533,3669,3455,3518,3431,3474,3646,3544,3463,3182,3551,3489,3378,3014,2902,3653,3625,3614,3435
3450,3653,3543,3618,3408,3533,3661,3444,3513,3454,3474,3649,3550,3457,3184,3553,3488,3378,3018,2898,3652,3624,3610,3435
3453,3642,3541,3629,3401,3539,3664,3449,3521,3449,3475,3654,3546,3464,3188,3553,3488,3378,3018,2898,3652,3624,3610,3437
3450,3647,3536,3630,3399,3531,3661,3449,3521,3449,3475,3654,3546,3464,3188,3549,3490,3374,3014,2902,3651,3621,3613,3432
3450,3647,3536,3630,3399,3531,3661,3452,3518,3451,3476,3655,3548,3460,3187,3562,3488,3376,3015,2908,3653,3627,3614,3432
3455,3632,3533,3618,3394,3533,3661,3441,3515,3446,3482,3644,3553,3466,3184,3562,3492,3377,3015,2908,3653,3627,3614,3432
3450,3644,3540,3620,3393,3528,3667,3451,3520,3454,3476,3644,3553,3466,3184,3562,3492,3377,3015,2908,3651,3630,3612,3435
3453,3652,3534,3620,3393,3528,3667,3451,3520,3454,3476,3647,3554,3473,3186,3565,3491,3378,3018,2908,3651,3630,3610,3428
3453,3652,3534,3621,3394,3526,3649,3450,3522,3452,3482,3646,3539,3460,3188,3561,3486,3385,3019,2902,3653,3628,3603,3428
3449,3649,3537,3622,3395,3527,3660,3443,3518,3444,3479,3638,3552,3469,3189,3561,3486,3385,3019,2902,3653,3628,3603,3428
3445,3645,3532,3620,3394,3528,3664,3443,3518,3444,3479,3638,3552,3469,3189,3563,3491,3388,3016,2908,3653,3634,3609,3432
3445,3645,3532,3620,3394,3528,3664,3450,3524,3448,3477,3642,3557,3467,3193,3564,3492,3378,3017,2910,3655,3622,3614,3426
3451,3641,3534,3616,3388,3527,3663,3450,3515,3446,3479,3653,3554,3470,3197,3560,3500,3375,3023,2910,3655,3622,3614,3426
3448,3646,3530,3617,3389,3528,3664,3445,3515,3444,3476,3653,3554,3470,3197,3560,3500,3375,3023,2908,3658,3624,3612,3432
3450,3644,3530,3617,3389,3528,3664,3445,3515,3444,3476,3641,3554,3475,3199,3564,3499,3377,3020,2910,3658,3627,3620,3435
3450,3644,3530,3614,3384,3526,3665,3449,3517,3453,3476,3649,3555,3469,3200,3565,3502,3373,3015,2913,3656,3611,3612,3435
3445,3637,3529,3615,3379,3531,3660,3437,3519,3446,3476,3650,3561,3475,3202,3565,3502,3373,3015,2913,3656,3611,3612,3428
3449,3647,3533,3613,3385,3529,3657,3437,3519,3446,3476,3650,3561,3475,3202,3566,3497,3379,3015,2909,3653,3621,3619,3428
3449,3647,3533,3613,3385,3529,3657,3442,3517,3448,3476,3649,3560,3469,3213,3570,3496,3373,3016,2907,3648,3637,3616,3432
3446,3644,3526,3610,3383,3530,3649,3438,3512,3444,3481,3649,3550,3472,3208,3562,3496,3375,3022,2907,3648,3637,3616,3432
3449,3634,3530,3610,3384,3532,3659,3441,3517,3446,3478,3649,3550,3472,3208,3562,3496,3375,3022,2908,3650,3617,3615,3432
3449,3635,3530,3610,3384,3532,3659,3441,3517,3446,3478,3649,3554,3474,3208,3566,3503,3372,3019,2904,3656,3622,3621,3430
3449,3635,3530,3621,3384,3524,3660,3434,3515,3447,3478,3642,3555,3471,3213,3568,3497,3374,3017,2911,3655,3627,3615,3430
3442,3643,3527,3616,3382,3525,3659,3439,3518,3453,3477,3646,3557,3474,3212,3568,3497,3374,3017,2911,3655,3627,3615,3425
3443,3620,3530,3616,3385,3528,3653,3439,3518,3453,3477,3646,3557,3474,3212,3567,3498,3372,3018,2912,3653,3626,3618,3428
3443,3620,3530,3616,3385,3528,3653,3437,3514,3445,3481,3651,3555,3479,3221,3570,3494,3368,3017,2908,3656,3626,3616,3426
3445,3650,3531,3616,3375,3526,3648,3432,3516,3449,3471,3614,3557,3474,3222,3566,3497,3362,3022,2908,3656,3626,3616,3426
3438,3643,3531,3607,3378,3529,3652,3433,3513,3454,3478,3614,3557,3474,3222,3566,3497,3362,3022,2910,3653,3623,3619,3438
3439,3647,3526,3607,3378,3529,3652,3433,3513,3454,3478,3641,3555,3479,3224,3575,3499,3364,3024,2913,3650,3626,3612,3435
3439,3647,3526,3615,3384,3526,3656,3437,3517,3446,3478,3654,3558,3475,3223,3573,3499,3373,3022,2913,3651,3627,3612,3435
3444,3646,3524,3615,3380,3525,3657,3433,3521,3450,3473,3656,3560,3475,3227,3573,3499,3373,3022,2913,3651,3627,3612,3426
3441,3646,3526,3618,3378,3527,3653,3433,3521,3450,3473,3656,3560,3475,3227,3573,3493,3363,3022,2914,3658,3620,3611,3427
3441,3646,3526,3618,3378,3527,3653,3434,3510,3457,3484,3650,3559,3475,3227,3570,3499,3369,3018,2915,3656,3611,3620,3431
3438,3633,3525,3609,3377,3529,3654,3432,3515,3448,3477,3653,3561,3473,3226,3572,3501,3368,3023,2915,3656,3611,3620,3431
3442,3641,3526,3611,3375,3530,3657,3429,3518,3448,3480,3653,3561,3473,3226,3572,3501,3368,3023,2912,3651,3625,3610,3432
3439,3640,3520,3611,3375,3530,3657,3429,3518,3448,3480,3648,3563,3476,3213,3570,3498,3368,3020,2915,3648,3628,3614,3432
3439,3640,3520,3614,3375,3520,3661,3435,3514,3454,3479,3647,3562,3469,3224,3571,3500,3377,3019,2913,3654,3624,3617,3432
3438,3636,3524,3612,3374,3524,3648,3428,3516,3450,3480,3641,3565,3479,3208,3571,3500,3377,3019,2913,3654,3624,3617,3434
3439,3639,3528,3612,3371,3523,3654,3428,3516,3450,3480,3641,3565,3479,3208,3579,3501,3364,3022,2914,3652,3628,3613,3427
3439,3639,3528,3612,3371,3523,3654,3435,3517,3451,3475,3647,3562,3478,3214,3576,3504,3371,3019,2917,3652,3623,3618,3422
3442,3636,3524,3612,3376,3524,3649,3438,3518,3453,3479,3648,3563,3471,3212,3582,3493,3375,3021,2917,3652,3623,3618,3422
3433,3633,3522,3610,3374,3525,3649,3438,3518,3449,3486,3648,3563,3471,3212,3582,3493,3375,3021,2915,3650,3622,3613,3425
3434,3641,3522,3610,3374,3525,3649,3438,3518,3449,3486,3646,3562,3474,3217,3576,3504,3378,3021,2921,3652,3621,3612,3427
3434,3641,3522,3614,3366,3520,3653,3438,3515,3448,3484,3634,3572,3477,3213,3573,3501,3375,3016,2923,3650,3611,3610,3427
3445,3637,3526,3609,3369,3515,3657,3440,3515,3445,3478,3653,3564,3478,3208,3573,3501,3375,3016,2923,3650,3611,3610,3425
3435,3637,3524,3606,3365,3521,3653,3440,3515,3445,3478,3653,3564,3478,3208,3577,3504,3383,3020,2919,3653,3621,3615,3422
3435,3637,3524,3606,3365,3521,3653,3439,3516,3445,3475,3658,3570,3483,3208,3578,3505,3379,3022,2919,3655,3627,3612,3424
3435,3637,3520,3600,3370,3522,3651,3443,3509,3442,3482,3643,3570,3478,3206,3575,3509,3375,3027,2919,3655,3627,3612,3424
3435,3632,3525,3603,3371,3521,3654,3442,3513,3441,3482,3643,3570,3478,3206,3575,3509,3375,3027,2919,3647,3613,3616,3418
3429,3636,3516,3603,3371,3521,3654,3442,3513,3441,3482,3650,3571,3480,3208,3577,3513,3373,3026,2921,3649,3622,3620,3426
3429,3636,3516,3607,3365,3518,3651,3432,3509,3451,3482,3656,3571,3477,3205,3585,3502,3375,3023,2918,3658,3622,3613,3426
3433,3637,3509,3600,3369,3520,3645,3437,3517,3439,3481,3654,3572,3477,3206,3585,3502,3375,3023,2918,3658,3622,3613,3424
3437,3630,3514,3596,3373,3519,3649,3437,3517,3439,3481,3654,3572,3477,3206,3578,3503,3375,3029,2923,3650,3621,3620,3424
3437,3630,3514,3596,3373,3519,3649,3437,3509,3444,3484,3651,3568,3482,3209,3583,3508,3368,3021,2922,3652,3624,3616,3427
3429,3624,3519,3607,3369,3524,3651,3429,3507,3449,3479,3636,3568,3482,3208,3585,3500,3364,3020,2922,3652,3624,3616,3427
3430,3640,3517,3610,3371,3523,3659,3428,3520,3451,3476,3636,3568,3482,3208,3585,3500,3364,3020,2919,3652,3627,3619,3428
3424,3638,3519,3610,3371,3523,3659,3428,3520,3451,3476,3646,3570,3478,3213,3588,3506,3360,3029,2927,3651,3622,3616,3425
3424,3638,3519,3609,3371,3522,3649,3433,3515,3455,3474,3647,3568,3474,3216,3584,3489,3354,3023,2918,3650,3624,3618,3425
3431,3636,3525,3608,3366,3516,3647,3427,3519,3454,3473,3626,3568,3475,3216,3584,3489,3354,3023,2918,3650,3624,3618,3417
3430,3638,3520,3599,3366,3519,3629,3427,3519,3454,3473,3626,3568,3475,3216,3581,3503,3357,3025,2921,3648,3621,3616,3423
3430,3638,3520,3599,3366,3519,3629,3431,3514,3454,3483,3654,3569,3477,3214,3583,3508,3362,3024,2923,3648,3616,3606,3424
3435,3638,3519,3602,3364,3517,3649,3433,3514,3448,3483,3651,3574,3479,3215,3585,3510,3374,3021,2923,3648,3616,3606,3424
3426,3640,3519,3607,3370,3514,3652,3429,3518,3448,3479,3651,3574,3479,3215,3585,3510,3374,3021,2923,3648,3618,3616,3413
3435,3640,3521,3607,3370,3514,3652,3429,3518,3448,3479,3647,3570,3478,3216,3584,3498,3376,3025,2923,3652,3623,3612,3421
3435,3640,3521,3615,3361,3520,3654,3430,3512,3453,3483,3647,3565,3489,3220,3572,3506,3366,3029,2925,3647,3616,3610,3421
3432,3628,3525,3605,3355,3515,3652,3433,3517,3444,3484,3649,3570,3485,3222,3572,3506,3366,3029,2925,3647,3616,3610,3422
3432,3632,3528,3608,3361,3521,3650,3433,3517,3444,3484,3649,3570,3485,3222,3585,3506,3366,3022,2922,3655,3617,3618,3424
3432,3632,3528,3608,3361,3521,3650,3428,3520,3447,3473,3654,3571,3480,3216,3584,3509,3366,3027,2922,3640,3622,3612,3427
3428,3637,3521,3606,3361,3519,3655,3429,3512,3458,3483,3650,3578,3472,3225,3581,3504,3369,3022,2922,3640,3622,3612,3427
3434,3635,3526,3605,3364,3524,3651,3423,3514,3456,3478,3650,3578,3472,3225,3581,3504,3369,3022,2918,3650,3616,3614,3425
3432,3638,3521,3605,3364,3524,3651,3423,3514,3456,3478,3647,3570,3474,3229,3587,3507,3361,3016,2918,3648,3622,3618,3428
3432,3638,3521,3606,3365,3530,3652,3416,3515,3459,3476,3644,3564,3479,3225,3589,3504,3357,3017,2924,3649,3622,3620,3428
3432,3635,3524,3613,3364,3523,3651,3421,3513,3452,3477,3647,3572,3474,3233,3589,3504,3357,3017,2924,3649,3622,3620,3423
3435,3628,3522,3611,3370,3521,3650,3421,3513,3452,3477,3647,3572,3474,3233,3585,3499,3358,3018,2918,3652,3629,3614,3434
3435,3628,3522,3611,3370,3521,3650,3416,3513,3454,3480,3648,3563,3478,3230,3583,3500,3341,3022,2925,3649,3622,3617,3432
3428,3636,3521,3605,3370,3513,3649,3419,3515,3452,3483,3611,3566,3478,3227,3580,3501,3347,3018,2925,3649,3622,3617,3432
3433,3642,3524,3607,3368,3522,3650,3418,3513,3457,3478,3611,3566,3478,3227,3580,3501,3347,3018,2925,3652,3612,3614,3439
3429,3642,3523,3607,3368,3522,3650,3418,3513,3457,3478,3648,3571,3482,3226,3583,3504,3338,3018,2924,3648,3622,3621,3432
3429,3642,3523,3609,3356,3526,3651,3418,3517,3457,3467,3649,3566,3480,3218,3584,3497,3333,3018,2926,3653,3625,3616,3432
3431,3636,3528,3601,3363,3527,3653,3414,3511,3455,3475,3645,3566,3479,3224,3584,3497,3333,3018,2926,3653,3625,3616,3422
3432,3638,3526,3607,3371,3529,3654,3414,3511,3455,3475,3645,3566,3479,3224,3578,3504,3337,3023,2925,3649,3618,3614,3428
3432,3638,3526,3607,3371,3529,3654,3412,3517,3449,3473,3646,3566,3480,3219,3578,3503,3340,3018,2922,3655,3621,3616,3431
3430,3639,3525,3608,3369,3530,3650,3413,3511,3459,3470,3652,3564,3474,3213,3581,3497,3335,3019,2922,3655,3621,3616,3431
3436,3634,3523,3602,3369,3524,3648,3414,3513,3446,3475,3652,3564,3474,3213,3581,3497,3335,3019,2924,3655,3627,3616,3435
3432,3638,3518,3602,3369,3524,3648,3414,3513,3446,3475,3646,3570,3478,3217,3580,3502,3336,3028,2929,3648,3623,3620,3431
3432,3638,3518,3610,3369,3520,3652,3402,3513,3455,3473,3647,3572,3481,3225,3585,3498,3330,3026,2922,3652,3625,3615,3431
3424,3604,3517,3605,3367,3510,3646,3412,3505,3456,3476,3639,3574,3482,3217,3585,3498,3330,3026,2922,3652,3625,3615,3434
3431,3634,3517,3608,3366,3522,3643,3412,3505,3456,3476,3639,3574,3482,3217,3593,3499,3330,3026,2924,3650,3626,3619,3433
3431,3634,3517,3608,3366,3522,3643,3402,3512,3455,3473,3646,3580,3483,3227,3590,3505,3328,3024,2933,3653,3621,3617,3434
3413,3634,3516,3606,3366,3522,3642,3410,3511,3454,3472,3651,3574,3477,3229,3590,3496,3334,3024,2933,3653,3621,3617,3434
3426,3628,3515,3604,3365,3509,3646,3405,3512,3453,3470,3651,3574,3477,3229,3590,3496,3334,3024,2930,3653,3627,3619,3438
3422,3634,3513,3604,3365,3509,3646,3405,3512,3453,3470,3651,3577,3481,3227,3594,3499,3338,3024,2926,3650,3620,3611,3424
3422,3634,3513,3604,3363,3519,3649,3416,3512,3448,3476,3644,3578,3482,3224,3593,3505,3331,3026,2932,3647,3616,3609,3424
