ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3389,3570,3506,3570,3261,3504,3606,3361,3450,3368,3328,3544,3310,3288,2832,3292,3295,3204,2918,2768,3572,3549,3496,3291
3389,3574,3509,3574,3268,3508,3610,3363,3457,3370,3325,3543,3308,3274,2813,3290,3296,3203,2922,2768,3536,3549,3496,3291
3386,3581,3505,3565,3269,3501,3606,3365,3451,3366,3327,3542,3315,3274,2813,3290,3296,3203,2922,2768,3536,3551,3497,3284
3394,3581,3506,3571,3266,3501,3606,3365,3451,3366,3327,3542,3315,3274,2806,3304,3296,3210,2924,2772,3570,3547,3494,3281
3394,3581,3506,3571,3266,3501,3609,3366,3449,3367,3330,3543,3316,3274,2806,3305,3305,3218,2923,2766,3571,3548,3498,3280
3391,3580,3501,3570,3268,3494,3610,3366,3445,3362,3329,3537,3313,3281,2795,3305,3309,3218,2923,2766,3571,3548,3498,3280
3394,3580,3502,3574,3267,3502,3609,3370,3450,3362,3329,3537,3313,3281,2795,3305,3309,3218,2903,2772,3575,3548,3495,3274
3388,3580,3502,3574,3267,3502,3609,3370,3450,3369,3327,3540,3317,3280,2796,3306,3304,3228,2917,2744,3563,3550,3492,3272
3388,3583,3507,3566,3269,3503,3606,3374,3452,3365,3333,3544,3311,3284,2791,3309,3305,3226,2926,2770,3568,3550,3492,3272
3392,3583,3498,3568,3268,3498,3607,3380,3453,3364,3331,3538,3319,3284,2791,3309,3305,3226,2926,2770,3568,3546,3491,3268
3386,3580,3500,3567,3271,3498,3607,3380,3453,3364,3331,3538,3319,3283,2787,3304,3309,3240,2917,2774,3570,3539,3489,3267
3386,3580,3500,3567,3271,3492,3611,3381,3449,3364,3329,3541,3324,3288,2781,3312,3315,3243,2927,2774,3569,3540,3485,3271
3392,3580,3497,3564,3263,3499,3608,3384,3454,3364,3286,3542,3328,3289,2780,3318,3313,3243,2927,2774,3569,3540,3485,3271
3389,3578,3501,3558,3264,3496,3608,3383,3450,3364,3286,3542,3328,3289,2780,3318,3313,3241,2933,2777,3568,3545,3490,3255
3391,3578,3501,3558,3264,3496,3608,3383,3450,3368,3334,3542,3331,3286,2773,3323,3323,3249,2934,2777,3569,3550,3486,3261
3391,3578,3494,3567,3264,3494,3609,3383,3448,3356,3336,3547,3332,3289,2769,3323,3325,3254,2932,2777,3569,3550,3486,3261
3386,3575,3498,3566,3264,3494,3606,3377,3442,3364,3336,3544,3334,3289,2769,3323,3325,3254,2932,2777,3569,3541,3486,3260
3388,3580,3504,3568,3270,3494,3606,3377,3442,3364,3336,3544,3334,3284,2753,3329,3321,3260,2932,2779,3568,3544,3490,3254
3388,3580,3504,3568,3270,3494,3613,3380,3443,3354,3336,3545,3337,3285,2749,3331,3323,3259,2939,2780,3556,3542,3486,3253
3395,3578,3494,3567,3263,3495,3609,3380,3450,3356,3335,3545,3338,3289,2751,3330,3326,3259,2939,2780,3556,3542,3486,3253
3389,3565,3498,3568,3262,3485,3608,3389,3444,3356,3335,3545,3338,3289,2751,3330,3326,3260,2937,2776,3564,3546,3484,3256
3388,3565,3498,3568,3262,3485,3608,3389,3444,3367,3339,3538,3337,3289,2734,3334,3331,3265,2937,2778,3564,3544,3482,3249
3388,3575,3496,3573,3261,3488,3615,3386,3449,3362,3341,3540,3343,3287,2736,3337,3330,3263,2938,2781,3563,3544,3482,3249
3385,3580,3501,3563,3264,3491,3578,3383,3452,3360,3338,3545,3346,3287,2736,3337,3330,3263,2938,2781,3563,3541,3483,3243
3393,3572,3498,3563,3257,3491,3578,3383,3452,3360,3338,3545,3346,3285,2728,3341,3323,3266,2938,2788,3564,3541,3486,3234
3393,3572,3498,3563,3257,3488,3610,3385,3448,3360,3345,3546,3354,3293,2719,3350,3334,3272,2940,2784,3567,3538,3481,3228
3394,3577,3492,3563,3258,3485,3607,3390,3452,3356,3345,3543,3360,3300,2721,3353,3339,3272,2940,2784,3567,3538,3481,3228
3384,3580,3497,3558,3256,3485,3603,3391,3452,3356,3345,3543,3360,3300,2721,3353,3339,3277,2943,2787,3565,3532,3472,3241
3390,3580,3497,3558,3256,3485,3603,3391,3452,3355,3352,3554,3365,3300,2721,3360,3348,3284,2942,2792,3565,3536,3475,3235
3390,3578,3490,3560,3253,3477,3607,3393,3444,3354,3348,3543,3369,3308,2727,3371,3355,3292,2947,2795,3571,3536,3475,3235
3387,3575,3489,3565,3250,3478,3606,3393,3450,3351,3349,3548,3375,3308,2727,3371,3355,3292,2947,2795,3571,3543,3475,3230
3382,3570,3493,3559,3244,3478,3606,3393,3450,3351,3349,3548,3375,3308,2733,3365,3357,3292,2949,2798,3568,3518,3483,3228
3382,3570,3493,3559,3244,3484,3607,3393,3445,3350,3355,3551,3377,3307,2735,3373,3360,3296,2946,2797,3569,3532,3482,3224
3382,3578,3489,3557,3250,3478,3608,3395,3454,3352,3352,3552,3382,3311,2743,3383,3363,3296,2946,2797,3569,3532,3482,3224
3383,3573,3488,3553,3249,3476,3600,3395,3448,3352,3352,3552,3382,3311,2743,3383,3363,3301,2945,2799,3560,3541,3482,3223
3380,3573,3488,3553,3249,3476,3600,3395,3448,3360,3354,3547,3389,3304,2756,3382,3370,3304,2952,2795,3564,3526,3479,3219
3380,3579,3483,3555,3250,3477,3599,3393,3450,3352,3354,3549,3384,3302,2754,3389,3367,3309,2948,2796,3562,3526,3479,3219
3384,3573,3484,3556,3240,3488,3606,3397,3453,3357,3354,3544,3383,3302,2754,3389,3367,3309,2948,2796,3562,3532,3475,3217
3387,3574,3487,3558,3245,3488,3606,3397,3453,3357,3354,3544,3383,3314,2747,3392,3367,3303,2948,2804,3563,3533,3477,3212
3387,3574,3487,3558,3245,3476,3602,3398,3453,3355,3352,3547,3393,3315,2747,3391,3369,3306,2954,2797,3563,3528,3474,3210
3377,3573,3487,3558,3249,3484,3592,3404,3455,3353,3359,3544,3383,3315,2739,3390,3365,3306,2954,2797,3563,3528,3474,3210
3381,3567,3485,3553,3242,3470,3603,3395,3456,3353,3359,3544,3383,3315,2739,3390,3365,3304,2950,2807,3560,3529,3474,3210
3384,3567,3485,3553,3242,3470,3603,3395,3456,3354,3354,3535,3390,3313,2732,3386,3368,3308,2946,2808,3560,3520,3470,3208
3384,3574,3486,3552,3248,3479,3606,3401,3450,3354,3353,3549,3387,3314,2738,3395,3370,3308,2952,2806,3556,3520,3470,3208
3382,3572,3487,3553,3227,3476,3602,3401,3453,3354,3348,3554,3394,3314,2738,3395,3370,3308,2952,2806,3556,3527,3478,3203
3384,3570,3482,3549,3243,3476,3602,3401,3453,3354,3348,3554,3394,3320,2738,3392,3371,3313,2951,2803,3555,3530,3471,3200
3384,3570,3482,3549,3243,3478,3604,3409,3449,3350,3350,3542,3389,3312,2752,3390,3368,3312,2954,2804,3555,3527,3470,3192
3383,3573,3488,3557,3242,3480,3603,3406,3452,3351,3347,3548,3385,3310,2758,3382,3373,3312,2954,2804,3555,3527,3470,3192
3386,3572,3488,3550,3242,3484,3602,3400,3452,3351,3347,3548,3385,3310,2758,3382,3373,3317,2949,2800,3559,3516,3472,3192
3387,3572,3488,3550,3242,3484,3602,3400,3452,3358,3346,3550,3386,3307,2763,3388,3370,3318,2953,2801,3561,3526,3465,3179
3387,3569,3483,3561,3236,3480,3595,3402,3452,3360,3349,3549,3389,3312,2774,3383,3371,3326,2958,2804,3555,3526,3465,3179
3386,3564,3485,3552,3237,3482,3608,3411,3457,3359,3346,3542,3383,3312,2774,3383,3371,3326,2958,2804,3555,3525,3464,3179
3382,3560,3485,3555,3233,3482,3608,3411,3457,3359,3346,3542,3383,3312,2779,3393,3368,3325,2958,2794,3551,3517,3459,3173
3382,3560,3485,3555,3233,3479,3606,3410,3453,3364,3346,3534,3384,3308,2775,3390,3376,3326,2954,2805,3555,3518,3456,3168
3379,3570,3487,3556,3231,3479,3602,3417,3456,3363,3344,3540,3394,3311,2785,3393,3377,3326,2954,2805,3555,3518,3456,3168
3378,3572,3488,3556,3230,3479,3595,3407,3454,3363,3344,3540,3394,3311,2785,3393,3377,3327,2960,2809,3549,3513,3454,3161
3381,3572,3488,3556,3230,3479,3595,3407,3454,3362,3348,3545,3384,3305,2790,3393,3374,3339,2955,2805,3550,3512,3452,3148
3381,3570,3488,3554,3229,3476,3602,3411,3456,3365,3344,3536,3386,3311,2788,3398,3379,3335,2961,2809,3547,3512,3452,3148
3371,3569,3487,3542,3230,3478,3604,3417,3458,3365,3343,3531,3389,3311,2788,3398,3379,3335,2961,2809,3547,3509,3445,3154
3381,3566,3484,3548,3235,3478,3604,3417,3458,3365,3343,3531,3389,3317,2797,3400,3383,3332,2958,2811,3550,3501,3444,3146
3381,3566,3484,3548,3235,3478,3606,3416,3460,3360,3317,3538,3388,3312,2816,3397,3383,3351,2959,2810,3548,3506,3437,3141
3380,3571,3477,3550,3229,3474,3607,3417,3460,3361,3341,3532,3395,3313,2830,3402,3380,3351,2959,2810,3548,3506,3437,3141
3370,3561,3482,3549,3229,3475,3608,3424,3453,3361,3341,3532,3395,3313,2830,3402,3380,3348,2964,2813,3547,3507,3438,3139
3364,3561,3482,3549,3229,3475,3608,3424,3453,3369,3345,3536,3404,3316,2830,3407,3394,3355,2964,2818,3545,3487,3438,3135
3364,3558,3479,3537,3227,3473,3607,3428,3457,3359,3352,3546,3410,3315,2829,3418,3381,3357,2968,2803,3546,3487,3438,3135
3364,3564,3476,3549,3224,3477,3603,3423,3459,3367,3346,3545,3409,3315,2829,3418,3381,3357,2968,2803,3546,3507,3435,3133
3370,3565,3477,3551,3225,3477,3603,3423,3459,3367,3346,3545,3409,3320,2831,3414,3398,3359,2963,2819,3542,3504,3443,3134
3370,3565,3477,3551,3225,3470,3608,3425,3463,3359,3348,3543,3405,3310,2832,3415,3400,3356,2962,2817,3541,3499,3436,3125
3364,3549,3479,3546,3226,3472,3604,3419,3468,3362,3349,3537,3408,3316,2835,3417,3399,3356,2962,2817,3541,3499,3436,3125
3370,3563,3469,3550,3222,3472,3603,3419,3460,3362,3349,3537,3408,3316,2835,3417,3399,3348,2967,2819,3538,3501,3437,3112
3376,3563,3469,3550,3222,3472,3603,3419,3460,3365,3347,3538,3413,3320,2847,3420,3402,3357,2969,2820,3539,3497,3433,3113
3376,3564,3476,3545,3224,3470,3592,3427,3459,3358,3350,3539,3377,3322,2856,3422,3397,3364,2964,2813,3537,3497,3433,3113
3365,3558,3481,3541,3227,3467,3601,3412,3456,3358,3328,3530,3418,3322,2856,3422,3397,3364,2964,2813,3537,3494,3425,3112
3368,3560,3474,3540,3228,3467,3601,3412,3456,3358,3328,3530,3418,3318,2866,3425,3403,3368,2968,2819,3542,3496,3430,3107
3368,3560,3474,3540,3228,3461,3601,3429,3466,3357,3352,3532,3419,3325,2867,3428,3399,3365,2966,2821,3533,3486,3424,3099
3368,3563,3474,3541,3219,3465,3607,3429,3460,3357,3354,3539,3416,3328,2875,3421,3400,3365,2966,2821,3533,3486,3424,3099
3368,3560,3477,3537,3216,3458,3600,3428,3456,3357,3354,3539,3416,3328,2875,3421,3400,3369,2965,2821,3539,3486,3425,3089
3370,3560,3477,3537,3216,3458,3600,3428,3456,3354,3352,3534,3420,3325,2878,3424,3413,3372,2966,2818,3536,3487,3421,3083
3370,3561,3474,3536,3215,3465,3602,3427,3455,3349,3356,3541,3420,3327,2890,3429,3413,3374,2970,2819,3535,3487,3421,3083
3375,3562,3476,3536,3219,3465,3600,3418,3460,3357,3359,3543,3426,3327,2890,3429,3413,3374,2970,2819,3535,3462,3411,3069
3370,3552,3483,3534,3217,3465,3600,3418,3460,3357,3359,3543,3426,3320,2900,3426,3408,3378,2970,2821,3534,3475,3412,3064
3370,3552,3483,3534,3217,3465,3606,3435,3464,3352,3362,3542,3430,3325,2915,3430,3411,3380,2970,2818,3527,3477,3412,3054
3369,3555,3467,3541,3210,3469,3594,3432,3457,3346,3363,3540,3420,3329,2920,3427,3414,3380,2970,2818,3527,3477,3412,3054
3368,3554,3478,3531,3213,3466,3598,3436,3466,3346,3363,3540,3420,3329,2920,3427,3414,3386,2967,2814,3522,3468,3403,3041
3372,3554,3478,3531,3213,3466,3598,3436,3466,3348,3365,3547,3427,3330,2930,3428,3416,3382,2961,2820,3522,3467,3399,3030
3372,3557,3474,3535,3209,3467,3599,3428,3459,3356,3364,3542,3430,3328,2941,3430,3412,3384,2964,2812,3525,3467,3399,3030
3370,3560,3480,3537,3210,3462,3605,3438,3455,3354,3366,3540,3429,3328,2941,3430,3412,3384,2964,2812,3525,3466,3396,3018
3378,3553,3475,3535,3211,3462,3605,3438,3455,3354,3366,3540,3429,3329,2947,3428,3418,3381,2973,2818,3518,3467,3395,3012
3378,3553,3475,3535,3211,3462,3597,3436,3457,3349,3371,3545,3406,3330,2954,3430,3419,3384,2967,2815,3523,3463,3386,2999
3378,3563,3477,3538,3206,3473,3598,3439,3458,3354,3368,3536,3434,3332,2952,3432,3416,3384,2967,2815,3523,3463,3386,2999
3374,3559,3480,3531,3198,3472,3592,3438,3457,3354,3368,3536,3434,3332,2952,3432,3416,3372,2968,2815,3519,3448,3388,2991
3376,3559,3480,3531,3198,3472,3592,3438,3457,3347,3374,3540,3437,3331,2956,3430,3422,3382,2971,2817,3518,3457,3390,2985
3376,3557,3475,3530,3200,3468,3601,3437,3459,3352,3370,3544,3432,3335,2964,3430,3406,3384,2966,2815,3514,3457,3390,2985
3378,3553,3474,3536,3196,3464,3602,3440,3446,3342,3372,3535,3435,3335,2964,3430,3406,3384,2966,2815,3514,3455,3387,2975
3381,3563,3477,3523,3203,3464,3602,3440,3446,3342,3372,3535,3435,3332,2969,3426,3418,3382,2970,2817,3523,3446,3378,2970
3381,3563,3477,3523,3203,3463,3604,3440,3455,3349,3376,3544,3434,3334,2968,3423,3418,3396,2971,2816,3515,3441,3378,2968
3378,3559,3477,3534,3199,3470,3596,3436,3459,3348,3370,3542,3432,3326,2962,3429,3413,3396,2971,2816,3515,3441,3378,2968
3381,3561,3482,3528,3192,3474,3599,3434,3454,3348,3370,3542,3432,3326,2962,3429,3413,3388,2967,2811,3519,3446,3375,2960
3387,3561,3482,3528,3192,3474,3599,3434,3454,3352,3371,3540,3437,3332,2964,3426,3417,3389,2968,2814,3520,3442,3372,2957
3387,3560,3477,3532,3198,3471,3604,3444,3455,3342,3373,3538,3440,3339,2980,3431,3422,3393,2969,2814,3518,3442,3372,2957
3381,3561,3484,3530,3198,3467,3600,3422,3455,3348,3372,3536,3433,3339,2980,3431,3422,3393,2969,2814,3518,3446,3371,2947
3384,3560,3478,3536,3201,3467,3600,3422,3455,3348,3372,3536,3433,3333,2979,3429,3418,3387,2966,2812,3513,3446,3370,2938
3384,3560,3478,3536,3201,3470,3602,3441,3457,3348,3374,3544,3442,3336,2998,3430,3423,3390,2969,2813,3513,3441,3370,2944
3389,3562,3478,3532,3202,3462,3589,3436,3456,3344,3378,3541,3432,3341,3006,3431,3421,3390,2969,2813,3513,3441,3370,2944
3379,3555,3475,3530,3198,3455,3596,3431,3460,3344,3378,3541,3432,3341,3006,3431,3421,3391,2971,2815,3514,3442,3362,2942
3380,3555,3475,3530,3198,3455,3596,3431,3460,3344,3378,3537,3438,3336,3009,3436,3416,3398,2972,2814,3513,3436,3366,2930
3380,3559,3477,3521,3200,3458,3574,3440,3454,3341,3376,3538,3442,3342,3010,3437,3422,3389,2973,2815,3515,3436,3366,2930
3381,3559,3475,3525,3196,3462,3598,3445,3455,3340,3375,3542,3444,3342,3010,3437,3422,3389,2973,2815,3515,3436,3363,2923
3382,3556,3478,3526,3197,3462,3598,3445,3455,3340,3375,3542,3444,3339,3010,3437,3428,3396,2975,2815,3515,3430,3364,2922
3382,3556,3478,3526,3197,3457,3594,3445,3452,3340,3383,3534,3447,3341,3010,3438,3432,3392,2972,2815,3512,3433,3353,2916
3385,3556,3475,3531,3199,3460,3600,3437,3461,3344,3377,3542,3445,3341,3016,3439,3432,3392,2972,2815,3512,3433,3353,2916
3383,3558,3475,3520,3197,3465,3595,3434,3453,3344,3377,3542,3445,3341,3016,3439,3432,3396,2973,2815,3505,3414,3359,2912
3381,3558,3475,3520,3197,3465,3595,3434,3453,3336,3384,3549,3450,3334,3025,3437,3419,3398,2973,2814,3512,3432,3358,2918
3381,3556,3476,3528,3204,3458,3595,3436,3454,3342,3385,3546,3449,3342,3041,3444,3431,3400,2973,2814,3502,3432,3358,2918
3380,3554,3472,3531,3199,3449,3599,3437,3445,3339,3392,3547,3461,3342,3041,3444,3431,3400,2973,2814,3502,3432,3362,2920
3371,3549,3458,3512,3190,3449,3599,3437,3445,3339,3392,3547,3461,3356,3047,3451,3433,3400,2972,2813,3511,3416,3364,2917
3371,3549,3458,3512,3190,3435,3587,3441,3454,3326,3403,3554,3482,3363,3066,3471,3439,3405,2974,2819,3511,3416,3364,2897
3364,3542,3451,3507,3184,3432,3581,3436,3449,3329,3407,3556,3482,3365,3067,3474,3447,3405,2974,2819,3511,3416,3364,2897
3364,3545,3446,3507,3177,3428,3580,3443,3450,3329,3407,3556,3482,3365,3067,3474,3447,3406,2976,2826,3506,3412,3363,2893
3366,3540,3446,3507,3177,3428,3580,3443,3450,3325,3412,3560,3490,3373,3067,3475,3446,3403,2974,2827,3507,3412,3368,2887
3366,3540,3446,3502,3168,3425,3581,3436,3451,3324,3414,3547,3482,3378,3068,3474,3446,3405,2975,2826,3505,3412,3368,2887
