ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
2996,3246,2884,3231,2886,3071,3092,2635,2894,2460,2878,3245,2792,3029,2849,2734,3028,2155,2658,2429,3290,3263,3249,3090,3400,3569,3477,3496,2777,3465,3537,3298,3426,3337,3418,3582,3474,3401,3203,3464,3437,3336,2959,2821,3558,3468,3503,3180,2987,3283,3054,3262,3202,2971,3329,3189,3112,2667,2851,3249,2747,3117,3169,2865,3139,3133,2699,2491,3301,3296,3288,3213
3001,3251,2871,3225,2887,3074,3086,2638,2899,2499,2885,3232,2784,3029,2849,2734,3028,2155,2658,2429,3290,3263,3245,3081,3400,3579,3480,3491,2772,3468,3534,3297,3419,3336,3418,3580,3479,3401,3203,3464,3437,3336,2959,2821,3558,3472,3508,3175,2991,3278,3052,3266,3197,2963,3325,3185,3109,2667,2849,3252,2748,3117,3169,2865,3139,3133,2699,2491,3301,3306,3282,3217
3004,3253,2885,3229,2880,3074,3086,2638,2899,2499,2885,3232,2784,3029,2851,2736,3032,2145,2661,2427,3286,3270,3244,3091,3400,3568,3479,3488,2767,3468,3534,3297,3419,3336,3418,3580,3479,3412,3205,3461,3442,3342,2969,2813,3556,3467,3504,3181,2987,3285,3050,3263,3205,2963,3325,3185,3109,2667,2849,3252,2748,3116,3169,2868,3133,3131,2701,2487,3295,3302,3292,3214
3004,3253,2885,3229,2880,3059,3101,2638,2896,2523,2887,3237,2798,3025,2848,2741,3031,2152,2663,2431,3291,3250,3238,3085,3400,3568,3479,3488,2767,3470,3526,3292,3427,3334,3418,3583,3478,3408,3203,3460,3437,3341,2964,2815,3560,3472,3500,3171,2987,3285,3050,3263,3205,2964,3331,3189,3108,2666,2847,3249,2749,3107,3172,2865,3137,3131,2710,2482,3299,3297,3292,3214
3002,3250,2889,3223,2884,3062,3090,2636,2896,2524,2879,3237,2796,3033,2847,2741,3028,2152,2663,2431,3291,3250,3238,3085,3403,3574,3477,3488,2759,3469,3527,3297,3424,3336,3414,3568,3478,3407,3203,3459,3445,3341,2964,2815,3560,3472,3500,3171,2995,3283,3051,3265,3202,2970,3330,3189,3112,2669,2848,3250,2747,3114,3170,2867,3135,3131,2710,2482,3299,3297,3292,3214
2991,3258,2888,3227,2881,3068,3085,2640,2882,2524,2879,3237,2796,3033,2847,2741,3028,2146,2665,2430,3288,3256,3242,3086,3403,3582,3481,3488,2757,3468,3533,3296,3421,3336,3414,3568,3478,3407,3203,3459,3445,3335,2965,2820,3554,3455,3504,3179,2994,3288,3056,3267,3192,2965,3327,3191,3106,2669,2848,3250,2747,3114,3170,2867,3135,3130,2699,2490,3296,3304,3291,3216
2992,3258,2888,3227,2881,3068,3085,2640,2882,2521,2887,3237,2790,3028,2847,2740,3034,2149,2666,2417,3290,3250,3245,3071,3408,3582,3481,3488,2757,3468,3533,3296,3421,3335,3418,3582,3475,3407,3206,3459,3442,3335,2966,2820,3553,3465,3507,3177,2993,3288,3056,3267,3192,2965,3327,3191,3106,2670,2844,3236,2751,3116,3165,2868,3135,3132,2704,2490,3300,3305,3289,3212
2992,3248,2886,3234,2892,3061,3079,2643,2894,2524,2882,3222,2797,3032,2844,2739,3027,2152,2672,2428,3289,3250,3245,3071,3408,3574,3482,3486,2760,3471,3534,3291,3424,3335,3412,3584,3476,3410,3206,3464,3424,3343,2965,2822,3554,3465,3507,3177,2993,3278,3052,3264,3199,2970,3333,3181,3112,2663,2851,3247,2751,3112,3169,2866,3131,3131,2707,2483,3297,3305,3289,3212
2998,3252,2886,3219,2893,3075,3088,2635,2900,2520,2882,3244,2793,3032,2844,2739,3027,2152,2672,2428,3289,3269,3247,3083,3404,3571,3485,3492,2752,3477,3536,3290,3420,3333,3418,3581,3477,3410,3206,3464,3424,3343,2965,2822,3554,3472,3507,3176,2995,3288,3043,3265,3200,2970,3329,3190,3111,2667,2850,3250,2749,3112,3169,2866,3131,3131,2707,2483,3297,3298,3278,3216
2994,3243,2886,3227,2894,3075,3088,2635,2900,2520,2882,3244,2793,3036,2847,2736,3021,2151,2667,2435,3288,3265,3253,3080,3406,3576,3480,3488,2748,3477,3536,3290,3420,3333,3418,3581,3477,3403,3200,3455,3444,3339,2963,2820,3562,3461,3506,3173,2993,3280,3050,3268,3205,2970,3329,3190,3111,2667,2850,3250,2749,3112,3168,2866,3138,3133,2709,2485,3297,3301,3288,3213
