ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3446,3632,3517,3568,3024,3495,3585,3352,3476,3400,3469,3645,3554,3482,3326,3564,3513,3424,3019,2906,3634,3593,3594,3362
3447,3633,3517,3568,3024,3495,3585,3352,3476,3400,3469,3643,3558,3482,3322,3564,3514,3421,3017,2906,3636,3590,3592,3362
3447,3633,3517,3578,3034,3493,3585,3355,3473,3401,3469,3642,3556,3474,3308,3561,3515,3415,3020,2905,3634,3584,3592,3362
3445,3619,3516,3572,3055,3498,3591,3364,3477,3409,3468,3642,3549,3475,3304,3561,3515,3415,3020,2905,3634,3584,3592,3361
3445,3636,3522,3581,3086,3501,3600,3364,3477,3409,3468,3642,3549,3475,3304,3565,3514,3419,3015,2903,3634,3592,3602,3355
3445,3636,3522,3581,3086,3501,3600,3350,3478,3410,3462,3637,3549,3477,3292,3563,3512,3403,3024,2910,3636,3599,3594,3357
3422,3637,3519,3576,3097,3497,3588,3350,3472,3403,3461,3649,3555,3470,3294,3566,3501,3395,3018,2910,3636,3599,3594,3357
3445,3634,3522,3576,3105,3491,3588,3337,3472,3403,3466,3649,3555,3470,3294,3566,3501,3395,3018,2907,3641,3594,3602,3363
3444,3640,3514,3576,3105,3491,3588,3337,3472,3403,3466,3644,3556,3480,3301,3567,3513,3411,3015,2909,3638,3598,3599,3371
3444,3640,3514,3574,3096,3483,3588,3338,3472,3390,3469,3636,3557,3481,3313,3568,3518,3401,3019,2914,3642,3598,3601,3371
3441,3634,3507,3566,3076,3483,3583,3339,3473,3398,3477,3643,3560,3484,3325,3568,3518,3401,3019,2914,3642,3598,3601,3371
3443,3635,3503,3564,3064,3477,3581,3339,3473,3398,3477,3643,3560,3484,3325,3570,3520,3412,3020,2913,3637,3593,3602,3376
3443,3635,3503,3564,3064,3477,3581,3344,3463,3392,3472,3643,3558,3488,3333,3565,3513,3410,3017,2912,3640,3566,3599,3373
3440,3630,3509,3564,3049,3488,3580,3344,3474,3397,3472,3644,3559,3488,3335,3569,3517,3420,3020,2912,3640,3566,3599,3373
3441,3631,3503,3557,3037,3484,3578,3347,3467,3393,3476,3644,3559,3488,3335,3569,3517,3420,3020,2912,3635,3583,3604,3373
3442,3626,3513,3557,3037,3484,3578,3347,3467,3393,3476,3646,3557,3480,3331,3564,3518,3419,3022,2908,3635,3591,3596,3369
3442,3626,3513,3562,3033,3488,3587,3344,3467,3400,3471,3643,3559,3485,3325,3572,3522,3418,3016,2911,3636,3578,3600,3369
3445,3622,3504,3560,3032,3486,3583,3342,3467,3387,3473,3644,3564,3482,3324,3572,3522,3418,3016,2911,3636,3578,3600,3368
3443,3635,3510,3558,3038,3488,3582,3342,3467,3387,3473,3644,3564,3482,3324,3562,3523,3415,3023,2914,3634,3592,3604,3366
3443,3635,3510,3558,3038,3488,3582,3335,3475,3405,3472,3643,3559,3477,3322,3568,3516,3413,3016,2907,3636,3595,3600,3364
3437,3627,3510,3566,3044,3486,3577,3345,3468,3405,3474,3637,3556,3484,3317,3569,3519,3409,3023,2907,3636,3595,3600,3364
3437,3638,3509,3565,3049,3491,3576,3341,3471,3403,3471,3637,3556,3484,3317,3569,3519,3409,3023,2911,3644,3594,3598,3368
3436,3629,3509,3565,3049,3491,3576,3341,3471,3403,3471,3644,3565,3478,3320,3572,3518,3416,3003,2906,3633,3589,3603,3332
3436,3629,3509,3565,3048,3489,3588,3345,3476,3400,3473,3646,3562,3482,3315,3569,3514,3404,3017,2909,3637,3591,3599,3332
3440,3637,3509,3554,3033,3487,3577,3349,3473,3405,3476,3645,3570,3487,3315,3569,3514,3404,3017,2909,3637,3591,3599,3351
3435,3627,3503,3557,3024,3485,3586,3349,3473,3405,3476,3645,3570,3487,3315,3575,3514,3412,3024,2911,3634,3580,3598,3359
3435,3627,3503,3557,3024,3485,3586,3350,3479,3399,3478,3644,3570,3490,3321,3573,3516,3408,3024,2910,3638,3585,3593,3347
3442,3630,3500,3558,3023,3482,3586,3356,3477,3397,3473,3627,3570,3489,3317,3580,3511,3415,3022,2910,3638,3585,3593,3347
3437,3628,3503,3561,3017,3494,3587,3362,3477,3391,3477,3627,3570,3489,3317,3580,3511,3415,3022,2913,3633,3588,3596,3356
3435,3626,3511,3561,3017,3494,3587,3362,3477,3391,3477,3647,3568,3485,3318,3565,3515,3418,3020,2907,3638,3581,3598,3350
3435,3626,3511,3558,3024,3492,3589,3360,3472,3403,3476,3646,3565,3478,3303,3571,3509,3417,3023,2907,3636,3581,3601,3350
3443,3629,3512,3562,3033,3490,3588,3360,3480,3412,3478,3644,3565,3486,3300,3571,3509,3417,3023,2907,3636,3581,3601,3350
3439,3629,3502,3560,3038,3492,3584,3360,3480,3412,3478,3644,3565,3486,3300,3560,3516,3420,3023,2910,3643,3580,3596,3346
3439,3629,3502,3560,3038,3492,3584,3355,3478,3409,3483,3647,3565,3486,3305,3572,3517,3417,3017,2913,3634,3587,3597,3348
3438,3614,3506,3559,3044,3480,3588,3362,3472,3406,3480,3637,3568,3485,3293,3573,3516,3415,3021,2913,3634,3587,3597,3348
3434,3630,3502,3561,3042,3484,3580,3361,3463,3406,3484,3637,3568,3485,3293,3573,3516,3415,3021,2910,3634,3588,3595,3348
3431,3629,3505,3561,3042,3484,3580,3361,3463,3406,3484,3643,3573,3488,3308,3574,3515,3413,3024,2914,3634,3583,3604,3348
3431,3629,3505,3558,3033,3480,3581,3349,3476,3405,3482,3648,3567,3491,3307,3575,3523,3422,3004,2912,3641,3583,3597,3348
3436,3629,3506,3565,3029,3485,3586,3352,3474,3402,3480,3634,3571,3493,3312,3575,3523,3422,3004,2912,3641,3583,3597,3341
3439,3636,3503,3555,3038,3482,3578,3352,3474,3402,3480,3634,3571,3493,3312,3576,3522,3381,3019,2913,3635,3577,3594,3358
3439,3636,3503,3555,3038,3482,3578,3348,3474,3400,3482,3644,3568,3488,3309,3573,3517,3412,3021,2913,3636,3595,3598,3352
3438,3632,3507,3560,3043,3484,3583,3345,3469,3398,3484,3647,3566,3488,3311,3571,3504,3416,3019,2913,3636,3595,3598,3352
3441,3633,3500,3559,3041,3490,3581,3340,3470,3394,3473,3647,3566,3488,3311,3571,3504,3416,3019,2913,3642,3587,3586,3364
3440,3624,3504,3559,3041,3490,3581,3340,3470,3394,3473,3642,3571,3490,3312,3569,3517,3404,3023,2914,3636,3580,3598,3354
3440,3624,3504,3553,3047,3487,3581,3344,3474,3400,3478,3647,3569,3477,3308,3568,3492,3405,3019,2916,3634,3584,3602,3354
3438,3633,3508,3562,3056,3484,3584,3343,3472,3398,3480,3655,3563,3480,3308,3568,3492,3405,3019,2916,3634,3584,3602,3363
3434,3625,3496,3561,3064,3484,3583,3343,3472,3398,3480,3655,3563,3480,3308,3570,3518,3408,3015,2908,3648,3590,3602,3366
3434,3625,3496,3561,3064,3484,3583,3348,3473,3402,3480,3648,3560,3485,3313,3566,3515,3408,3016,2909,3636,3581,3602,3366
3435,3627,3501,3563,3071,3479,3577,3339,3470,3397,3484,3648,3570,3489,3318,3572,3516,3415,3020,2909,3636,3581,3602,3366
3434,3619,3500,3560,3074,3478,3576,3330,3467,3397,3483,3648,3570,3489,3318,3572,3516,3415,3020,2910,3641,3588,3608,3377
3429,3632,3495,3560,3074,3478,3576,3330,3467,3397,3483,3646,3570,3486,3318,3578,3514,3410,3019,2895,3643,3594,3602,3369
3429,3632,3495,3558,3080,3475,3572,3326,3469,3400,3481,3642,3567,3485,3318,3575,3518,3403,3021,2914,3635,3593,3612,3369
3432,3617,3497,3562,3090,3478,3581,3313,3464,3398,3481,3650,3571,3489,3318,3575,3518,3403,3021,2914,3635,3593,3612,3381
3431,3625,3502,3568,3106,3478,3578,3313,3464,3398,3481,3650,3571,3489,3318,3575,3517,3403,3015,2915,3642,3598,3611,3389
3431,3625,3502,3568,3106,3478,3578,3311,3464,3398,3482,3651,3568,3489,3311,3583,3517,3378,3017,2916,3644,3595,3605,3377
3430,3633,3498,3558,3113,3474,3580,3308,3461,3388,3481,3642,3573,3491,3314,3575,3515,3386,3011,2916,3644,3595,3605,3377
3424,3630,3497,3560,3120,3473,3577,3305,3463,3395,3476,3642,3573,3491,3314,3575,3515,3386,3011,2917,3638,3590,3583,3391
3427,3632,3486,3560,3120,3473,3577,3305,3463,3395,3476,3654,3572,3490,3323,3579,3520,3392,3017,2918,3642,3596,3604,3386
3427,3632,3486,3561,3118,3468,3578,3314,3465,3397,3481,3642,3571,3490,3318,3583,3517,3386,3024,2919,3636,3593,3605,3386
3429,3624,3492,3553,3121,3475,3578,3307,3468,3386,3479,3653,3569,3486,3319,3583,3517,3386,3024,2919,3636,3593,3605,3391
3422,3616,3486,3559,3115,3474,3576,3307,3468,3386,3479,3653,3569,3486,3319,3567,3522,3388,3018,2912,3637,3594,3606,3395
3422,3616,3486,3559,3115,3474,3576,3304,3469,3401,3479,3650,3576,3495,3319,3583,3516,3389,3017,2917,3644,3596,3612,3398
