ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3502,3681,3508,3605,3234,3460,3619,3460,3472,3314,3589,3709,3624,3538,3396,3602,3546,3469,3017,2862,3700,3668,3682,3486
3502,3681,3508,3601,3218,3455,3620,3466,3473,3316,3585,3708,3624,3542,3392,3600,3551,3474,3005,2863,3701,3665,3658,3486
3499,3684,3502,3601,3208,3457,3618,3462,3469,3317,3588,3705,3623,3539,3392,3600,3551,3474,3005,2863,3701,3665,3658,3487
3502,3681,3508,3602,3213,3449,3618,3462,3469,3317,3588,3705,3623,3539,3392,3596,3550,3461,3011,2861,3700,3664,3678,3488
3502,3681,3508,3602,3213,3449,3618,3461,3469,3313,3586,3712,3631,3546,3396,3598,3546,3465,3016,2866,3701,3667,3679,3481
3501,3688,3510,3610,3219,3452,3624,3460,3470,3317,3587,3709,3625,3543,3391,3598,3542,3470,3013,2866,3701,3667,3679,3481
3501,3688,3508,3604,3217,3459,3616,3463,3473,3312,3586,3709,3625,3543,3391,3598,3542,3470,3013,2863,3700,3660,3680,3487
3501,3682,3510,3604,3217,3459,3616,3463,3473,3312,3586,3713,3626,3545,3383,3594,3547,3472,3018,2864,3709,3662,3680,3482
3501,3682,3510,3599,3225,3457,3616,3465,3476,3310,3583,3705,3626,3542,3394,3598,3546,3468,3021,2866,3699,3669,3682,3482
3504,3688,3500,3598,3235,3453,3617,3462,3466,3307,3584,3712,3626,3540,3385,3598,3546,3468,3021,2866,3699,3669,3682,3488
3496,3676,3495,3602,3233,3451,3616,3462,3466,3307,3584,3712,3626,3540,3385,3595,3547,3478,3012,2868,3700,3660,3677,3491
3496,3676,3495,3602,3233,3451,3616,3454,3460,3314,3580,3714,3626,3539,3381,3604,3543,3472,3020,2866,3702,3669,3679,3490
3495,3685,3490,3596,3240,3455,3619,3461,3467,3309,3586,3713,3626,3542,3383,3602,3550,3471,3020,2866,3702,3669,3679,3490
3496,3680,3498,3601,3244,3449,3609,3463,3470,3321,3585,3713,3626,3542,3383,3602,3550,3471,3020,2869,3702,3666,3683,3490
3499,3667,3496,3601,3244,3449,3609,3463,3470,3321,3585,3710,3629,3531,3382,3602,3546,3476,3016,2861,3700,3666,3686,3485
3499,3667,3496,3601,3247,3441,3612,3462,3465,3316,3584,3700,3626,3539,3379,3605,3546,3468,3024,2868,3700,3671,3683,3485
3488,3681,3488,3600,3244,3440,3618,3458,3470,3309,3586,3708,3633,3548,3388,3605,3546,3468,3024,2868,3700,3671,3683,3485
3488,3680,3489,3595,3248,3440,3606,3458,3470,3309,3586,3708,3633,3548,3388,3606,3553,3474,3007,2869,3703,3665,3680,3487
3488,3680,3489,3595,3248,3440,3606,3458,3468,3305,3591,3716,3630,3545,3387,3608,3545,3467,3021,2869,3700,3662,3678,3480
3489,3682,3488,3593,3243,3433,3612,3464,3470,3312,3587,3702,3632,3549,3381,3594,3552,3468,3022,2869,3700,3662,3678,3480
3491,3679,3490,3600,3246,3438,3612,3461,3472,3318,3588,3702,3632,3549,3381,3594,3552,3468,3022,2870,3702,3654,3681,3487
3493,3684,3494,3600,3246,3438,3612,3461,3472,3318,3588,3712,3632,3539,3382,3605,3550,3478,3021,2874,3703,3661,3684,3488
3493,3684,3494,3598,3217,3443,3614,3464,3470,3314,3590,3718,3632,3544,3375,3601,3547,3470,3017,2869,3701,3667,3681,3488
3494,3683,3489,3597,3254,3450,3612,3462,3458,3309,3591,3704,3631,3543,3380,3601,3547,3470,3017,2869,3701,3667,3681,3490
3492,3686,3491,3590,3250,3444,3612,3462,3458,3309,3591,3704,3631,3543,3380,3593,3548,3471,3021,2868,3702,3662,3679,3486
3492,3686,3491,3590,3250,3444,3612,3466,3469,3309,3588,3716,3630,3522,3380,3597,3549,3477,3021,2865,3704,3663,3680,3487
3498,3682,3495,3593,3249,3444,3614,3458,3470,3314,3587,3713,3634,3537,3370,3602,3544,3477,3021,2865,3704,3663,3680,3487
3500,3677,3488,3603,3245,3444,3619,3460,3473,3317,3596,3713,3634,3537,3370,3602,3544,3477,3021,2866,3703,3665,3683,3484
3502,3664,3488,3603,3245,3444,3619,3460,3473,3317,3596,3714,3618,3543,3380,3592,3553,3474,3027,2866,3688,3661,3680,3486
3502,3664,3488,3602,3245,3448,3615,3470,3474,3316,3592,3712,3628,3545,3372,3602,3551,3478,3017,2857,3693,3665,3681,3486
3495,3672,3494,3599,3246,3453,3612,3458,3472,3318,3590,3711,3628,3537,3376,3602,3551,3478,3017,2857,3693,3665,3681,3486
3491,3681,3490,3600,3248,3449,3613,3458,3472,3318,3590,3711,3628,3537,3376,3603,3546,3472,3018,2867,3706,3666,3682,3482
3491,3681,3490,3600,3248,3449,3613,3462,3470,3319,3593,3713,3631,3543,3377,3604,3545,3474,3025,2868,3698,3662,3679,3482
3487,3678,3492,3600,3248,3449,3614,3458,3472,3323,3589,3716,3626,3545,3376,3596,3552,3478,3008,2868,3698,3662,3679,3482
3501,3682,3493,3603,3241,3443,3612,3469,3472,3318,3595,3716,3626,3545,3376,3596,3552,3478,3008,2865,3701,3665,3680,3486
3492,3681,3491,3603,3241,3443,3612,3469,3472,3318,3595,3697,3630,3543,3378,3597,3551,3471,3022,2865,3694,3658,3675,3480
3492,3681,3491,3597,3247,3447,3605,3472,3475,3321,3592,3708,3634,3547,3380,3595,3549,3479,3021,2870,3701,3664,3682,3480
3500,3682,3491,3596,3248,3435,3613,3468,3475,3314,3584,3715,3636,3546,3374,3595,3549,3479,3021,2870,3701,3664,3682,3479
3495,3679,3489,3595,3246,3438,3610,3468,3475,3314,3584,3715,3636,3546,3374,3600,3534,3481,3025,2870,3698,3664,3678,3472
3495,3679,3489,3595,3246,3438,3610,3463,3472,3313,3594,3714,3637,3544,3376,3595,3549,3481,3020,2870,3700,3653,3676,3470
3493,3685,3484,3584,3248,3432,3610,3465,3472,3314,3595,3712,3635,3545,3377,3596,3553,3481,3025,2870,3700,3653,3676,3470
3497,3682,3485,3595,3246,3435,3607,3466,3475,3307,3592,3712,3635,3545,3377,3596,3553,3481,3025,2861,3697,3662,3668,3475
3492,3674,3489,3595,3246,3435,3607,3466,3475,3307,3592,3718,3629,3542,3372,3599,3548,3482,3023,2865,3704,3666,3676,3474
3492,3674,3489,3594,3250,3435,3613,3462,3472,3316,3590,3718,3626,3546,3375,3593,3548,3489,3002,2869,3699,3653,3679,3474
3488,3676,3488,3594,3249,3440,3615,3461,3472,3311,3595,3716,3632,3546,3373,3593,3548,3489,3002,2869,3699,3653,3679,3474
3492,3671,3487,3596,3253,3439,3610,3461,3472,3311,3595,3716,3632,3546,3373,3598,3549,3479,3023,2868,3701,3660,3680,3472
