ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3115,3360,3056,3348,3039,3197,3228,2762,3045,2714,3024,3331,2994,3160,2920,2942,3144,2275,2746,2564,3396,3379,3354,3213,3502,3681,3556,3641,3413,3558,3630,3058,3443,3425,3540,3691,3577,3517,3412,3569,3503,3213,2977,2886,3689,3664,3650,3518,3131,3379,3182,3367,3303,3109,3423,3290,3207,2840,3001,3351,2909,3208,3260,3011,3227,3228,2780,2597,3384,3385,3382,3296
3115,3360,3056,3346,3041,3196,3224,2762,3036,2729,3025,3355,2992,3165,2993,2939,3159,2277,2748,2559,3398,3379,3369,3213,3502,3681,3556,3638,3412,3552,3629,3044,3436,3428,3535,3685,3575,3514,3422,3568,3506,3210,2982,2885,3696,3661,3658,3518,3131,3379,3182,3360,3286,3110,3416,3285,3210,2838,3002,3351,2905,3209,3259,3007,3226,3224,2780,2595,3387,3395,3386,3296
3120,3356,3054,3337,3042,3198,3220,2766,3037,2705,3028,3337,2996,3157,2992,2939,3159,2277,2748,2559,3398,3379,3369,3206,3502,3682,3557,3635,3413,3559,3625,3021,3440,3429,3536,3686,3581,3515,3412,3568,3506,3210,2982,2885,3696,3661,3658,3511,3124,3372,3180,3361,3300,3109,3410,3277,3206,2834,3002,3350,2911,3204,3258,3007,3226,3224,2780,2595,3387,3395,3386,3306
3123,3351,3065,3343,3035,3192,3221,2766,3037,2705,3028,3337,2996,3157,2992,2931,3154,2292,2751,2564,3400,3386,3370,3213,3504,3681,3555,3639,3417,3552,3628,3021,3440,3429,3536,3686,3581,3515,3412,3571,3508,3210,2981,2885,3693,3656,3666,3515,3123,3374,3186,3356,3299,3113,3422,3277,3206,2834,3002,3350,2911,3204,3258,3013,3233,3221,2778,2600,3389,3395,3386,3302
3123,3351,3065,3343,3035,3192,3221,2757,3045,2726,3023,3353,2995,3160,2995,2942,3157,2284,2750,2557,3401,3376,3368,3191,3504,3681,3555,3639,3417,3552,3628,3016,3435,3430,3542,3688,3576,3512,3418,3573,3505,3214,2979,2880,3689,3664,3666,3522,3123,3374,3186,3356,3299,3113,3422,3284,3211,2832,3002,3348,2901,3210,3256,3016,3229,3220,2779,2600,3387,3393,3378,3301
3124,3356,3057,3346,3041,3190,3231,2766,3038,2730,3026,3357,2989,3160,2992,2940,3156,2284,2752,2557,3401,3376,3368,3191,3502,3680,3565,3634,3415,3558,3623,3000,3438,3426,3538,3684,3580,3515,3408,3568,3506,3216,2979,2880,3689,3664,3666,3522,3128,3376,3183,3358,3297,3106,3419,3289,3212,2832,3001,3343,2910,3208,3263,3016,3232,3220,2783,2600,3387,3393,3378,3301
3123,3348,3052,3349,3031,3193,3227,2762,3034,2712,3026,3357,2989,3160,2992,2940,3156,2284,2752,2560,3394,3383,3367,3204,3500,3677,3556,3635,3414,3553,3627,3002,3424,3423,3536,3684,3580,3515,3408,3568,3506,3216,2979,2884,3684,3656,3660,3522,3130,3372,3176,3360,3297,3106,3426,3288,3202,2833,2996,3343,2910,3208,3263,3016,3232,3220,2783,2600,3386,3392,3381,3305
3127,3360,3058,3349,3031,3193,3227,2762,3034,2712,3026,3355,2984,3158,2991,2922,3158,2289,2750,2558,3398,3367,3367,3211,3509,3684,3559,3635,3414,3553,3627,3002,3424,3423,3536,3685,3578,3515,3399,3566,3506,3213,2980,2884,3686,3669,3664,3521,3132,3373,3178,3360,3297,3106,3426,3288,3202,2833,2996,3343,2908,3212,3258,3014,3232,3226,2775,2597,3385,3394,3381,3305
3127,3360,3058,3346,3040,3197,3224,2767,3033,2726,3024,3350,2993,3161,2987,2941,3157,2294,2749,2556,3396,3378,3368,3211,3509,3684,3559,3635,3415,3553,3629,2994,3438,3426,3536,3689,3576,3502,3416,3570,3501,3215,2976,2873,3693,3672,3667,3521,3132,3373,3178,3359,3301,3111,3423,3284,3210,2834,3007,3344,2911,3209,3262,3013,3227,3216,2777,2598,3388,3395,3385,3305
3123,3366,3054,3345,3023,3190,3211,2744,3034,2728,3016,3355,2990,3165,2983,2941,3157,2294,2749,2556,3396,3378,3368,3203,3502,3674,3554,3636,3424,3560,3624,3001,3434,3432,3533,3684,3575,3511,3418,3570,3501,3215,2976,2873,3693,3672,3667,3511,3131,3374,3179,3354,3301,3108,3420,3280,3210,2841,3007,3348,2909,3210,3257,3013,3227,3216,2777,2598,3388,3395,3385,3304
