ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3469,3664,3510,3583,3202,3505,3547,2946,3454,3411,3543,3683,3608,3528,3413,3606,3529,3361,3022,2925,3677,3643,3658,3472
3476,3659,3519,3571,3207,3511,3544,2946,3454,3411,3543,3683,3608,3528,3413,3604,3535,3353,3023,2922,3682,3640,3661,3477
3476,3659,3519,3571,3207,3511,3544,2948,3440,3411,3542,3689,3613,3529,3406,3604,3540,3358,3021,2925,3677,3636,3660,3481
3464,3661,3517,3578,3204,3506,3540,2948,3441,3426,3540,3696,3613,3521,3399,3609,3538,3356,3018,2925,3677,3636,3660,3481
3472,3664,3519,3587,3199,3511,3540,2946,3437,3407,3543,3696,3613,3521,3399,3609,3538,3356,3018,2922,3677,3643,3656,3479
3482,3660,3512,3587,3199,3511,3540,2946,3437,3407,3543,3693,3610,3528,3397,3602,3537,3363,3000,2923,3682,3640,3656,3479
3482,3660,3512,3584,3199,3505,3544,2945,3436,3411,3548,3686,3612,3531,3409,3617,3537,3357,3022,2923,3683,3648,3657,3479
3474,3645,3517,3584,3197,3494,3540,2934,3433,3423,3549,3680,3608,3534,3400,3617,3537,3357,3022,2923,3683,3648,3657,3479
3472,3663,3505,3589,3195,3507,3546,2934,3433,3423,3549,3680,3608,3534,3400,3613,3541,3342,3019,2922,3679,3648,3663,3485
3472,3663,3505,3589,3195,3507,3546,2925,3438,3415,3546,3692,3616,3525,3410,3613,3540,3345,3027,2926,3680,3642,3662,3476
3466,3670,3514,3583,3202,3498,3532,2881,3438,3414,3542,3692,3614,3534,3407,3612,3538,3346,3023,2926,3680,3642,3662,3476
3470,3657,3516,3583,3199,3497,3539,2921,3438,3418,3547,3692,3614,3534,3407,3612,3538,3346,3023,2927,3679,3640,3656,3468
3469,3664,3514,3583,3199,3497,3539,2921,3438,3418,3547,3685,3610,3534,3402,3613,3542,3350,3020,2922,3680,3643,3657,3472
3469,3664,3514,3579,3200,3496,3533,2926,3438,3412,3549,3685,3616,3531,3401,3615,3539,3338,3019,2924,3680,3650,3662,3472
3468,3662,3512,3581,3201,3497,3539,2929,3436,3408,3548,3690,3615,3531,3404,3615,3539,3338,3019,2924,3680,3650,3662,3472
3469,3661,3503,3583,3198,3494,3541,2929,3436,3408,3548,3690,3615,3531,3404,3611,3537,3349,3025,2925,3686,3636,3662,3479
3469,3661,3503,3583,3198,3494,3541,2931,3432,3410,3551,3688,3614,3530,3406,3612,3534,3341,3024,2926,3688,3637,3652,3472
3468,3659,3510,3583,3200,3498,3538,2931,3436,3419,3555,3697,3614,3530,3406,3608,3540,3344,3022,2926,3688,3637,3652,3472
3467,3652,3505,3582,3194,3499,3537,2935,3438,3408,3551,3697,3614,3530,3406,3608,3540,3344,3022,2925,3683,3630,3661,3479
3467,3660,3513,3582,3194,3499,3537,2935,3438,3408,3551,3696,3615,3528,3400,3612,3539,3347,3019,2921,3682,3642,3654,3480
3467,3660,3513,3586,3194,3494,3539,2936,3442,3413,3550,3692,3618,3530,3396,3615,3540,3345,3023,2925,3675,3646,3660,3480
3469,3654,3510,3580,3204,3490,3544,2936,3433,3413,3550,3688,3622,3533,3391,3615,3540,3345,3023,2925,3675,3646,3660,3480
3463,3644,3504,3582,3202,3492,3538,2936,3433,3413,3550,3688,3622,3533,3391,3616,3544,3345,3019,2927,3681,3640,3660,3479
3463,3644,3504,3582,3202,3492,3538,2937,3442,3410,3550,3686,3614,3532,3399,3618,3544,3334,3013,2925,3674,3643,3658,3470
3466,3658,3503,3582,3198,3490,3542,2944,3438,3413,3548,3697,3620,3525,3404,3620,3537,3339,3022,2925,3674,3643,3658,3470
3472,3660,3503,3583,3198,3485,3522,2949,3431,3410,3550,3697,3620,3525,3404,3620,3537,3339,3022,2926,3685,3645,3659,3477
3464,3661,3505,3583,3198,3485,3522,2949,3431,3410,3550,3689,3605,3532,3405,3616,3538,3342,3020,2921,3679,3639,3658,3477
3464,3661,3505,3576,3198,3478,3533,2952,3435,3402,3552,3683,3621,3533,3406,3617,3531,3337,3020,2920,3688,3639,3658,3477
3465,3667,3502,3583,3190,3478,3529,2960,3436,3406,3551,3682,3622,3539,3406,3617,3531,3337,3020,2920,3688,3639,3658,3477
3467,3658,3502,3582,3192,3479,3535,2960,3436,3406,3551,3682,3622,3539,3406,3608,3538,3351,3001,2925,3678,3641,3663,3482
