ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3499,3670,3544,3635,3474,3521,3690,3559,3533,3402,3567,3682,3596,3419,3272,3571,3534,3523,3036,2884,3661,3622,3539,3264
3493,3666,3551,3634,3471,3520,3689,3548,3532,3412,3569,3688,3597,3419,3272,3571,3534,3523,3036,2884,3661,3603,3540,3269
3496,3667,3548,3634,3473,3520,3689,3548,3532,3412,3569,3688,3597,3418,3264,3579,3519,3516,3036,2871,3656,3621,3544,3274
3496,3667,3548,3634,3473,3518,3690,3549,3524,3411,3566,3687,3598,3417,3264,3576,3539,3517,3030,2880,3657,3616,3545,3277
3499,3670,3543,3641,3477,3514,3695,3552,3532,3416,3567,3681,3593,3414,3270,3575,3532,3517,3030,2880,3657,3616,3545,3277
3494,3669,3541,3638,3475,3520,3693,3523,3532,3416,3567,3681,3593,3414,3270,3575,3532,3524,3028,2880,3657,3614,3540,3283
3494,3669,3541,3638,3475,3520,3693,3523,3532,3412,3570,3683,3598,3408,3263,3581,3538,3508,3035,2886,3662,3624,3550,3288
3494,3666,3548,3642,3470,3518,3689,3545,3532,3414,3564,3678,3597,3414,3257,3581,3532,3518,3031,2886,3664,3624,3550,3288
3496,3669,3544,3639,3472,3516,3683,3555,3531,3418,3558,3683,3592,3414,3257,3581,3532,3518,3031,2886,3664,3618,3550,3294
3492,3662,3541,3637,3477,3516,3683,3555,3531,3418,3558,3683,3592,3412,3254,3579,3530,3519,3032,2881,3659,3619,3543,3302
3492,3662,3541,3637,3477,3508,3687,3550,3534,3415,3558,3680,3593,3412,3250,3576,3531,3527,3034,2885,3659,3625,3557,3300
3490,3673,3540,3635,3474,3512,3688,3552,3535,3419,3556,3679,3591,3414,3249,3577,3534,3527,3034,2885,3659,3625,3557,3300
3488,3672,3543,3634,3476,3516,3686,3552,3533,3419,3556,3679,3591,3414,3249,3577,3534,3515,3038,2888,3660,3621,3552,3314
3488,3672,3543,3634,3476,3516,3686,3552,3533,3409,3558,3685,3591,3409,3250,3570,3542,3515,3030,2885,3667,3620,3564,3319
3488,3670,3538,3636,3481,3511,3692,3560,3532,3413,3561,3676,3590,3412,3248,3573,3529,3518,3033,2884,3669,3620,3564,3319
3487,3667,3539,3638,3482,3515,3692,3559,3528,3411,3560,3683,3587,3412,3248,3573,3529,3518,3033,2884,3669,3627,3560,3333
3493,3657,3537,3638,3491,3515,3692,3559,3528,3411,3560,3683,3587,3406,3245,3570,3531,3517,3030,2886,3662,3619,3559,3342
3493,3657,3537,3638,3491,3512,3689,3550,3530,3421,3557,3681,3592,3405,3245,3567,3531,3517,3029,2884,3668,3621,3564,3346
3489,3667,3543,3639,3487,3514,3689,3550,3537,3414,3564,3682,3587,3398,3234,3574,3534,3517,3029,2884,3668,3621,3564,3346
3491,3669,3536,3644,3487,3511,3690,3553,3528,3414,3564,3682,3587,3398,3234,3574,3534,3516,3034,2883,3656,3629,3562,3348
3492,3669,3536,3644,3487,3511,3690,3553,3528,3419,3560,3682,3582,3398,3248,3569,3529,3515,3021,2878,3664,3622,3559,3348
3492,3672,3536,3642,3488,3511,3688,3555,3534,3416,3564,3675,3583,3391,3240,3573,3529,3522,3033,2877,3662,3622,3559,3348
3492,3665,3539,3638,3484,3515,3686,3550,3536,3413,3561,3684,3584,3391,3240,3573,3529,3522,3033,2877,3662,3628,3559,3354
3484,3668,3538,3641,3486,3515,3686,3550,3536,3413,3561,3684,3584,3382,3249,3570,3529,3512,3025,2884,3665,3629,3560,3343
3484,3668,3538,3641,3486,3511,3688,3559,3534,3413,3561,3677,3586,3402,3246,3574,3529,3515,3022,2879,3661,3632,3561,3342
3491,3663,3536,3640,3485,3515,3691,3553,3532,3412,3569,3681,3578,3400,3249,3571,3532,3515,3022,2879,3661,3632,3561,3342
3488,3672,3537,3640,3489,3504,3687,3555,3534,3412,3569,3681,3578,3400,3249,3571,3532,3518,3030,2882,3664,3622,3566,3350
3488,3672,3537,3640,3489,3504,3687,3555,3534,3416,3561,3683,3583,3405,3249,3564,3535,3518,3028,2883,3662,3618,3555,3351
3488,3669,3536,3632,3479,3519,3682,3553,3534,3396,3564,3679,3584,3408,3243,3578,3532,3516,3035,2884,3662,3618,3555,3351
3490,3671,3535,3633,3473,3510,3685,3556,3531,3410,3554,3686,3586,3408,3243,3578,3532,3516,3035,2884,3662,3628,3562,3354
3491,3672,3536,3640,3485,3510,3685,3556,3531,3410,3554,3686,3586,3408,3249,3569,3527,3512,3032,2882,3661,3634,3565,3345
3491,3672,3536,3640,3485,3512,3688,3555,3528,3408,3560,3676,3585,3409,3232,3570,3530,3517,3033,2885,3664,3626,3555,3340
3492,3669,3540,3634,3476,3511,3691,3560,3529,3403,3561,3680,3589,3405,3245,3577,3530,3517,3033,2885,3664,3626,3555,3340
3489,3674,3540,3632,3480,3511,3690,3554,3531,3403,3561,3680,3589,3405,3245,3577,3530,3518,3030,2882,3666,3624,3561,3350
3488,3674,3540,3632,3480,3511,3690,3554,3531,3411,3563,3684,3592,3405,3246,3576,3533,3517,3035,2881,3667,3631,3560,3346
3488,3667,3536,3635,3481,3510,3685,3552,3532,3410,3566,3688,3590,3412,3248,3579,3530,3521,3024,2884,3663,3631,3560,3346
3491,3676,3531,3628,3474,3509,3693,3556,3529,3414,3573,3680,3590,3412,3248,3579,3530,3521,3024,2884,3663,3620,3556,3342
3488,3652,3532,3634,3478,3509,3693,3556,3529,3414,3573,3680,3590,3411,3245,3583,3536,3521,3031,2888,3663,3626,3554,3345
3488,3652,3532,3634,3478,3514,3690,3536,3530,3412,3569,3671,3589,3414,3243,3583,3530,3514,3031,2883,3658,3630,3557,3342
3485,3670,3521,3636,3473,3508,3690,3554,3534,3412,3562,3678,3592,3406,3247,3575,3534,3514,3031,2883,3658,3630,3557,3342
