ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3545,3666,3653,3687,3535,3656,3730,3548,3565,3546,3238,3499,3004,3201,3353,3132,3373,3438,2983,2846,3622,3638,3534,3474
3540,3669,3651,3685,3528,3657,3735,3548,3560,3556,3236,3493,3009,3199,3355,3132,3373,3438,2983,2846,3622,3638,3534,3478
3544,3671,3652,3682,3534,3655,3737,3548,3560,3556,3236,3493,3009,3199,3355,3138,3363,3443,2985,2847,3625,3635,3539,3475
3544,3671,3652,3682,3534,3655,3737,3550,3571,3542,3235,3500,3015,3202,3356,3144,3371,3436,2985,2848,3627,3643,3545,3483
3544,3657,3649,3695,3519,3659,3729,3543,3569,3543,3236,3509,3010,3203,3352,3140,3366,3441,2981,2848,3627,3643,3545,3483
3541,3666,3659,3684,3529,3661,3731,3548,3571,3554,3234,3509,3010,3203,3352,3140,3366,3441,2981,2846,3620,3642,3542,3484
3537,3667,3658,3684,3529,3661,3731,3548,3571,3554,3234,3500,3008,3198,3353,3146,3369,3442,2982,2852,3624,3633,3545,3484
3537,3667,3658,3696,3530,3658,3724,3550,3566,3549,3228,3496,3000,3191,3348,3136,3366,3438,2983,2848,3621,3637,3546,3484
3545,3668,3660,3686,3528,3659,3731,3544,3569,3553,3216,3494,2980,3178,3346,3136,3366,3438,2983,2848,3621,3637,3546,3485
3536,3664,3653,3686,3525,3665,3737,3544,3569,3553,3216,3494,2980,3178,3346,3130,3365,3445,2988,2841,3621,3645,3541,3478
3536,3664,3653,3686,3525,3665,3737,3534,3571,3555,3220,3484,2974,3189,3340,3132,3363,3440,2977,2851,3618,3640,3544,3476
3546,3667,3651,3688,3528,3664,3735,3551,3572,3560,3205,3485,2964,3169,3344,3120,3365,3429,2981,2851,3618,3640,3544,3476
3534,3667,3651,3685,3531,3670,3732,3544,3572,3553,3207,3485,2964,3169,3344,3120,3365,3429,2981,2842,3623,3637,3538,3476
3539,3669,3653,3685,3531,3670,3732,3544,3572,3553,3207,3478,2952,3165,3343,3107,3354,3440,2985,2850,3622,3638,3530,3467
3539,3669,3653,3687,3527,3649,3733,3549,3570,3548,3208,3479,2953,3166,3344,3106,3362,3436,2979,2853,3616,3626,3530,3467
3543,3669,3651,3685,3533,3662,3723,3551,3568,3553,3213,3482,2965,3170,3345,3106,3362,3436,2979,2853,3616,3626,3530,3472
3534,3672,3656,3685,3525,3656,3732,3551,3568,3553,3213,3482,2965,3170,3345,3122,3366,3441,2987,2851,3620,3634,3542,3475
3534,3672,3656,3685,3525,3656,3732,3551,3569,3546,3216,3489,2980,3180,3355,3134,3363,3443,2984,2851,3620,3643,3539,3474
3539,3672,3654,3680,3534,3660,3731,3544,3569,3552,3222,3486,2978,3185,3344,3137,3369,3440,2982,2851,3620,3643,3539,3474
3542,3657,3652,3688,3519,3664,3736,3534,3565,3549,3170,3486,2978,3185,3344,3137,3369,3440,2982,2849,3628,3632,3537,3475
3542,3667,3655,3688,3519,3664,3736,3534,3565,3549,3170,3492,2972,3177,3349,3117,3360,3440,2980,2847,3621,3633,3539,3480
3542,3667,3655,3688,3525,3670,3730,3545,3571,3551,3214,3490,2956,3162,3335,3106,3355,3435,2980,2840,3615,3646,3536,3480
3540,3668,3655,3688,3533,3662,3724,3547,3571,3546,3215,3487,2943,3150,3336,3106,3355,3435,2980,2840,3615,3646,3536,3480
3540,3676,3656,3688,3528,3669,3732,3547,3571,3546,3215,3487,2943,3150,3336,3086,3344,3431,2979,2839,3618,3631,3531,3479
3540,3676,3656,3688,3528,3669,3732,3542,3565,3553,3215,3486,2939,3156,3336,3076,3344,3431,2976,2832,3619,3642,3534,3482
3540,3670,3649,3686,3528,3658,3736,3533,3570,3553,3218,3488,2936,3149,3336,3071,3337,3426,2972,2832,3619,3642,3534,3482
3547,3677,3658,3688,3528,3666,3733,3543,3566,3552,3216,3488,2936,3149,3336,3071,3337,3426,2972,2836,3620,3641,3536,3470
3546,3666,3654,3688,3528,3666,3733,3543,3566,3552,3216,3490,2934,3153,3330,3068,3336,3432,2968,2832,3623,3642,3529,3475
3546,3666,3654,3688,3532,3667,3731,3546,3569,3552,3226,3492,2940,3152,3328,3073,3337,3426,2977,2832,3626,3638,3543,3475
3544,3674,3654,3686,3528,3651,3734,3539,3569,3552,3228,3485,2946,3159,3331,3073,3337,3426,2977,2832,3626,3638,3543,3484
3546,3672,3654,3685,3523,3660,3729,3539,3569,3552,3228,3485,2946,3159,3331,3074,3334,3420,2971,2838,3626,3638,3537,3482
