ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3517,3681,3543,3628,3346,3519,3606,3329,3457,3358,3567,3707,3600,3533,3461,3578,3527,3401,3002,2868,3700,3668,3681,3528
3523,3686,3542,3628,3346,3519,3606,3329,3457,3358,3567,3702,3595,3534,3460,3571,3532,3404,3005,2868,3704,3673,3680,3526
3523,3686,3542,3629,3348,3516,3604,3326,3460,3366,3573,3706,3600,3528,3463,3580,3527,3394,3008,2874,3698,3673,3675,3526
3508,3687,3550,3615,3354,3514,3610,3323,3457,3358,3566,3705,3602,3536,3464,3580,3527,3394,3008,2874,3698,3673,3675,3532
3513,3692,3540,3622,3358,3506,3600,3323,3457,3358,3566,3705,3602,3536,3464,3583,3526,3404,3011,2875,3700,3669,3679,3525
3513,3692,3540,3622,3358,3506,3600,3322,3460,3362,3568,3702,3600,3517,3464,3582,3536,3411,3009,2864,3693,3673,3680,3527
3515,3689,3539,3628,3352,3493,3600,3322,3452,3361,3567,3705,3597,3528,3467,3586,3531,3397,2988,2864,3693,3673,3680,3527
3517,3688,3536,3629,3352,3506,3606,3323,3458,3361,3569,3705,3597,3528,3467,3586,3531,3397,2988,2875,3695,3675,3677,3526
3504,3684,3545,3629,3352,3506,3606,3323,3458,3361,3569,3702,3594,3532,3466,3586,3539,3408,3013,2850,3700,3672,3682,3524
3504,3684,3545,3624,3355,3506,3594,3320,3457,3360,3573,3706,3604,3528,3464,3584,3533,3402,3006,2872,3698,3670,3677,3524
3518,3686,3547,3624,3349,3510,3604,3320,3454,3365,3570,3668,3600,3528,3455,3584,3533,3402,3006,2872,3698,3670,3677,3516
3508,3686,3545,3625,3347,3511,3608,3320,3454,3365,3570,3668,3600,3528,3455,3581,3537,3395,3006,2873,3706,3664,3674,3528
3508,3686,3545,3625,3347,3511,3608,3310,3461,3374,3569,3693,3601,3530,3460,3581,3533,3404,3006,2872,3695,3667,3681,3530
3517,3686,3546,3624,3346,3516,3610,3316,3454,3374,3559,3706,3604,3526,3459,3577,3514,3396,3003,2872,3695,3667,3681,3530
3519,3690,3537,3618,3348,3514,3604,3315,3462,3361,3567,3706,3604,3526,3459,3577,3514,3396,3003,2873,3695,3676,3677,3518
3522,3694,3548,3618,3348,3514,3604,3315,3462,3361,3567,3696,3597,3530,3456,3581,3529,3398,3008,2872,3704,3672,3681,3530
3522,3694,3548,3619,3347,3520,3606,3281,3459,3358,3566,3706,3600,3526,3452,3581,3528,3402,3006,2870,3698,3664,3682,3530
