ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3100,3339,3023,3313,3002,3157,3204,2741,3013,2679,2991,3330,2956,3138,2963,2898,3131,2281,2737,2536,3378,3355,3343,3187,3458,3643,3531,3564,2773,3541,3599,3408,3507,3434,3511,3669,3560,3498,3389,3537,3514,3452,3010,2861,3628,3608,3627,3408,3114,3362,3164,3348,3289,3091,3409,3274,3195,2801,2984,3330,2886,3200,3248,2993,3215,3211,2766,2583,3378,3386,3375,3289
3099,3339,3025,3313,3017,3157,3204,2741,3013,2679,2991,3330,2956,3136,2969,2892,3144,2282,2736,2535,3377,3349,3348,3176,3461,3644,3529,3558,2766,3541,3599,3408,3507,3434,3511,3669,3560,3502,3389,3521,3516,3447,3011,2864,3650,3580,3632,3400,3114,3364,3163,3347,3286,3091,3409,3274,3195,2801,2984,3330,2886,3198,3243,2982,3216,3205,2770,2582,3381,3380,3369,3293
3099,3339,3025,3313,3017,3176,3203,2714,3006,2688,2991,3327,2955,3128,2961,2898,3137,2282,2737,2539,3368,3357,3345,3191,3461,3644,3529,3558,2766,3538,3600,3410,3502,3434,3516,3668,3555,3492,3392,3523,3516,3451,3007,2860,3654,3611,3626,3405,3114,3364,3163,3347,3286,3088,3407,3266,3194,2809,2984,3337,2887,3196,3243,2994,3216,3215,2770,2582,3378,3386,3372,3297
3100,3337,3026,3326,3004,3175,3204,2740,3009,2629,2983,3330,2948,3139,2959,2894,3130,2282,2737,2539,3368,3357,3345,3191,3463,3647,3537,3569,2754,3542,3594,3409,3503,3433,3517,3672,3553,3497,3394,3529,3516,3451,3007,2860,3654,3611,3626,3405,3107,3366,3128,3348,3285,3088,3388,3268,3194,2811,2981,3340,2887,3191,3247,2991,3213,3215,2770,2582,3378,3386,3372,3297
3097,3333,3011,3319,3011,3172,3197,2733,3004,2629,2983,3330,2948,3139,2959,2894,3130,2283,2731,2540,3373,3353,3339,3173,3460,3648,3536,3570,2750,3544,3596,3412,3505,3433,3517,3672,3553,3497,3394,3529,3516,3444,3012,2866,3652,3610,3628,3387,3114,3365,3166,3353,3289,3090,3400,3272,3193,2811,2981,3340,2887,3191,3247,2991,3213,3212,2772,2583,3379,3386,3368,3291
3095,3333,3011,3319,3011,3172,3197,2733,3004,2685,2996,3327,2954,3137,2970,2889,3126,2284,2737,2538,3376,3352,3351,3189,3460,3648,3536,3570,2750,3544,3596,3412,3505,3435,3511,3667,3563,3492,3396,3532,3514,3449,3013,2864,3653,3602,3626,3396,3110,3365,3166,3353,3289,3090,3400,3272,3193,2811,2987,3338,2889,3195,3245,2993,3208,3213,2766,2584,3381,3383,3363,3282
3095,3337,3025,3323,3011,3173,3202,2667,3007,2674,2988,3328,2954,3131,2974,2898,3137,2279,2737,2545,3373,3352,3351,3189,3460,3645,3537,3565,2737,3538,3586,3421,3507,3432,3514,3668,3556,3502,3393,3528,3507,3460,3009,2862,3656,3602,3626,3396,3110,3348,3165,3352,3283,3086,3408,3270,3196,2809,2982,3332,2892,3201,3248,2990,3218,3214,2770,2581,3379,3383,3363,3282
3099,3338,3029,3328,3004,3160,3203,2735,3011,2692,2980,3323,2956,3131,2974,2898,3137,2279,2737,2545,3373,3358,3345,3186,3458,3640,3532,3562,2736,3538,3596,3420,3505,3437,3515,3666,3558,3502,3393,3528,3507,3460,3009,2862,3656,3608,3616,3395,3112,3366,3158,3347,3281,3086,3408,3274,3187,2805,2985,3338,2888,3201,3248,2990,3218,3214,2770,2581,3379,3376,3368,3297
3103,3334,3026,3313,3013,3160,3203,2735,3011,2692,2980,3323,2956,3139,2968,2900,3126,2291,2737,2537,3372,3344,3334,3189,3459,3644,3530,3563,2725,3538,3596,3420,3505,3437,3515,3666,3558,3500,3397,3530,3518,3460,3014,2864,3656,3602,3621,3391,3110,3365,3163,3353,3267,3086,3408,3274,3187,2805,2985,3338,2888,3198,3247,2997,3218,3210,2770,2579,3381,3384,3363,3295
3103,3334,3026,3313,3013,3182,3204,2738,2991,2690,2988,3330,2953,3141,2958,2903,3130,2278,2738,2541,3376,3346,3339,3185,3459,3644,3530,3563,2725,3539,3604,3423,3504,3434,3508,3664,3556,3497,3387,3525,3516,3455,3011,2863,3652,3591,3622,3382,3110,3365,3163,3353,3267,3090,3410,3264,3194,2806,2982,3335,2885,3199,3245,2995,3217,3213,2765,2582,3380,3385,3372,3295
3096,3336,3024,3324,3015,3166,3205,2736,3012,2691,2989,3324,2960,3135,2972,2897,3122,2278,2738,2541,3376,3346,3339,3185,3470,3647,3529,3562,2720,3537,3601,3426,3507,3429,3518,3670,3554,3498,3391,3525,3519,3455,3011,2863,3652,3591,3622,3382,3111,3364,3163,3348,3279,3086,3403,3266,3192,2809,2977,3336,2887,3199,3244,2994,3215,3213,2765,2582,3380,3385,3372,3295
3101,3333,3023,3307,3007,3170,3202,2731,3013,2691,2989,3324,2960,3135,2972,2897,3122,2279,2739,2529,3377,3357,3341,3183,3466,3645,3531,3560,2719,3539,3604,3431,3506,3429,3518,3670,3554,3498,3391,3525,3519,3457,3011,2865,3652,3592,3631,3384,3108,3367,3166,3347,3289,3089,3408,3275,3198,2809,2977,3336,2887,3199,3244,2994,3215,3212,2769,2581,3379,3381,3374,3291
3089,3333,3023,3307,3007,3170,3202,2731,3013,2683,2978,3324,2958,3137,2969,2901,3129,2282,2736,2539,3376,3357,3334,3190,3467,3645,3531,3560,2719,3539,3604,3431,3506,3436,3512,3656,3561,3502,3386,3530,3520,3459,3010,2862,3661,3601,3621,3385,3111,3367,3166,3347,3289,3089,3408,3275,3198,2809,2989,3340,2891,3190,3247,2990,3218,3214,2772,2576,3380,3374,3376,3290
3089,3331,3021,3324,3013,3157,3199,2710,3014,2665,2985,3324,2952,3141,2958,2894,3132,2278,2735,2527,3377,3357,3334,3190,3467,3637,3532,3555,2716,3538,3607,3432,3503,3429,3514,3671,3559,3506,3385,3530,3516,3455,3009,2865,3659,3601,3621,3385,3111,3367,3162,3348,3288,3086,3399,3275,3194,2812,2983,3338,2883,3196,3247,2993,3213,3208,2771,2576,3382,3374,3376,3290
3093,3343,3027,3324,3018,3163,3192,2736,3014,2692,2992,3323,2954,3141,2958,2894,3132,2278,2735,2527,3377,3341,3342,3178,3461,3644,3529,3557,2711,3538,3608,3424,3500,3425,3515,3668,3561,3506,3385,3530,3516,3455,3009,2865,3659,3596,3629,3383,3106,3366,3163,3350,3276,3078,3405,3272,3196,2808,2984,3340,2892,3196,3247,2993,3213,3208,2771,2576,3382,3388,3362,3290
3099,3340,3019,3320,2998,3163,3192,2736,3014,2692,2992,3323,2954,3138,2970,2902,3136,2277,2740,2535,3371,3358,3331,3182,3460,3644,3531,3555,2700,3538,3608,3424,3500,3425,3515,3668,3561,3489,3386,3530,3520,3461,3012,2866,3654,3592,3623,3378,3107,3363,3162,3351,3278,3078,3405,3272,3196,2808,2984,3340,2892,3199,3246,2994,3218,3213,2763,2581,3376,3385,3370,3291
3099,3340,3019,3320,2998,3160,3201,2742,3013,2698,2993,3325,2960,3135,2974,2900,3136,2273,2739,2538,3374,3354,3338,3187,3460,3644,3531,3555,2700,3545,3605,3433,3509,3426,3521,3666,3564,3496,3391,3534,3518,3462,3009,2864,3655,3600,3623,3373,3107,3363,3162,3351,3278,3084,3408,3270,3196,2805,2984,3341,2891,3192,3247,2997,3211,3207,2772,2583,3378,3382,3353,3294
3092,3344,3028,3325,3014,3167,3199,2671,3000,2692,2984,3327,2953,3136,2976,2903,3124,2273,2739,2538,3374,3354,3338,3187,3466,3643,3529,3563,2696,3540,3604,3442,3507,3424,3515,3661,3560,3498,3386,3527,3520,3462,3009,2864,3655,3600,3623,3373,3112,3357,3166,3344,3285,3090,3403,3273,3194,2805,2982,3338,2886,3198,3246,2995,3218,3207,2772,2583,3378,3382,3353,3294
3096,3336,3027,3323,2993,3179,3198,2743,3013,2692,2984,3327,2953,3136,2976,2903,3124,2276,2739,2525,3374,3359,3339,3184,3467,3636,3536,3560,2703,3541,3609,3443,3514,3424,3515,3661,3560,3498,3386,3527,3520,3461,3011,2861,3652,3579,3626,3374,3106,3369,3167,3351,3285,3091,3407,3269,3194,2805,2982,3338,2886,3198,3246,2995,3218,3212,2769,2583,3378,3379,3369,3297
3096,3336,3027,3323,2993,3179,3198,2743,3013,2695,2991,3327,2955,3135,2969,2899,3142,2269,2735,2539,3375,3359,3338,3177,3455,3636,3536,3560,2703,3541,3609,3443,3514,3430,3522,3668,3562,3493,3390,3530,3515,3462,3011,2853,3648,3592,3619,3373,3110,3369,3167,3351,3285,3091,3407,3269,3194,2809,2980,3343,2889,3200,3245,2995,3208,3211,2771,2586,3378,3386,3367,3293
3096,3329,3024,3325,3015,3153,3194,2734,2992,2692,2981,3321,2946,3139,2956,2898,3134,2287,2730,2527,3377,3359,3338,3177,3455,3644,3534,3560,2710,3539,3613,3450,3507,3438,3513,3657,3560,3496,3388,3531,3516,3452,3011,2864,3649,3592,3619,3373,3110,3362,3166,3347,3288,3088,3398,3270,3194,2801,2986,3333,2883,3200,3248,2954,3210,3210,2766,2576,3380,3386,3367,3293
3085,3339,3025,3327,3012,3164,3196,2735,3013,2689,2991,3328,2948,3139,2956,2898,3134,2287,2730,2527,3377,3357,3344,3182,3459,3645,3533,3564,2720,3540,3616,3446,3511,3434,3518,3662,3563,3496,3388,3531,3516,3452,3011,2864,3649,3592,3620,3368,3107,3352,3165,3348,3286,3088,3407,3270,3197,2808,2986,3339,2889,3200,3248,2954,3210,3210,2766,2576,3380,3380,3360,3294
3094,3334,3027,3314,3013,3164,3196,2735,3013,2689,2991,3328,2948,3133,2966,2895,3133,2154,2731,2539,3376,3354,3343,3177,3462,3634,3534,3562,2719,3540,3616,3446,3511,3434,3518,3662,3563,3503,3391,3535,3516,3460,3017,2863,3653,3591,3624,3364,3112,3360,3166,3354,3274,3088,3407,3270,3197,2808,2986,3339,2889,3194,3241,2997,3217,3213,2770,2581,3374,3386,3371,3289
3094,3334,3027,3314,3013,3165,3200,2735,3011,2680,2988,3327,2950,3138,2969,2899,3138,2279,2734,2532,3374,3346,3342,3178,3462,3634,3534,3562,2719,3547,3606,3449,3508,3430,3517,3668,3557,3498,3385,3530,3516,3464,3010,2860,3654,3590,3623,3363,3112,3360,3166,3354,3274,3089,3405,3262,3192,2808,2979,3336,2888,3195,3247,2994,3215,3210,2771,2584,3379,3384,3373,3290
3093,3330,3031,3325,3010,3172,3201,2733,2976,2689,2989,3307,2948,3137,2947,2898,3137,2279,2734,2532,3374,3346,3342,3178,3462,3651,3534,3562,2722,3546,3610,3457,3508,3430,3511,3668,3560,3498,3382,3527,3517,3464,3010,2860,3654,3590,3623,3363,3109,3362,3167,3349,3287,3093,3399,3272,3196,2810,2985,3338,2888,3199,3240,2998,3213,3210,2771,2584,3379,3384,3373,3290
3095,3338,3027,3325,3016,3169,3204,2735,3010,2689,2989,3307,2948,3137,2947,2898,3137,2269,2730,2537,3374,3351,3342,3190,3463,3647,3534,3557,2726,3544,3619,3457,3509,3430,3511,3668,3560,3498,3382,3527,3517,3451,3013,2861,3646,3593,3616,3355,3112,3362,3166,3343,3279,3090,3412,3269,3189,2810,2985,3338,2888,3199,3240,2998,3213,3208,2766,2582,3375,3381,3369,3295
3104,3338,3027,3325,3016,3169,3204,2735,3010,2688,2989,3326,2956,3138,2974,2898,3139,2276,2729,2536,3381,3359,3344,3187,3465,3647,3534,3557,2726,3544,3619,3457,3509,3432,3515,3660,3560,3499,3386,3529,3518,3456,3011,2864,3648,3582,3619,3360,3114,3362,3166,3343,3279,3090,3412,3269,3189,2812,2982,3339,2889,3187,3246,2998,3192,3210,2771,2583,3380,3384,3372,3296
3104,3332,3017,3321,3014,3177,3188,2731,3010,2666,2988,3330,2952,3126,2904,2889,3135,2286,2738,2527,3376,3359,3344,3187,3465,3645,3531,3557,2729,3537,3617,3457,3507,3427,3518,3664,3565,3503,3385,3533,3502,3463,3012,2865,3648,3582,3619,3360,3114,3368,3166,3349,3284,3086,3404,3272,3197,2807,2986,3338,2889,3193,3245,2991,3217,3214,2768,2578,3382,3384,3372,3296
3099,3331,3032,3325,3014,3171,3192,2735,3009,2693,2989,3330,2951,3126,2904,2889,3135,2286,2738,2527,3376,3358,3347,3186,3465,3649,3528,3558,2722,3540,3618,3457,3511,3429,3512,3661,3561,3503,3385,3533,3502,3463,3012,2865,3648,3587,3613,3355,3107,3367,3166,3349,3287,3090,3408,3268,3194,2808,2984,3325,2892,3193,3245,2991,3217,3214,2768,2578,3382,3376,3370,3297
3087,3323,3018,3322,3001,3171,3192,2735,3009,2693,2989,3330,2951,3133,2969,2897,3133,2292,2725,2535,3375,3353,3348,3184,3461,3641,3533,3561,2729,3540,3618,3457,3511,3429,3512,3661,3561,3496,3385,3534,3510,3470,3016,2866,3650,3576,3614,3344,3109,3353,3165,3347,3275,3090,3408,3268,3194,2808,2984,3325,2892,3199,3249,2997,3218,3208,2772,2585,3380,3385,3372,3286
3087,3323,3018,3322,3001,3160,3189,2741,3005,2668,2987,3327,2964,3136,2963,2895,3140,2276,2737,2532,3367,3365,3338,3183,3461,3641,3533,3561,2729,3543,3625,3460,3512,3417,3517,3664,3561,3502,3386,3527,3518,3469,3010,2856,3650,3588,3606,3348,3109,3353,3165,3347,3275,3084,3398,3263,3196,2812,2978,3338,2838,3199,3246,2992,3215,3210,2770,2582,3374,3384,3365,3291
3105,3325,3020,3323,3014,3168,3202,2735,3006,2693,2987,3330,2944,3131,2969,2901,3133,2276,2737,2532,3367,3365,3338,3183,3462,3635,3533,3555,2730,3544,3626,3453,3507,3430,3519,3667,3565,3495,3371,3529,3504,3469,3010,2856,3650,3588,3606,3348,3112,3363,3163,3347,3288,3085,3405,3273,3198,2810,2982,3334,2891,3197,3243,2992,3214,3210,2770,2582,3374,3384,3365,3291
3097,3339,3024,3318,3016,3168,3199,2739,3008,2693,2987,3330,2944,3131,2969,2901,3133,2288,2731,2534,3375,3355,3346,3188,3467,3640,3536,3560,2743,3545,3629,3458,3516,3430,3519,3667,3565,3495,3371,3529,3504,3466,3015,2867,3653,3583,3613,3350,3106,3357,3167,3352,3283,3084,3409,3272,3189,2810,2982,3334,2891,3197,3243,2992,3214,3213,2771,2580,3382,3381,3370,3296
3100,3339,3024,3318,3016,3168,3199,2739,3008,2696,2989,3325,2955,3133,2965,2895,3135,2276,2737,2527,3374,3358,3342,3178,3465,3640,3536,3560,2743,3545,3629,3458,3516,3438,3519,3667,3561,3494,3372,3520,3519,3473,3010,2865,3642,3583,3614,3346,3112,3357,3167,3352,3283,3084,3409,3272,3189,2809,2984,3334,2890,3198,3250,2992,3215,3214,2768,2582,3381,3387,3369,3287
3100,3336,3022,3318,3004,3173,3205,2718,3003,2690,2987,3330,2958,3138,2962,2896,3131,2287,2738,2538,3368,3358,3342,3178,3465,3642,3540,3559,2754,3546,3626,3471,3509,3434,3515,3663,3560,3488,3373,3523,3518,3470,3010,2861,3644,3583,3614,3346,3112,3368,3164,3349,3286,3085,3409,3270,3194,2810,2982,3343,2889,3199,3247,2997,3216,3214,2765,2579,3377,3387,3369,3287
3100,3338,3024,3321,3014,3173,3204,2737,3012,2689,2988,3325,2955,3138,2962,2896,3131,2287,2738,2538,3368,3345,3342,3188,3461,3648,3538,3560,2772,3540,3628,3462,3512,3433,3516,3668,3560,3488,3373,3523,3518,3470,3010,2861,3644,3575,3612,3334,3114,3361,3167,3350,3269,3088,3409,3270,3192,2811,2979,3336,2887,3199,3247,2997,3216,3214,2765,2579,3377,3386,3372,3293
3102,3341,3018,3323,3012,3173,3204,2737,3012,2689,2988,3325,2955,3126,2967,2897,3136,2285,2729,2539,3373,3354,3340,3191,3461,3637,3536,3563,2781,3540,3628,3462,3512,3433,3516,3668,3560,3487,3374,3528,3518,3462,3006,2861,3646,3577,3612,3331,3108,3357,3167,3344,3287,3088,3409,3270,3192,2811,2979,3336,2887,3202,3239,2992,3218,3214,2770,2583,3374,3386,3375,3292
3102,3341,3018,3323,3012,3163,3204,2739,3017,2678,2988,3333,2956,3138,2971,2892,3137,2277,2736,2540,3333,3350,3350,3181,3461,3637,3536,3563,2781,3547,3631,3469,3515,3438,3512,3658,3561,3489,3373,3527,3517,3468,3009,2864,3641,3580,3613,3322,3108,3357,3167,3344,3287,3081,3405,3268,3195,2776,2986,3335,2887,3189,3242,2999,3218,3207,2771,2585,3374,3387,3368,3285
3091,3334,3019,3323,3014,3174,3203,2736,3008,2693,2987,3327,2955,3125,2969,2897,3137,2277,2736,2540,3333,3350,3350,3181,3463,3640,3539,3563,2799,3548,3632,3475,3517,3439,3513,3659,3557,3496,3373,3525,3508,3468,3009,2864,3641,3580,3613,3322,3106,3362,3165,3353,3288,3088,3402,3273,3197,2811,2985,3338,2887,3199,3243,2994,3216,3207,2771,2585,3374,3387,3368,3285
3102,3336,3028,3316,3009,3179,3192,2736,3001,2693,2987,3327,2955,3125,2969,2897,3137,2277,2738,2529,3365,3348,3343,3184,3456,3634,3537,3563,2806,3529,3627,3476,3515,3439,3513,3659,3557,3496,3373,3525,3508,3469,3012,2861,3640,3573,3597,3320,3114,3367,3165,3354,3286,3086,3411,3274,3188,2811,2985,3338,2887,3199,3243,2994,3216,3212,2771,2584,3381,3378,3371,3288
3103,3336,3028,3316,3009,3179,3192,2736,3001,2686,2986,3318,2946,3139,2971,2893,3137,2256,2731,2520,3373,3350,3336,3190,3463,3634,3537,3563,2806,3529,3627,3476,3515,3437,3510,3662,3563,3493,3369,3527,3516,3475,3015,2864,3641,3577,3606,3319,3113,3367,3165,3354,3286,3086,3411,3274,3188,2810,2982,3340,2891,3195,3248,2994,3212,3214,2768,2583,3381,3386,3366,3295
3103,3336,3019,3318,3010,3174,3208,2740,2991,2687,2986,3327,2953,3140,2977,2890,3127,2282,2733,2539,3379,3350,3336,3190,3463,3637,3542,3557,2803,3541,3634,3477,3516,3437,3514,3655,3561,3490,3372,3523,3522,3471,3014,2866,3635,3577,3606,3319,3113,3365,3166,3349,3289,3085,3409,3270,3190,2809,2985,3335,2888,3198,3236,2990,3216,3213,2768,2583,3380,3386,3366,3295
3101,3330,3032,3317,3016,3175,3205,2738,3016,2689,2987,3325,2956,3140,2977,2890,3127,2282,2733,2539,3379,3345,3338,3189,3465,3640,3535,3556,2794,3541,3626,3478,3514,3433,3518,3669,3558,3490,3372,3523,3522,3471,3014,2866,3635,3565,3604,3318,3115,3368,3165,3353,3285,3091,3406,3266,3195,2806,2988,3335,2889,3198,3236,2990,3216,3213,2768,2583,3380,3382,3368,3289
