ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3433,3623,3485,3553,3259,3493,3632,3460,3509,3413,3563,3671,3619,3495,3113,3589,3514,3440,3022,2888,3628,3579,3576,3255
3424,3618,3495,3570,3259,3493,3632,3460,3509,3413,3563,3671,3619,3494,3110,3596,3511,3438,3019,2892,3629,3572,3572,3258
3424,3618,3495,3570,3259,3492,3634,3460,3505,3422,3568,3672,3616,3484,3111,3592,3515,3411,3016,2887,3635,3572,3572,3253
3429,3626,3485,3574,3258,3483,3634,3461,3501,3413,3563,3672,3619,3487,3115,3591,3516,3411,3016,2887,3635,3572,3572,3253
3432,3626,3494,3574,3253,3496,3631,3458,3506,3413,3563,3672,3619,3487,3115,3591,3516,3445,3021,2887,3638,3579,3571,3247
3434,3626,3494,3574,3253,3496,3631,3458,3506,3417,3558,3677,3611,3494,3112,3589,3515,3434,3025,2891,3628,3575,3573,3249
3434,3619,3493,3574,3251,3494,3634,3453,3504,3418,3566,3670,3621,3493,3112,3589,3517,3412,3013,2888,3639,3575,3573,3249
3433,3628,3500,3576,3253,3502,3637,3462,3509,3417,3562,3658,3613,3493,3112,3589,3517,3412,3013,2888,3639,3575,3571,3245
3429,3626,3498,3569,3252,3502,3637,3462,3509,3417,3562,3658,3613,3490,3107,3591,3513,3424,3019,2889,3639,3565,3568,3245
3429,3626,3498,3569,3252,3495,3633,3458,3503,3419,3562,3668,3617,3492,3105,3588,3518,3434,3016,2894,3635,3568,3570,3238
3435,3627,3496,3573,3254,3497,3636,3459,3505,3416,3561,3678,3619,3490,3112,3590,3503,3434,3016,2894,3635,3568,3570,3238
3432,3624,3498,3575,3248,3503,3638,3464,3504,3416,3561,3678,3619,3490,3112,3590,3503,3445,3022,2890,3631,3570,3571,3237
3438,3624,3498,3575,3248,3503,3638,3464,3504,3420,3556,3672,3617,3490,3111,3584,3516,3432,3023,2893,3631,3559,3565,3234
3438,3624,3496,3578,3249,3496,3640,3466,3505,3410,3561,3671,3616,3489,3113,3584,3518,3447,3020,2864,3633,3559,3565,3234
3426,3627,3490,3568,3250,3499,3638,3463,3507,3414,3563,3672,3616,3489,3113,3584,3518,3447,3020,2864,3633,3561,3564,3240
3429,3617,3498,3577,3249,3499,3638,3463,3507,3414,3563,3672,3616,3488,3114,3586,3513,3444,3020,2887,3627,3574,3565,3239
3429,3617,3498,3577,3249,3497,3642,3465,3510,3424,3558,3670,3615,3491,3120,3583,3515,3445,3019,2890,3628,3557,3567,3238
3432,3623,3499,3579,3255,3498,3642,3467,3509,3421,3558,3669,3617,3496,3117,3591,3514,3445,3019,2890,3628,3557,3567,3238
3426,3613,3493,3574,3251,3500,3638,3450,3510,3421,3558,3669,3617,3496,3117,3591,3514,3438,3022,2898,3636,3569,3565,3241
3432,3613,3493,3574,3251,3500,3638,3450,3510,3429,3553,3668,3616,3480,3128,3590,3509,3443,3017,2892,3632,3574,3567,3241
3432,3618,3498,3575,3252,3504,3646,3464,3509,3432,3555,3668,3614,3486,3134,3586,3514,3442,3026,2890,3632,3574,3567,3241
3422,3630,3496,3577,3249,3501,3626,3466,3511,3428,3550,3669,3604,3486,3134,3586,3514,3442,3026,2890,3632,3572,3573,3241
3420,3623,3499,3576,3248,3501,3626,3466,3511,3428,3550,3669,3604,3489,3135,3586,3509,3450,3020,2891,3628,3566,3567,3246
3420,3623,3499,3576,3248,3500,3639,3462,3512,3430,3529,3660,3611,3486,3140,3586,3510,3455,3020,2891,3632,3573,3566,3252
3425,3627,3504,3573,3250,3499,3647,3467,3514,3424,3548,3664,3616,3494,3144,3589,3513,3455,3020,2891,3632,3573,3566,3252
3425,3623,3500,3578,3242,3503,3640,3466,3510,3424,3548,3664,3616,3494,3144,3589,3513,3447,3025,2894,3633,3569,3571,3243
3420,3623,3500,3578,3242,3503,3640,3466,3510,3428,3547,3674,3606,3493,3144,3581,3522,3449,3014,2895,3629,3569,3574,3252
3420,3621,3499,3577,3251,3498,3644,3464,3512,3432,3544,3667,3609,3491,3132,3587,3516,3436,3024,2892,3633,3569,3574,3252
3425,3624,3503,3578,3248,3504,3641,3463,3515,3439,3544,3677,3612,3491,3132,3587,3516,3436,3024,2892,3633,3570,3572,3256
3418,3623,3496,3562,3252,3504,3641,3463,3515,3439,3544,3677,3612,3496,3133,3592,3516,3440,3022,2891,3630,3556,3572,3256
