ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3469,3669,3529,3642,3490,3522,3694,3504,3529,3434,3534,3688,3595,3503,3250,3576,3518,3442,3008,2882,3689,3678,3660,3523
3464,3673,3526,3640,3490,3532,3689,3496,3528,3432,3532,3687,3594,3503,3250,3576,3518,3442,3008,2882,3689,3672,3666,3517
3465,3666,3529,3648,3492,3532,3689,3496,3528,3432,3532,3687,3594,3499,3249,3575,3517,3441,3021,2884,3695,3668,3672,3524
3465,3666,3529,3648,3492,3529,3688,3508,3534,3433,3536,3684,3587,3504,3252,3574,3515,3429,3018,2885,3685,3670,3659,3509
3470,3673,3533,3641,3489,3528,3696,3505,3527,3427,3538,3683,3585,3504,3253,3573,3511,3429,3018,2885,3685,3670,3659,3509
3466,3670,3530,3639,3493,3535,3689,3503,3532,3427,3538,3683,3585,3504,3253,3573,3511,3445,3021,2883,3688,3667,3674,3524
3474,3670,3530,3639,3493,3535,3689,3503,3532,3436,3536,3683,3586,3505,3249,3577,3500,3442,3024,2882,3694,3667,3654,3524
3474,3664,3534,3641,3490,3527,3693,3510,3534,3436,3532,3688,3593,3505,3252,3568,3507,3446,3021,2882,3693,3667,3654,3524
3472,3672,3532,3649,3496,3530,3692,3505,3530,3418,3532,3688,3591,3505,3252,3568,3507,3446,3021,2882,3693,3663,3665,3517
3474,3669,3527,3638,3496,3530,3692,3505,3530,3418,3532,3688,3591,3505,3249,3565,3513,3442,3021,2875,3693,3666,3659,3516
3474,3669,3527,3638,3496,3538,3694,3509,3528,3430,3534,3690,3583,3505,3257,3571,3512,3441,3017,2879,3698,3667,3664,3521
3471,3663,3538,3647,3496,3531,3687,3505,3532,3436,3528,3691,3583,3503,3218,3572,3509,3441,3017,2879,3698,3667,3664,3521
3466,3666,3534,3647,3486,3530,3690,3495,3524,3436,3528,3691,3583,3503,3218,3572,3509,3445,3021,2884,3689,3659,3669,3520
3470,3666,3534,3647,3486,3530,3690,3495,3524,3430,3534,3686,3591,3508,3260,3571,3511,3443,3015,2884,3690,3668,3667,3517
3470,3675,3535,3642,3487,3532,3688,3504,3528,3439,3532,3692,3583,3496,3264,3580,3511,3449,3013,2873,3691,3668,3667,3517
3474,3665,3533,3646,3488,3532,3685,3503,3528,3436,3532,3680,3592,3496,3264,3580,3511,3449,3013,2873,3691,3669,3664,3512
3472,3667,3536,3642,3487,3532,3685,3503,3528,3436,3532,3680,3592,3505,3266,3573,3510,3444,3021,2887,3693,3669,3670,3522
3472,3667,3536,3642,3487,3536,3691,3501,3533,3437,3533,3684,3577,3509,3277,3575,3514,3441,3013,2884,3694,3671,3670,3526
3466,3676,3533,3644,3494,3531,3686,3511,3528,3429,3530,3681,3587,3501,3272,3574,3507,3441,3013,2884,3694,3671,3670,3526
3468,3679,3529,3648,3492,3525,3684,3501,3528,3429,3530,3681,3587,3501,3272,3574,3507,3449,3021,2882,3696,3673,3665,3520
3469,3679,3529,3648,3492,3525,3684,3501,3528,3420,3532,3682,3579,3509,3277,3568,3515,3440,3021,2883,3690,3668,3667,3518
3469,3676,3529,3641,3487,3526,3686,3503,3529,3423,3533,3684,3587,3509,3274,3572,3509,3450,3024,2882,3690,3668,3667,3518
3470,3669,3530,3641,3486,3528,3679,3506,3526,3427,3531,3677,3588,3509,3274,3572,3509,3450,3024,2882,3690,3666,3668,3523
