ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3117,3342,3039,3340,3028,3184,3207,2748,3022,2717,3006,3343,2976,3147,2981,2912,3145,2288,2743,2548,3391,3370,3360,3198,3490,3669,3559,3653,3490,3560,3706,3537,3548,3473,3536,3680,3569,3486,3148,3533,3498,3435,3019,2887,3680,3646,3631,3446,3124,3375,3173,3358,3291,3094,3412,3284,3206,2823,2995,3345,2894,3207,3250,2996,3222,3213,2768,2594,3385,3390,3384,3303
3118,3345,3041,3336,3031,3185,3201,2755,3029,2711,3009,3343,2976,3147,2981,2912,3145,2288,2743,2550,3388,3357,3357,3183,3480,3677,3558,3655,3495,3555,3701,3532,3552,3478,3525,3680,3569,3486,3148,3533,3498,3435,3019,2888,3678,3650,3629,3451,3123,3371,3173,3361,3295,3100,3411,3283,3202,2824,2993,3345,2894,3207,3250,2996,3222,3213,2768,2593,3383,3383,3379,3304
3118,3341,3040,3336,3031,3185,3201,2755,3029,2711,3009,3346,2972,3141,2986,2924,3148,2300,2749,2543,3390,3368,3357,3198,3482,3668,3560,3655,3495,3555,3701,3532,3552,3478,3525,3679,3568,3479,3146,3537,3486,3434,3023,2885,3682,3652,3630,3447,3115,3377,3177,3361,3295,3100,3411,3283,3202,2824,2993,3348,2899,3207,3256,3007,3227,3220,2778,2591,3384,3389,3377,3294
3118,3341,3040,3337,3030,3176,3219,2754,3025,2710,3007,3347,2968,3152,2979,2917,3149,2293,2741,2549,3386,3367,3361,3198,3482,3668,3560,3653,3477,3556,3704,3538,3557,3482,3526,3677,3570,3482,3148,3535,3501,3436,3021,2882,3682,3653,3631,3447,3115,3377,3177,3344,3294,3101,3417,3282,3201,2819,2998,3347,2900,3206,3255,3008,3221,3219,2776,2591,3383,3391,3384,3294
3118,3350,3039,3339,3029,3182,3220,2754,3018,2693,3012,3337,2974,3138,2979,2917,3149,2293,2741,2549,3386,3367,3361,3201,3480,3668,3558,3647,3494,3562,3702,3534,3555,3466,3527,3681,3574,3466,3151,3535,3501,3436,3021,2882,3682,3653,3631,3448,3122,3372,3174,3361,3298,3100,3413,3281,3197,2825,2995,3344,2900,3208,3253,3008,3221,3219,2776,2591,3383,3391,3384,3303
3116,3290,3045,3335,3028,3185,3221,2754,3018,2693,3012,3337,2974,3138,2979,2925,3140,2297,2746,2550,3379,3375,3358,3200,3480,3671,3559,3654,3494,3560,3703,3534,3555,3466,3527,3681,3574,3466,3151,3536,3500,3446,3024,2879,3677,3652,3619,3448,3118,3377,3173,3354,3287,3100,3418,3281,3197,2825,2995,3344,2900,3208,3253,3006,3222,3218,2777,2592,3381,3388,3378,3304
3116,3290,3045,3335,3028,3185,3221,2729,3023,2712,3012,3344,2964,3154,2979,2921,3150,2298,2738,2558,3382,3370,3352,3202,3480,3671,3559,3654,3494,3560,3703,3537,3551,3477,3530,3684,3569,3476,3157,3537,3496,3450,3020,2885,3683,3654,3626,3449,3118,3377,3173,3354,3287,3100,3418,3281,3204,2826,2996,3346,2905,3200,3257,3004,3223,3221,2771,2593,3389,3389,3378,3303
3116,3351,3039,3326,3035,3188,3220,2754,3024,2705,3015,3330,2979,3157,2983,2920,3143,2303,2737,2558,3382,3370,3352,3202,3483,3669,3558,3651,3493,3560,3701,3531,3554,3471,3520,3680,3563,3476,3158,3534,3498,3444,3018,2885,3683,3654,3626,3449,3127,3376,3179,3353,3294,3098,3416,3285,3202,2813,3001,3338,2902,3205,3253,2964,3218,3212,2775,2593,3389,3389,3378,3303
3121,3355,3038,3340,3026,3185,3218,2753,3018,2709,3010,3330,2979,3157,2983,2920,3143,2303,2737,2535,3384,3360,3346,3198,3485,3660,3563,3647,3491,3560,3710,3528,3544,3479,3528,3680,3563,3476,3158,3534,3498,3444,3018,2883,3676,3648,3626,3447,3122,3368,3171,3361,3293,3097,3418,3273,3207,2822,2997,3338,2902,3205,3253,2964,3218,3212,2775,2592,3385,3383,3377,3305
3114,3347,3040,3340,3026,3185,3218,2753,3018,2709,3010,3340,2974,3151,2971,2918,3146,2291,2746,2556,3380,3372,3358,3200,3485,3664,3559,3647,3491,3560,3710,3528,3544,3479,3528,3676,3566,3478,3167,3543,3501,3443,3021,2881,3675,3658,3630,3452,3125,3377,3165,3361,3293,3097,3418,3273,3207,2822,2997,3348,2901,3204,3251,3009,3224,3220,2774,2587,3388,3394,3375,3304
3114,3347,3040,3334,3024,3184,3213,2757,3027,2705,3010,3328,2978,3138,2983,2911,3150,2281,2746,2548,3383,3368,3357,3200,3485,3664,3559,3652,3489,3560,3703,3530,3550,3482,3526,3668,3558,3475,3162,3537,3495,3449,3021,2879,3678,3656,3625,3452,3125,3377,3165,3357,3295,3097,3401,3272,3204,2827,2992,3341,2904,3203,3254,3009,3221,3219,2779,2592,3388,3394,3382,3304
3123,3356,3043,3325,3033,3187,3221,2762,3017,2706,3016,3346,2974,3151,2976,2911,3150,2281,2746,2548,3383,3368,3357,3200,3486,3674,3557,3658,3492,3556,3698,3533,3550,3486,3525,3678,3559,3479,3166,3537,3495,3449,3021,2879,3678,3656,3625,3447,3121,3374,3176,3359,3297,3093,3419,3275,3205,2822,3000,3349,2903,3208,3254,3009,3221,3219,2779,2592,3388,3394,3382,3300
3121,3353,2946,3334,3028,3187,3222,2762,3017,2706,3016,3346,2974,3151,2976,2917,3152,2303,2746,2552,3389,3364,3348,3198,3482,3672,3568,3657,3490,3569,3696,3533,3550,3486,3525,3678,3559,3479,3166,3535,3496,3441,3020,2886,3681,3654,3626,3447,3121,3371,3174,3358,3296,3098,3413,3275,3205,2822,3000,3349,2903,3208,3254,3007,3216,3222,2776,2592,3386,3395,3372,3299
3121,3353,2946,3334,3028,3187,3222,2758,3009,2712,3012,3343,2976,3148,2980,2918,3148,2297,2747,2551,3390,3364,3356,3199,3482,3672,3568,3657,3490,3569,3696,3522,3551,3480,3527,3677,3566,3476,3170,3533,3494,3444,3016,2880,3680,3659,3631,3450,3121,3371,3174,3358,3296,3098,3413,3282,3206,2821,2994,3344,2901,3206,3251,3003,3227,3218,2774,2595,3385,3385,3375,3304
