ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3456,3648,3469,3624,3541,3453,3677,3546,3513,3379,3539,3688,3539,3508,3513,3469,3516,3496,3012,2837,3685,3663,3672,3560
3455,3654,3472,3624,3543,3451,3677,3547,3512,3379,3539,3688,3539,3508,3513,3469,3516,3503,3009,2835,3686,3667,3678,3555
3451,3654,3472,3624,3543,3451,3677,3547,3512,3383,3538,3688,3539,3505,3512,3475,3513,3501,2996,2832,3687,3669,3674,3560
3451,3657,3469,3624,3545,3453,3672,3540,3517,3380,3538,3690,3536,3503,3511,3470,3514,3506,3009,2831,3682,3669,3674,3560
3455,3654,3470,3624,3544,3454,3681,3543,3517,3391,3536,3684,3533,3503,3511,3470,3514,3506,3009,2831,3682,3670,3673,3558
3452,3656,3475,3629,3543,3454,3681,3543,3517,3391,3536,3684,3533,3500,3508,3472,3508,3502,3001,2823,3686,3669,3674,3548
3452,3656,3475,3629,3543,3461,3682,3541,3520,3390,3536,3679,3530,3509,3500,3473,3508,3498,3003,2834,3683,3677,3673,3555
3458,3654,3474,3627,3541,3457,3682,3548,3517,3382,3538,3683,3527,3500,3507,3473,3508,3498,3003,2834,3683,3677,3673,3555
3451,3656,3477,3626,3552,3468,3675,3542,3518,3382,3538,3683,3527,3500,3507,3473,3508,3502,3009,2830,3688,3674,3673,3558
3459,3656,3477,3626,3552,3468,3675,3542,3518,3393,3539,3685,3529,3508,3504,3470,3514,3508,3002,2836,3685,3668,3669,3542
3459,3657,3478,3629,3542,3452,3680,3543,3518,3383,3536,3683,3529,3506,3509,3468,3506,3496,3001,2834,3685,3668,3669,3542
3451,3662,3476,3621,3547,3463,3689,3551,3518,3394,3535,3685,3540,3506,3509,3468,3506,3496,3001,2834,3685,3668,3674,3561
3461,3660,3482,3626,3545,3463,3689,3551,3518,3394,3535,3685,3540,3513,3506,3475,3519,3504,3008,2833,3691,3666,3678,3556
3461,3660,3482,3626,3545,3459,3683,3546,3520,3384,3533,3693,3539,3511,3504,3473,3512,3499,3004,2831,3689,3672,3674,3557
3459,3662,3473,3621,3542,3459,3681,3544,3514,3380,3538,3690,3540,3506,3505,3474,3510,3499,3004,2831,3689,3672,3674,3557
3456,3659,3481,3625,3546,3464,3682,3539,3520,3380,3538,3690,3540,3506,3505,3474,3510,3500,3006,2833,3690,3671,3678,3560
3456,3659,3481,3625,3546,3464,3682,3539,3520,3389,3535,3687,3545,3508,3504,3469,3515,3502,3007,2833,3689,3664,3675,3562
3456,3665,3486,3629,3548,3467,3685,3542,3522,3393,3541,3688,3537,3504,3504,3470,3510,3502,3003,2828,3684,3664,3675,3562
3459,3663,3475,3630,3543,3465,3678,3547,3519,3390,3539,3686,3536,3504,3504,3470,3510,3502,3003,2828,3684,3675,3679,3557
3457,3664,3483,3627,3550,3465,3678,3547,3519,3390,3539,3686,3536,3511,3509,3467,3513,3498,3000,2829,3680,3672,3676,3560
3457,3664,3483,3627,3550,3468,3684,3544,3526,3389,3539,3685,3534,3509,3505,3475,3509,3502,3001,2828,3688,3680,3675,3556
3451,3657,3486,3631,3543,3470,3682,3544,3520,3393,3547,3688,3541,3505,3504,3476,3509,3502,3001,2828,3688,3680,3675,3556
3454,3656,3487,3630,3547,3467,3686,3540,3520,3393,3547,3688,3541,3505,3504,3476,3509,3491,2985,2831,3690,3679,3681,3554
3458,3656,3487,3630,3547,3467,3686,3540,3520,3394,3544,3684,3541,3504,3504,3473,3510,3497,2995,2825,3687,3672,3679,3552
