ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3086,3329,3011,3312,2988,3144,3185,2722,2994,2662,2980,3308,2922,3122,2952,2874,3119,2259,2731,2515,3364,3345,3325,3165,3428,3636,3490,3597,3371,3488,3648,3386,3497,3430,3530,3664,3603,3505,3278,3587,3498,3318,3003,2899,3671,3633,3638,3464,3095,3354,3142,3339,3277,3076,3396,3259,3182,2792,2969,3329,2876,3189,3236,2978,3209,3203,2761,2570,3370,3374,3364,3279
3087,3327,3001,3308,2979,3145,3185,2719,2994,2663,2974,3308,2922,3122,2952,2874,3119,2259,2731,2520,3367,3343,3316,3165,3425,3642,3491,3594,3371,3498,3639,3397,3501,3430,3532,3664,3603,3505,3278,3587,3498,3318,3003,2903,3662,3632,3638,3458,3096,3351,3155,3341,3276,3072,3400,3263,3182,2792,2966,3329,2876,3189,3236,2978,3209,3203,2761,2572,3371,3371,3360,3288
3081,3334,3002,3308,2979,3145,3185,2719,2994,2663,2974,3313,2925,3121,2952,2871,3120,2255,2728,2521,3363,3340,3330,3169,3426,3636,3494,3594,3371,3498,3639,3397,3501,3430,3532,3673,3604,3501,3281,3586,3507,3333,3008,2900,3666,3628,3634,3461,3093,3357,3145,3341,3276,3072,3400,3263,3182,2792,2966,3317,2875,3189,3212,2980,3201,3203,2758,2569,3363,3377,3364,3283
3081,3334,3002,3309,2996,3148,3180,2721,2979,2661,2978,3310,2920,3112,2952,2877,3121,2251,2720,2521,3359,3341,3328,3169,3426,3636,3494,3590,3351,3498,3635,3397,3492,3428,3535,3662,3604,3511,3290,3588,3509,3348,3012,2897,3662,3630,3641,3461,3093,3357,3145,3339,3276,3073,3389,3255,3188,2788,2966,3326,2876,3188,3238,2979,3208,3200,2760,2571,3370,3375,3366,3283
3086,3324,3007,3313,2996,3162,3183,2718,2995,2665,2972,3317,2924,3115,2949,2877,3121,2251,2720,2521,3359,3341,3328,3164,3428,3638,3491,3570,3357,3500,3636,3397,3500,3417,3536,3670,3605,3510,3314,3588,3509,3348,3012,2897,3662,3630,3641,3457,3092,3353,3147,3341,3255,3064,3401,3258,3173,2790,2970,3315,2876,3188,3222,2979,3208,3200,2760,2571,3370,3375,3366,3288
3080,3317,3002,3304,2998,3139,3180,2718,2995,2665,2972,3317,2924,3115,2949,2872,3124,2276,2726,2520,3363,3341,3329,3161,3425,3637,3485,3582,3339,3495,3630,3397,3500,3417,3536,3670,3605,3510,3314,3591,3507,3363,3009,2895,3663,3632,3647,3461,3096,3352,3149,3341,3279,3066,3398,3258,3173,2790,2970,3315,2876,3188,3222,2981,3209,3201,2762,2573,3367,3373,3365,3284
3080,3317,3002,3304,2998,3139,3180,2714,2968,2664,2971,3304,2913,3121,2936,2871,3118,2261,2718,2509,3362,3344,3333,3171,3425,3637,3485,3582,3339,3495,3630,3394,3493,3418,3530,3675,3604,3508,3328,3586,3516,3394,3015,2892,3665,3620,3641,3457,3096,3352,3149,3341,3279,3066,3398,3261,3185,2788,2965,3329,2874,3190,3232,2984,3203,3200,2763,2573,3372,3380,3353,3284
3082,3324,3006,3313,2994,3150,3174,2714,2998,2661,2975,3306,2917,3120,2950,2869,3125,2265,2722,2509,3362,3344,3333,3171,3423,3630,3479,3583,3304,3493,3627,3391,3501,3422,3531,3673,3608,3511,3345,3590,3526,3406,3019,2892,3665,3620,3641,3457,3099,3358,3146,3340,3275,3076,3401,3262,3182,2786,2964,3327,2868,3186,3236,2984,3201,3200,2763,2573,3372,3380,3353,3284
3084,3320,3004,3299,2998,3147,3185,2720,2998,2660,2977,3306,2917,3120,2950,2869,3125,2265,2722,2522,3361,3342,3314,3162,3425,3630,3476,3577,3294,3488,3632,3411,3490,3421,3535,3673,3608,3511,3345,3590,3526,3406,3019,2896,3669,3624,3641,3443,3097,3351,3149,3342,3278,3063,3397,3248,3188,2789,2971,3327,2868,3186,3236,2984,3201,3200,2763,2573,3372,3377,3358,3287
3084,3323,3016,3299,2998,3147,3185,2720,2998,2660,2977,3321,2921,3122,2951,2872,3119,2267,2724,2519,3362,3341,3328,3170,3422,3626,3481,3577,3294,3488,3632,3411,3490,3421,3535,3678,3597,3514,3360,3591,3528,3419,3019,2897,3659,3624,3640,3451,3096,3360,3152,3342,3278,3063,3397,3248,3188,2789,2971,3320,2876,3188,3236,2978,3204,3201,2757,2574,3368,3366,3360,3287
