ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3422,3632,3518,3620,3425,3544,3661,3422,3521,3467,3478,3655,3550,3482,3282,3547,3484,3287,3002,2897,3657,3632,3629,3477
3427,3627,3526,3613,3428,3545,3664,3411,3523,3479,3475,3650,3554,3481,3286,3551,3476,3291,3001,2897,3657,3632,3629,3477
3424,3631,3523,3617,3429,3545,3668,3411,3522,3477,3475,3650,3554,3481,3286,3551,3476,3291,3001,2901,3653,3636,3628,3475
3422,3637,3527,3617,3429,3545,3668,3411,3522,3477,3475,3654,3552,3476,3284,3548,3478,3285,3004,2892,3657,3636,3626,3458
3422,3637,3527,3619,3425,3541,3661,3421,3518,3482,3477,3648,3556,3478,3281,3546,3484,3275,3007,2895,3659,3634,3630,3458
3421,3627,3525,3625,3423,3549,3665,3404,3524,3479,3482,3652,3542,3479,3281,3546,3484,3275,3007,2895,3659,3634,3630,3470
3423,3636,3534,3619,3424,3549,3665,3404,3524,3479,3482,3652,3542,3479,3281,3546,3483,3281,2991,2896,3658,3636,3636,3472
3423,3636,3534,3619,3424,3549,3665,3421,3526,3478,3482,3650,3546,3479,3279,3544,3482,3277,3006,2895,3656,3634,3635,3454
3424,3642,3527,3613,3423,3549,3664,3423,3526,3472,3473,3650,3545,3479,3280,3545,3485,3288,3002,2895,3656,3634,3635,3454
3430,3641,3529,3616,3428,3550,3669,3423,3520,3474,3481,3650,3545,3479,3280,3545,3485,3288,3002,2897,3656,3636,3634,3466
3432,3643,3533,3616,3428,3550,3669,3423,3520,3474,3481,3650,3555,3479,3280,3542,3479,3291,3005,2892,3656,3631,3614,3470
3432,3643,3533,3620,3424,3552,3668,3417,3515,3474,3473,3648,3551,3479,3285,3533,3480,3282,3005,2892,3661,3626,3627,3470
3432,3640,3538,3616,3427,3548,3674,3418,3524,3477,3481,3653,3550,3484,3274,3533,3480,3282,3005,2892,3661,3626,3627,3472
3434,3640,3525,3624,3421,3550,3666,3418,3524,3477,3481,3653,3550,3484,3274,3531,3480,3288,3005,2891,3659,3630,3630,3469
3434,3640,3525,3624,3421,3550,3666,3414,3519,3475,3483,3657,3553,3469,3274,3532,3475,3285,3004,2884,3657,3636,3628,3470
3440,3637,3540,3624,3424,3550,3668,3416,3519,3478,3480,3657,3549,3472,3272,3547,3477,3283,3002,2884,3657,3636,3628,3470
3437,3637,3528,3621,3423,3549,3674,3415,3521,3474,3482,3657,3549,3472,3272,3547,3477,3283,3002,2887,3656,3632,3628,3468
3436,3644,3533,3621,3423,3549,3674,3415,3521,3474,3482,3656,3554,3478,3264,3540,3474,3278,2996,2884,3657,3633,3628,3468
3436,3644,3533,3619,3421,3551,3668,3420,3523,3481,3478,3652,3546,3469,3266,3538,3474,3277,2999,2883,3657,3636,3629,3468
3432,3637,3541,3626,3421,3552,3673,3415,3528,3483,3474,3657,3547,3470,3261,3538,3474,3277,2999,2883,3657,3636,3629,3455
3436,3635,3537,3625,3420,3558,3665,3415,3528,3483,3474,3657,3547,3470,3261,3541,3472,3269,3002,2890,3657,3637,3628,3458
3436,3635,3537,3625,3420,3558,3665,3416,3532,3485,3470,3644,3541,3470,3251,3536,3474,3282,2998,2894,3659,3632,3616,3460
3431,3632,3540,3630,3429,3555,3675,3414,3528,3491,3462,3645,3528,3456,3241,3521,3472,3296,3004,2894,3659,3632,3616,3460
3426,3642,3549,3626,3432,3554,3677,3437,3531,3490,3457,3645,3528,3456,3241,3521,3472,3296,3004,2889,3654,3628,3621,3462
3434,3643,3546,3626,3432,3554,3677,3437,3531,3490,3457,3630,3525,3460,3244,3516,3464,3288,3003,2884,3658,3626,3616,3458
3434,3643,3546,3626,3428,3565,3685,3437,3529,3488,3465,3650,3526,3464,3246,3516,3472,3311,3002,2883,3657,3637,3630,3458
3438,3645,3554,3626,3422,3566,3680,3435,3529,3490,3451,3643,3527,3466,3253,3516,3472,3311,3002,2883,3657,3637,3630,3460
3432,3642,3548,3631,3420,3574,3681,3435,3529,3490,3451,3643,3527,3466,3253,3519,3462,3314,3006,2887,3650,3635,3619,3463
3432,3642,3548,3631,3420,3574,3681,3433,3537,3490,3464,3637,3525,3469,3256,3517,3471,3313,3004,2887,3654,3631,3619,3456
3439,3639,3554,3629,3416,3574,3678,3432,3531,3482,3454,3641,3527,3463,3254,3515,3474,3327,3005,2887,3654,3631,3619,3456
3442,3644,3552,3621,3412,3570,3677,3436,3531,3489,3458,3641,3527,3463,3254,3515,3474,3327,3005,2882,3654,3635,3618,3452
3442,3642,3550,3621,3412,3570,3677,3436,3531,3489,3458,3642,3522,3456,3250,3515,3469,3329,3004,2884,3652,3635,3616,3452
3442,3642,3550,3629,3408,3572,3676,3432,3529,3494,3456,3645,3521,3464,3260,3508,3476,3326,3004,2884,3659,3624,3619,3452
3442,3644,3549,3629,3408,3569,3681,3431,3532,3492,3457,3646,3529,3463,3257,3508,3476,3326,3004,2884,3659,3624,3619,3450
3439,3633,3553,3629,3410,3574,3679,3431,3532,3492,3457,3646,3529,3463,3257,3518,3473,3325,3002,2887,3654,3635,3617,3450
3439,3633,3553,3629,3410,3574,3679,3419,3531,3490,3461,3635,3523,3460,3253,3514,3479,3319,2999,2886,3650,3633,3620,3441
3442,3641,3554,3632,3405,3579,3679,3432,3524,3495,3458,3640,3524,3461,3255,3513,3470,3323,3007,2886,3650,3633,3620,3441
3443,3642,3556,3633,3409,3572,3668,3436,3534,3491,3456,3640,3524,3461,3255,3513,3470,3323,3007,2884,3654,3638,3618,3450
3439,3639,3557,3633,3409,3572,3668,3436,3534,3491,3456,3643,3515,3464,3251,3513,3464,3325,3003,2882,3650,3635,3609,3452
3439,3639,3557,3637,3413,3567,3684,3433,3525,3495,3452,3648,3519,3464,3248,3509,3465,3329,3000,2879,3661,3633,3614,3452
3441,3645,3563,3630,3409,3569,3677,3440,3530,3492,3456,3631,3517,3457,3246,3509,3465,3329,3000,2879,3661,3633,3614,3440
3437,3642,3556,3625,3412,3574,3674,3440,3530,3492,3456,3631,3517,3457,3246,3515,3469,3314,3001,2885,3654,3637,3616,3454
3437,3642,3556,3625,3412,3574,3674,3440,3530,3487,3458,3645,3520,3459,3249,3508,3473,3324,2994,2889,3656,3629,3608,3451
3440,3646,3563,3629,3413,3570,3682,3432,3531,3493,3453,3638,3521,3458,3247,3510,3460,3312,3001,2889,3656,3629,3608,3451
3445,3643,3560,3633,3412,3574,3681,3426,3530,3505,3451,3638,3521,3458,3247,3510,3460,3312,3001,2886,3656,3632,3623,3451
3442,3630,3560,3633,3412,3574,3681,3426,3530,3505,3451,3647,3520,3459,3243,3505,3470,3311,3004,2884,3651,3616,3616,3449
3442,3630,3560,3631,3409,3580,3680,3417,3529,3499,3447,3643,3520,3461,3236,3505,3470,3316,3003,2881,3651,3627,3616,3449
3445,3642,3561,3634,3415,3581,3686,3435,3536,3496,3451,3642,3513,3454,3207,3505,3470,3316,3003,2881,3651,3627,3616,3449
3448,3645,3556,3635,3408,3581,3675,3435,3536,3496,3451,3642,3513,3454,3207,3504,3466,3325,2998,2878,3656,3635,3616,3450
3448,3645,3556,3635,3408,3581,3675,3438,3532,3493,3451,3644,3506,3458,3247,3507,3466,3331,3005,2880,3653,3630,3615,3447
3444,3634,3560,3627,3408,3577,3678,3435,3531,3498,3454,3639,3513,3457,3251,3504,3470,3334,3004,2880,3653,3630,3615,3447
3440,3636,3560,3634,3403,3578,3682,3423,3540,3497,3455,3639,3513,3457,3251,3504,3470,3334,3004,2872,3653,3631,3613,3445
3444,3642,3560,3634,3403,3578,3682,3423,3540,3497,3455,3638,3516,3453,3252,3507,3474,3332,3000,2881,3653,3632,3617,3438
3444,3642,3560,3638,3400,3575,3684,3427,3535,3498,3452,3636,3518,3466,3259,3509,3474,3341,2995,2882,3653,3634,3617,3438
3447,3639,3560,3631,3404,3579,3676,3432,3532,3494,3457,3641,3513,3458,3254,3509,3474,3341,2995,2882,3653,3634,3617,3444
3442,3644,3564,3630,3397,3582,3685,3432,3532,3494,3457,3641,3513,3458,3254,3510,3467,3334,2997,2886,3650,3629,3612,3441
3442,3644,3564,3630,3397,3582,3685,3430,3530,3496,3453,3627,3513,3456,3252,3506,3475,3315,3005,2885,3652,3619,3615,3443
3439,3645,3560,3638,3400,3575,3681,3427,3538,3500,3450,3637,3515,3461,3246,3504,3470,3328,3001,2885,3652,3619,3615,3443
3446,3642,3560,3630,3406,3582,3684,3427,3530,3493,3446,3637,3515,3461,3246,3504,3470,3328,3001,2883,3654,3629,3615,3447
3447,3641,3554,3630,3406,3582,3684,3427,3530,3493,3446,3639,3512,3454,3244,3506,3454,3318,3000,2882,3651,3638,3610,3445
3447,3641,3554,3638,3418,3583,3682,3430,3538,3494,3441,3632,3511,3452,3243,3498,3462,3311,3001,2882,3654,3637,3615,3445
3444,3638,3560,3639,3421,3579,3683,3432,3532,3487,3443,3643,3505,3451,3241,3498,3462,3311,3001,2882,3654,3637,3615,3448
3441,3642,3561,3630,3427,3582,3680,3432,3532,3487,3443,3643,3505,3451,3241,3495,3464,3316,3002,2880,3649,3624,3608,3458
3441,3642,3561,3630,3427,3582,3680,3436,3528,3495,3444,3637,3506,3446,3236,3498,3454,3315,2997,2876,3650,3637,3614,3458
3445,3641,3556,3636,3428,3578,3684,3436,3536,3499,3445,3641,3504,3449,3239,3491,3462,3313,2998,2876,3650,3637,3614,3458
3446,3636,3562,3633,3432,3576,3690,3443,3528,3496,3443,3641,3504,3449,3239,3491,3462,3313,2998,2879,3649,3637,3620,3461
3441,3627,3560,3633,3432,3576,3690,3443,3528,3496,3443,3636,3506,3445,3240,3496,3457,3314,3000,2883,3656,3636,3615,3460
3441,3627,3560,3633,3431,3576,3682,3409,3530,3498,3445,3629,3498,3447,3231,3498,3464,3305,2996,2883,3646,3634,3616,3460
3444,3644,3561,3641,3426,3581,3684,3433,3537,3500,3440,3629,3502,3444,3236,3498,3464,3305,2996,2883,3646,3634,3616,3458
3432,3640,3561,3640,3432,3579,3682,3433,3537,3500,3440,3629,3502,3444,3236,3498,3464,3312,2999,2882,3650,3634,3616,3453
3432,3640,3561,3640,3432,3579,3682,3442,3539,3506,3430,3633,3490,3435,3228,3498,3448,3313,3002,2881,3648,3631,3603,3449
3435,3635,3563,3640,3432,3578,3681,3441,3537,3506,3428,3623,3491,3435,3228,3492,3457,3316,2999,2881,3648,3631,3603,3449
3439,3641,3561,3636,3429,3580,3684,3444,3539,3505,3424,3623,3491,3435,3228,3492,3457,3316,2999,2884,3652,3630,3608,3453
3435,3645,3563,3636,3429,3580,3684,3444,3539,3505,3424,3617,3489,3446,3230,3493,3456,3316,3004,2887,3648,3625,3606,3454
3435,3645,3563,3636,3425,3579,3683,3446,3535,3502,3424,3632,3491,3449,3229,3498,3461,3325,3005,2887,3653,3636,3612,3454
3432,3641,3557,3633,3427,3574,3686,3448,3538,3501,3420,3632,3496,3442,3229,3498,3461,3325,3005,2887,3653,3636,3612,3453
3432,3635,3555,3630,3437,3575,3684,3448,3538,3501,3420,3632,3496,3442,3229,3498,3465,3325,3005,2889,3654,3634,3606,3458
3432,3635,3555,3630,3437,3575,3684,3450,3539,3506,3422,3630,3500,3441,3232,3495,3464,3325,3004,2889,3647,3600,3609,3455
3432,3627,3557,3634,3432,3578,3689,3447,3535,3498,3382,3633,3492,3435,3234,3496,3455,3325,3006,2889,3647,3600,3609,3455
3432,3642,3556,3630,3447,3578,3683,3452,3536,3503,3421,3633,3492,3435,3234,3496,3455,3325,3006,2890,3653,3624,3613,3460
3437,3639,3554,3630,3447,3578,3683,3452,3536,3503,3421,3631,3490,3441,3240,3498,3458,3332,3005,2886,3651,3637,3619,3461
3437,3639,3554,3628,3440,3578,3680,3453,3538,3497,3423,3627,3483,3439,3242,3493,3459,3325,3009,2890,3647,3634,3611,3461
3440,3632,3557,3630,3442,3582,3689,3458,3534,3502,3419,3631,3488,3440,3241,3493,3459,3325,3009,2890,3647,3634,3611,3462
3432,3624,3559,3638,3444,3570,3683,3458,3534,3502,3419,3631,3488,3440,3241,3490,3459,3322,3002,2875,3645,3632,3610,3460
3432,3624,3559,3638,3444,3570,3683,3452,3537,3510,3419,3624,3486,3437,3226,3494,3458,3320,2981,2882,3650,3632,3611,3459
3431,3642,3565,3637,3439,3578,3690,3450,3542,3509,3414,3621,3482,3436,3233,3482,3460,3331,3004,2882,3650,3632,3611,3459
3435,3640,3563,3640,3438,3588,3686,3456,3539,3502,3418,3621,3482,3436,3233,3482,3460,3331,3004,2884,3646,3640,3606,3455
3436,3639,3566,3640,3438,3588,3686,3456,3539,3502,3418,3631,3476,3439,3240,3477,3460,3339,3001,2882,3646,3631,3606,3446
3436,3639,3566,3638,3430,3580,3686,3454,3538,3506,3419,3617,3476,3433,3240,3474,3459,3346,3004,2880,3646,3622,3606,3446
3446,3639,3569,3634,3425,3588,3681,3455,3540,3506,3418,3621,3475,3434,3245,3474,3459,3346,3004,2880,3646,3622,3606,3442
3449,3646,3570,3636,3419,3593,3688,3455,3540,3506,3418,3621,3475,3434,3245,3476,3456,3354,3003,2878,3648,3625,3597,3444
3449,3646,3570,3636,3419,3593,3688,3458,3539,3503,3421,3627,3473,3438,3247,3470,3458,3368,3005,2876,3648,3631,3595,3437
3449,3638,3574,3638,3413,3592,3688,3462,3542,3515,3416,3625,3477,3434,3255,3477,3457,3378,3008,2876,3648,3631,3595,3437
3450,3645,3581,3641,3396,3592,3688,3466,3534,3516,3423,3625,3477,3434,3255,3477,3457,3378,3008,2874,3650,3620,3594,3435
3452,3641,3577,3641,3396,3592,3688,3466,3534,3516,3423,3625,3473,3437,3256,3456,3465,3392,3005,2873,3641,3608,3603,3425
3452,3641,3577,3635,3383,3595,3686,3468,3541,3502,3428,3631,3479,3442,3261,3469,3472,3406,3006,2871,3643,3622,3594,3425
3454,3642,3582,3638,3378,3593,3686,3470,3537,3505,3426,3625,3479,3438,3256,3469,3472,3406,3006,2871,3643,3622,3594,3417
3459,3644,3581,3636,3366,3594,3693,3470,3537,3505,3426,3625,3479,3438,3256,3472,3480,3408,3002,2870,3638,3622,3598,3409
3459,3644,3581,3636,3366,3594,3693,3478,3538,3503,3427,3630,3469,3432,3265,3470,3475,3417,3007,2865,3648,3606,3598,3408
3455,3638,3580,3635,3356,3596,3688,3473,3544,3504,3428,3618,3485,3433,3267,3471,3472,3428,3008,2865,3648,3606,3598,3408
3455,3639,3582,3639,3354,3597,3686,3480,3545,3507,3421,3618,3485,3433,3267,3471,3472,3428,3008,2865,3637,3615,3592,3400
3461,3639,3585,3639,3354,3597,3686,3480,3545,3507,3421,3616,3477,3436,3257,3472,3474,3413,3001,2868,3640,3616,3590,3390
3461,3639,3585,3640,3354,3601,3685,3479,3540,3504,3420,3622,3478,3432,3256,3463,3464,3408,3008,2861,3641,3616,3587,3390
3458,3645,3591,3637,3359,3598,3682,3472,3545,3503,3423,3624,3473,3433,3253,3463,3464,3408,3008,2861,3641,3616,3587,3395
3462,3650,3584,3640,3356,3587,3685,3472,3545,3503,3423,3624,3473,3433,3253,3459,3465,3415,3006,2866,3640,3616,3591,3400
3462,3650,3584,3640,3356,3587,3685,3476,3544,3502,3427,3610,3474,3440,3251,3460,3472,3415,2998,2868,3643,3608,3595,3397
3466,3649,3584,3644,3363,3593,3692,3471,3539,3496,3427,3629,3495,3442,3251,3470,3474,3408,3006,2868,3643,3608,3595,3397
3464,3647,3579,3636,3354,3591,3683,3470,3539,3496,3427,3629,3495,3442,3251,3470,3474,3408,3006,2870,3646,3617,3600,3406
3460,3644,3588,3636,3354,3591,3683,3470,3539,3496,3427,3634,3490,3447,3244,3479,3476,3396,3008,2875,3640,3620,3597,3398
3460,3644,3588,3629,3366,3592,3685,3469,3535,3493,3433,3624,3489,3442,3244,3476,3473,3398,3002,2874,3641,3623,3600,3398
3448,3643,3578,3630,3380,3589,3693,3468,3542,3493,3432,3629,3491,3441,3240,3476,3473,3398,3002,2874,3641,3623,3600,3412
3454,3651,3576,3630,3393,3590,3683,3468,3542,3493,3432,3629,3491,3441,3240,3479,3475,3399,3007,2874,3647,3618,3604,3418
3454,3651,3576,3630,3393,3590,3683,3470,3539,3499,3428,3634,3490,3433,3229,3486,3462,3384,3007,2877,3653,3634,3604,3425
3449,3641,3573,3634,3400,3588,3688,3461,3535,3493,3430,3629,3487,3437,3219,3481,3470,3368,3007,2877,3653,3634,3604,3425
3448,3641,3572,3638,3410,3591,3683,3449,3537,3504,3427,3629,3487,3437,3219,3481,3470,3368,3007,2878,3646,3630,3602,3430
3448,3624,3571,3638,3410,3591,3683,3449,3537,3504,3427,3628,3487,3437,3222,3488,3464,3348,3006,2874,3647,3629,3604,3446
3448,3624,3571,3638,3419,3581,3686,3455,3528,3502,3422,3616,3481,3434,3217,3486,3455,3332,3000,2879,3643,3637,3611,3446
3419,3646,3573,3640,3425,3585,3688,3442,3540,3504,3421,3628,3480,3433,3226,3486,3455,3332,3000,2879,3643,3637,3611,3447
3437,3644,3573,3643,3426,3585,3684,3442,3540,3504,3421,3628,3480,3433,3226,3479,3452,3323,3002,2882,3647,3633,3607,3451
3437,3644,3573,3643,3426,3585,3684,3440,3536,3501,3417,3632,3471,3429,3226,3472,3444,3316,2993,2878,3648,3636,3610,3450
3444,3636,3569,3641,3448,3583,3687,3435,3536,3506,3418,3622,3469,3431,3227,3473,3442,3307,2996,2878,3648,3636,3610,3450
3447,3643,3569,3646,3442,3583,3688,3442,3533,3498,3412,3622,3469,3431,3227,3473,3442,3307,2996,2873,3651,3634,3608,3453
