ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
2986,3240,2875,3210,2886,3065,3081,2626,2871,2500,2874,3229,2778,3022,2831,2718,3033,2144,2659,2401,3272,3250,3213,3073,3338,3541,3452,3514,3101,3464,3564,3310,3433,3353,3391,3549,3468,3369,3053,3450,3413,3282,2957,2824,3545,3497,3476,3229,2965,3267,3037,3258,3195,2954,3316,3179,3102,2650,2832,3237,2734,3105,3158,2851,3127,3118,2700,2484,3284,3296,3281,3206
2986,3240,2875,3211,2879,3058,3081,2622,2879,2502,2872,3229,2778,3019,2825,2722,3023,2140,2657,2416,3283,3251,3238,3073,3338,3541,3452,3504,3102,3464,3563,3309,3432,3354,3388,3564,3470,3370,3048,3433,3414,3287,2956,2820,3547,3497,3481,3229,2965,3267,3037,3253,3192,2951,3313,3178,3100,2652,2835,3240,2736,3104,3162,2850,3122,3120,2697,2480,3289,3295,3264,3206
2983,3238,2874,3206,2875,3070,3068,2623,2883,2505,2866,3234,2774,3023,2814,2722,3023,2140,2657,2416,3283,3251,3238,3076,3336,3549,3451,3505,3103,3464,3563,3312,3432,3358,3394,3562,3469,3363,3045,3433,3414,3287,2956,2820,3547,3497,3481,3233,2978,3272,3041,3245,3191,2950,3320,3178,3100,2641,2833,3224,2737,3103,3162,2850,3122,3120,2697,2480,3289,3295,3264,3203
2988,3239,2878,3217,2882,3061,3079,2623,2883,2505,2866,3234,2774,3023,2814,2720,3022,1952,2658,2420,3273,3252,3244,3065,3340,3546,3424,3512,3100,3464,3565,3312,3432,3358,3394,3562,3469,3363,3045,3457,3403,3284,2957,2822,3541,3502,3482,3230,2971,3266,3038,3255,3189,2954,3322,3178,3100,2641,2833,3224,2737,3103,3162,2848,3127,3123,2705,2481,3285,3284,3277,3205
2988,3239,2878,3217,2882,3061,3079,2623,2884,2509,2874,3232,2780,3025,2839,2724,3024,2142,2658,2414,3274,3256,3237,3082,3340,3546,3424,3512,3100,3464,3565,3310,3436,3350,3391,3560,3460,3372,3048,3455,3410,3286,2960,2826,3541,3499,3477,3227,2971,3266,3038,3255,3189,2954,3322,3171,3102,2648,2833,3241,2734,3104,3161,2856,3131,3125,2702,2481,3286,3294,3276,3204
2982,3238,2864,3217,2878,3054,3070,2629,2888,2483,2860,3224,2760,3026,2816,2710,3020,2146,2651,2414,3274,3256,3237,3082,3342,3542,3448,3494,3098,3458,3564,3316,3438,3363,3390,3558,3466,3370,3046,3455,3412,3290,2956,2826,3541,3499,3477,3227,2976,3271,3040,3229,3188,2957,3316,3181,3101,2654,2833,3242,2703,3102,3153,2851,3121,3125,2697,2481,3286,3294,3276,3204
2987,3241,2872,3221,2871,3055,3079,2627,2885,2505,2865,3224,2760,3026,2816,2710,3020,2146,2651,2426,3275,3259,3232,3067,3339,3536,3453,3512,3095,3458,3560,3317,3426,3358,3393,3558,3466,3370,3046,3455,3412,3290,2956,2814,3544,3501,3477,3224,2975,3276,3036,3257,3193,2958,3320,3178,3097,2651,2832,3242,2703,3102,3153,2851,3121,3125,2697,2477,3285,3290,3272,3203
2988,3231,2872,3221,2871,3055,3079,2627,2885,2505,2865,3228,2780,3020,2835,2721,3017,2143,2661,2417,3277,3250,3233,3078,3334,3550,3451,3512,3095,3458,3560,3317,3426,3358,3393,3562,3466,3364,3046,3458,3411,3283,2957,2817,3542,3495,3475,3225,2975,3274,3038,3257,3193,2958,3320,3178,3097,2651,2832,3237,2735,3100,3160,2849,3129,3123,2694,2481,3289,3295,3277,3206
2988,3231,2872,3223,2872,3056,3077,2634,2885,2511,2867,3232,2775,3023,2832,2723,3025,2144,2657,2418,3277,3239,3234,3078,3334,3550,3451,3509,3089,3462,3558,3314,3436,3357,3392,3561,3475,3368,3038,3457,3406,3286,2958,2823,3548,3503,3478,3225,2975,3274,3038,3248,3195,2956,3310,3180,3101,2640,2832,3240,2726,3107,3160,2850,3129,3124,2699,2482,3286,3278,3270,3206
2991,3241,2871,3221,2874,3058,3077,2625,2886,2510,2867,3225,2783,3022,2833,2723,3025,2144,2657,2418,3277,3239,3234,3079,3339,3538,3451,3508,3096,3464,3563,3319,3432,3358,3394,3563,3469,3368,3038,3457,3406,3286,2958,2823,3548,3503,3478,3221,2978,3272,3034,3252,3190,2953,3323,3176,3102,2651,2830,3238,2732,3105,3159,2850,3129,3124,2699,2482,3286,3278,3270,3199
2991,3243,2877,3210,2883,3056,3083,2625,2886,2510,2867,3225,2783,3022,2833,2722,3022,2142,2654,2422,3279,3238,3232,3073,3341,3547,3455,3510,3090,3466,3563,3319,3432,3358,3394,3563,3469,3368,3038,3453,3411,3289,2940,2821,3550,3493,3472,3212,2971,3274,3037,3254,3193,2951,3318,3176,3102,2651,2830,3238,2732,3105,3159,2852,3125,3122,2699,2479,3282,3290,3276,3202
2991,3243,2877,3210,2883,3056,3083,2626,2884,2502,2872,3225,2777,3024,2834,2722,3013,2140,2659,2421,3280,3252,3234,3071,3341,3547,3455,3510,3090,3466,3563,3315,3435,3363,3395,3522,3470,3369,3030,3456,3406,3283,2955,2820,3547,3486,3473,3218,2971,3274,3037,3254,3193,2951,3318,3183,3098,2649,2835,3237,2735,3107,3162,2853,3124,3123,2702,2477,3283,3294,3272,3208
2985,3236,2868,3219,2858,3045,3080,2611,2882,2512,2873,3209,2775,3018,2837,2724,3025,2138,2656,2421,3280,3252,3234,3071,3333,3549,3448,3501,3095,3467,3554,3319,3435,3356,3389,3561,3469,3369,3019,3459,3405,3277,2952,2820,3547,3486,3473,3218,2976,3272,3038,3245,3194,2952,3324,3181,3099,2643,2829,3227,2738,3103,3161,2851,3133,3110,2699,2477,3283,3294,3272,3208
2981,3243,2869,3216,2868,3061,3078,2627,2885,2508,2869,3209,2775,3018,2837,2724,3025,2138,2656,2422,3277,3255,3235,3069,3338,3550,3454,3510,3102,3466,3566,3315,3436,3355,3389,3561,3469,3369,3019,3459,3405,3277,2952,2821,3542,3499,3476,3216,2974,3271,3041,3252,3191,2956,3317,3177,3098,2652,2832,3227,2738,3103,3161,2851,3133,3110,2699,2481,3286,3290,3273,3207
2978,3241,2866,3216,2868,3061,3078,2627,2885,2508,2869,3216,2777,3016,2832,2726,3018,2138,2655,2418,3280,3256,3226,3074,3340,3544,3456,3510,3102,3466,3566,3315,3436,3355,3389,3564,3472,3370,3014,3462,3390,3284,2957,2822,3544,3497,3476,3214,2978,3274,3034,3252,3191,2956,3317,3177,3098,2652,2832,3240,2735,3109,3158,2850,3129,3121,2701,2479,3287,3290,3279,3209
2978,3241,2866,3213,2864,3060,3067,2620,2880,2509,2874,3226,2771,3021,2836,2723,3022,2129,2655,2423,3280,3253,3199,3074,3340,3544,3456,3510,3092,3462,3567,3314,3436,3354,3391,3555,3471,3369,3004,3451,3410,3280,2957,2824,3542,3488,3472,3214,2978,3274,3034,3251,3196,2947,3322,3174,3098,2651,2833,3225,2730,3107,3163,2849,3124,3124,2698,2475,3286,3291,3271,3209
2982,3236,2871,3215,2880,3058,3070,2632,2886,2510,2866,3226,2777,3022,2832,2723,3022,2129,2655,2423,3280,3253,3199,3066,3339,3546,3451,3508,3097,3460,3566,3318,3432,3352,3396,3568,3472,3365,3005,3451,3410,3280,2957,2824,3542,3488,3472,3206,2980,3272,3035,3253,3186,2955,3324,3177,3100,2649,2833,3236,2736,3107,3158,2849,3124,3124,2698,2475,3286,3291,3271,3208
