ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3321,3498,3389,3402,2826,3405,3507,3266,3412,3325,3451,3585,3530,3433,3188,3509,3456,3336,2957,2839,3525,3373,3499,3158
3321,3498,3389,3402,2826,3405,3507,3274,3415,3325,3459,3587,3529,3432,3187,3508,3448,3318,2970,2840,3518,3371,3496,3141
3318,3504,3387,3391,2827,3403,3498,3284,3412,3322,3454,3583,3528,3434,3189,3516,3455,3326,2973,2840,3518,3371,3496,3141
3319,3503,3391,3400,2836,3406,3505,3280,3412,3325,3460,3583,3528,3434,3189,3516,3455,3326,2973,2837,3525,3370,3493,3157
3318,3498,3388,3400,2836,3406,3505,3280,3412,3325,3460,3592,3524,3441,3182,3505,3456,3336,2965,2846,3516,3365,3484,3152
3318,3498,3388,3399,2846,3411,3504,3280,3408,3324,3452,3596,3532,3439,3188,3505,3458,3331,2973,2840,3523,3358,3491,3152
3321,3498,3387,3393,2848,3400,3501,3291,3416,3318,3460,3588,3538,3434,3187,3505,3458,3331,2973,2840,3523,3358,3491,3150
3316,3484,3386,3401,2848,3399,3507,3291,3416,3318,3460,3588,3538,3434,3187,3514,3457,3341,2973,2814,3513,3357,3492,3149
3316,3484,3386,3401,2848,3399,3507,3293,3412,3319,3460,3584,3532,3434,3185,3504,3465,3339,2970,2840,3510,3362,3487,3145
3317,3497,3389,3399,2857,3401,3506,3296,3392,3324,3460,3583,3533,3434,3181,3511,3453,3346,2962,2840,3510,3362,3487,3145
3312,3493,3389,3402,2859,3402,3510,3305,3406,3323,3454,3583,3533,3434,3181,3511,3453,3346,2962,2840,3514,3347,3490,3142
3314,3492,3389,3402,2859,3402,3510,3305,3406,3323,3454,3585,3537,3429,3187,3511,3456,3342,2975,2842,3514,3354,3489,3142
3314,3492,3389,3398,2866,3401,3509,3293,3418,3322,3458,3587,3532,3425,3188,3512,3453,3338,2973,2840,3508,3355,3488,3142
3314,3482,3391,3400,2859,3404,3502,3299,3419,3323,3461,3577,3531,3429,3187,3512,3453,3338,2973,2840,3508,3355,3488,3135
3317,3495,3390,3405,2868,3403,3512,3299,3419,3323,3461,3577,3531,3429,3187,3512,3457,3337,2964,2842,3503,3350,3490,3140
3317,3495,3390,3405,2868,3403,3512,3307,3416,3323,3456,3582,3528,3430,3190,3514,3459,3346,2968,2835,3510,3348,3490,3142
3312,3497,3392,3402,2870,3396,3505,3306,3418,3322,3462,3575,3534,3434,3191,3513,3459,3351,2975,2835,3510,3348,3490,3142
3310,3489,3384,3403,2867,3390,3509,3306,3420,3318,3456,3575,3534,3434,3191,3513,3459,3351,2975,2840,3505,3343,3487,3134
3317,3488,3388,3403,2867,3390,3509,3306,3420,3318,3456,3581,3530,3439,3190,3506,3456,3356,2966,2847,3499,3342,3487,3131
3317,3488,3388,3393,2862,3405,3504,3307,3416,3319,3421,3583,3536,3435,3194,3508,3459,3349,2976,2841,3501,3337,3488,3131
3314,3492,3388,3397,2865,3402,3513,3310,3418,3322,3465,3587,3536,3432,3191,3508,3459,3349,2976,2841,3501,3337,3488,3135
3316,3488,3388,3398,2876,3398,3514,3310,3418,3322,3465,3587,3536,3432,3191,3512,3456,3347,2974,2842,3507,3342,3479,3141
3316,3488,3388,3398,2876,3398,3514,3313,3414,3316,3460,3583,3534,3437,3192,3507,3457,3346,2976,2841,3506,3336,3482,3135
3313,3474,3386,3399,2835,3406,3513,3298,3420,3322,3458,3584,3534,3437,3190,3513,3456,3348,2973,2841,3506,3336,3482,3135
3316,3481,3388,3402,2875,3404,3516,3312,3423,3323,3460,3584,3534,3437,3190,3513,3456,3348,2973,2841,3505,3332,3486,3134
3316,3489,3397,3402,2875,3404,3516,3312,3423,3323,3460,3583,3533,3430,3190,3517,3460,3347,2971,2840,3497,3344,3490,3136
3316,3489,3397,3400,2871,3403,3506,3308,3418,3322,3460,3585,3538,3426,3188,3511,3458,3347,2975,2843,3498,3344,3482,3136
3312,3494,3393,3402,2867,3402,3514,3311,3416,3325,3462,3582,3533,3435,3198,3511,3458,3347,2975,2843,3498,3344,3482,3136
3319,3497,3394,3409,2867,3402,3513,3311,3416,3325,3462,3582,3533,3435,3198,3515,3457,3351,2970,2836,3498,3346,3486,3139
3319,3497,3394,3409,2867,3402,3513,3304,3425,3324,3460,3577,3531,3434,3193,3514,3456,3341,2966,2841,3501,3346,3484,3134
3316,3488,3389,3408,2871,3403,3497,3309,3417,3325,3458,3586,3533,3434,3197,3512,3455,3341,2975,2841,3501,3346,3484,3134
3316,3483,3393,3405,2873,3405,3514,3309,3417,3326,3464,3586,3533,3434,3197,3512,3455,3341,2975,2833,3502,3346,3489,3143
3316,3490,3391,3405,2873,3405,3514,3309,3417,3326,3464,3574,3529,3433,3200,3519,3456,3351,2973,2838,3502,3347,3489,3144
3316,3490,3391,3410,2869,3393,3512,3309,3418,3327,3460,3566,3531,3436,3202,3501,3459,3351,2965,2843,3500,3335,3488,3144
3319,3492,3393,3406,2871,3404,3512,3310,3419,3322,3454,3583,3530,3438,3205,3501,3459,3351,2965,2843,3500,3335,3488,3142
3312,3486,3389,3408,2879,3377,3514,3310,3419,3322,3454,3583,3530,3438,3205,3510,3449,3346,2970,2840,3498,3343,3491,3146
