ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3342,3545,3466,3423,2621,3523,3616,3495,3523,3464,3483,3631,3570,3494,3409,3543,3528,3485,3029,2897,3574,3390,3563,3232
3339,3541,3469,3420,2617,3523,3616,3495,3523,3464,3483,3631,3570,3501,3402,3537,3528,3491,3027,2896,3569,3383,3546,3230
3339,3541,3469,3420,2617,3520,3616,3494,3518,3475,3481,3629,3570,3496,3407,3541,3531,3492,3026,2896,3569,3373,3555,3216
3339,3539,3463,3413,2625,3519,3620,3492,3530,3474,3485,3639,3573,3501,3401,3543,3525,3492,3026,2896,3569,3373,3555,3216
3332,3534,3458,3416,2644,3525,3616,3496,3526,3474,3485,3639,3573,3501,3401,3543,3525,3490,3032,2896,3563,3361,3557,3217
3330,3534,3458,3416,2644,3525,3616,3496,3526,3463,3488,3638,3573,3493,3397,3549,3532,3499,3026,2893,3563,3368,3550,3209
3330,3530,3466,3413,2669,3520,3618,3496,3526,3476,3488,3631,3578,3496,3398,3548,3528,3492,3030,2899,3553,3368,3550,3209
3298,3529,3466,3402,2726,3522,3628,3500,3518,3469,3488,3634,3578,3496,3398,3548,3528,3492,3030,2899,3553,3342,3547,3198
3335,3532,3463,3420,2763,3522,3628,3500,3518,3469,3488,3634,3578,3498,3391,3543,3529,3492,3025,2897,3564,3342,3548,3184
3335,3532,3463,3420,2763,3520,3623,3484,3522,3476,3493,3634,3575,3488,3390,3550,3530,3488,3023,2896,3554,3333,3548,3168
3331,3527,3466,3428,2797,3513,3618,3501,3526,3468,3492,3628,3570,3495,3397,3550,3529,3488,3023,2896,3554,3333,3548,3168
3340,3535,3469,3428,2810,3517,3618,3506,3525,3468,3492,3628,3570,3495,3397,3550,3529,3493,3020,2894,3551,3334,3542,3162
3339,3535,3469,3428,2810,3517,3618,3506,3525,3467,3495,3635,3580,3489,3390,3549,3526,3491,3025,2896,3557,3327,3544,3161
