ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3084,3330,3011,3307,2847,3142,3186,2847,3018,2623,2943,3311,2928,3113,2877,2858,3118,2778,2719,2506,3352,3322,3310,3036,3394,3616,3462,3555,3291,3493,3576,3147,3467,3443,3494,3659,3564,3496,3405,3556,3510,3327,3004,2894,3645,3616,3634,3456,3082,3350,3144,3337,3274,3064,3397,3260,3184,2788,2964,3318,2860,3186,3234,2970,3203,3199,2755,2569,3365,3368,3361,3290
3084,3330,3011,3307,2847,3147,3184,2862,3019,2604,2940,3308,2938,3115,2877,2881,3122,2775,2734,2504,3357,3336,3305,3039,3394,3616,3462,3555,3291,3487,3578,3155,3467,3441,3492,3647,3559,3499,3408,3557,3510,3324,3005,2888,3652,3614,3628,3460,3082,3350,3144,3337,3274,3069,3399,3259,3184,2783,2959,3327,2857,3190,3240,2972,3207,3200,2761,2570,3370,3378,3360,3282
3077,3332,3004,3305,2849,3147,3176,2851,3015,2627,2942,3312,2934,3108,2877,2864,3130,2775,2734,2504,3357,3336,3305,3039,3398,3622,3460,3556,3282,3490,3574,3153,3465,3437,3492,3656,3568,3499,3407,3549,3512,3324,3005,2888,3652,3614,3628,3460,3085,3352,3134,3341,3276,3029,3396,3258,3180,2786,2958,3322,2859,3186,3235,2972,3206,3200,2761,2570,3370,3378,3360,3282
3073,3328,3008,3304,2845,3135,3183,2861,3017,2627,2942,3312,2934,3108,2877,2864,3130,2768,2734,2498,3356,3334,3308,3043,3397,3620,3462,3552,3284,3486,3576,3149,3457,3437,3492,3656,3568,3499,3407,3549,3512,3334,3004,2891,3649,3609,3632,3452,3088,3349,3144,3335,3273,3063,3400,3257,3186,2786,2958,3322,2859,3186,3235,2972,3206,3204,2760,2572,3368,3373,3365,3282
3080,3328,3008,3304,2845,3135,3183,2861,3017,2624,2944,3312,2940,3115,2876,2879,3128,2772,2738,2506,3353,3316,3315,3035,3400,3620,3462,3552,3284,3486,3576,3149,3457,3441,3493,3651,3560,3498,3409,3554,3509,3337,3007,2893,3647,3609,3627,3461,3088,3349,3144,3335,3273,3063,3400,3257,3186,2781,2960,3321,2859,3188,3230,2973,3208,3199,2760,2568,3369,3372,3360,3278
3080,3325,3014,3306,2836,3144,3183,2861,3017,2622,2944,3318,2931,3117,2878,2870,3128,2771,2735,2501,3357,3316,3315,3035,3400,3621,3463,3556,3278,3493,3573,3142,3469,3447,3488,3658,3561,3500,3405,3540,3515,3334,3007,2889,3648,3609,3627,3461,3088,3347,3144,3331,3274,3067,3398,3262,3185,2783,2960,3326,2864,3190,3240,2976,3206,3204,2762,2573,3370,3372,3360,3278
3074,3335,3008,3304,2856,3140,3179,2863,3005,2625,2947,3312,2926,3117,2878,2870,3128,2771,2735,2501,3357,3328,3321,3031,3399,3606,3467,3556,3275,3503,3581,3134,3470,3443,3488,3663,3560,3500,3405,3540,3515,3334,3007,2889,3648,3591,3627,3468,3085,3355,3139,3339,3272,3068,3397,3259,3180,2782,2958,3325,2856,3190,3240,2976,3206,3204,2762,2573,3370,3376,3360,3283
3079,3329,3010,3304,2858,3140,3179,2863,3005,2625,2947,3312,2926,3114,2873,2875,3115,2767,2732,2488,3350,3332,3312,3028,3396,3616,3469,3556,3275,3503,3581,3134,3470,3443,3488,3663,3560,3497,3402,3552,3513,3338,3005,2890,3650,3610,3616,3465,3081,3352,3142,3334,3272,3068,3397,3259,3180,2782,2958,3325,2856,3187,3236,2946,3204,3201,2751,2570,3372,3373,3364,3285
3079,3329,3010,3304,2858,3156,3180,2861,3020,2624,2946,3317,2931,3116,2868,2865,3123,2781,2733,2507,3355,3330,3317,3024,3396,3616,3469,3556,3275,3498,3574,3151,3472,3448,3488,3655,3556,3500,3395,3547,3515,3341,3002,2886,3647,3616,3636,3466,3081,3352,3142,3334,3272,3064,3394,3260,3183,2787,2957,3329,2861,3187,3236,2975,3204,3203,2756,2566,3364,3372,3362,3285
3080,3317,3018,3295,2855,3100,3178,2851,3013,2623,2939,3298,2927,3115,2864,2870,3117,2781,2733,2507,3355,3330,3317,3024,3399,3618,3472,3563,3274,3500,3586,3165,3475,3449,3492,3655,3557,3489,3399,3548,3511,3341,3002,2886,3647,3616,3636,3466,3085,3354,3135,3340,3272,3063,3399,3259,3181,2784,2958,3324,2856,3183,3236,2978,3207,3203,2756,2566,3364,3372,3362,3285
3074,3328,3011,3305,2856,3149,3176,2858,3016,2623,2939,3298,2927,3115,2864,2870,3117,2781,2725,2495,3355,3330,3325,3037,3400,3612,3470,3556,3276,3499,3583,3172,3474,3449,3492,3655,3557,3489,3399,3548,3511,3336,3000,2883,3651,3611,3626,3462,3084,3355,3140,3339,3264,3067,3399,3262,3179,2784,2958,3324,2856,3183,3236,2978,3207,3197,2760,2573,3370,3374,3358,3283
3080,3328,3011,3305,2856,3149,3176,2858,3016,2626,2950,3308,2928,3118,2875,2871,3131,2776,2729,2505,3354,3325,3300,3031,3403,3612,3470,3556,3276,3499,3583,3172,3474,3447,3487,3646,3565,3494,3387,3547,3506,3304,3002,2881,3648,3610,3626,3455,3084,3355,3140,3339,3264,3067,3399,3262,3179,2786,2953,3327,2864,3190,3238,2970,3204,3201,2762,2568,3366,3361,3361,3283
3080,3325,3008,3284,2860,3144,3175,2855,3016,2605,2943,3306,2934,3113,2874,2874,3124,2782,2734,2502,3354,3325,3300,3031,3403,3626,3466,3557,3274,3499,3583,3179,3467,3453,3494,3656,3560,3492,3392,3550,3505,3328,3001,2883,3652,3610,3626,3455,3084,3353,3141,3335,3274,3063,3397,3257,3183,2788,2962,3324,2858,3186,3235,2973,3200,3205,2764,2571,3362,3361,3361,3283
3076,3316,3018,3307,2855,3149,3171,2855,3021,2624,2943,3311,2931,3113,2874,2874,3124,2782,2734,2502,3354,3331,3317,3040,3406,3614,3470,3558,3261,3495,3554,3187,3469,3445,3497,3655,3560,3492,3392,3550,3505,3328,3001,2883,3652,3613,3630,3457,3086,3352,3140,3335,3274,3068,3391,3263,3179,2781,2958,3320,2859,3186,3235,2973,3200,3205,2764,2571,3362,3374,3364,3284
3080,3327,3007,3304,2856,3149,3171,2855,3021,2624,2943,3311,2931,3113,2863,2873,3133,2763,2728,2507,3354,3332,3320,3038,3399,3616,3466,3551,3258,3495,3554,3187,3469,3445,3497,3655,3560,3496,3391,3557,3500,3337,3001,2880,3647,3610,3626,3458,3085,3351,3141,3335,3274,3068,3391,3263,3179,2781,2958,3320,2859,3188,3229,2976,3202,3205,2759,2570,3366,3375,3365,3280
3080,3327,3007,3304,2856,3152,3184,2856,3016,2623,2944,3320,2932,3117,2876,2874,3128,2778,2707,2502,3360,3327,3321,3019,3399,3616,3466,3551,3258,3492,3574,3177,3476,3445,3508,3649,3570,3496,3387,3552,3512,3341,3006,2886,3647,3603,3633,3455,3085,3351,3141,3335,3274,3066,3395,3258,3182,2783,2960,3327,2860,3188,3234,2968,3208,3195,2762,2574,3368,3373,3358,3280
3081,3324,3005,3300,2849,3151,3163,2857,3016,2597,2946,3317,2929,3109,2874,2865,3126,2778,2707,2502,3360,3327,3321,3019,3398,3617,3465,3556,3242,3488,3578,3185,3472,3445,3498,3652,3570,3502,3392,3552,3508,3341,3006,2886,3647,3603,3633,3455,3086,3353,3141,3334,3272,3068,3396,3258,3174,2782,2960,3322,2863,3189,3230,2975,3209,3195,2762,2574,3368,3373,3358,3280
3078,3317,3010,3302,2855,3152,3172,2859,3019,2597,2946,3317,2929,3109,2874,2865,3126,2780,2737,2494,3359,3335,3318,3041,3398,3618,3463,3548,3235,3490,3573,3183,3470,3445,3498,3652,3570,3502,3392,3552,3508,3350,3007,2890,3645,3605,3626,3457,3080,3345,3140,3340,3275,3067,3394,3265,3186,2782,2960,3322,2863,3189,3230,2975,3209,3204,2754,2570,3367,3364,3360,3283
3083,3317,3010,3302,2855,3152,3172,2859,3019,2627,2944,3318,2930,3118,2871,2875,3126,2781,2735,2500,3356,3331,3321,3020,3405,3618,3463,3548,3235,3490,3573,3183,3470,3434,3500,3659,3562,3505,3397,3550,3508,3350,3002,2888,3646,3606,3632,3457,3088,3345,3140,3340,3275,3067,3394,3265,3186,2792,2963,3322,2866,3190,3236,2975,3204,3200,2759,2571,3363,3373,3360,3285
3083,3326,2997,3304,2860,3153,3178,2847,3010,2630,2941,3309,2929,3105,2869,2880,3114,2778,2731,2500,3345,3331,3321,3020,3405,3618,3441,3554,3246,3484,3576,3181,3467,3437,3496,3650,3567,3502,3398,3551,3506,3351,3006,2888,3654,3606,3632,3457,3088,3349,3141,3339,3270,3066,3395,3259,3181,2790,2961,3314,2861,3189,3235,2978,3203,3195,2757,2573,3368,3373,3360,3285
3080,3317,3001,3299,2856,3152,3183,2860,3011,2624,2948,3315,2920,3105,2869,2880,3114,2778,2731,2500,3345,3323,3315,3035,3404,3623,3473,3558,3243,3499,3577,3184,3471,3447,3494,3664,3560,3502,3398,3551,3506,3351,3006,2888,3654,3607,3631,3457,3085,3355,3138,3331,3273,3066,3396,3262,3181,2784,2959,3306,2862,3189,3235,2978,3203,3195,2757,2573,3368,3369,3362,3284
3078,3328,3010,3301,2854,3152,3183,2860,3011,2624,2948,3315,2920,3112,2866,2879,3127,2776,2722,2497,3348,3330,3311,3038,3402,3608,3471,3555,3249,3499,3577,3184,3471,3447,3494,3664,3560,3498,3401,3553,3510,3352,3006,2888,3650,3598,3626,3458,3085,3350,3138,3335,3274,3066,3396,3262,3181,2784,2959,3306,2862,3186,3235,2974,3205,3203,2760,2569,3363,3377,3360,3283
3078,3328,3010,3301,2854,3154,3179,2847,3018,2623,2944,3305,2936,3117,2873,2872,3127,2778,2722,2507,3356,3332,3316,3033,3402,3608,3471,3555,3249,3502,3576,3173,3469,3445,3490,3659,3558,3502,3401,3545,3514,3354,3002,2886,3646,3604,3628,3464,3085,3350,3138,3335,3274,3069,3390,3260,3182,2789,2961,3327,2854,3185,3235,2974,3208,3201,2760,2570,3369,3377,3364,3287
3084,3327,2996,3297,2854,3153,3180,2863,3009,2612,2945,3318,2936,3114,2862,2881,3120,2778,2722,2507,3356,3332,3316,3033,3405,3614,3474,3555,3255,3498,3585,3180,3473,3446,3492,3656,3559,3495,3409,3544,3511,3354,3002,2886,3646,3604,3628,3464,3089,3350,3142,3341,3276,3063,3394,3260,3184,2788,2959,3313,2857,3187,3236,2972,3209,3201,2760,2570,3369,3377,3364,3287
3083,3325,3003,3305,2854,3155,3179,2863,3017,2612,2945,3318,2936,3114,2862,2881,3120,2777,2733,2496,3349,3335,3310,3038,3403,3618,3469,3554,3250,3502,3577,3178,3468,3446,3492,3656,3559,3495,3409,3544,3511,3355,3005,2883,3654,3610,3631,3463,3088,3352,3137,3337,3274,3068,3399,3264,3182,2788,2959,3313,2857,3187,3236,2972,3209,3201,2755,2572,3363,3362,3353,3283
3081,3325,3003,3305,2854,3155,3179,2863,3017,2621,2943,3315,2929,3101,2875,2872,3130,2779,2720,2504,3352,3329,3312,3042,3403,3618,3469,3554,3250,3502,3577,3178,3468,3450,3488,3652,3553,3497,3403,3543,3508,3358,3002,2881,3645,3603,3632,3461,3084,3352,3137,3337,3274,3068,3399,3264,3182,2783,2959,3328,2861,3186,3229,2973,3202,3199,2762,2572,3362,3374,3362,3283
3081,3325,3011,3292,2861,3153,3180,2855,3009,2619,2954,3310,2934,3119,2867,2869,3132,2767,2734,2504,3349,3329,3312,3042,3403,3616,3475,3556,3251,3504,3578,3174,3470,3452,3492,3654,3555,3494,3405,3548,3509,3361,3008,2868,3650,3603,3632,3461,3084,3348,3140,3335,3273,3065,3402,3259,3174,2788,2956,3322,2862,3187,3236,2970,3205,3201,2763,2569,3369,3374,3362,3283
3080,3313,3005,3300,2856,3146,3185,2855,3011,2623,2945,3319,2935,3119,2867,2869,3132,2767,2734,2504,3349,3327,3306,3034,3402,3616,3474,3558,3245,3505,3577,3180,3472,3446,3489,3659,3554,3494,3405,3548,3509,3361,3008,2868,3650,3613,3630,3435,3083,3354,3136,3340,3272,3070,3393,3265,3184,2785,2960,3330,2861,3187,3236,2970,3205,3201,2763,2569,3369,3374,3359,3287
3080,3325,3005,3298,2848,3146,3185,2855,3011,2623,2945,3319,2935,3118,2865,2869,3128,2779,2734,2504,3345,3326,3318,3038,3410,3620,3477,3556,3242,3505,3577,3180,3472,3446,3489,3659,3554,3496,3403,3543,3508,3362,3005,2885,3649,3613,3626,3459,3082,3351,3141,3328,3274,3070,3393,3265,3184,2785,2960,3330,2861,3185,3240,2975,3204,3203,2762,2569,3370,3374,3364,3286
