ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3491,3675,3550,3632,3337,3536,3673,3501,3517,3421,3538,3689,3571,3527,3416,3544,3536,3485,3026,2873,3690,3657,3668,3505
3494,3677,3545,3631,3334,3531,3672,3512,3517,3425,3536,3688,3575,3512,3413,3544,3536,3485,3026,2873,3690,3657,3668,3506
3493,3674,3545,3635,3338,3533,3674,3512,3517,3425,3536,3688,3575,3512,3413,3552,3535,3482,3027,2869,3688,3667,3668,3504
3493,3674,3545,3635,3338,3533,3674,3500,3526,3424,3537,3687,3569,3520,3416,3555,3536,3477,3024,2875,3690,3660,3674,3502
3488,3679,3541,3631,3347,3526,3671,3510,3524,3417,3538,3689,3572,3510,3416,3552,3535,3482,3023,2875,3690,3660,3674,3502
3490,3679,3541,3629,3352,3524,3666,3493,3523,3417,3538,3689,3572,3510,3416,3552,3535,3482,3023,2870,3692,3667,3672,3511
3492,3679,3543,3629,3352,3524,3666,3493,3523,3417,3538,3690,3574,3518,3413,3550,3533,3484,3025,2876,3693,3664,3668,3503
3492,3679,3543,3629,3358,3514,3669,3512,3526,3410,3536,3689,3566,3524,3410,3540,3533,3479,3021,2880,3693,3658,3668,3503
3489,3680,3542,3628,3365,3524,3669,3517,3522,3412,3532,3696,3567,3520,3402,3540,3533,3479,3021,2880,3693,3658,3668,3502
3497,3685,3543,3631,3352,3524,3672,3517,3522,3412,3532,3696,3567,3520,3402,3549,3536,3478,3019,2877,3691,3661,3672,3500
3497,3685,3543,3631,3352,3524,3672,3511,3523,3415,3531,3689,3572,3517,3412,3554,3532,3487,3025,2877,3694,3665,3668,3498
3490,3678,3543,3628,3356,3523,3669,3514,3518,3413,3540,3686,3573,3518,3410,3561,3538,3480,3024,2877,3694,3665,3668,3498
3488,3665,3534,3631,3350,3521,3668,3498,3522,3418,3501,3686,3573,3518,3410,3561,3538,3480,3024,2879,3692,3655,3667,3502
3486,3680,3537,3631,3350,3521,3668,3498,3522,3418,3501,3692,3577,3525,3409,3555,3539,3481,3025,2877,3692,3661,3671,3505
3486,3680,3537,3630,3366,3517,3667,3511,3522,3414,3538,3691,3579,3518,3411,3564,3535,3490,3030,2880,3688,3668,3669,3505
3486,3684,3530,3628,3360,3517,3659,3511,3518,3407,3542,3692,3583,3513,3401,3564,3535,3490,3030,2880,3688,3668,3669,3501
3484,3674,3536,3621,3358,3514,3667,3511,3518,3407,3542,3692,3583,3513,3401,3562,3537,3481,3028,2875,3689,3657,3669,3502
3484,3674,3536,3621,3358,3514,3667,3512,3526,3412,3542,3690,3582,3524,3410,3562,3539,3482,3029,2876,3688,3666,3668,3498
3486,3673,3531,3626,3358,3513,3671,3513,3525,3414,3541,3691,3583,3513,3406,3565,3537,3477,3025,2876,3688,3666,3668,3498
