ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3468,3664,3501,3563,3236,3510,3548,3008,3461,3455,3526,3688,3556,3520,3490,3539,3531,3438,3019,2889,3684,3648,3662,3518
3468,3664,3501,3557,3246,3516,3547,3004,3468,3455,3532,3687,3557,3522,3491,3536,3532,3436,3014,2889,3682,3635,3661,3518
3466,3668,3496,3561,3237,3518,3542,3003,3466,3456,3529,3687,3561,3522,3491,3536,3532,3436,3014,2889,3682,3635,3661,3516
3475,3661,3497,3567,3236,3519,3543,3003,3466,3456,3529,3687,3561,3522,3491,3505,3538,3437,3012,2885,3675,3646,3665,3517
3475,3661,3497,3567,3236,3519,3543,3011,3471,3462,3533,3690,3553,3519,3501,3528,3534,3444,3016,2884,3674,3640,3664,3520
3468,3658,3507,3562,3235,3523,3544,3019,3467,3465,3529,3684,3553,3522,3484,3522,3536,3441,3018,2884,3674,3640,3664,3520
3473,3665,3504,3569,3238,3526,3542,3017,3465,3460,3536,3684,3553,3522,3484,3522,3536,3441,3018,2887,3673,3647,3669,3514
3477,3663,3504,3569,3238,3526,3542,3017,3465,3460,3536,3681,3552,3502,3493,3527,3529,3446,3011,2874,3682,3650,3670,3504
3477,3663,3504,3567,3228,3525,3542,3029,3465,3461,3534,3678,3552,3519,3492,3524,3531,3448,3016,2879,3680,3645,3662,3504
3477,3665,3506,3568,3232,3524,3549,3028,3469,3460,3530,3682,3547,3520,3493,3524,3531,3448,3016,2879,3680,3645,3662,3515
3473,3665,3508,3566,3227,3530,3540,3028,3469,3460,3530,3682,3547,3520,3493,3527,3530,3447,3011,2883,3687,3645,3654,3513
3473,3665,3508,3566,3227,3530,3540,3038,3468,3460,3534,3679,3548,3517,3490,3525,3534,3438,3010,2882,3678,3640,3666,3504
3475,3661,3509,3567,3229,3528,3541,3046,3467,3461,3530,3672,3553,3518,3494,3523,3531,3440,3010,2882,3678,3640,3666,3504
3473,3659,3507,3568,3225,3525,3540,3045,3468,3468,3526,3672,3553,3518,3494,3523,3531,3440,3010,2885,3682,3643,3662,3502
3471,3660,3512,3568,3225,3525,3540,3045,3468,3468,3526,3680,3555,3519,3496,3519,3529,3448,3010,2885,3684,3638,3655,3516
3471,3660,3512,3563,3223,3537,3537,3038,3462,3462,3527,3680,3552,3521,3496,3525,3530,3442,3015,2885,3676,3643,3671,3516
3468,3658,3512,3560,3213,3524,3542,3040,3472,3470,3522,3682,3555,3521,3496,3525,3530,3442,3015,2885,3676,3643,3671,3508
3470,3659,3507,3553,3218,3533,3537,3040,3472,3470,3522,3682,3555,3521,3496,3526,3528,3451,3014,2887,3680,3652,3663,3513
3470,3659,3507,3553,3218,3533,3537,3054,3470,3456,3527,3683,3556,3511,3490,3523,3523,3450,3014,2879,3674,3641,3662,3516
3469,3663,3512,3566,3218,3538,3534,3051,3461,3465,3501,3682,3554,3516,3499,3527,3531,3453,3015,2879,3674,3641,3662,3516
3473,3657,3515,3566,3220,3536,3534,3050,3457,3458,3525,3682,3554,3516,3499,3527,3531,3453,3015,2883,3682,3645,3662,3519
3474,3652,3510,3566,3220,3536,3534,3050,3457,3458,3525,3681,3549,3517,3494,3529,3530,3449,3012,2888,3674,3646,3660,3517
3474,3652,3510,3566,3215,3535,3533,3048,3466,3464,3521,3684,3554,3514,3491,3534,3532,3457,3019,2893,3678,3641,3658,3517
3461,3627,3506,3561,3208,3539,3530,3054,3463,3473,3522,3687,3554,3514,3493,3534,3532,3457,3019,2893,3678,3641,3658,3512
3459,3645,3513,3561,3199,3535,3529,3054,3463,3473,3522,3687,3554,3514,3493,3538,3533,3453,3018,2894,3675,3645,3658,3508
3459,3645,3513,3561,3199,3535,3529,3064,3465,3471,3519,3673,3556,3515,3494,3532,3537,3450,3016,2894,3675,3636,3664,3507
3446,3648,3506,3558,3187,3534,3525,3066,3464,3475,3514,3684,3553,3519,3492,3531,3538,3457,3013,2894,3675,3636,3664,3507
3455,3652,3506,3554,3190,3538,3525,3099,3468,3471,3520,3684,3553,3519,3492,3531,3538,3457,3013,2892,3681,3635,3660,3501
3457,3656,3508,3554,3190,3538,3525,3099,3468,3471,3520,3677,3557,3517,3496,3528,3540,3452,3018,2891,3672,3634,3661,3491
3457,3656,3508,3546,3183,3544,3517,3118,3469,3472,3518,3685,3555,3512,3494,3530,3537,3458,3017,2892,3675,3635,3661,3491
3453,3656,3508,3549,3170,3545,3523,3142,3469,3470,3519,3684,3554,3521,3497,3530,3537,3458,3017,2892,3675,3635,3661,3507
3461,3660,3517,3553,3169,3546,3516,3142,3469,3470,3519,3684,3554,3521,3497,3523,3544,3466,3019,2888,3672,3632,3647,3502
3461,3660,3517,3553,3169,3546,3516,3158,3472,3468,3520,3680,3551,3519,3499,3527,3536,3464,3018,2889,3680,3631,3653,3499
3461,3654,3511,3546,3156,3546,3512,3175,3471,3465,3518,3684,3550,3514,3493,3521,3539,3468,3021,2889,3680,3631,3653,3499
3465,3642,3512,3552,3142,3545,3512,3186,3472,3471,3520,3684,3550,3514,3493,3521,3539,3468,3021,2880,3671,3630,3632,3500
3465,3649,3521,3552,3142,3545,3512,3186,3472,3471,3520,3682,3549,3520,3498,3519,3536,3472,3017,2882,3675,3634,3656,3496
3465,3649,3521,3550,3141,3545,3508,3202,3461,3472,3522,3680,3554,3514,3489,3525,3534,3466,3014,2885,3674,3619,3652,3496
3469,3655,3520,3551,3136,3543,3514,3206,3466,3459,3518,3678,3552,3507,3487,3525,3534,3466,3014,2885,3674,3619,3652,3503
3467,3653,3519,3549,3130,3547,3498,3206,3466,3459,3518,3678,3552,3507,3487,3518,3537,3465,3018,2878,3670,3622,3657,3496
3467,3653,3519,3549,3130,3547,3498,3223,3475,3476,3518,3680,3549,3509,3492,3522,3530,3475,3014,2883,3673,3630,3654,3489
3468,3646,3525,3552,3124,3553,3497,3235,3483,3472,3514,3673,3542,3516,3483,3519,3531,3467,3010,2883,3673,3630,3654,3489
3467,3657,3529,3547,3124,3552,3501,3264,3477,3480,3516,3673,3542,3516,3483,3519,3531,3467,3010,2883,3666,3634,3657,3492
3470,3653,3533,3547,3124,3552,3501,3264,3477,3480,3516,3678,3534,3501,3492,3513,3530,3465,3010,2872,3668,3624,3653,3494
3470,3653,3533,3545,3121,3564,3489,3282,3479,3476,3512,3675,3538,3509,3487,3509,3530,3473,3014,2877,3665,3625,3646,3494
3472,3657,3534,3552,3109,3556,3488,3294,3482,3467,3510,3680,3528,3509,3484,3509,3530,3473,3014,2877,3665,3625,3646,3488
3479,3656,3540,3538,3099,3563,3485,3294,3482,3467,3510,3680,3528,3509,3484,3504,3526,3476,3006,2876,3670,3622,3648,3485
3479,3656,3540,3538,3099,3563,3485,3303,3485,3478,3515,3677,3536,3511,3487,3504,3530,3465,3013,2875,3667,3618,3654,3488
3481,3662,3540,3538,3083,3564,3470,3312,3481,3472,3508,3673,3538,3510,3476,3503,3525,3469,3011,2875,3667,3618,3654,3488
3483,3661,3539,3533,3084,3562,3471,3315,3476,3464,3517,3673,3538,3510,3476,3503,3525,3469,3011,2876,3668,3619,3645,3491
3485,3659,3538,3533,3084,3562,3471,3315,3476,3464,3517,3668,3535,3510,3488,3498,3527,3470,3014,2872,3667,3621,3651,3489
3485,3659,3538,3531,3078,3559,3469,3316,3478,3476,3516,3678,3537,3508,3484,3502,3529,3471,3013,2870,3670,3609,3653,3489
3488,3656,3538,3540,3077,3563,3461,3326,3482,3467,3519,3677,3536,3502,3478,3502,3529,3471,3013,2870,3670,3609,3653,3487
3488,3666,3546,3527,3080,3564,3460,3326,3482,3467,3519,3677,3536,3502,3478,3498,3529,3469,3015,2864,3665,3615,3650,3483
3488,3666,3546,3527,3080,3564,3460,3337,3482,3464,3516,3679,3538,3506,3474,3496,3524,3468,3010,2870,3664,3616,3652,3482
3493,3663,3546,3532,3080,3562,3455,3348,3476,3479,3522,3677,3531,3507,3482,3493,3523,3465,3011,2870,3664,3616,3652,3482
3494,3654,3549,3532,3079,3558,3455,3344,3475,3470,3521,3677,3531,3507,3482,3493,3523,3465,3011,2857,3667,3613,3643,3488
3486,3661,3541,3532,3079,3558,3455,3344,3475,3470,3521,3676,3498,3502,3486,3492,3520,3474,3009,2864,3670,3619,3651,3477
3486,3661,3541,3533,3073,3568,3452,3345,3478,3476,3516,3680,3534,3502,3486,3497,3518,3470,3007,2867,3675,3611,3649,3477
3492,3655,3549,3534,3072,3560,3452,3349,3484,3471,3524,3685,3534,3506,3481,3497,3518,3470,3007,2867,3675,3611,3649,3480
3484,3658,3544,3527,3067,3568,3445,3349,3484,3471,3524,3685,3534,3506,3481,3488,3519,3464,3008,2868,3665,3613,3641,3476
3484,3658,3544,3527,3067,3568,3445,3353,3480,3476,3518,3670,3530,3507,3482,3485,3517,3466,3004,2871,3666,3600,3644,3476
3486,3662,3548,3529,3068,3563,3447,3352,3480,3469,3523,3671,3534,3503,3475,3480,3516,3472,3013,2871,3666,3600,3644,3476
3487,3662,3541,3525,3073,3557,3440,3365,3481,3470,3519,3671,3534,3503,3475,3480,3516,3472,3013,2868,3671,3610,3645,3480
3493,3658,3553,3525,3073,3557,3440,3365,3481,3470,3519,3684,3531,3505,3479,3483,3507,3458,3008,2867,3668,3611,3648,3474
3493,3658,3553,3521,3061,3564,3443,3367,3494,3474,3520,3672,3534,3503,3476,3476,3511,3464,3011,2866,3668,3610,3648,3474
3492,3662,3544,3526,3063,3563,3445,3374,3482,3465,3520,3680,3534,3503,3482,3476,3511,3464,3011,2866,3668,3610,3648,3478
3494,3660,3544,3516,3060,3561,3446,3374,3482,3465,3520,3680,3534,3503,3482,3476,3514,3466,3011,2865,3666,3605,3648,3488
3494,3660,3544,3516,3060,3561,3446,3375,3482,3471,3525,3683,3530,3500,3479,3476,3505,3468,3006,2866,3668,3611,3652,3478
3490,3656,3547,3526,3058,3560,3450,3385,3492,3462,3523,3679,3534,3504,3469,3463,3508,3474,3007,2866,3668,3611,3652,3478
3503,3666,3543,3522,3056,3563,3449,3398,3491,3473,3529,3679,3534,3504,3469,3463,3508,3474,3007,2866,3660,3605,3647,3473
3492,3649,3541,3522,3056,3563,3449,3398,3491,3473,3529,3682,3533,3508,3475,3469,3508,3473,3004,2862,3672,3605,3649,3476
3492,3649,3541,3517,3052,3554,3455,3408,3488,3476,3527,3673,3533,3504,3470,3472,3500,3464,2998,2856,3665,3602,3646,3476
3494,3661,3540,3517,3046,3557,3447,3409,3503,3470,3530,3677,3535,3505,3482,3472,3500,3464,2998,2856,3665,3602,3646,3474
3493,3662,3546,3517,3042,3561,3447,3409,3503,3470,3530,3677,3535,3505,3482,3466,3504,3471,3009,2860,3668,3608,3647,3471
3493,3662,3546,3517,3042,3561,3447,3404,3498,3469,3534,3680,3530,3509,3477,3463,3496,3473,3000,2858,3667,3602,3634,3464
3497,3659,3544,3513,3040,3558,3461,3415,3497,3472,3528,3683,3532,3503,3476,3461,3508,3460,3004,2858,3667,3602,3634,3464
3496,3660,3540,3511,3048,3556,3458,3422,3503,3475,3527,3683,3532,3503,3476,3461,3508,3460,3004,2853,3669,3601,3644,3463
3496,3665,3543,3511,3048,3556,3458,3422,3503,3475,3527,3677,3530,3505,3474,3467,3500,3460,3004,2854,3664,3590,3640,3472
3496,3665,3543,3510,3054,3561,3461,3430,3501,3467,3534,3684,3530,3505,3478,3456,3502,3464,3004,2851,3666,3593,3647,3472
3502,3666,3544,3508,3043,3557,3459,3427,3505,3475,3528,3668,3533,3500,3482,3456,3502,3464,3004,2851,3666,3593,3647,3472
3498,3664,3543,3510,3040,3562,3458,3427,3505,3475,3528,3668,3533,3500,3482,3459,3498,3467,3001,2852,3671,3585,3641,3461
3498,3664,3543,3510,3040,3562,3458,3437,3498,3479,3533,3681,3532,3501,3478,3462,3504,3465,3000,2848,3666,3580,3642,3467
3496,3654,3544,3504,3044,3561,3456,3435,3502,3469,3532,3682,3528,3504,3464,3456,3504,3469,3001,2848,3666,3580,3642,3467
3500,3656,3545,3506,3043,3560,3462,3437,3511,3476,3529,3682,3528,3504,3464,3456,3504,3469,3001,2851,3666,3594,3641,3468
3502,3662,3541,3506,3043,3560,3462,3437,3511,3476,3529,3682,3530,3500,3469,3451,3498,3466,2999,2847,3663,3570,3650,3468
3502,3662,3541,3509,3045,3558,3468,3443,3505,3479,3530,3681,3530,3491,3476,3455,3500,3465,2986,2844,3669,3594,3650,3468
3492,3661,3541,3503,3050,3558,3471,3430,3511,3470,3530,3681,3533,3496,3474,3455,3500,3465,2986,2844,3669,3594,3650,3474
3503,3660,3547,3505,3052,3560,3478,3430,3511,3470,3530,3681,3533,3496,3474,3462,3499,3456,2989,2843,3661,3600,3649,3455
3503,3660,3547,3505,3052,3560,3478,3448,3509,3472,3534,3681,3532,3501,3476,3458,3494,3467,2991,2836,3672,3589,3643,3462
3504,3660,3545,3501,3058,3561,3468,3459,3510,3472,3532,3684,3495,3503,3476,3456,3487,3467,2992,2836,3672,3589,3643,3462
3499,3664,3544,3499,3060,3555,3485,3451,3509,3471,3532,3684,3495,3503,3476,3456,3487,3467,2992,2834,3662,3592,3641,3470
3507,3658,3544,3499,3060,3555,3485,3451,3509,3471,3532,3682,3533,3499,3474,3456,3493,3467,2990,2837,3669,3585,3642,3464
3507,3658,3544,3496,3060,3558,3490,3464,3509,3470,3535,3677,3536,3508,3478,3456,3494,3448,2992,2836,3660,3583,3643,3464
3504,3662,3546,3491,3053,3556,3497,3464,3514,3465,3534,3683,3531,3502,3477,3456,3494,3448,2992,2836,3660,3583,3643,3462
3509,3664,3545,3492,3054,3557,3500,3464,3514,3465,3534,3683,3531,3502,3477,3457,3496,3469,2988,2834,3664,3583,3648,3467
3509,3664,3545,3492,3054,3557,3500,3469,3509,3473,3538,3678,3536,3507,3479,3462,3486,3455,2983,2833,3661,3582,3641,3460
3501,3659,3550,3472,3047,3557,3507,3467,3509,3474,3542,3680,3539,3503,3479,3467,3500,3463,2988,2833,3661,3582,3641,3460
3502,3661,3542,3483,3048,3554,3509,3464,3508,3470,3536,3680,3539,3503,3479,3467,3500,3463,2988,2834,3664,3571,3646,3458
3500,3654,3536,3483,3048,3554,3509,3464,3508,3470,3536,3684,3542,3501,3477,3465,3493,3467,2988,2835,3663,3575,3653,3460
3500,3654,3536,3498,3036,3557,3513,3472,3515,3471,3539,3684,3542,3503,3480,3470,3499,3473,2984,2830,3657,3582,3646,3460
3501,3660,3534,3492,3038,3558,3519,3481,3516,3469,3539,3688,3545,3508,3480,3470,3499,3473,2984,2830,3657,3582,3646,3458
3498,3651,3536,3491,3034,3555,3523,3481,3516,3469,3539,3688,3545,3508,3480,3474,3499,3471,2983,2832,3663,3572,3647,3456
3498,3651,3536,3491,3034,3555,3523,3476,3518,3472,3540,3691,3540,3505,3474,3478,3508,3469,2991,2820,3667,3577,3650,3445
3494,3659,3532,3493,3034,3554,3528,3480,3518,3470,3543,3683,3548,3504,3483,3479,3501,3476,2987,2820,3667,3577,3650,3445
3497,3653,3536,3489,3030,3552,3544,3481,3518,3472,3540,3683,3548,3504,3483,3479,3501,3476,2987,2836,3665,3577,3644,3459
3484,3651,3535,3489,3030,3552,3544,3481,3518,3472,3540,3680,3553,3509,3480,3483,3508,3469,2986,2840,3666,3580,3649,3454
3484,3651,3535,3488,3015,3549,3546,3490,3518,3469,3542,3693,3551,3514,3486,3490,3511,3476,2990,2835,3660,3576,3650,3454
3492,3651,3531,3491,3011,3554,3546,3491,3524,3468,3542,3683,3553,3510,3479,3490,3511,3476,2990,2835,3660,3576,3650,3457
3489,3657,3533,3484,3006,3552,3543,3491,3524,3468,3542,3683,3553,3510,3479,3490,3512,3470,2991,2842,3659,3563,3644,3444
3489,3657,3533,3484,3006,3552,3543,3490,3527,3468,3538,3683,3552,3512,3487,3489,3517,3477,2994,2842,3665,3570,3647,3452
3488,3659,3529,3484,3007,3553,3554,3496,3523,3469,3538,3689,3558,3513,3486,3496,3508,3477,2997,2842,3665,3570,3647,3452
3490,3649,3533,3491,2995,3551,3557,3494,3522,3468,3544,3689,3558,3513,3486,3496,3508,3477,2997,2843,3660,3571,3641,3448
3489,3651,3527,3491,2995,3551,3557,3494,3522,3468,3544,3685,3560,3514,3488,3494,3509,3481,2997,2844,3656,3568,3647,3447
3489,3651,3527,3470,3001,3560,3561,3494,3523,3465,3540,3685,3564,3507,3490,3501,3516,3484,3000,2839,3658,3566,3648,3447
3487,3650,3530,3482,3002,3558,3569,3501,3522,3463,3544,3683,3566,3517,3492,3501,3516,3484,3000,2839,3658,3566,3648,3448
3486,3647,3529,3488,3002,3555,3569,3501,3522,3463,3544,3683,3566,3517,3492,3501,3520,3485,2998,2837,3662,3568,3646,3444
3486,3647,3529,3488,3002,3555,3569,3498,3513,3469,3543,3686,3554,3514,3487,3501,3523,3489,2995,2842,3657,3556,3647,3443
3492,3641,3528,3480,2995,3551,3575,3489,3520,3463,3545,3685,3565,3516,3484,3507,3521,3490,2999,2842,3657,3556,3647,3443
3481,3651,3533,3485,2986,3554,3567,3492,3523,3467,3542,3685,3565,3516,3484,3507,3521,3490,2999,2846,3652,3568,3649,3439
3478,3650,3530,3485,2986,3554,3567,3492,3523,3467,3542,3684,3563,3507,3482,3515,3525,3488,3002,2847,3665,3568,3647,3432
3478,3650,3530,3488,2986,3549,3569,3502,3524,3470,3541,3678,3563,3521,3487,3515,3524,3485,3005,2848,3658,3566,3644,3432
3484,3649,3526,3484,2949,3549,3582,3504,3523,3468,3543,3681,3561,3511,3487,3515,3524,3485,3005,2848,3658,3566,3644,3438
3486,3657,3532,3486,2997,3554,3585,3504,3523,3468,3543,3681,3561,3511,3487,3510,3528,3488,2996,2842,3664,3566,3652,3438
3486,3657,3532,3486,2997,3554,3585,3501,3526,3468,3542,3688,3564,3515,3490,3513,3523,3490,3002,2848,3659,3569,3646,3422
3480,3648,3529,3477,2994,3547,3579,3505,3526,3456,3538,3681,3558,3517,3487,3518,3525,3489,3005,2848,3659,3569,3646,3422
3480,3650,3527,3485,2985,3549,3583,3512,3527,3467,3544,3681,3558,3517,3487,3518,3525,3489,3005,2853,3656,3564,3644,3430
3477,3649,3528,3485,2985,3549,3583,3512,3527,3467,3544,3690,3572,3514,3496,3514,3532,3494,3000,2854,3658,3565,3647,3434
3477,3649,3528,3482,2975,3550,3586,3504,3528,3467,3538,3683,3568,3518,3485,3517,3526,3490,3011,2856,3642,3565,3642,3434
3475,3650,3521,3482,2969,3552,3588,3508,3523,3473,3544,3679,3568,3519,3490,3517,3526,3490,3011,2856,3642,3565,3642,3426
3475,3651,3520,3487,2970,3552,3586,3508,3523,3473,3544,3679,3568,3519,3490,3517,3535,3498,3008,2856,3658,3559,3648,3436
3475,3651,3520,3487,2970,3552,3586,3516,3528,3467,3540,3683,3569,3524,3496,3514,3532,3494,3008,2853,3658,3572,3641,3435
3474,3647,3527,3488,2966,3547,3591,3506,3528,3472,3537,3683,3573,3516,3489,3525,3533,3494,3007,2853,3658,3572,3641,3435
3470,3645,3528,3481,2957,3549,3586,3509,3526,3460,3540,3683,3573,3516,3489,3525,3533,3494,3007,2853,3659,3562,3645,3433
3469,3652,3520,3481,2957,3549,3586,3509,3526,3460,3540,3681,3576,3521,3486,3529,3532,3502,3010,2863,3662,3572,3649,3433
3469,3652,3520,3490,2944,3543,3591,3512,3531,3470,3540,3681,3573,3517,3495,3523,3533,3487,3013,2859,3658,3577,3649,3433
3465,3644,3522,3496,2940,3543,3590,3513,3527,3472,3541,3677,3565,3519,3476,3523,3533,3487,3013,2859,3658,3577,3649,3424
3475,3647,3524,3488,2941,3544,3595,3513,3527,3472,3541,3677,3565,3519,3476,3532,3535,3488,3011,2861,3658,3575,3647,3428
3475,3647,3524,3488,2941,3544,3595,3515,3531,3464,3539,3683,3565,3515,3490,3534,3538,3496,3010,2860,3659,3576,3637,3436
