ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3505,3676,3563,3650,3435,3552,3690,3510,3541,3442,3562,3691,3592,3482,3204,3560,3520,3484,3021,2871,3688,3660,3628,3444
3501,3690,3568,3650,3435,3552,3690,3510,3541,3442,3562,3688,3588,3482,3206,3562,3522,3488,3022,2869,3690,3660,3635,3446
3501,3690,3568,3658,3429,3552,3689,3521,3536,3444,3555,3683,3588,3487,3202,3554,3520,3490,3023,2870,3688,3664,3634,3446
3506,3689,3570,3644,3428,3560,3686,3522,3534,3438,3553,3698,3586,3491,3207,3554,3520,3490,3023,2870,3688,3664,3634,3425
3506,3684,3566,3649,3430,3562,3695,3522,3534,3438,3553,3698,3586,3491,3207,3550,3523,3486,3021,2870,3689,3658,3635,3440
3506,3684,3566,3649,3430,3562,3695,3522,3526,3445,3556,3682,3586,3490,3217,3554,3524,3488,3019,2865,3693,3661,3635,3440
3510,3682,3573,3652,3429,3562,3696,3524,3536,3446,3554,3688,3589,3487,3217,3543,3522,3487,3019,2865,3693,3661,3635,3440
3513,3672,3564,3651,3420,3566,3698,3515,3532,3440,3559,3688,3589,3487,3217,3543,3522,3487,3019,2868,3688,3653,3638,3438
3508,3682,3572,3651,3420,3566,3698,3515,3532,3440,3559,3694,3586,3477,3220,3557,3515,3484,3019,2862,3688,3663,3636,3444
3508,3682,3572,3653,3425,3559,3697,3519,3540,3437,3555,3692,3589,3483,3226,3555,3523,3487,3023,2864,3680,3663,3642,3444
3506,3689,3564,3658,3421,3560,3690,3523,3536,3440,3556,3693,3593,3488,3215,3555,3523,3487,3023,2864,3680,3663,3642,3440
3507,3675,3567,3654,3429,3562,3696,3523,3536,3440,3556,3693,3593,3488,3215,3555,3524,3490,3025,2861,3685,3653,3632,3436
3507,3675,3567,3654,3429,3562,3696,3524,3537,3430,3562,3695,3586,3478,3218,3555,3519,3488,3019,2859,3686,3661,3632,3439
3504,3682,3544,3653,3430,3557,3691,3527,3535,3437,3558,3693,3585,3478,3221,3552,3520,3489,3019,2859,3686,3661,3632,3439
3505,3684,3566,3655,3432,3555,3695,3530,3537,3438,3556,3693,3585,3478,3221,3552,3520,3489,3019,2859,3690,3660,3637,3427
3513,3680,3569,3655,3432,3555,3695,3530,3537,3438,3556,3689,3587,3481,3219,3548,3528,3492,3021,2857,3689,3659,3633,3432
3513,3680,3569,3656,3419,3557,3693,3514,3533,3440,3557,3674,3577,3481,3228,3543,3522,3493,3013,2861,3694,3660,3629,3432
3508,3690,3570,3657,3425,3565,3696,3526,3534,3438,3555,3682,3575,3477,3229,3543,3522,3493,3013,2861,3694,3660,3629,3432
3520,3686,3576,3650,3428,3561,3692,3526,3534,3438,3555,3682,3575,3477,3229,3540,3518,3476,3021,2858,3690,3656,3628,3426
3520,3686,3576,3650,3428,3561,3692,3530,3538,3445,3552,3690,3573,3478,3238,3529,3512,3486,3004,2858,3687,3647,3632,3426
3518,3689,3582,3654,3427,3568,3693,3525,3538,3443,3552,3690,3578,3478,3237,3527,3501,3476,3020,2858,3687,3647,3632,3426
3524,3691,3583,3661,3418,3574,3698,3526,3538,3441,3554,3690,3578,3478,3237,3527,3501,3476,3020,2854,3686,3660,3629,3419
3522,3690,3582,3661,3418,3574,3698,3526,3538,3441,3554,3684,3575,3472,3236,3522,3510,3475,3016,2851,3688,3657,3625,3416
3522,3690,3582,3652,3420,3573,3699,3534,3538,3417,3550,3690,3565,3470,3245,3518,3511,3483,3017,2843,3691,3664,3621,3416
3524,3689,3588,3654,3423,3577,3696,3532,3538,3433,3554,3693,3560,3472,3247,3518,3511,3483,3017,2843,3691,3664,3621,3417
3526,3689,3583,3659,3417,3574,3696,3532,3538,3433,3554,3693,3560,3472,3247,3521,3510,3487,3014,2846,3691,3661,3623,3417
3526,3689,3583,3659,3417,3574,3696,3527,3521,3442,3552,3694,3529,3478,3251,3518,3510,3483,3009,2847,3691,3650,3626,3413
3529,3684,3584,3655,3418,3573,3700,3528,3531,3425,3557,3689,3562,3473,3254,3525,3510,3485,3016,2847,3691,3650,3626,3413
3523,3680,3581,3659,3416,3574,3698,3520,3534,3437,3552,3689,3562,3473,3254,3525,3510,3485,3016,2849,3688,3660,3626,3412
3524,3691,3579,3659,3416,3574,3698,3520,3534,3437,3552,3680,3563,3472,3248,3514,3513,3490,3011,2844,3696,3663,3627,3405
3524,3691,3579,3660,3414,3572,3692,3527,3536,3434,3562,3685,3563,3481,3254,3525,3514,3486,3017,2847,3687,3664,3623,3405
3526,3686,3582,3657,3414,3567,3688,3524,3536,3433,3556,3690,3572,3483,3260,3525,3514,3486,3017,2847,3687,3664,3623,3416
3524,3695,3582,3656,3409,3565,3693,3524,3536,3433,3556,3690,3572,3483,3260,3529,3515,3486,3011,2849,3690,3659,3630,3410
3524,3695,3582,3656,3409,3565,3693,3526,3535,3439,3557,3688,3569,3475,3260,3528,3508,3484,3014,2848,3687,3658,3623,3406
3521,3694,3580,3648,3413,3564,3690,3532,3538,3424,3557,3692,3571,3478,3260,3533,3511,3482,3016,2848,3687,3658,3623,3406
3521,3689,3581,3657,3418,3567,3696,3533,3535,3429,3564,3692,3571,3478,3260,3533,3511,3482,3016,2848,3686,3660,3628,3403
3524,3693,3582,3657,3418,3567,3696,3533,3535,3429,3564,3691,3576,3478,3265,3532,3511,3490,3017,2847,3688,3656,3621,3404
3524,3693,3582,3662,3404,3565,3701,3532,3528,3432,3559,3689,3573,3476,3269,3533,3505,3484,3012,2847,3689,3647,3625,3404
3524,3694,3578,3663,3413,3566,3696,3536,3538,3434,3560,3691,3575,3476,3259,3533,3505,3484,3012,2847,3689,3647,3625,3395
3526,3692,3577,3651,3414,3567,3695,3536,3538,3434,3560,3691,3575,3476,3259,3526,3512,3484,3017,2847,3690,3645,3618,3394
3526,3692,3577,3651,3414,3567,3695,3532,3532,3422,3558,3698,3574,3470,3256,3521,3517,3485,3014,2849,3694,3656,3616,3397
3524,3686,3577,3656,3416,3566,3702,3534,3537,3432,3565,3699,3579,3474,3262,3525,3515,3488,3011,2849,3694,3656,3616,3397
3532,3686,3583,3651,3416,3568,3702,3537,3536,3432,3563,3699,3579,3474,3262,3525,3515,3488,3011,2843,3684,3633,3615,3391
3524,3690,3581,3651,3416,3568,3702,3537,3536,3432,3563,3690,3575,3471,3250,3523,3512,3491,3014,2849,3683,3661,3619,3383
