ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3368,3594,3515,3602,3504,3573,3690,3531,3546,3506,3557,3681,3603,3519,3485,3547,3518,3482,3013,2873,3651,3617,3645,3523
3368,3594,3515,3583,3507,3571,3690,3532,3548,3508,3556,3677,3606,3513,3485,3562,3522,3488,3011,2870,3648,3626,3647,3523
3374,3590,3518,3601,3509,3572,3692,3530,3547,3510,3558,3674,3603,3514,3477,3562,3522,3488,3011,2870,3648,3626,3647,3522
3386,3595,3517,3597,3506,3570,3694,3530,3547,3510,3558,3674,3603,3514,3477,3548,3516,3482,2987,2869,3652,3620,3647,3525
3386,3595,3517,3597,3506,3570,3694,3535,3548,3507,3564,3674,3609,3519,3487,3554,3519,3477,3010,2871,3652,3623,3647,3522
3382,3583,3520,3598,3510,3568,3687,3527,3542,3508,3564,3670,3607,3518,3484,3558,3520,3474,3011,2871,3652,3623,3647,3522
3379,3592,3518,3596,3506,3566,3680,3532,3548,3509,3559,3670,3607,3518,3484,3558,3520,3474,3011,2872,3651,3625,3646,3513
3378,3595,3514,3596,3506,3566,3680,3532,3548,3509,3559,3674,3599,3513,3487,3560,3527,3480,3012,2875,3650,3621,3648,3520
3378,3595,3514,3595,3502,3574,3682,3524,3549,3512,3560,3670,3600,3495,3489,3560,3525,3484,3015,2882,3650,3624,3650,3520
3365,3586,3514,3596,3498,3566,3687,3531,3550,3513,3559,3671,3608,3516,3486,3560,3525,3484,3015,2882,3650,3624,3650,3525
3358,3583,3514,3584,3503,3566,3680,3531,3550,3513,3559,3671,3608,3516,3486,3562,3523,3479,3014,2880,3647,3609,3647,3518
3358,3583,3514,3584,3503,3566,3680,3530,3550,3502,3557,3675,3605,3517,3494,3560,3527,3484,3009,2879,3648,3620,3645,3520
3369,3585,3510,3583,3505,3566,3686,3534,3546,3514,3565,3673,3611,3519,3490,3556,3512,3484,3011,2879,3648,3620,3645,3520
3366,3585,3504,3588,3499,3570,3687,3535,3544,3509,3563,3673,3611,3519,3490,3556,3512,3484,3011,2877,3648,3615,3643,3527
3368,3588,3504,3588,3499,3570,3687,3535,3544,3509,3563,3676,3612,3521,3485,3560,3525,3482,3012,2875,3631,3613,3647,3516
3368,3588,3504,3590,3501,3555,3689,3529,3551,3506,3570,3680,3617,3525,3492,3560,3525,3480,3014,2875,3649,3609,3646,3516
3366,3585,3504,3579,3508,3565,3689,3538,3553,3504,3568,3677,3608,3526,3496,3560,3525,3480,3014,2875,3649,3609,3646,3519
3366,3583,3516,3589,3506,3565,3688,3538,3553,3504,3568,3677,3608,3526,3496,3560,3528,3492,3011,2873,3648,3617,3650,3524
3366,3583,3516,3589,3506,3565,3688,3530,3534,3506,3562,3675,3607,3522,3464,3565,3530,3493,3012,2874,3646,3611,3646,3522
3365,3591,3512,3583,3501,3571,3689,3528,3549,3504,3560,3674,3608,3514,3483,3541,3525,3485,3010,2874,3646,3611,3646,3522
3370,3590,3508,3588,3506,3563,3688,3527,3544,3506,3565,3674,3608,3514,3483,3541,3525,3485,3010,2878,3646,3616,3645,3522
3369,3582,3518,3588,3506,3563,3688,3527,3544,3506,3565,3673,3606,3511,3487,3565,3530,3478,3009,2879,3647,3618,3652,3521
3369,3582,3518,3589,3499,3562,3685,3536,3546,3508,3563,3671,3603,3526,3485,3564,3531,3484,3014,2878,3649,3617,3648,3521
3368,3589,3514,3592,3500,3565,3691,3536,3546,3506,3565,3674,3604,3513,3490,3564,3531,3484,3014,2878,3649,3617,3648,3519
3374,3588,3514,3592,3510,3567,3670,3536,3546,3506,3565,3674,3604,3513,3490,3559,3523,3490,3008,2868,3649,3616,3651,3527
3374,3588,3514,3592,3510,3567,3670,3527,3545,3504,3563,3679,3610,3524,3495,3562,3527,3477,3016,2873,3651,3619,3648,3517
3376,3588,3509,3588,3502,3552,3683,3526,3549,3495,3565,3676,3608,3528,3488,3559,3527,3482,3010,2873,3651,3619,3648,3517
3368,3593,3510,3576,3505,3563,3686,3529,3546,3506,3565,3676,3608,3528,3488,3559,3527,3482,3010,2877,3646,3618,3646,3516
3368,3588,3511,3576,3505,3563,3686,3529,3546,3506,3565,3676,3616,3522,3494,3563,3530,3477,3018,2877,3645,3614,3636,3521
3368,3588,3511,3592,3502,3566,3690,3529,3540,3516,3560,3670,3614,3519,3491,3565,3521,3494,3013,2877,3654,3607,3641,3521
3368,3585,3511,3582,3500,3565,3691,3529,3549,3505,3565,3676,3609,3522,3487,3565,3521,3494,3013,2877,3654,3607,3641,3521
3368,3577,3511,3586,3489,3565,3684,3529,3549,3505,3565,3676,3609,3522,3487,3550,3528,3482,3009,2872,3642,3615,3645,3521
3368,3577,3511,3586,3489,3565,3684,3528,3545,3508,3563,3675,3614,3517,3488,3563,3531,3495,3014,2875,3646,3613,3644,3523
3364,3578,3512,3583,3500,3563,3685,3526,3547,3504,3567,3680,3616,3519,3490,3572,3530,3485,3016,2875,3646,3613,3644,3523
3356,3580,3513,3587,3503,3570,3678,3528,3546,3503,3566,3680,3616,3519,3490,3572,3530,3485,3016,2877,3647,3601,3647,3521
3366,3578,3507,3587,3503,3570,3678,3528,3546,3503,3566,3678,3617,3528,3488,3570,3524,3495,3015,2872,3645,3606,3644,3521
3366,3578,3507,3590,3499,3562,3687,3531,3542,3506,3569,3674,3614,3516,3492,3571,3530,3488,3015,2871,3649,3611,3644,3521
3355,3571,3514,3588,3499,3564,3687,3520,3549,3514,3562,3670,3611,3525,3493,3571,3530,3488,3015,2871,3649,3611,3644,3516
3357,3573,3505,3583,3504,3560,3694,3520,3549,3514,3562,3670,3611,3525,3493,3576,3529,3488,3007,2876,3645,3617,3644,3512
3357,3573,3505,3583,3504,3560,3694,3533,3549,3503,3564,3675,3616,3516,3492,3573,3536,3488,3008,2872,3646,3614,3646,3521
3350,3575,3506,3583,3499,3534,3680,3532,3546,3500,3565,3670,3622,3524,3492,3571,3540,3492,3016,2872,3646,3614,3646,3521
3345,3570,3501,3578,3497,3546,3680,3531,3549,3492,3567,3670,3622,3524,3492,3571,3540,3492,3016,2883,3642,3610,3645,3522
3352,3573,3492,3578,3497,3546,3680,3531,3549,3492,3567,3680,3619,3531,3497,3572,3531,3491,3013,2883,3642,3601,3644,3516
3352,3573,3492,3578,3499,3551,3675,3530,3546,3494,3566,3679,3611,3530,3493,3579,3539,3493,3019,2880,3650,3606,3650,3516
3354,3578,3491,3582,3488,3551,3684,3531,3547,3496,3566,3679,3626,3525,3501,3579,3539,3493,3019,2880,3650,3606,3650,3523
3357,3580,3485,3569,3494,3546,3677,3531,3547,3496,3566,3679,3626,3525,3501,3583,3531,3491,3014,2877,3649,3614,3646,3525
3357,3580,3485,3569,3494,3546,3677,3527,3535,3491,3575,3678,3633,3532,3494,3581,3528,3493,3016,2872,3647,3604,3648,3523
3355,3567,3481,3574,3488,3540,3683,3518,3538,3486,3542,3683,3630,3529,3498,3582,3541,3493,3017,2872,3647,3604,3648,3523
