ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3100,3337,3009,3316,3010,3170,3196,2730,3009,2670,2998,3326,2940,3131,2971,2884,3139,2280,2730,2532,3369,3349,3344,3187,3071,3425,2252,2734,2729,2159,2772,3154,3189,2977,3577,3670,3674,3547,3409,3668,3559,3435,3023,2932,3595,3462,3614,3377,3105,3360,3159,3347,3282,3080,3400,3269,3191,2807,2976,3332,2886,3193,3240,2986,3216,3210,2768,2578,3376,3377,3369,3291
3098,3337,3009,3316,3010,3170,3196,2730,3009,2681,2994,3324,2945,3128,2966,2881,3131,2273,2734,2528,3371,3351,3333,3180,3070,3425,2252,2734,2729,2159,2772,3154,3189,2976,3581,3670,3671,3539,3410,3666,3556,3434,3026,2935,3589,3470,3612,3383,3107,3360,3159,3347,3282,3080,3400,3269,3191,2802,2975,3324,2886,3197,3236,2993,3211,3207,2768,2580,3374,3383,3369,3290
3098,3337,3017,3320,3003,3140,3189,2728,2984,2678,2988,3301,2942,3132,2962,2880,3127,2278,2727,2531,3370,3351,3333,3180,3070,3424,2255,2734,2769,2155,2764,3151,3183,2974,3578,3647,3679,3546,3408,3672,3559,3425,3026,2935,3598,3470,3612,3383,3107,3359,3160,3349,3280,3081,3402,3270,3189,2804,2980,3326,2888,3190,3241,2992,3214,3196,2766,2575,3374,3383,3369,3290
3108,3337,3009,3323,3000,3168,3200,2731,3003,2676,2990,3329,2941,3132,2962,2880,3127,2278,2727,2531,3370,3348,3338,3174,3072,3426,2253,2730,2768,2163,2763,3155,3186,2970,3541,3670,3669,3546,3408,3672,3559,3425,3026,2935,3598,3458,3608,3381,3108,3360,3156,3348,3277,3079,3400,3270,3190,2801,2977,3332,2885,3190,3241,2992,3214,3196,2766,2575,3374,3382,3362,3283
3102,3333,3021,3305,2998,3168,3200,2731,3003,2676,2990,3329,2941,3127,2963,2879,3132,2275,2733,2531,3373,3344,3335,3177,3074,3427,2255,2737,2760,2163,2763,3155,3186,2970,3541,3670,3669,3547,3406,3668,3556,3433,3027,2934,3594,3465,3619,3377,3106,3362,3150,3344,3273,3079,3400,3270,3190,2801,2977,3332,2885,3197,3247,2963,3211,3211,2768,2582,3377,3382,3367,3294
3102,3333,3021,3305,2998,3169,3179,2730,2986,2664,2980,3325,2933,3124,2955,2885,3123,2270,2732,2529,3375,3353,3330,3185,3074,3427,2255,2737,2760,2161,2769,3151,3184,2974,3568,3672,3680,3549,3408,3665,3562,3434,3028,2935,3594,3469,3614,3372,3106,3362,3150,3344,3273,3081,3406,3270,3185,2806,2975,3335,2885,3195,3246,2988,3210,3210,2764,2580,3370,3386,3365,3289
3102,3333,3023,3312,3003,3163,3200,2725,3004,2681,2981,3329,2939,3131,2964,2881,3125,2270,2732,2529,3375,3353,3330,3185,3073,3422,2257,2740,2771,2166,2773,3148,3179,2972,3579,3666,3674,3546,3417,3660,3562,3434,3028,2935,3594,3469,3614,3372,3112,3347,3157,3349,3281,3083,3402,3255,3191,2805,2977,3336,2884,3188,3242,2991,3210,3210,2764,2580,3370,3386,3365,3289
3102,3320,3018,3307,3009,3154,3198,2716,3005,2681,2981,3329,2939,3131,2964,2881,3125,2266,2732,2533,3371,3342,3332,3174,3071,3422,2258,2731,2769,2165,2768,3152,3184,2972,3579,3666,3674,3546,3417,3660,3562,3434,3025,2936,3592,3468,3614,3376,3102,3359,3153,3344,3278,3075,3403,3272,3191,2805,2977,3336,2884,3188,3242,2991,3210,3211,2770,2581,3377,3374,3369,3288
3101,3320,3018,3307,3009,3154,3198,2716,3005,2682,2987,3324,2941,3131,2962,2890,3125,2273,2732,2534,3371,3350,3339,3176,3071,3422,2258,2731,2769,2165,2768,3152,3184,2973,3574,3672,3676,3535,3408,3668,3557,3439,3029,2933,3591,3467,3612,3381,3103,3359,3153,3344,3278,3075,3403,3272,3191,2781,2976,3335,2888,3193,3245,2988,3210,3205,2768,2579,3375,3380,3367,3281
3101,3335,3015,3322,3006,3160,3201,2725,3003,2696,2986,3317,2860,3130,2963,2875,3124,2281,2723,2530,3375,3350,3339,3176,3071,3424,2255,2727,2776,2162,2765,3152,3178,2969,3576,3672,3672,3541,3405,3666,3562,3437,3029,2930,3592,3467,3612,3381,3103,3358,3155,3350,3280,3081,3406,3266,3194,2804,2977,3337,2882,3192,3242,2993,3207,3205,2768,2584,3378,3380,3367,3281
3101,3332,3017,3316,3009,3159,3197,2727,3008,2675,2992,3319,2941,3130,2963,2875,3124,2281,2723,2530,3375,3352,3327,3168,3069,3426,2251,2735,2774,2162,2762,3146,3177,2960,3576,3672,3672,3541,3405,3666,3562,3437,3029,2930,3592,3466,3614,3377,3109,3356,3157,3348,3279,3077,3397,3267,3192,2806,2976,3333,2890,3192,3242,2993,3207,3205,2768,2584,3378,3378,3363,3289
