ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3423,3643,3375,3552,3419,3313,3602,3500,3442,3296,3611,3709,3670,3530,3273,3652,3560,3513,3043,2906,3669,3625,3643,3420
3423,3643,3375,3552,3419,3318,3609,3508,3467,3294,3608,3710,3670,3526,3276,3650,3560,3518,3040,2900,3680,3616,3644,3420
3427,3636,3378,3548,3420,3318,3608,3506,3468,3300,3604,3706,3667,3526,3274,3656,3562,3518,3040,2900,3680,3616,3644,3420
3425,3645,3381,3550,3416,3324,3605,3494,3465,3300,3604,3706,3667,3526,3274,3656,3562,3509,3038,2899,3679,3626,3643,3423
3425,3645,3381,3550,3416,3324,3605,3494,3465,3295,3608,3706,3665,3532,3273,3660,3560,3512,3035,2906,3674,3622,3643,3416
3425,3644,3376,3550,3419,3322,3610,3501,3471,3295,3571,3706,3669,3520,3275,3656,3562,3515,3037,2901,3677,3622,3643,3416
3423,3640,3373,3548,3427,3313,3603,3487,3470,3299,3603,3705,3671,3520,3275,3656,3562,3515,3037,2901,3677,3628,3644,3419
3420,3639,3370,3545,3420,3313,3603,3487,3470,3299,3603,3705,3671,3530,3277,3648,3565,3514,3037,2907,3676,3623,3646,3418
3420,3639,3370,3545,3420,3304,3604,3502,3473,3290,3606,3703,3666,3531,3273,3649,3555,3511,3034,2909,3672,3622,3638,3413
3421,3639,3371,3544,3422,3314,3606,3506,3472,3298,3612,3704,3676,3532,3275,3655,3570,3511,3034,2909,3672,3622,3638,3413
3415,3639,3365,3542,3412,3309,3600,3506,3472,3298,3612,3704,3676,3532,3275,3655,3570,3515,3040,2910,3673,3616,3645,3418
3418,3639,3365,3542,3412,3309,3600,3506,3472,3292,3602,3703,3674,3536,3273,3658,3563,3511,3039,2911,3678,3618,3646,3421
3418,3632,3366,3539,3412,3304,3600,3508,3466,3294,3608,3697,3667,3536,3272,3657,3562,3510,3044,2914,3675,3618,3646,3421
3414,3636,3359,3531,3416,3302,3603,3509,3468,3289,3603,3705,3672,3536,3272,3657,3562,3510,3044,2914,3675,3616,3641,3422
3410,3630,3352,3537,3419,3302,3603,3509,3468,3289,3603,3705,3672,3524,3277,3661,3561,3514,3043,2906,3673,3613,3636,3419
3410,3630,3352,3537,3419,3300,3601,3501,3462,3296,3603,3706,3675,3523,3269,3662,3560,3514,3039,2911,3674,3615,3640,3421
3414,3634,3352,3527,3417,3298,3597,3499,3461,3293,3604,3708,3647,3528,3276,3652,3563,3514,3039,2911,3674,3615,3640,3421
3412,3629,3352,3537,3419,3298,3597,3504,3473,3293,3604,3708,3647,3528,3276,3652,3563,3513,3042,2912,3671,3617,3639,3422
3406,3629,3352,3537,3419,3298,3597,3504,3473,3297,3604,3706,3670,3526,3269,3658,3559,3515,3041,2909,3670,3618,3640,3421
3406,3629,3354,3540,3420,3288,3595,3505,3464,3298,3605,3705,3674,3523,3269,3666,3566,3513,3042,2907,3673,3618,3640,3421
3404,3627,3353,3535,3419,3294,3595,3503,3471,3298,3604,3704,3679,3523,3269,3666,3566,3513,3042,2907,3673,3621,3636,3423
3404,3638,3351,3530,3414,3294,3595,3503,3471,3298,3604,3704,3679,3529,3271,3665,3564,3518,3031,2914,3672,3616,3638,3420
3404,3638,3351,3530,3414,3294,3597,3491,3472,3297,3600,3705,3675,3526,3266,3661,3570,3522,3037,2916,3675,3617,3641,3424
3403,3629,3349,3534,3424,3295,3596,3506,3468,3294,3606,3705,3673,3526,3272,3666,3566,3522,3037,2916,3675,3617,3641,3424
3408,3629,3346,3531,3417,3285,3595,3502,3468,3294,3606,3705,3673,3526,3272,3666,3566,3501,3042,2915,3670,3618,3638,3405
