ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3113,3348,3036,3329,3026,3170,3213,2750,3022,2701,3007,3339,2967,3139,2973,2916,3142,2295,2733,2542,3384,3365,3351,3197,3352,3590,3089,3317,3181,3025,3480,3479,3438,3235,3605,3704,3680,3565,3479,3649,3582,3522,3043,2914,3659,3555,3652,3386,3120,3370,3172,3359,3296,3098,3416,3281,3204,2821,2995,3347,2893,3202,3253,3003,3222,3221,2774,2587,3380,3380,3376,3294
3117,3348,3038,3326,3013,3170,3213,2750,3022,2701,3007,3339,2967,3148,2974,2903,3143,2285,2743,2547,3380,3368,3355,3192,3349,3588,3083,3320,3179,3025,3480,3479,3438,3235,3605,3704,3680,3563,3480,3656,3580,3525,3043,2912,3655,3563,3659,3387,3120,3375,3167,3347,3293,3098,3416,3281,3204,2821,2995,3347,2893,3205,3255,3005,3222,3219,2768,2590,3385,3389,3369,3298
3117,3348,3038,3326,3013,3184,3215,2726,3018,2700,2997,3337,2968,3134,2970,2912,3132,2293,2743,2548,3373,3357,3353,3195,3349,3588,3083,3320,3179,3022,3478,3480,3429,3230,3604,3703,3669,3568,3475,3654,3581,3521,3045,2908,3656,3555,3650,3388,3120,3375,3167,3347,3293,3092,3408,3287,3204,2820,2996,3345,2901,3204,3255,3001,3219,3221,2777,2586,3382,3391,3373,3300
3115,3343,3033,3329,3023,3182,3209,2749,3025,2705,3007,3340,2970,3132,2979,2912,3146,2293,2743,2548,3373,3357,3353,3195,3346,3592,3077,3312,3181,3021,3480,3476,3434,3236,3608,3705,3674,3570,3476,3651,3578,3521,3045,2908,3656,3555,3650,3388,3123,3355,3173,3358,3291,3096,3416,3271,3204,2821,2994,3342,2898,3197,3253,3002,3221,3221,2777,2586,3382,3391,3373,3300
3114,3346,3039,3322,3023,3180,3211,2751,3011,2705,3007,3340,2970,3132,2979,2912,3146,2291,2745,2538,3379,3368,3350,3196,3344,3581,3076,3316,3180,3025,3481,3469,3432,3236,3608,3705,3674,3570,3476,3651,3578,3525,3040,2904,3661,3559,3657,3382,3123,3367,3176,3354,3286,3098,3410,3279,3201,2821,2994,3342,2898,3197,3253,3002,3221,3217,2773,2592,3383,3390,3378,3298
3113,3346,3039,3322,3023,3180,3211,2751,3011,2699,3016,3338,2965,3144,2980,2898,3138,2293,2741,2548,3386,3358,3360,3190,3342,3581,3076,3316,3180,3025,3481,3469,3432,3236,3601,3703,3675,3568,3483,3654,3578,3517,3039,2914,3659,3563,3650,3377,3115,3367,3176,3354,3286,3098,3410,3279,3201,2825,2987,3345,2899,3206,3251,3001,3221,3220,2771,2590,3385,3388,3379,3295
3113,3346,3033,3335,3022,3185,3216,2748,3020,2708,3006,3341,2967,3134,2976,2905,3145,2291,2744,2531,3375,3358,3360,3190,3342,3594,3082,3316,3182,3027,3487,3477,3434,3241,3608,3701,3676,3567,3475,3653,3578,3526,3037,2915,3658,3563,3650,3377,3115,3370,3171,3356,3286,3097,3409,3279,3204,2825,2988,3346,2894,3205,3248,3007,3214,3216,2770,2594,3385,3388,3379,3295
3115,3346,3039,3323,3020,3192,3178,2746,3008,2704,3001,3342,2962,3134,2976,2905,3145,2291,2744,2531,3375,3355,3353,3193,3343,3581,3089,3321,3190,3041,3484,3480,3436,3243,3607,3708,3672,3567,3475,3653,3578,3526,3037,2915,3658,3560,3651,3374,3120,3369,3174,3349,3292,3094,3415,3275,3204,2813,2993,3345,2896,3205,3248,3007,3214,3216,2770,2594,3385,3390,3374,3297
3114,3345,3037,3321,3013,3192,3178,2746,3008,2704,3001,3342,2962,3150,2974,2906,3140,2287,2740,2533,3381,3353,3352,3183,3344,3589,3095,3322,3190,3041,3484,3480,3436,3243,3607,3708,3672,3564,3481,3658,3580,3527,3045,2914,3658,3561,3646,3373,3119,3375,3175,3355,3295,3094,3415,3275,3204,2813,2993,3345,2896,3201,3251,3007,3216,3216,2778,2584,3386,3386,3360,3295
3114,3345,3037,3321,3013,3188,3216,2752,3026,2697,3010,3333,2968,3147,2976,2903,3097,2295,2743,2547,3389,3357,3345,3196,3344,3589,3095,3322,3190,3047,3492,3478,3437,3246,3603,3686,3674,3564,3474,3654,3578,3496,3040,2918,3656,3553,3648,3381,3119,3375,3175,3355,3295,3097,3414,3275,3200,2821,2991,3344,2899,3205,3255,3003,3225,3216,2777,2585,3378,3388,3372,3298
