ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3275,3554,2711,3291,3393,2542,3306,3420,3355,3156,3573,3696,3644,3563,3541,3627,3578,3520,3042,2916,3659,3609,3677,3521
3278,3562,2711,3286,3400,2540,3308,3424,3352,3154,3575,3694,3645,3561,3542,3627,3578,3520,3042,2916,3659,3609,3677,3529
3275,3564,2708,3282,3398,2548,3312,3424,3352,3154,3575,3694,3645,3561,3542,3627,3580,3522,3042,2920,3661,3607,3674,3521
3275,3564,2708,3282,3398,2548,3312,3425,3355,3148,3575,3698,3643,3558,3537,3631,3578,3520,3045,2916,3661,3605,3674,3533
3280,3561,2712,3289,3404,2553,3319,3431,3356,3159,3571,3697,3641,3558,3548,3630,3574,3519,3039,2916,3661,3605,3674,3533
3280,3563,2718,3297,3405,2563,3322,3428,3357,3163,3580,3697,3641,3558,3548,3630,3574,3519,3039,2917,3667,3597,3665,3521
3281,3554,2723,3297,3405,2563,3322,3428,3357,3163,3580,3702,3635,3558,3541,3616,3575,3526,3040,2916,3663,3596,3672,3528
3281,3554,2723,3291,3396,2560,3322,3432,3356,3160,3578,3702,3637,3558,3544,3625,3583,3519,3042,2920,3662,3607,3674,3528
3278,3561,2714,3290,3400,2556,3315,3420,3361,3158,3577,3697,3643,3563,3526,3625,3583,3519,3042,2920,3662,3607,3674,3530
3278,3561,2698,3286,3399,2546,3313,3420,3361,3158,3577,3697,3643,3563,3526,3626,3577,3520,3039,2912,3657,3611,3679,3530
3278,3561,2698,3286,3399,2546,3313,3423,3350,3155,3577,3696,3647,3564,3531,3629,3579,3521,3041,2913,3657,3610,3669,3532
3274,3560,2684,3274,3389,2532,3307,3401,3352,3148,3579,3696,3645,3552,3544,3637,3581,3510,3042,2913,3657,3610,3669,3532
3271,3550,2674,3273,3387,2527,3298,3411,3348,3149,3573,3696,3645,3552,3544,3637,3581,3510,3042,2918,3662,3602,3673,3518
3277,3557,2668,3273,3387,2527,3298,3411,3348,3149,3573,3686,3648,3558,3544,3630,3579,3512,3046,2920,3666,3604,3674,3524
3277,3557,2668,3267,3385,2518,3288,3418,3348,3152,3581,3695,3633,3560,3540,3636,3578,3521,3041,2923,3658,3607,3670,3524
3272,3559,2667,3264,3391,2517,3297,3419,3350,3149,3579,3691,3644,3556,3540,3636,3578,3521,3041,2923,3658,3607,3670,3526
3269,3552,2669,3259,3387,2524,3304,3419,3350,3149,3579,3691,3644,3556,3540,3634,3578,3523,3041,2918,3660,3598,3675,3524
3269,3552,2669,3259,3387,2524,3304,3417,3355,3152,3579,3686,3648,3560,3538,3634,3577,3515,3046,2925,3659,3603,3672,3519
3269,3561,2660,3259,3382,2519,3298,3423,3350,3144,3579,3697,3648,3561,3542,3631,3580,3520,3041,2925,3659,3603,3672,3519
3271,3555,2653,3252,3386,2508,3296,3413,3342,3143,3579,3697,3648,3561,3542,3631,3580,3520,3041,2922,3664,3595,3676,3527
3263,3552,2637,3252,3386,2508,3296,3413,3342,3143,3579,3689,3645,3564,3539,3637,3587,3518,3043,2921,3665,3599,3669,3524
3263,3552,2637,3243,3379,2501,3288,3413,3342,3144,3581,3693,3650,3560,3542,3637,3580,3519,3044,2917,3662,3583,3671,3524
3261,3548,2625,3231,3379,2492,3282,3404,3337,3134,3583,3702,3651,3558,3539,3637,3580,3519,3044,2917,3662,3583,3671,3524
3261,3541,2619,3232,3370,2492,3282,3404,3337,3134,3583,3702,3651,3558,3539,3638,3580,3519,3042,2917,3652,3596,3669,3531
3261,3541,2619,3232,3370,2492,3282,3412,3343,3135,3583,3700,3652,3563,3542,3640,3583,3520,3043,2922,3651,3597,3672,3528
3259,3547,2621,3229,3377,2497,3290,3415,3338,3136,3583,3698,3654,3562,3543,3635,3582,3528,3042,2922,3651,3597,3672,3528
3255,3552,2620,3229,3383,2501,3291,3420,3348,3138,3581,3698,3654,3562,3543,3635,3582,3528,3042,2920,3656,3589,3672,3525
3251,3546,2619,3229,3383,2501,3291,3420,3348,3138,3581,3693,3649,3551,3532,3637,3583,3525,3045,2910,3659,3593,3670,3518
3251,3546,2619,3229,3378,2495,3289,3410,3343,3140,3575,3704,3649,3556,3543,3638,3580,3520,3046,2927,3660,3592,3670,3518
3254,3540,2617,3222,3375,2498,3300,3412,3348,3144,3580,3694,3649,3566,3546,3638,3580,3520,3046,2927,3660,3592,3670,3524
3248,3540,2617,3222,3373,2498,3294,3412,3348,3144,3580,3694,3649,3566,3546,3642,3581,3517,3033,2928,3660,3590,3662,3523
3248,3540,2617,3222,3373,2498,3294,3418,3351,3142,3580,3692,3642,3563,3536,3637,3583,3513,3044,2921,3657,3592,3669,3515
3244,3536,2614,3219,3383,2497,3302,3421,3350,3144,3579,3682,3646,3561,3543,3646,3581,3518,3042,2921,3657,3592,3669,3515
3247,3537,2609,3218,3378,2495,3301,3423,3349,3144,3583,3682,3646,3561,3543,3646,3581,3518,3042,2923,3656,3589,3668,3515
3242,3541,2603,3218,3378,2495,3301,3423,3349,3144,3583,3690,3654,3570,3536,3632,3574,3520,3043,2925,3655,3585,3677,3522
3242,3541,2603,3210,3345,2493,3300,3417,3347,3138,3577,3695,3651,3562,3530,3637,3580,3517,3047,2923,3653,3589,3672,3522
3242,3533,2603,3208,3373,2473,3302,3417,3353,3131,3576,3687,3652,3568,3538,3637,3580,3517,3047,2923,3653,3589,3672,3524
3242,3533,2606,3214,3384,2505,3316,3417,3353,3131,3576,3687,3652,3568,3538,3639,3576,3522,3044,2926,3658,3588,3667,3526
3242,3533,2606,3214,3384,2505,3316,3422,3349,3136,3578,3697,3649,3562,3543,3639,3580,3520,3044,2919,3654,3587,3668,3525
3248,3530,2627,3232,3387,2526,3328,3421,3350,3154,3578,3697,3651,3562,3539,3640,3583,3521,3041,2919,3654,3587,3668,3525
3251,3537,2649,3236,3391,2553,3345,3428,3360,3150,3578,3697,3651,3562,3539,3640,3583,3521,3041,2920,3658,3592,3674,3525
3259,3544,2660,3236,3391,2553,3345,3428,3360,3150,3578,3694,3649,3565,3544,3636,3586,3521,3038,2924,3652,3592,3673,3525
3259,3544,2660,3249,3398,2565,3349,3434,3364,3160,3583,3695,3650,3548,3536,3637,3579,3525,3042,2918,3658,3590,3671,3525
3259,3529,2672,3261,3401,2588,3371,3440,3364,3166,3579,3688,3645,3561,3535,3637,3579,3525,3042,2918,3658,3590,3671,3529
3272,3550,2724,3282,3412,2637,3395,3440,3364,3166,3579,3688,3645,3561,3535,3638,3579,3522,3045,2920,3657,3596,3677,3531
3272,3550,2724,3282,3412,2637,3395,3443,3380,3178,3581,3693,3652,3560,3545,3639,3579,3520,3034,2919,3664,3600,3674,3528
3272,3565,2761,3301,3432,2704,3415,3464,3392,3185,3583,3696,3646,3569,3538,3632,3589,3528,3040,2919,3664,3600,3674,3528
3281,3557,2768,3304,3430,2732,3434,3470,3402,3198,3582,3696,3646,3569,3538,3632,3589,3528,3040,2920,3659,3608,3670,3527
3257,3559,2758,3304,3430,2732,3434,3470,3402,3198,3582,3691,3649,3558,3542,3628,3584,3521,3044,2914,3664,3590,3673,3532
3257,3559,2758,3300,3429,2717,3445,3477,3408,3209,3582,3688,3646,3559,3538,3632,3578,3527,3038,2911,3664,3595,3672,3532
3286,3566,2769,3313,3443,2740,3451,3476,3414,3210,3561,3702,3645,3559,3542,3632,3578,3527,3038,2911,3664,3595,3672,3534
3283,3564,2762,3304,3435,2739,3445,3476,3414,3210,3561,3702,3645,3559,3542,3623,3573,3525,3040,2910,3665,3602,3671,3527
3283,3564,2762,3304,3435,2739,3445,3480,3416,3211,3578,3690,3645,3563,3551,3595,3572,3522,3041,2912,3660,3600,3674,3530
3285,3559,2754,3291,3434,2727,3439,3479,3412,3205,3577,3697,3641,3561,3542,3616,3578,3529,3040,2912,3660,3600,3674,3530
3282,3557,2746,3281,3430,2726,3435,3467,3407,3216,3582,3697,3641,3561,3542,3616,3578,3529,3040,2905,3658,3600,3669,3536
3282,3554,2696,3281,3430,2726,3435,3467,3407,3216,3582,3695,3644,3556,3539,3625,3574,3525,3039,2910,3665,3595,3676,3525
3282,3554,2696,3264,3417,2694,3425,3473,3401,3226,3580,3695,3644,3560,3540,3625,3580,3532,3042,2912,3657,3583,3674,3525
3286,3558,2684,3242,3415,2671,3416,3476,3414,3221,3581,3699,3644,3561,3532,3625,3580,3532,3042,2912,3657,3583,3674,3527
3276,3541,2661,3226,3410,2659,3418,3476,3414,3221,3581,3699,3644,3561,3532,3626,3575,3520,3041,2915,3657,3590,3674,3525
3276,3541,2661,3226,3410,2659,3418,3460,3410,3219,3584,3685,3643,3556,3540,3628,3581,3517,3041,2911,3659,3589,3672,3527
3272,3553,2651,3217,3406,2649,3407,3472,3409,3219,3583,3694,3648,3567,3544,3625,3581,3523,3047,2911,3659,3589,3672,3527
3265,3554,2637,3204,3396,2632,3387,3465,3412,3217,3579,3694,3648,3567,3544,3625,3581,3523,3047,2914,3657,3588,3679,3523
3271,3546,2621,3204,3396,2632,3387,3465,3412,3217,3579,3700,3645,3559,3543,3624,3580,3525,3043,2912,3657,3587,3673,3525
3271,3546,2621,3191,3386,2620,3392,3469,3415,3211,3582,3694,3644,3560,3538,3632,3578,3534,3047,2913,3659,3585,3672,3525
3270,3549,2608,3176,3390,2625,3397,3467,3409,3218,3580,3694,3648,3561,3537,3632,3578,3534,3047,2913,3659,3585,3672,3518
