ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3337,3588,3104,3374,3187,2917,3336,3218,3294,3096,3606,3686,3674,3543,3344,3670,3547,3370,3021,2924,3647,3579,3640,3427
3339,3586,3095,3368,3189,2908,3331,3220,3289,3087,3598,3683,3670,3545,3336,3665,3544,3370,3021,2924,3647,3579,3640,3427
3344,3587,3088,3363,3179,2899,3324,3214,3286,3087,3598,3683,3670,3545,3336,3665,3544,3368,3015,2925,3650,3578,3641,3421
3340,3587,3088,3363,3179,2899,3324,3214,3286,3087,3598,3700,3666,3549,3339,3664,3550,3372,3016,2926,3651,3577,3643,3428
3340,3585,3088,3366,3176,2890,3322,3216,3276,3086,3601,3681,3672,3547,3342,3666,3547,3373,3015,2924,3653,3577,3643,3428
3342,3584,3090,3371,3183,2903,3325,3211,3285,3084,3595,3690,3679,3547,3342,3666,3547,3373,3015,2924,3653,3578,3635,3426
3340,3575,3083,3364,3180,2903,3325,3211,3285,3084,3595,3690,3679,3540,3345,3667,3543,3378,3018,2924,3647,3574,3639,3426
3340,3575,3083,3364,3180,2898,3323,3206,3284,3092,3594,3696,3677,3544,3340,3664,3545,3378,3020,2926,3650,3570,3640,3429
3333,3587,3076,3364,3183,2884,3317,3210,3283,3083,3601,3692,3671,3540,3348,3666,3543,3378,3020,2926,3650,3570,3640,3429
3340,3583,3065,3363,3184,2877,3308,3210,3286,3083,3601,3692,3671,3540,3348,3666,3543,3375,3019,2926,3650,3576,3637,3428
3345,3583,3065,3363,3184,2877,3308,3210,3286,3076,3597,3690,3665,3544,3342,3666,3548,3376,3019,2921,3643,3572,3638,3424
3345,3578,3068,3359,3186,2873,3315,3210,3280,3080,3598,3689,3672,3546,3346,3667,3549,3375,3021,2913,3648,3572,3638,3424
3335,3578,3070,3361,3183,2868,3309,3209,3278,3080,3600,3689,3671,3546,3346,3667,3549,3375,3021,2913,3648,3577,3638,3430
3329,3583,3073,3364,3182,2868,3309,3209,3278,3080,3600,3689,3671,3543,3344,3669,3543,3380,3019,2919,3650,3576,3639,3428
3329,3583,3073,3364,3182,2873,3310,3214,3277,3084,3598,3686,3682,3545,3346,3666,3545,3373,3010,2920,3650,3579,3645,3427
3331,3575,3073,3363,3185,2874,3310,3187,3283,3083,3599,3699,3675,3548,3346,3672,3549,3373,3010,2920,3650,3579,3645,3427
3336,3577,3069,3362,3185,2872,3320,3217,3284,3083,3599,3699,3675,3548,3346,3672,3549,3374,3023,2924,3650,3576,3636,3425
3332,3577,3069,3362,3185,2872,3320,3217,3284,3081,3599,3692,3671,3541,3347,3665,3545,3369,3022,2926,3645,3573,3636,3422
3332,3584,3069,3355,3182,2875,3293,3218,3284,3082,3600,3684,3672,3544,3348,3671,3546,3371,3016,2925,3645,3573,3636,3422
3338,3578,3071,3355,3181,2876,3319,3225,3283,3080,3598,3693,3679,3544,3348,3671,3546,3371,3016,2925,3645,3568,3635,3428
3335,3582,3062,3358,3190,2876,3319,3225,3283,3080,3598,3693,3679,3544,3345,3663,3553,3375,3021,2922,3647,3577,3641,3420
3335,3582,3062,3358,3190,2866,3319,3223,3287,3080,3600,3675,3675,3549,3348,3669,3540,3377,3019,2921,3648,3569,3639,3432
3332,3581,3060,3359,3190,2865,3320,3224,3283,3068,3596,3690,3676,3548,3352,3653,3542,3377,3019,2921,3648,3569,3639,3432
3330,3570,3051,3352,3182,2860,3315,3220,3284,3068,3596,3690,3676,3548,3352,3653,3542,3377,3018,2917,3649,3571,3635,3430
3331,3570,3051,3352,3182,2860,3315,3220,3284,3085,3598,3697,3676,3546,3357,3668,3550,3377,3022,2924,3650,3566,3636,3430
3331,3578,3057,3353,3188,2857,3318,3228,3274,3079,3602,3690,3672,3544,3339,3665,3547,3380,3010,2924,3648,3566,3636,3430
3330,3583,3047,3355,3187,2852,3312,3232,3282,3075,3601,3692,3677,3544,3339,3665,3547,3380,3010,2924,3648,3568,3637,3429
