ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3080,3311,2990,3304,2992,3144,3176,2709,2980,2658,2955,3309,2899,3110,2937,2864,3112,2272,2713,2509,3354,3337,3319,3166,3345,3594,3192,3434,3310,3092,3467,3363,3366,3188,3582,3683,3659,3535,3370,3652,3543,3415,3014,2910,3654,3589,3643,3447,3091,3352,3144,3328,3271,3072,3391,3261,3179,2777,2959,3320,2863,3180,3229,2970,3197,3196,2762,2561,3359,3366,3345,3284
3081,3312,2995,3302,2996,3149,3174,2710,2986,2655,2957,3306,2911,3113,2942,2860,3110,2272,2713,2509,3354,3337,3319,3166,3337,3591,3191,3429,3317,3094,3463,3361,3372,3190,3584,3687,3654,3542,3375,3649,3538,3415,3014,2910,3654,3589,3643,3447,3093,3355,3140,3336,3274,3068,3392,3257,3178,2785,2963,3322,2866,3181,3234,2972,3202,3196,2762,2561,3359,3366,3345,3284
3080,3320,2996,3301,2985,3149,3175,2688,2982,2655,2957,3306,2911,3113,2942,2860,3110,2273,2719,2503,3357,3339,3318,3153,3340,3594,3193,3435,3317,3096,3469,3362,3374,3190,3584,3687,3654,3542,3375,3649,3538,3415,3020,2919,3654,3594,3636,3442,3056,3354,3145,3338,3263,3069,3395,3254,3178,2785,2963,3322,2866,3181,3234,2972,3202,3200,2759,2566,3367,3369,3359,3282
3082,3320,2996,3301,2985,3149,3175,2688,2982,2645,2953,3303,2913,3106,2936,2864,3103,2266,2721,2514,3345,3325,3323,3167,3337,3594,3193,3435,3317,3096,3469,3362,3374,3193,3583,3668,3656,3538,3379,3652,3543,3411,3022,2920,3653,3579,3643,3451,3089,3354,3145,3338,3263,3069,3395,3254,3178,2787,2958,3328,2861,3182,3235,2976,3204,3196,2760,2568,3364,3370,3354,3275
3082,3316,3002,3303,2991,3151,3180,2706,2986,2653,2956,3302,2909,3113,2931,2858,3112,2261,2720,2514,3357,3325,3323,3167,3337,3590,3184,3424,3310,3086,3453,3364,3371,3197,3581,3682,3662,3538,3374,3653,3547,3422,3018,2920,3646,3579,3643,3451,3089,3354,3149,3331,3274,3069,3398,3240,3181,2788,2962,3322,2859,3174,3232,2974,3196,3201,2754,2568,3366,3370,3354,3275
3086,3321,2988,3300,2990,3141,3181,2708,2990,2642,2958,3302,2912,3113,2931,2858,3112,2261,2720,2514,3357,3338,3323,3165,3334,3592,3170,3420,3306,3070,3455,3354,3372,3185,3580,3689,3662,3538,3374,3653,3547,3422,3018,2920,3646,3582,3638,3448,3091,3352,3144,3340,3272,3068,3388,3256,3182,2786,2957,3326,2865,3174,3232,2974,3196,3201,2754,2568,3366,3361,3360,3284
3079,3318,2990,3307,2987,3141,3181,2708,2990,2642,2958,3302,2912,3112,2946,2848,3110,2263,2721,2516,3358,3328,3332,3167,3334,3583,3168,3410,3302,3070,3455,3354,3372,3185,3580,3689,3662,3544,3376,3650,3542,3424,3018,2920,3644,3587,3638,3444,3090,3352,3138,3336,3275,3068,3388,3256,3182,2786,2957,3326,2865,3180,3225,2971,3199,3199,2760,2570,3364,3372,3356,3282
3079,3318,2990,3307,2987,3157,3182,2713,2987,2657,2955,3301,2912,3099,2940,2854,3117,2275,2724,2502,3347,3338,3324,3167,3334,3583,3168,3410,3302,3057,3450,3361,3370,3175,3583,3685,3665,3534,3380,3659,3549,3423,3020,2920,3647,3588,3638,3448,3090,3352,3138,3336,3275,3064,3382,3256,3183,2787,2957,3321,2858,3180,3230,2971,3198,3195,2757,2563,3369,3372,3347,3278
3074,3318,2990,3309,2980,3141,3184,2705,2992,2651,2948,3308,2909,3108,2943,2849,3107,2275,2724,2502,3347,3338,3324,3167,3332,3583,3159,3416,3301,3056,3449,3360,3370,3176,3584,3691,3664,3542,3386,3652,3546,3423,3020,2920,3647,3588,3638,3448,3088,3352,3144,3336,3271,3070,3392,3259,3179,2786,2960,3324,2862,3181,3233,2971,3203,3195,2757,2563,3369,3372,3347,3278
3079,3320,2998,3299,2988,3156,3178,2710,2961,2651,2948,3308,2909,3108,2943,2849,3107,2270,2718,2513,3353,3327,3319,3167,3331,3587,3158,3409,3299,3056,3445,3356,3364,3176,3584,3691,3664,3542,3386,3652,3546,3436,3026,2921,3650,3581,3642,3453,3092,3346,3145,3340,3264,3070,3397,3249,3182,2786,2960,3324,2862,3181,3233,2971,3203,3199,2761,2565,3364,3368,3357,3281
3084,3320,2998,3299,2988,3156,3178,2710,2961,2658,2957,3308,2908,3114,2942,2844,3063,2263,2722,2513,3361,3329,3313,3167,3332,3587,3158,3409,3299,3056,3445,3356,3364,3182,3581,3686,3661,3539,3379,3652,3541,3431,3026,2916,3652,3590,3640,3448,3091,3346,3145,3340,3264,3070,3397,3249,3182,2786,2954,3317,2867,3183,3231,2975,3198,3197,2761,2568,3366,3372,3359,3281
3084,3321,2996,3311,2989,3150,3181,2705,2989,2652,2955,3304,2908,3088,2943,2851,3112,2265,2720,2505,3358,3329,3313,3167,3332,3576,3161,3414,3288,3054,3450,3365,3377,3181,3580,3684,3660,3536,3382,3647,3546,3442,3020,2917,3647,3590,3640,3448,3091,3354,3144,3336,3265,3069,3395,3259,3179,2788,2959,3320,2867,3176,3234,2965,3201,3196,2760,2557,3369,3372,3359,3281
3067,3315,2997,3291,2988,3150,3171,2710,2990,2654,2949,3290,2909,3088,2943,2851,3112,2265,2720,2505,3358,3334,3323,3166,3333,3583,3151,3406,3284,3048,3439,3360,3375,3183,3583,3684,3654,3536,3382,3647,3546,3442,3020,2917,3647,3582,3642,3447,3090,3350,3149,3337,3274,3065,3391,3254,3181,2787,2960,3320,2865,3176,3234,2965,3201,3196,2760,2557,3369,3357,3356,3279
3084,3316,2999,3306,2991,3150,3171,2710,2990,2654,2949,3290,2909,3108,2944,2864,3104,2263,2721,2512,3360,3336,3314,3172,3329,3583,3146,3404,3280,3048,3439,3360,3375,3183,3583,3684,3654,3541,3387,3651,3550,3434,3022,2916,3650,3584,3639,3448,3090,3356,3145,3330,3275,3065,3391,3254,3181,2787,2960,3320,2865,3183,3232,2974,3199,3200,2761,2570,3361,3365,3358,3280
3084,3316,2999,3306,2991,3152,3182,2711,2987,2628,2953,3305,2910,3110,2924,2856,3114,2277,2720,2515,3353,3323,3322,3168,3329,3583,3146,3404,3280,3040,3436,3357,3371,3187,3581,3675,3663,3539,3381,3654,3544,3429,3021,2917,3652,3586,3641,3444,3090,3356,3145,3330,3275,3069,3391,3263,3180,2779,2956,3322,2866,3182,3232,2975,3203,3197,2761,2569,3364,3374,3355,3275
3090,3322,2994,3305,2996,3139,3169,2708,2990,2653,2956,3301,2912,3114,2944,2860,3100,2277,2720,2515,3353,3323,3322,3168,3327,3577,3141,3401,3269,3033,3433,3350,3371,3181,3586,3680,3663,3540,3386,3655,3553,3429,3021,2917,3652,3586,3641,3444,3088,3348,3144,3333,3272,3063,3393,3260,3182,2790,2961,3321,2864,3183,3234,2975,3197,3197,2761,2569,3364,3374,3355,3275
