ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
2943,3201,2816,3184,2823,3013,3034,2580,2844,2439,2817,3196,2718,2984,2786,2665,2981,2103,2629,2380,3245,3205,3197,3044,3035,3358,2129,2471,2265,1924,2526,3117,3104,2781,3414,3538,3483,3422,3368,3466,3443,3358,2926,2782,3480,3356,3498,3271,2922,3230,2987,3220,3162,2908,3277,3138,3066,2600,2777,3195,2652,3069,3129,2800,3093,3085,2673,2439,3248,3248,3243,3171
2942,3204,2821,3179,2826,3029,3038,2590,2816,2447,2817,3189,2728,2988,2770,2663,2989,2103,2629,2380,3245,3205,3197,3044,3039,3366,2136,2487,2240,1924,2538,3125,3104,2774,3406,3552,3490,3423,3359,3459,3444,3358,2926,2782,3480,3356,3498,3271,2923,3233,2991,3215,3159,2903,3288,3137,3065,2593,2778,3198,2678,3061,3126,2796,3089,3085,2673,2439,3248,3248,3243,3171
2940,3203,2818,3149,2833,3023,3032,2569,2841,2447,2817,3189,2728,2988,2770,2663,2989,2111,2628,2380,3246,3209,3190,3038,3046,3369,2141,2503,2190,1930,2548,3124,3102,2774,3406,3552,3490,3423,3359,3459,3444,3342,2926,2782,3484,3360,3501,3280,2928,3232,2990,3214,3160,2906,3285,3140,3064,2593,2778,3198,2678,3061,3126,2796,3089,3084,2672,2431,3248,3251,3242,3172
2935,3203,2818,3149,2833,3023,3032,2569,2841,2435,2821,3194,2725,2974,2786,2669,2986,2106,2629,2386,3241,3221,3202,3042,3040,3369,2141,2503,2190,1930,2548,3124,3102,2774,3406,3550,3489,3428,3369,3467,3449,3343,2938,2783,3481,3353,3503,3281,2923,3232,2990,3214,3160,2906,3285,3140,3064,2597,2777,3197,2668,3067,3125,2795,3091,3083,2676,2439,3254,3258,3227,3169
2935,3206,2824,3179,2831,3022,3026,2588,2841,2449,2816,3176,2728,2983,2791,2665,2980,2109,2622,2375,3243,3221,3202,3042,3040,3365,2138,2505,2154,1923,2563,3122,3099,2773,3409,3551,3495,3426,3365,3472,3447,3344,2935,2784,3483,3353,3503,3281,2923,3236,2992,3217,3146,2897,3287,3140,3066,2597,2771,3168,2677,3069,3125,2797,3091,3085,2675,2440,3253,3258,3227,3169
2942,3202,2824,3179,2820,3019,3033,2584,2842,2450,2822,3188,2721,2983,2791,2665,2980,2109,2622,2375,3243,3209,3193,3045,3034,3362,2130,2510,2103,1922,2576,3114,3095,2769,3412,3550,3496,3426,3365,3472,3447,3344,2935,2784,3483,3351,3502,3273,2920,3227,2987,3221,3157,2904,3288,3143,3064,2598,2778,3200,2676,3069,3125,2797,3091,3085,2675,2440,3253,3259,3243,3169
2943,3191,2823,3182,2836,3019,3033,2584,2842,2450,2822,3188,2721,2983,2791,2673,2985,2099,2632,2376,3243,3201,3198,3037,3032,3353,2129,2517,2062,1922,2576,3114,3095,2769,3412,3550,3496,3427,3360,3464,3443,3342,2936,2787,3484,3354,3502,3274,2927,3234,2988,3221,3154,2904,3288,3143,3064,2598,2778,3200,2676,3071,3128,2794,3092,3087,2670,2441,3251,3247,3238,3171
2943,3191,2823,3182,2836,3017,3024,2589,2840,2447,2823,3184,2728,2986,2787,2666,2985,2098,2633,2379,3243,3216,3188,3029,3032,3353,2129,2517,2062,1919,2574,3099,3087,2763,3416,3556,3498,3425,3364,3474,3449,3348,2937,2781,3483,3347,3500,3267,2927,3234,2988,3221,3154,2906,3290,3133,3065,2598,2776,3199,2677,3063,3130,2792,3094,3083,2672,2440,3250,3257,3242,3176
2942,3206,2820,3181,2831,3016,3036,2586,2841,2349,2816,3191,2724,2983,2793,2671,2979,2098,2633,2379,3243,3216,3188,3029,3027,3356,2130,2529,2022,1928,2571,3101,3091,2760,3412,3550,3499,3422,3357,3475,3445,3348,2937,2781,3483,3347,3500,3267,2927,3237,2992,3218,3157,2904,3284,3139,3059,2598,2779,3199,2671,3071,3128,2800,3095,3083,2672,2440,3250,3257,3242,3176
2936,3135,2813,3181,2835,3024,3027,2567,2843,2349,2816,3191,2724,2983,2793,2671,2979,2106,2631,2380,3242,3220,3194,3039,3031,3362,2130,2541,2013,1927,2575,3100,3086,2760,3412,3550,3499,3422,3357,3475,3445,3342,2934,2785,3475,3353,3496,3263,2922,3229,2989,3211,3151,2906,3283,3139,3066,2598,2779,3199,2671,3071,3128,2800,3095,3089,2677,2439,3246,3261,3231,3174
