ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3189,3453,3135,3303,3042,3088,3380,3272,3298,3085,3440,3560,3535,3391,2958,3529,3428,3316,2955,2826,3488,3400,3431,3145
3189,3453,3135,3303,3042,3088,3375,3263,3298,3094,3441,3558,3540,3391,2954,3528,3426,3318,2954,2827,3494,3395,3440,3146
3192,3446,3134,3294,3033,3077,3374,3271,3293,3067,3442,3560,3537,3396,2962,3529,3438,3318,2954,2827,3494,3395,3440,3146
3194,3449,3120,3296,3029,3067,3370,3260,3293,3067,3442,3560,3537,3396,2962,3529,3438,3318,2956,2832,3488,3399,3436,3142
3185,3449,3120,3296,3029,3067,3370,3260,3293,3090,3443,3557,3534,3401,2980,3533,3432,3320,2953,2829,3493,3394,3438,3141
3185,3443,3115,3290,3012,3053,3365,3266,3285,3086,3443,3548,3535,3401,2975,3538,3432,3311,2952,2828,3486,3394,3438,3141
3183,3445,3105,3281,2998,3052,3359,3265,3294,3085,3445,3556,3543,3401,2975,3538,3432,3311,2952,2828,3486,3392,3439,3142
3171,3441,3099,3265,2968,3052,3359,3265,3294,3085,3445,3556,3543,3401,2992,3534,3432,3321,2956,2830,3486,3388,3434,3133
3171,3441,3099,3265,2968,3040,3355,3259,3290,3084,3443,3558,3539,3401,2996,3536,3440,3314,2954,2826,3483,3384,3439,3128
3178,3432,3087,3262,2960,3030,3351,3256,3291,3083,3451,3556,3541,3403,3001,3533,3434,3314,2954,2826,3483,3384,3439,3128
3178,3438,3085,3249,2949,3027,3346,3262,3288,3083,3451,3556,3541,3403,3001,3533,3434,3325,2953,2832,3483,3381,3438,3123
3172,3438,3085,3249,2949,3027,3346,3262,3288,3082,3448,3556,3543,3402,3003,3534,3441,3326,2949,2834,3483,3373,3428,3130
3172,3445,3075,3233,2927,3021,3337,3258,3286,3080,3452,3556,3548,3405,3016,3532,3445,3323,2955,2833,3478,3373,3428,3130
3171,3431,3064,3230,2911,3007,3336,3257,3288,3077,3445,3555,3545,3405,3016,3532,3445,3323,2955,2833,3478,3369,3437,3116
3168,3432,3047,3218,2882,3007,3336,3257,3288,3077,3445,3555,3545,3405,3024,3542,3437,3331,2959,2832,3477,3363,3435,3120
3168,3432,3047,3218,2882,2999,3328,3260,3282,3078,3451,3555,3544,3408,3029,3532,3441,3326,2954,2836,3483,3346,3431,3116
3168,3416,3041,3205,2862,2993,3328,3240,3280,3067,3451,3559,3549,3407,3037,3536,3442,3326,2954,2836,3483,3346,3431,3116
3163,3420,3037,3196,2850,2986,3322,3257,3287,3067,3451,3559,3549,3407,3037,3536,3442,3327,2955,2830,3477,3366,3438,3118
3160,3420,3037,3196,2850,2986,3322,3257,3287,3070,3450,3555,3551,3408,3039,3544,3446,3330,2961,2832,3473,3365,3439,3114
3160,3424,3022,3189,2842,2975,3320,3258,3280,3071,3447,3560,3532,3402,3059,3536,3447,3330,2956,2828,3476,3365,3439,3114
3152,3412,3010,3174,2815,2966,3309,3252,3278,3063,3450,3545,3547,3402,3059,3536,3447,3330,2956,2828,3476,3344,3435,3111
3150,3414,2999,3161,2793,2966,3309,3252,3278,3063,3450,3545,3547,3407,3035,3541,3444,3331,2960,2832,3477,3351,3435,3109
3150,3414,2999,3161,2793,2952,3306,3249,3278,3061,3452,3548,3543,3413,3074,3541,3449,3330,2953,2835,3479,3342,3439,3105
3156,3419,2991,3156,2787,2940,3302,3261,3274,3060,3446,3558,3548,3408,3096,3544,3436,3330,2953,2835,3479,3342,3439,3105
3143,3414,2983,3151,2782,2935,3298,3251,3274,3060,3446,3558,3548,3408,3096,3544,3436,3335,2959,2826,3478,3346,3445,3112
3142,3414,2983,3151,2782,2935,3298,3251,3274,3051,3449,3549,3543,3411,3103,3541,3448,3341,2955,2834,3479,3339,3443,3109
3142,3414,2976,3140,2767,2922,3294,3260,3274,3056,3444,3542,3544,3416,3117,3532,3450,3342,2952,2833,3471,3339,3443,3109
3146,3414,2971,3126,2741,2914,3277,3262,3274,3043,3446,3558,3542,3416,3117,3532,3450,3342,2952,2833,3471,3328,3440,3107
3143,3418,2956,3114,2718,2914,3277,3262,3274,3043,3446,3558,3542,3418,3128,3533,3453,3340,2957,2832,3473,3335,3448,3108
3143,3418,2956,3114,2718,2905,3287,3258,3273,3049,3444,3527,3548,3415,3141,3537,3442,3342,2954,2834,3476,3332,3442,3109
3145,3412,2946,3099,2704,2895,3282,3258,3268,3051,3445,3554,3551,3416,3145,3541,3445,3342,2954,2834,3476,3332,3442,3109
3142,3403,2942,3093,2674,2892,3274,3249,3266,3051,3445,3554,3551,3416,3145,3541,3445,3342,2960,2832,3477,3313,3451,3110
3141,3403,2942,3093,2674,2892,3274,3249,3266,3048,3442,3562,3548,3418,3153,3539,3452,3346,2954,2828,3478,3324,3452,3111
3141,3408,2938,3089,2671,2881,3271,3256,3270,3038,3444,3560,3544,3421,3173,3537,3448,3346,2954,2830,3473,3324,3452,3111
3146,3416,2924,3076,2649,2874,3262,3255,3266,3032,3448,3556,3541,3421,3173,3537,3448,3346,2954,2830,3473,3332,3452,3115
3138,3403,2925,3070,2645,2874,3262,3255,3266,3032,3448,3556,3541,3424,3178,3532,3456,3349,2959,2822,3476,3328,3451,3115
3138,3403,2925,3070,2645,2868,3264,3258,3268,3041,3442,3557,3546,3421,3190,3532,3449,3350,2959,2821,3474,3330,3456,3116
3138,3405,2918,3068,2623,2863,3262,3241,3271,3038,3442,3559,3542,3417,3200,3533,3452,3350,2959,2821,3474,3330,3456,3116
3142,3413,2914,3064,2613,2857,3259,3256,3269,3038,3442,3559,3542,3417,3200,3533,3452,3341,2950,2827,3476,3332,3457,3113
3146,3413,2914,3064,2613,2857,3259,3256,3269,3036,3443,3557,3536,3424,3208,3535,3457,3349,2958,2828,3477,3330,3457,3119
3146,3401,2912,3060,2591,2847,3252,3251,3265,3037,3445,3557,3540,3420,3211,3529,3457,3358,2956,2829,3475,3330,3457,3119
3138,3406,2911,3053,2585,2856,3252,3260,3269,3033,3443,3542,3540,3420,3211,3529,3457,3358,2956,2829,3475,3327,3455,3122
3138,3412,2908,3045,2571,2856,3252,3260,3269,3033,3443,3542,3540,3423,3217,3530,3448,3338,2954,2827,3477,3318,3463,3121
3138,3412,2908,3045,2571,2847,3256,3255,3265,3014,3440,3552,3542,3424,3221,3529,3455,3354,2951,2825,3479,3327,3465,3125
3141,3410,2902,3044,2563,2846,3254,3262,3264,3033,3433,3565,3543,3425,3226,3527,3449,3354,2951,2825,3479,3327,3465,3125
3137,3406,2897,3040,2550,2844,3251,3258,3264,3033,3433,3565,3543,3425,3226,3527,3449,3359,2957,2825,3475,3324,3452,3123
3133,3406,2897,3040,2550,2844,3251,3258,3264,3026,3439,3553,3540,3424,3228,3524,3452,3352,2957,2828,3476,3323,3467,3124
3133,3406,2888,3027,2539,2836,3243,3258,3266,3021,3440,3561,3540,3415,3240,3524,3458,3354,2953,2824,3479,3323,3467,3124
3127,3410,2880,3024,2532,2833,3241,3257,3263,3029,3442,3555,3533,3415,3240,3524,3458,3354,2953,2824,3479,3316,3460,3125
3131,3400,2866,3018,2520,2833,3241,3257,3263,3029,3442,3555,3533,3421,3241,3524,3450,3361,2957,2820,3482,3317,3464,3124
3131,3400,2866,3018,2520,2822,3240,3256,3259,3027,3442,3558,3531,3423,3243,3522,3455,3357,2946,2823,3475,3309,3464,3125
3137,3394,2867,3008,2517,2814,3220,3250,3263,3019,3438,3559,3541,3427,3252,3519,3456,3357,2946,2823,3475,3309,3464,3125
3120,3391,2858,3009,2504,2810,3228,3251,3262,3019,3438,3559,3541,3427,3252,3519,3456,3358,2958,2822,3470,3323,3465,3122
3118,3391,2858,3009,2504,2810,3228,3251,3262,3026,3438,3556,3538,3427,3250,3528,3454,3353,2957,2821,3475,3316,3465,3113
3118,3396,2851,3002,2493,2799,3221,3254,3257,3020,3437,3552,3539,3428,3250,3525,3454,3354,2956,2820,3472,3316,3465,3113
3123,3388,2844,2992,2488,2793,3220,3248,3258,3018,3438,3557,3532,3428,3250,3525,3454,3354,2956,2820,3472,3310,3471,3119
3120,3391,2845,2988,2478,2793,3220,3248,3258,3018,3438,3557,3532,3428,3258,3526,3461,3361,2939,2822,3476,3310,3470,3121
3120,3391,2845,2988,2478,2787,3222,3258,3259,3017,3440,3561,3536,3426,3258,3526,3460,3358,2959,2818,3475,3306,3467,3105
3116,3391,2830,2975,2476,2785,3214,3265,3259,3008,3435,3553,3530,3427,3263,3528,3454,3358,2959,2818,3475,3306,3467,3105
3116,3394,2824,2976,2478,2777,3224,3260,3261,3008,3435,3553,3530,3427,3263,3528,3454,3360,2956,2820,3468,3301,3467,3110
3119,3394,2824,2976,2478,2777,3224,3260,3261,3010,3442,3555,3536,3428,3258,3519,3453,3365,2960,2821,3470,3297,3459,3112
3119,3385,2815,2970,2468,2770,3221,3253,3250,3018,3434,3552,3537,3431,3267,3519,3456,3363,2952,2820,3476,3297,3459,3112
3112,3386,2810,2966,2467,2764,3217,3259,3255,3008,3435,3552,3538,3431,3267,3519,3456,3363,2952,2820,3476,3290,3465,3104
3111,3386,2805,2960,2456,2764,3217,3259,3255,3008,3435,3552,3538,3428,3266,3515,3453,3362,2951,2793,3472,3291,3468,3109
3111,3386,2805,2960,2456,2761,3210,3263,3257,3009,3435,3557,3532,3432,3271,3517,3453,3364,2952,2814,3467,3295,3472,3107
3112,3383,2810,2961,2452,2763,3215,3256,3261,3012,3436,3558,3533,3430,3267,3518,3457,3364,2952,2814,3467,3295,3472,3107
3082,3385,2810,2961,2445,2765,3218,3260,3257,3012,3436,3558,3533,3430,3267,3518,3457,3367,2954,2819,3464,3284,3472,3104
3114,3385,2810,2961,2445,2765,3218,3260,3257,3015,3433,3560,3538,3430,3262,3515,3456,3366,2958,2818,3470,3292,3474,3107
3114,3388,2814,2963,2439,2769,3217,3248,3260,3014,3438,3554,3529,3419,3272,3516,3455,3364,2953,2808,3472,3292,3474,3107
3116,3387,2810,2965,2428,2771,3210,3258,3257,3019,3434,3544,3539,3419,3272,3516,3455,3364,2953,2808,3472,3294,3472,3090
3124,3392,2818,2964,2421,2771,3210,3258,3257,3019,3434,3544,3539,3428,3267,3520,3460,3364,2948,2814,3472,3294,3468,3098
3124,3392,2818,2964,2421,2771,3221,3259,3263,3020,3434,3553,3525,3430,3276,3523,3460,3363,2949,2815,3473,3295,3471,3098
3121,3396,2824,2967,2420,2770,3222,3259,3262,3021,3430,3547,3532,3426,3274,3515,3450,3363,2949,2815,3473,3295,3471,3098
3122,3390,2828,2973,2423,2753,3221,3262,3261,3021,3430,3547,3532,3426,3274,3515,3450,3365,2959,2815,3475,3294,3469,3073
3125,3390,2828,2973,2423,2753,3221,3262,3261,3013,3432,3552,3522,3435,3270,3509,3460,3367,2948,2819,3470,3293,3467,3093
3125,3393,2829,2965,2424,2783,3223,3263,3266,3021,3440,3555,3532,3433,3273,3512,3455,3370,2956,2815,3473,3293,3467,3093
3121,3394,2824,2961,2406,2780,3224,3267,3256,3023,3432,3554,3530,3433,3273,3512,3455,3370,2956,2815,3473,3288,3464,3097
3121,3396,2825,2957,2415,2780,3224,3267,3256,3023,3432,3554,3530,3430,3268,3514,3457,3367,2954,2817,3472,3291,3468,3096
3121,3396,2825,2957,2415,2780,3224,3266,3263,3015,3434,3546,3530,3430,3278,3516,3459,3364,2956,2815,3468,3290,3468,3098
3122,3392,2820,2952,2417,2777,3223,3265,3260,3017,3432,3555,3532,3430,3278,3511,3462,3364,2956,2815,3468,3290,3468,3098
3118,3385,2813,2957,2414,2773,3224,3257,3263,3017,3432,3555,3532,3430,3278,3511,3462,3368,2957,2818,3476,3286,3471,3100
3116,3385,2813,2957,2414,2773,3224,3257,3263,3021,3436,3559,3532,3425,3277,3516,3460,3371,2958,2817,3473,3288,3472,3096
3116,3393,2815,2948,2427,2773,3224,3260,3263,3015,3434,3556,3536,3434,3266,3515,3457,3373,2960,2818,3466,3288,3472,3096
3120,3397,2809,2953,2428,2773,3221,3268,3265,3020,3434,3554,3533,3434,3266,3515,3457,3373,2960,2818,3466,3288,3470,3094
3117,3390,2808,2948,2425,2773,3221,3268,3265,3020,3434,3554,3533,3420,3277,3517,3455,3366,2955,2806,3472,3283,3464,3086
3117,3390,2808,2948,2425,2765,3220,3268,3259,3021,3434,3550,3531,3427,3262,3519,3458,3352,2958,2814,3464,3284,3469,3097
3120,3387,2813,2947,2427,2768,3224,3269,3264,3024,3433,3559,3521,3429,3279,3517,3456,3352,2958,2814,3464,3284,3469,3097
3117,3393,2813,2947,2440,2768,3222,3263,3263,3024,3433,3559,3521,3429,3279,3517,3456,3367,2941,2814,3466,3283,3472,3091
3118,3393,2813,2947,2440,2768,3222,3263,3263,3018,3435,3556,3530,3426,3274,3513,3453,3364,2957,2814,3472,3282,3477,3082
3118,3386,2813,2946,2442,2769,3221,3265,3262,3019,3436,3546,3530,3432,3278,3511,3457,3362,2955,2816,3467,3282,3477,3082
3089,3391,2809,2946,2444,2766,3220,3268,3262,3018,3432,3553,3531,3432,3278,3511,3457,3362,2955,2816,3467,3272,3466,3088
3120,3393,2808,2942,2445,2766,3220,3268,3262,3018,3432,3553,3531,3430,3280,3510,3461,3370,2957,2821,3468,3274,3468,3090
3120,3393,2808,2942,2445,2764,3222,3265,3265,3018,3429,3558,3531,3435,3278,3514,3459,3366,2953,2815,3469,3283,3469,3084
3119,3387,2810,2939,2457,2766,3224,3263,3262,3011,3430,3536,3528,3430,3282,3511,3463,3366,2953,2815,3469,3283,3469,3084
3120,3387,2807,2942,2464,2763,3223,3262,3265,3011,3430,3536,3528,3430,3282,3511,3463,3372,2952,2815,3471,3282,3469,3088
3118,3387,2807,2942,2464,2763,3223,3262,3265,3012,3433,3552,3530,3436,3280,3505,3455,3369,2951,2815,3468,3280,3467,3085
3118,3383,2807,2945,2466,2760,3222,3261,3254,3013,3434,3560,3528,3425,3268,3514,3455,3374,2958,2813,3472,3280,3467,3085
3116,3385,2805,2946,2476,2762,3224,3260,3254,3008,3434,3553,3529,3425,3268,3514,3455,3374,2958,2813,3472,3279,3465,3085
3117,3388,2805,2953,2484,2762,3224,3260,3254,3008,3434,3553,3529,3428,3278,3502,3457,3372,2957,2814,3464,3279,3465,3079
3117,3388,2805,2953,2484,2757,3218,3267,3262,3016,3435,3556,3525,3425,3275,3516,3457,3374,2956,2812,3467,3276,3466,3082
3114,3370,2804,2947,2483,2757,3220,3249,3260,3019,3435,3548,3532,3427,3267,3512,3456,3374,2956,2812,3467,3276,3466,3082
3110,3383,2800,2947,2489,2756,3220,3260,3261,3019,3435,3548,3532,3427,3267,3512,3456,3360,2956,2816,3462,3278,3466,3075
3109,3383,2800,2947,2489,2756,3220,3260,3261,3017,3432,3552,3533,3428,3277,3517,3463,3368,2943,2817,3469,3278,3461,3071
3109,3380,2797,2945,2489,2750,3216,3255,3259,3014,3433,3556,3528,3432,3274,3512,3450,3370,2956,2812,3467,3278,3461,3071
3109,3378,2789,2942,2501,2747,3213,3262,3258,3015,3435,3556,3531,3432,3274,3512,3450,3370,2956,2812,3467,3274,3460,3064
3074,3379,2784,2911,2504,2747,3213,3262,3258,3015,3435,3556,3531,3428,3272,3512,3462,3367,2956,2820,3463,3272,3461,3058
3074,3379,2784,2911,2504,2740,3212,3260,3264,3013,3433,3549,3534,3432,3268,3521,3459,3362,2955,2821,3464,3269,3452,3067
3102,3384,2777,2936,2508,2736,3212,3263,3258,3007,3436,3552,3535,3430,3272,3512,3464,3362,2955,2821,3464,3269,3452,3067
