ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
2970,3330,2160,2517,2711,2122,2807,3215,3183,2935,3583,3663,3671,3538,3405,3665,3563,3459,3016,2919,3558,3388,3580,3305
2970,3330,2160,2517,2711,2122,2807,3221,3177,2939,3582,3648,3674,3537,3372,3669,3558,3454,3023,2926,3555,3391,3578,3301
2968,3331,2161,2518,2708,2128,2809,3217,3188,2941,3582,3659,3679,3546,3393,3668,3554,3455,3026,2926,3555,3391,3578,3301
2963,3336,2164,2519,2707,2128,2807,3226,3190,2940,3578,3659,3679,3546,3393,3668,3554,3455,3026,2925,3554,3385,3581,3299
2982,3338,2163,2519,2707,2128,2807,3226,3190,2940,3578,3668,3673,3531,3394,3675,3556,3458,3023,2924,3561,3387,3583,3292
2982,3338,2163,2523,2713,2127,2817,3213,3190,2940,3583,3646,3684,3540,3395,3667,3555,3451,3028,2924,3559,3394,3583,3292
2989,3346,2174,2527,2724,2139,2829,3230,3194,2948,3584,3654,3675,3543,3398,3667,3555,3451,3028,2924,3559,3394,3583,3297
3005,3355,2177,2544,2738,2145,2854,3230,3194,2948,3584,3654,3675,3543,3398,3672,3555,3446,3022,2927,3559,3396,3581,3300
3005,3355,2177,2544,2738,2145,2854,3228,3200,2955,3583,3665,3674,3540,3400,3664,3551,3453,3019,2924,3562,3391,3582,3302
3002,3355,2182,2552,2739,2152,2857,3230,3198,2964,3578,3652,3671,3541,3395,3670,3557,3445,3022,2924,3562,3391,3582,3302
2996,3352,2181,2547,2731,2150,2848,3230,3201,2965,3579,3652,3671,3541,3395,3670,3557,3445,3022,2927,3564,3386,3572,3289
2984,3337,2174,2547,2731,2150,2848,3230,3201,2965,3579,3669,3676,3541,3391,3664,3561,3449,3021,2926,3553,3377,3577,3304
2984,3337,2174,2537,2720,2143,2825,3224,3195,2931,3585,3662,3676,3537,3382,3671,3543,3445,3026,2921,3554,3383,3582,3304
2975,3341,2169,2528,2711,2136,2811,3213,3190,2943,3573,3664,3675,3541,3388,3671,3543,3445,3026,2921,3554,3383,3582,3309
2976,3336,2154,2523,2709,2129,2806,3213,3190,2943,3573,3664,3675,3541,3388,3660,3559,3452,3025,2926,3552,3376,3582,3300
2976,3336,2154,2523,2709,2129,2806,3217,3181,2941,3584,3662,3672,3534,3392,3664,3556,3450,3022,2929,3558,3385,3578,3302
2966,3338,2166,2522,2712,2131,2810,3205,3188,2949,3582,3664,3678,3533,3389,3671,3555,3443,3023,2929,3558,3385,3578,3302
