ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3076,3325,3009,3294,2842,3146,3174,2863,3019,2622,2834,3306,2933,3116,2864,2865,3112,2810,2738,2504,3351,3327,3316,2995,3205,3498,2494,3071,3078,2240,2838,3014,3055,2802,3592,3679,3680,3541,3379,3680,3536,3332,3009,2928,3614,3506,3622,3403,3085,3348,3143,3334,3275,3059,3398,3258,3174,2787,2956,3324,2853,3179,3237,2965,3201,3199,2758,2568,3366,3374,3358,3281
3071,3316,3005,3294,2842,3146,3174,2863,3019,2622,2834,3310,2925,3112,2865,2865,3115,2816,2732,2500,3347,3324,3317,3000,3201,3497,2501,3071,3078,2240,2838,3014,3055,2802,3592,3683,3681,3536,3375,3680,3531,3334,3010,2925,3616,3521,3613,3407,3083,3347,3145,3334,3275,3059,3398,3258,3174,2787,2956,3323,2853,3181,3221,2967,3197,3201,2761,2568,3363,3370,3350,3281
3071,3316,3005,3304,2845,3147,3170,2866,3017,2625,2936,3301,2921,3117,2867,2865,3129,2814,2724,2506,3350,3323,3298,3000,3201,3497,2501,3073,3078,2243,2844,3030,3058,2810,3592,3680,3685,3530,3369,3671,3533,3336,3011,2933,3610,3509,3614,3407,3083,3347,3145,3329,3275,3064,3388,3256,3181,2786,2957,3319,2856,3183,3227,2965,3200,3198,2760,2567,3362,3375,3351,3281
3078,3320,3002,3302,2822,3133,3174,2864,3014,2626,2941,3296,2931,3113,2863,2865,3129,2814,2724,2506,3350,3323,3298,3004,3207,3499,2509,3081,3089,2247,2870,3047,3072,2811,3587,3682,3680,3522,3376,3671,3533,3336,3011,2933,3610,3509,3614,3409,3083,3355,3142,3338,3271,3067,3394,3251,3181,2786,2955,3322,2854,3175,3234,2965,3200,3198,2760,2567,3362,3375,3351,3283
3020,3320,3011,3300,2843,3146,3162,2864,3014,2626,2941,3296,2931,3113,2863,2867,3114,2818,2727,2509,3346,3325,3312,3007,3203,3498,2509,3089,3087,2255,2879,3047,3072,2811,3587,3682,3680,3522,3376,3680,3534,3345,3008,2923,3612,3520,3617,3409,3079,3346,3140,3332,3271,3068,3388,3251,3181,2786,2955,3322,2854,3175,3234,2968,3201,3201,2757,2566,3360,3372,3358,3274
3020,3320,3011,3300,2843,3146,3162,2854,3020,2610,2936,3312,2924,3110,2861,2864,3123,2800,2727,2503,3347,3329,3299,2999,3203,3498,2509,3089,3087,2255,2879,3052,3079,2828,3590,3683,3678,3531,3389,3680,3533,3340,3003,2928,3609,3522,3616,3406,3079,3346,3140,3332,3271,3068,3388,3262,3182,2781,2959,3320,2857,3181,3230,2965,3202,3197,2759,2563,3362,3375,3359,3280
3070,3326,3004,3297,2845,3150,3168,2860,3015,2625,2937,3310,2920,3111,2866,2867,3127,2819,2725,2503,3347,3329,3299,2999,3201,3494,2508,3086,3095,2256,2888,3068,3088,2834,3591,3674,3672,3536,3381,3678,3531,3346,3013,2928,3609,3522,3616,3406,3083,3352,3139,3340,3270,3065,3392,3261,3175,2787,2956,3322,2851,3186,3226,2967,3198,3202,2757,2563,3362,3375,3359,3280
3071,3319,2999,3302,2831,3141,3175,2856,3009,2615,2940,3310,2920,3111,2866,2867,3127,2819,2725,2504,3352,3321,3312,2994,3196,3491,2510,3086,3097,2258,2889,3064,3088,2830,3589,3674,3672,3536,3381,3678,3531,3346,3013,2924,3614,3517,3613,3412,3090,3353,3135,3334,3259,3063,3397,3260,3181,2781,2955,3322,2851,3186,3226,2967,3198,3202,2757,2565,3365,3368,3360,3282
3086,3318,3003,3302,2831,3141,3175,2856,3009,2615,2940,3312,2929,3108,2863,2862,3124,2799,2730,2494,3352,3320,3307,3011,3200,3498,2507,3086,3097,2258,2889,3064,3088,2830,3589,3677,3680,3535,3378,3678,3539,3349,3011,2931,3614,3516,3614,3397,3083,3353,3142,3334,3259,3063,3397,3260,3181,2781,2955,3324,2853,3184,3234,2970,3201,3194,2759,2562,3363,3368,3358,3288
3086,3318,3003,3303,2843,3146,3172,2852,3020,2625,2943,3312,2925,3111,2871,2869,3126,2818,2727,2498,3357,3326,3314,3011,3200,3498,2507,3082,3094,2251,2883,3061,3083,2828,3587,3666,3678,3538,3380,3673,3529,3342,3005,2931,3610,3506,3613,3397,3083,3353,3142,3335,3264,3061,3397,3257,3182,2786,2952,3313,2857,3176,3238,2966,3200,3193,2756,2564,3368,3372,3361,3288
