ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3089,3345,3014,3318,2878,3169,3198,2849,3037,2640,2989,3330,2966,3146,2904,2906,3151,2773,2743,2521,3380,3352,3344,3089,3333,3592,3034,3360,3248,2895,3403,3401,3384,3190,3587,3707,3693,3568,3368,3687,3581,3483,3046,2940,3674,3604,3664,3463,3096,3361,3157,3348,3284,3088,3409,3278,3195,2814,2973,3329,2876,3192,3244,2995,3220,3217,2771,2588,3376,3380,3357,3295
3089,3345,3014,3318,2882,3166,3196,2842,3004,2642,2989,3321,2966,3137,2879,2907,3149,2767,2736,2521,3376,3350,3343,3089,3333,3592,3034,3365,3249,2900,3405,3397,3390,3188,3608,3699,3692,3565,3374,3682,3574,3489,3046,2940,3672,3603,3664,3463,3096,3361,3157,3345,3286,3083,3410,3268,3202,2815,2967,3337,2874,3191,3250,2986,3215,3215,2770,2587,3374,3363,3366,3295
3094,3341,3019,3315,2880,3161,3187,2849,3034,2643,2990,3348,2970,3140,2905,2907,3149,2767,2736,2521,3376,3350,3343,3097,3332,3591,3039,3370,3256,2912,3413,3397,3388,3187,3606,3706,3693,3558,3377,3682,3574,3489,3046,2940,3672,3603,3664,3472,3092,3356,3155,3342,3285,3090,3410,3280,3200,2818,2967,3327,2876,3197,3249,2986,3215,3215,2770,2587,3374,3363,3366,3294
3096,3332,3020,3325,2881,3170,3196,2849,3034,2643,2990,3348,2970,3140,2905,2911,3149,2763,2747,2518,3374,3350,3338,3083,3332,3598,3050,3375,3263,2927,3412,3397,3388,3187,3606,3706,3693,3558,3377,3691,3576,3489,3043,2933,3667,3599,3659,3472,3084,3348,3156,3347,3255,3086,3401,3280,3200,2818,2967,3327,2876,3197,3249,2995,3216,3218,2771,2590,3373,3382,3371,3285
3096,3332,3020,3325,2881,3170,3196,2836,3033,2645,2992,3344,2971,3129,2886,2908,3146,2782,2737,2516,3383,3341,3341,3096,3332,3598,3050,3375,3263,2927,3412,3394,3400,3202,3606,3706,3692,3562,3363,3691,3578,3487,3048,2938,3668,3602,3664,3477,3084,3348,3156,3347,3255,3086,3401,3277,3203,2817,2970,3324,2879,3193,3244,2992,3214,3211,2775,2591,3373,3379,3372,3295
3090,3333,3024,3321,2879,3171,3191,2845,3035,2644,2995,3343,2970,3140,2902,2915,3148,2762,2742,2516,3383,3341,3341,3096,3330,3594,3067,3388,3263,2952,3425,3403,3386,3201,3609,3712,3691,3565,3360,3679,3573,3486,3047,2938,3668,3602,3664,3477,3095,3353,3154,3342,3282,3085,3410,3276,3199,2808,2971,3329,2878,3198,3251,2998,3222,3213,2774,2591,3373,3379,3372,3295
3098,3343,3017,3325,2879,3165,3195,2835,3032,2646,2933,3343,2970,3140,2902,2915,3148,2762,2742,2515,3380,3350,3346,3075,3341,3600,3075,3392,3273,2967,3434,3413,3392,3212,3607,3712,3691,3565,3360,3679,3573,3486,3047,2941,3667,3598,3667,3477,3091,3358,3151,3345,3286,3082,3406,3279,3198,2816,2969,3329,2878,3198,3251,2998,3222,3213,2774,2588,3376,3384,3365,3297
3088,3339,3028,3325,2879,3165,3195,2835,3032,2646,2933,3340,2962,3141,2897,2914,3141,2780,2748,2518,3373,3346,3341,3074,3342,3581,3086,3392,3273,2967,3434,3413,3392,3212,3607,3704,3692,3567,3365,3692,3579,3485,3050,2941,3667,3611,3664,3477,3094,3358,3155,3345,3286,3082,3406,3279,3198,2816,2969,3335,2875,3196,3250,2990,3221,3219,2774,2585,3376,3377,3369,3291
3088,3339,3028,3324,2880,3172,3199,2837,3019,2641,2991,3338,2966,3135,2902,2916,3147,2779,2753,2516,3390,3355,3340,3074,3342,3581,3086,3396,3274,2967,3433,3404,3390,3213,3606,3695,3689,3565,3365,3687,3581,3482,3048,2938,3673,3605,3667,3477,3094,3358,3155,3348,3287,3091,3409,3275,3200,2818,2970,3335,2870,3194,3245,2989,3220,3220,2762,2588,3373,3380,3371,3291
3092,3336,3025,3322,2878,3155,3197,2833,3036,2642,2994,3338,2975,3140,2903,2916,3147,2779,2753,2516,3390,3355,3340,3089,3330,3595,3056,3389,3264,2962,3429,3408,3395,3212,3606,3701,3691,3565,3374,3687,3581,3482,3048,2938,3673,3605,3667,3477,3092,3355,3153,3341,3287,3088,3411,3280,3199,2819,2967,3333,2879,3198,3242,2989,3220,3220,2762,2588,3373,3380,3371,3290
