ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3296,3564,2794,3246,3150,2576,3259,3325,3310,3079,3633,3710,3712,3560,3231,3709,3570,3471,3039,2946,3653,3566,3647,3424
3296,3564,2794,3244,3162,2584,3259,3340,3311,3080,3627,3699,3710,3562,3232,3705,3572,3451,3044,2948,3652,3565,3646,3424
3295,3566,2783,3237,3156,2576,3254,3334,3309,3062,3630,3703,3710,3559,3230,3705,3572,3451,3044,2948,3652,3565,3646,3418
3293,3561,2771,3230,3158,2561,3247,3334,3309,3062,3630,3703,3710,3559,3230,3701,3563,3468,3035,2948,3653,3565,3649,3431
3293,3561,2771,3230,3158,2561,3247,3330,3308,3068,3625,3713,3708,3558,3229,3705,3554,3462,3045,2947,3651,3560,3641,3416
3287,3557,2755,3224,3138,2543,3238,3328,3307,3073,3632,3711,3716,3560,3218,3711,3563,3462,3044,2947,3651,3560,3641,3416
3286,3563,2744,3211,3146,2540,3243,3330,3304,3055,3632,3711,3716,3560,3218,3711,3563,3462,3044,2947,3649,3557,3648,3424
3288,3560,2746,3211,3146,2540,3243,3330,3304,3055,3632,3713,3709,3551,3216,3708,3556,3464,3043,2941,3651,3562,3636,3424
3288,3560,2746,3227,3131,2543,3241,3316,3303,3069,3636,3709,3710,3559,3221,3709,3562,3465,3044,2945,3656,3560,3645,3424
3286,3557,2753,3233,3155,2554,3254,3330,3295,3072,3629,3709,3714,3561,3220,3709,3562,3465,3044,2945,3656,3560,3645,3425
3275,3549,2767,3234,3161,2571,3254,3330,3295,3072,3629,3709,3714,3561,3220,3716,3563,3465,3038,2946,3649,3568,3646,3427
3275,3549,2767,3234,3161,2571,3254,3329,3310,3074,3640,3707,3710,3562,3221,3713,3565,3467,3040,2945,3652,3562,3648,3421
3287,3554,2777,3239,3164,2576,3258,3328,3309,3081,3632,3708,3709,3552,3223,3710,3564,3466,3043,2945,3652,3562,3648,3421
3288,3560,2772,3234,3163,2570,3260,3334,3311,3076,3631,3708,3709,3552,3223,3710,3564,3466,3043,2946,3652,3569,3651,3420
3286,3562,2764,3234,3163,2570,3260,3334,3311,3076,3631,3706,3713,3560,3218,3708,3562,3462,3042,2947,3649,3562,3644,3420
3286,3562,2764,3234,3150,2557,3247,3327,3306,3070,3636,3700,3708,3555,3219,3710,3565,3462,3035,2951,3651,3563,3647,3420
3288,3548,2763,3226,3158,2553,3245,3329,3304,3069,3628,3711,3715,3560,3217,3710,3565,3462,3035,2951,3651,3563,3647,3418
3266,3558,2759,3226,3154,2550,3248,3329,3304,3069,3628,3711,3715,3560,3217,3710,3564,3465,3044,2944,3654,3562,3640,3418
3266,3558,2759,3226,3154,2550,3248,3334,3304,3072,3633,3701,3714,3557,3215,3707,3562,3469,3041,2947,3652,3556,3638,3424
3295,3560,2759,3227,3158,2554,3248,3334,3307,3067,3633,3710,3709,3564,3217,3706,3561,3466,3040,2947,3652,3556,3638,3424
3291,3563,2771,3235,3151,2559,3253,3340,3309,3072,3627,3710,3709,3564,3217,3706,3561,3466,3040,2946,3651,3558,3646,3412
3292,3563,2772,3235,3151,2559,3253,3340,3309,3072,3627,3701,3716,3561,3213,3708,3559,3465,3040,2948,3658,3565,3646,3420
3292,3563,2772,3237,3164,2567,3257,3336,3310,3065,3631,3710,3712,3563,3211,3696,3563,3470,3044,2940,3650,3558,3643,3420
3291,3563,2774,3239,3159,2571,3260,3336,3316,3073,3636,3714,3717,3553,3204,3696,3563,3470,3044,2940,3650,3558,3643,3423
3297,3562,2785,3238,3168,2581,3266,3336,3316,3073,3636,3714,3717,3553,3204,3709,3562,3467,3038,2948,3658,3566,3648,3425
3297,3562,2785,3238,3168,2581,3266,3342,3303,3068,3633,3712,3710,3556,3209,3711,3563,3474,3044,2954,3654,3560,3646,3425
3292,3563,2778,3240,3165,2580,3263,3332,3314,3071,3629,3709,3712,3562,3214,3712,3564,3469,3036,2954,3654,3560,3646,3425
3293,3552,2780,3237,3164,2568,3265,3338,3301,3074,3632,3709,3712,3562,3214,3712,3564,3469,3036,2945,3654,3556,3643,3426
3290,3559,2768,3237,3164,2568,3265,3338,3301,3074,3632,3701,3707,3559,3205,3709,3564,3467,3039,2944,3649,3566,3643,3419
3290,3559,2768,3237,3159,2567,3258,3338,3312,3073,3632,3708,3718,3558,3212,3708,3563,3464,3048,2949,3652,3564,3643,3419
3289,3560,2766,3229,3158,2562,3248,3343,3308,3072,3632,3711,3713,3555,3213,3708,3563,3464,3048,2949,3652,3564,3643,3417
3289,3560,2768,3229,3155,2566,3257,3343,3308,3072,3632,3711,3713,3555,3213,3709,3560,3470,3041,2942,3651,3560,3644,3410
3289,3560,2768,3229,3155,2566,3257,3334,3309,3074,3633,3708,3720,3565,3212,3708,3565,3464,3042,2951,3652,3558,3645,3415
