ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3124,3354,3053,3343,3035,3182,3218,2757,3032,2722,3030,3355,2990,3162,2987,2937,3143,2282,2748,2564,3391,3376,3352,3196,3403,3630,3085,3369,3080,2751,3133,2959,3187,3009,3628,3727,3692,3565,3462,3678,3573,3402,3032,2931,3683,3616,3681,3484,3124,3372,3180,3362,3293,3106,3416,3286,3206,2832,2990,3346,2912,3209,3260,3013,3227,3222,2781,2599,3382,3388,3377,3305
3124,3351,3051,3328,3037,3189,3226,2759,3038,2732,3026,3353,2992,3164,2989,2936,3153,2286,2751,2561,3396,3376,3352,3196,3403,3625,3084,3369,3074,2751,3131,2966,3186,3002,3634,3723,3691,3568,3461,3677,3576,3407,3032,2930,3690,3616,3681,3484,3124,3375,3181,3356,3296,3102,3416,3285,3208,2821,2996,3348,2908,3203,3259,3016,3225,3222,2776,2594,3387,3388,3377,3305
3122,3357,3053,3344,3036,3142,3223,2759,3028,2725,3027,3332,2987,3164,2989,2936,3153,2286,2751,2561,3396,3373,3368,3198,3402,3631,3079,3368,3076,2747,3128,2957,3178,3005,3630,3720,3688,3568,3461,3677,3576,3407,3032,2930,3690,3619,3681,3483,3123,3374,3177,3357,3297,3102,3419,3288,3209,2834,2997,3347,2910,3203,3259,3016,3225,3222,2776,2594,3387,3393,3364,3302
3121,3363,3049,3344,3034,3142,3223,2759,3028,2725,3027,3332,2987,3159,2973,2933,3156,2286,2746,2553,3398,3378,3366,3205,3397,3623,3072,3361,3071,2747,3128,2957,3178,3005,3630,3720,3688,3572,3462,3675,3575,3405,3036,2933,3681,3620,3677,3482,3120,3370,3176,3359,3296,3102,3419,3288,3209,2834,2997,3347,2910,3211,3247,3010,3227,3222,2778,2603,3362,3387,3373,3300
3121,3363,3049,3344,3034,3187,3222,2762,3037,2722,3026,3356,2990,3160,2988,2937,3160,2271,2752,2562,3397,3377,3354,3206,3397,3623,3072,3361,3071,2741,3116,2946,3182,3003,3629,3718,3690,3565,3464,3684,3574,3411,3036,2931,3684,3612,3676,3481,3120,3370,3176,3359,3296,3106,3413,3286,3206,2826,3001,3347,2907,3203,3261,3012,3222,3226,2781,2593,3384,3397,3380,3301
3116,3355,3048,3330,3033,3195,3225,2753,2988,2710,3024,3354,2997,3154,2980,2941,3156,2271,2752,2562,3397,3377,3354,3206,3392,3622,3069,3363,3071,2724,3114,2946,3174,3007,3629,3721,3688,3569,3462,3681,3573,3411,3036,2931,3684,3612,3676,3481,3113,3373,3176,3356,3294,3104,3424,3284,3205,2832,2997,3349,2907,3206,3257,3016,3231,3226,2781,2593,3384,3397,3380,3301
3122,3356,3058,3340,3029,3189,3227,2762,3035,2710,3024,3354,2997,3154,2980,2941,3156,2298,2752,2555,3407,3374,3364,3206,3392,3624,3063,3358,3066,2720,3112,2938,3185,3007,3629,3721,3688,3569,3462,3681,3573,3411,3034,2930,3686,3619,3675,3482,3120,3361,3180,3354,3286,3106,3425,3276,3203,2832,2997,3349,2907,3206,3257,3016,3231,3225,2782,2597,3386,3395,3378,3302
3126,3356,3058,3340,3029,3189,3227,2762,3035,2728,3027,3335,2990,3155,2991,2928,3161,2273,2744,2561,3400,3370,3367,3211,3394,3624,3063,3358,3066,2720,3112,2938,3185,3006,3630,3712,3686,3571,3462,3680,3577,3407,3029,2934,3677,3618,3674,3473,3118,3361,3180,3354,3286,3106,3425,3276,3203,2830,2991,3348,2906,3202,3260,3017,3222,3224,2779,2599,3385,3394,3384,3306
3126,3349,3045,3345,3024,3186,3221,2755,3025,2727,3025,3354,2995,3153,2986,2925,3159,2278,2752,2559,3394,3370,3367,3211,3394,3619,3059,3360,3068,2720,3115,2937,3180,3007,3628,3726,3691,3565,3458,3685,3581,3407,3024,2929,3688,3618,3674,3473,3118,3375,3180,3357,3297,3106,3418,3282,3205,2830,3000,3350,2907,3199,3259,3005,3227,3228,2779,2590,3384,3394,3384,3306
3044,3355,3047,3345,3033,3194,3211,2762,3037,2730,3026,3360,2999,3153,2986,2925,3159,2278,2752,2559,3394,3380,3356,3208,3391,3621,3061,3356,3059,2716,3105,2945,3181,3006,3631,3720,3690,3565,3458,3685,3581,3407,3024,2929,3688,3613,3680,3473,3119,3369,3178,3358,3295,3104,3417,3284,3206,2833,2997,3343,2910,3199,3259,3005,3227,3228,2779,2590,3384,3379,3379,3295
