ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3389,3627,3279,3478,3291,3222,3542,3477,3451,3284,3596,3701,3675,3558,3377,3663,3571,3510,3048,2932,3680,3617,3662,3466
3386,3626,3283,3476,3289,3223,3544,3470,3453,3283,3595,3706,3672,3558,3383,3663,3571,3510,3048,2932,3680,3617,3662,3477
3388,3626,3281,3480,3292,3219,3536,3470,3453,3283,3595,3706,3672,3558,3383,3658,3583,3496,3046,2926,3679,3624,3670,3468
3388,3626,3281,3480,3292,3219,3536,3473,3458,3285,3595,3691,3673,3566,3384,3667,3567,3505,3041,2925,3680,3618,3671,3472
3385,3625,3279,3482,3287,3219,3543,3476,3453,3274,3600,3712,3674,3560,3382,3652,3571,3511,3041,2925,3680,3618,3671,3472
3385,3618,3274,3474,3285,3213,3538,3464,3451,3277,3596,3712,3674,3560,3382,3652,3571,3511,3041,2923,3678,3624,3661,3477
3388,3621,3277,3474,3285,3213,3538,3464,3451,3277,3596,3706,3673,3554,3379,3661,3569,3510,3044,2922,3681,3629,3670,3471
3388,3621,3277,3478,3285,3214,3536,3472,3454,3280,3600,3710,3673,3555,3374,3661,3576,3514,3049,2924,3680,3624,3669,3471
3389,3624,3273,3477,3283,3213,3541,3474,3449,3281,3598,3708,3666,3563,3382,3661,3576,3514,3049,2924,3680,3624,3669,3470
3391,3618,3275,3473,3275,3204,3541,3474,3449,3281,3598,3708,3666,3563,3382,3661,3572,3509,3039,2920,3680,3616,3672,3469
3391,3618,3275,3473,3275,3204,3541,3473,3446,3280,3602,3700,3672,3561,3384,3664,3573,3506,3042,2923,3677,3624,3676,3468
3387,3625,3274,3474,3276,3208,3537,3463,3456,3280,3597,3701,3677,3558,3385,3662,3578,3510,3048,2923,3677,3624,3676,3468
3384,3627,3275,3473,3278,3206,3503,3469,3451,3276,3597,3701,3677,3558,3385,3662,3578,3510,3048,2925,3680,3622,3668,3462
3388,3622,3274,3473,3278,3206,3503,3469,3451,3276,3597,3711,3674,3556,3383,3667,3564,3508,3044,2924,3682,3618,3671,3456
3388,3622,3274,3476,3268,3200,3534,3463,3448,3275,3602,3704,3673,3557,3383,3660,3579,3511,3046,2923,3685,3620,3671,3456
3392,3629,3272,3474,3262,3202,3532,3469,3450,3276,3599,3705,3680,3566,3381,3660,3579,3511,3046,2923,3685,3620,3671,3464
3390,3627,3272,3469,3266,3205,3536,3469,3450,3276,3599,3705,3680,3566,3381,3662,3576,3497,3046,2919,3682,3619,3672,3456
3390,3627,3272,3469,3266,3205,3536,3473,3453,3272,3601,3710,3680,3564,3384,3659,3572,3509,3046,2924,3678,3617,3676,3465
3385,3630,3270,3469,3264,3201,3535,3474,3452,3249,3595,3716,3673,3561,3395,3664,3568,3513,3041,2924,3678,3617,3676,3465
3392,3625,3269,3472,3266,3203,3532,3473,3442,3278,3600,3716,3673,3561,3395,3664,3568,3513,3041,2922,3688,3618,3662,3452
3389,3618,3266,3472,3266,3203,3532,3473,3442,3278,3600,3710,3675,3561,3389,3654,3579,3512,3046,2921,3679,3604,3665,3463
3389,3618,3266,3470,3263,3208,3529,3480,3447,3258,3603,3714,3672,3557,3384,3659,3563,3511,3041,2905,3680,3618,3664,3463
3388,3621,3268,3466,3266,3201,3538,3471,3454,3272,3604,3707,3676,3558,3383,3659,3563,3511,3041,2905,3680,3618,3664,3460
3387,3622,3265,3465,3264,3195,3537,3471,3454,3272,3604,3707,3676,3558,3383,3655,3572,3513,3047,2920,3671,3621,3669,3461
