ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3120,3353,3043,3327,3036,3186,3216,2753,3025,2713,3013,3345,2975,3151,2981,2922,3150,2297,2748,2552,3389,3368,3358,3201,3397,3626,3350,3534,3416,3319,3601,3493,3482,3324,3603,3706,3674,3514,3120,3670,3558,3521,3046,2931,3674,3611,3647,3443,3117,3354,3172,3356,3290,3097,3413,3283,3202,2821,2992,3337,2905,3206,3255,3013,3225,3221,2777,2592,3381,3376,3377,3306
3120,3353,3043,3327,3036,3186,3216,2752,3018,2709,3022,3336,2978,3153,2981,2914,3152,2281,2746,2539,3386,3366,3361,3207,3397,3626,3350,3534,3416,3319,3601,3505,3482,3319,3607,3706,3674,3515,3120,3666,3559,3515,3049,2929,3656,3621,3644,3441,3117,3354,3172,3356,3290,3097,3413,3283,3197,2823,2993,3347,2905,3199,3256,3008,3227,3216,2777,2594,3383,3391,3375,3300
3121,3333,3037,3324,3030,3187,3219,2754,3016,2709,3018,3345,2980,3148,2980,2917,3146,2296,2745,2539,3386,3366,3361,3207,3398,3626,3346,3540,3416,3312,3608,3506,3477,3316,3600,3706,3665,3521,3124,3662,3561,3521,3028,2929,3656,3621,3644,3441,3117,3368,3172,3356,3294,3100,3408,3272,3202,2822,2997,3347,2898,3208,3254,3010,3223,3215,2776,2594,3383,3391,3375,3300
3120,3281,3040,3329,3023,3192,3212,2753,3014,2708,3007,3345,2980,3148,2980,2917,3146,2296,2745,2553,3380,3367,3358,3200,3398,3626,3349,3531,3416,3316,3609,3503,3481,3322,3600,3706,3665,3521,3124,3662,3561,3521,3028,2930,3674,3606,3645,3442,3120,3369,3165,3356,3292,3098,3416,3279,3202,2820,2994,3347,2898,3208,3254,3010,3223,3215,2776,2593,3383,3387,3375,3293
3120,3353,3049,3329,3023,3192,3212,2753,3014,2708,3007,3332,2978,3147,2982,2918,3145,2281,2747,2536,3384,3361,3353,3189,3390,3622,3352,3531,3416,3316,3609,3503,3481,3322,3600,3706,3674,3522,3122,3666,3557,3518,3038,2935,3673,3618,3644,3441,3120,3364,3166,3356,3292,3098,3416,3279,3202,2820,2994,3342,2905,3207,3251,3012,3224,3223,2777,2594,3387,3386,3371,3302
3120,3353,3049,3325,3017,3188,3218,2752,3023,2701,3023,3342,2976,3147,2974,2914,3156,2290,2747,2550,3387,3362,3359,3189,3390,3622,3352,3537,3416,3315,3605,3491,3481,3328,3597,3696,3675,3522,3115,3672,3560,3505,3049,2932,3669,3624,3643,3441,3120,3364,3166,3353,3291,3091,3416,3281,3199,2823,2990,3341,2904,3209,3252,3007,3220,3223,2774,2593,3386,3384,3381,3302
3119,3352,3039,3332,3027,3183,3217,2756,3027,2708,3017,3343,2975,3150,2979,2914,3156,2290,2747,2550,3387,3362,3359,3199,3388,3634,3335,3540,3418,3305,3599,3508,3478,3326,3600,3699,3678,3526,3123,3672,3560,3505,3049,2932,3669,3624,3643,3437,3115,3368,3176,3358,3288,3097,3416,3282,3201,2823,2990,3338,2908,3203,3251,3007,3220,3223,2774,2593,3386,3384,3381,3303
3116,3347,3042,3335,3020,3192,3216,2756,3027,2708,3017,3343,2975,3150,2979,2915,3148,2290,2746,2550,3389,3372,3357,3199,3392,3625,3346,3539,3415,3305,3596,3508,3478,3326,3600,3699,3678,3526,3123,3673,3561,3515,3050,2933,3676,3621,3648,3440,3110,3368,3175,3357,3289,3097,3415,3282,3201,2823,2990,3338,2908,3203,3251,3006,3226,3208,2779,2596,3387,3384,3380,3298
3116,3347,3042,3335,3020,3192,3216,2755,3029,2695,3007,3346,2970,3150,2985,2920,3139,2164,2741,2553,3382,3366,3353,3176,3392,3625,3346,3539,3415,3305,3596,3506,3485,3326,3603,3702,3672,3524,3126,3672,3561,3520,3052,2934,3672,3621,3646,3430,3110,3368,3175,3357,3289,3097,3415,3279,3201,2820,2990,3346,2907,3205,3254,3009,3220,3219,2780,2592,3382,3391,3378,3296
3119,3349,3030,3337,3023,3183,3217,2749,3028,2703,3013,3340,2975,3149,2978,2914,3150,2295,2745,2553,3382,3366,3353,3176,3393,3622,3348,3535,3414,3307,3602,3510,3482,3326,3597,3695,3669,3520,3131,3669,3555,3508,3051,2934,3672,3621,3646,3430,3116,3368,3162,3348,3293,3101,3415,3277,3203,2825,2992,3345,2906,3209,3256,3013,3227,3222,2779,2592,3382,3391,3378,3296
3118,3354,3038,3320,3024,3189,3206,2748,3011,2713,3011,3340,2975,3149,2978,2914,3150,2295,2745,2553,3391,3367,3357,3197,3390,3626,3351,3526,3415,3306,3595,3507,3488,3319,3602,3695,3669,3520,3131,3669,3555,3508,3051,2931,3674,3623,3646,3436,3117,3370,3173,3358,3295,3097,3414,3282,3203,2825,2994,3345,2906,3209,3256,3013,3227,3222,2779,2590,3380,3388,3373,3304
3118,3342,3038,3320,3024,3189,3206,2748,3011,2713,3011,3343,2973,3153,2984,2908,3144,2292,2738,2554,3385,3365,3347,3144,3390,3630,3345,3526,3415,3306,3595,3507,3488,3319,3602,3701,3668,3522,3134,3668,3557,3507,3048,2933,3675,3619,3648,3439,3118,3365,3170,3358,3295,3097,3414,3282,3203,2825,2994,3333,2906,3204,3241,3008,3227,3220,2779,2593,3381,3391,3375,3303
