ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3296,3552,2853,3272,3378,2752,3383,3421,3354,3141,3593,3699,3664,3564,3531,3637,3584,3509,3049,2928,3651,3583,3667,3501
3294,3553,2854,3280,3377,2760,3390,3423,3353,3152,3599,3699,3664,3564,3531,3637,3584,3509,3049,2930,3660,3583,3666,3505
3293,3559,2860,3280,3377,2760,3390,3423,3353,3152,3599,3700,3666,3566,3526,3652,3588,3511,3044,2930,3652,3578,3655,3511
3293,3559,2860,3282,3378,2770,3393,3422,3356,3154,3594,3698,3669,3561,3528,3653,3580,3514,3044,2930,3650,3577,3664,3511
3295,3559,2866,3289,3387,2774,3397,3427,3359,3140,3593,3702,3665,3562,3529,3653,3580,3514,3044,2930,3650,3577,3664,3506
3296,3544,2878,3294,3386,2790,3406,3427,3359,3140,3593,3702,3665,3562,3529,3652,3581,3515,3047,2930,3651,3577,3666,3514
3296,3544,2878,3294,3386,2790,3406,3429,3361,3161,3591,3701,3666,3565,3532,3650,3582,3519,3042,2929,3654,3583,3666,3513
3296,3557,2893,3294,3393,2792,3400,3423,3357,3160,3598,3697,3673,3557,3519,3661,3581,3513,3040,2929,3654,3583,3666,3513
3294,3560,2887,3292,3386,2787,3401,3421,3358,3156,3595,3697,3673,3557,3519,3661,3581,3513,3040,2930,3658,3578,3664,3510
3297,3550,2879,3292,3386,2787,3401,3421,3358,3156,3595,3696,3671,3560,3528,3649,3580,3512,3048,2929,3652,3583,3665,3510
3297,3550,2879,3288,3382,2782,3401,3412,3365,3160,3597,3689,3666,3564,3524,3657,3576,3518,3042,2928,3652,3580,3667,3510
3298,3546,2877,3287,3383,2790,3404,3429,3359,3163,3596,3690,3666,3564,3523,3657,3576,3518,3042,2928,3652,3580,3667,3517
3285,3554,2877,3285,3383,2783,3400,3429,3359,3163,3596,3690,3666,3564,3523,3655,3583,3510,3040,2928,3649,3582,3664,3508
3285,3554,2877,3285,3383,2783,3400,3427,3360,3158,3594,3698,3661,3555,3531,3655,3576,3509,3042,2923,3651,3579,3674,3512
3297,3548,2882,3286,3386,2787,3400,3423,3366,3160,3597,3695,3666,3563,3532,3655,3583,3520,3048,2923,3651,3579,3674,3512
3292,3551,2890,3289,3386,2794,3406,3432,3364,3154,3592,3695,3666,3563,3532,3655,3583,3520,3048,2932,3652,3581,3664,3501
3295,3556,2891,3289,3386,2794,3406,3432,3364,3154,3592,3697,3659,3565,3528,3654,3579,3512,3043,2930,3649,3575,3663,3511
3295,3556,2891,3286,3380,2803,3410,3436,3366,3164,3599,3705,3667,3562,3526,3658,3579,3519,3040,2930,3654,3579,3656,3511
3298,3561,2884,3289,3383,2792,3406,3430,3366,3162,3596,3685,3668,3563,3530,3658,3579,3519,3040,2930,3654,3579,3656,3502
3300,3552,2880,3287,3375,2784,3409,3430,3366,3162,3596,3685,3668,3563,3530,3658,3576,3515,3041,2932,3651,3586,3656,3509
3300,3552,2880,3287,3375,2784,3409,3429,3361,3145,3595,3696,3667,3563,3526,3643,3583,3510,3040,2923,3651,3573,3659,3509
3298,3550,2866,3273,3376,2770,3397,3422,3360,3153,3601,3701,3671,3564,3530,3656,3574,3518,3046,2923,3651,3573,3659,3509
3296,3554,2871,3277,3376,2770,3398,3428,3366,3158,3600,3701,3671,3564,3530,3656,3574,3518,3046,2924,3656,3577,3670,3514
3296,3549,2874,3277,3376,2770,3398,3428,3366,3158,3600,3698,3668,3561,3519,3658,3578,3514,3041,2928,3650,3568,3666,3508
3296,3549,2874,3275,3379,2769,3400,3426,3357,3155,3597,3700,3672,3554,3529,3656,3582,3513,3040,2925,3648,3570,3666,3508
3299,3546,2872,3275,3377,2769,3396,3422,3362,3154,3598,3693,3669,3560,3517,3656,3582,3513,3040,2925,3648,3570,3666,3510
3291,3549,2869,3274,3376,2763,3393,3422,3362,3154,3598,3693,3669,3560,3517,3661,3580,3504,3040,2929,3649,3569,3665,3496
3291,3549,2869,3274,3376,2763,3393,3422,3362,3157,3597,3697,3671,3557,3524,3661,3582,3512,3045,2930,3647,3573,3663,3502
3290,3543,2870,3272,3373,2762,3381,3433,3362,3157,3595,3697,3673,3562,3533,3657,3573,3512,3045,2930,3647,3573,3663,3502
3294,3552,2873,3274,3369,2758,3391,3421,3363,3152,3600,3697,3673,3562,3533,3657,3573,3512,3045,2927,3646,3572,3662,3506
3292,3552,2875,3274,3369,2758,3391,3421,3363,3152,3600,3691,3672,3556,3526,3657,3583,3498,3046,2928,3651,3574,3662,3505
3292,3552,2875,3281,3371,2763,3394,3437,3364,3162,3598,3699,3665,3563,3526,3657,3579,3509,3046,2932,3647,3572,3662,3505
3293,3550,2875,3280,3372,2765,3396,3433,3362,3152,3600,3698,3672,3566,3526,3657,3579,3509,3046,2932,3647,3572,3662,3498
3296,3547,2874,3275,3362,2762,3393,3433,3362,3152,3600,3698,3672,3566,3526,3651,3576,3518,3045,2932,3648,3568,3658,3504
3296,3547,2874,3275,3362,2762,3393,3430,3357,3154,3600,3697,3670,3566,3531,3650,3577,3513,3041,2930,3651,3573,3659,3497
3294,3547,2874,3272,3370,2754,3388,3430,3359,3154,3605,3699,3673,3564,3528,3646,3580,3516,3044,2930,3651,3573,3659,3497
3297,3545,2868,3282,3377,2753,3384,3424,3360,3152,3600,3699,3673,3564,3528,3646,3580,3516,3044,2930,3648,3562,3663,3509
3294,3542,2869,3282,3377,2753,3384,3424,3360,3152,3600,3700,3677,3565,3528,3650,3584,3519,3041,2922,3649,3578,3664,3508
3294,3542,2869,3281,3374,2749,3382,3425,3363,3146,3602,3701,3674,3562,3527,3652,3583,3514,3042,2934,3648,3571,3665,3508
3298,3552,2872,3284,3377,2743,3386,3433,3353,3147,3602,3697,3672,3544,3525,3652,3583,3514,3042,2934,3648,3571,3665,3506
3296,3552,2873,3281,3373,2736,3381,3433,3353,3147,3602,3697,3672,3544,3525,3664,3585,3511,3039,2927,3647,3576,3662,3503
3296,3552,2873,3281,3373,2736,3381,3408,3353,3145,3600,3700,3669,3551,3527,3659,3579,3504,3045,2928,3650,3576,3667,3494
3296,3549,2874,3284,3368,2720,3377,3424,3353,3141,3599,3698,3673,3562,3523,3658,3583,3510,3046,2928,3650,3576,3667,3494
3296,3549,2871,3280,3371,2733,3361,3416,3355,3145,3600,3698,3673,3562,3523,3658,3583,3510,3046,2930,3649,3575,3663,3501
3293,3548,2866,3280,3371,2733,3361,3416,3355,3145,3600,3696,3667,3564,3530,3659,3581,3512,3036,2930,3647,3575,3663,3506
3293,3548,2866,3277,3372,2730,3368,3428,3356,3144,3605,3690,3677,3562,3527,3658,3578,3512,3042,2928,3647,3572,3661,3506
3290,3546,2860,3276,3362,2717,3364,3422,3352,3133,3602,3695,3669,3563,3528,3658,3578,3512,3042,2928,3647,3572,3661,3508
3295,3548,2857,3256,3356,2713,3358,3422,3352,3133,3602,3695,3669,3563,3528,3654,3583,3510,3041,2931,3650,3573,3662,3496
3295,3548,2857,3256,3356,2713,3358,3422,3354,3147,3603,3696,3673,3563,3522,3659,3583,3510,3046,2934,3648,3570,3658,3500
3289,3553,2858,3267,3346,2706,3354,3416,3349,3144,3600,3696,3679,3563,3520,3669,3581,3507,3045,2934,3648,3570,3658,3500
3287,3546,2848,3263,3353,2694,3346,3419,3341,3139,3604,3696,3679,3563,3520,3669,3581,3507,3045,2932,3652,3565,3660,3496
3286,3519,2843,3263,3353,2694,3346,3419,3341,3139,3604,3698,3674,3567,3524,3663,3583,3509,3040,2933,3647,3573,3660,3502
3286,3519,2843,3260,3349,2686,3337,3409,3338,3130,3602,3703,3682,3563,3529,3657,3581,3513,3043,2934,3653,3572,3665,3502
3284,3538,2838,3262,3351,2672,3331,3407,3341,3133,3601,3703,3678,3564,3525,3657,3581,3513,3043,2934,3653,3572,3665,3500
3279,3546,2837,3255,3344,2670,3323,3407,3341,3133,3601,3703,3678,3564,3525,3662,3581,3511,3045,2932,3643,3574,3654,3504
3279,3546,2837,3255,3344,2670,3323,3409,3338,3128,3602,3699,3676,3557,3522,3658,3580,3506,3046,2933,3644,3571,3661,3500
3285,3544,2837,3260,3345,2667,3326,3411,3339,3133,3600,3697,3676,3550,3522,3664,3581,3512,3044,2933,3644,3571,3661,3500
3278,3536,2832,3258,3344,2668,3325,3402,3337,3135,3599,3697,3676,3550,3522,3664,3581,3512,3044,2928,3651,3570,3659,3500
3281,3548,2829,3258,3344,2668,3325,3402,3337,3135,3599,3691,3672,3563,3523,3665,3581,3509,3042,2935,3647,3576,3657,3496
3281,3548,2829,3259,3342,2663,3323,3412,3339,3130,3603,3699,3672,3555,3526,3668,3579,3514,3047,2931,3644,3571,3660,3496
3276,3542,2817,3252,3348,2646,3309,3401,3326,3120,3604,3701,3671,3565,3529,3668,3579,3514,3047,2931,3644,3571,3660,3496
3278,3542,2804,3240,3333,2623,3300,3401,3326,3120,3604,3701,3671,3565,3529,3659,3585,3517,3041,2933,3645,3569,3658,3482
3278,3542,2804,3240,3333,2623,3300,3401,3326,3110,3597,3696,3672,3562,3524,3665,3583,3507,3038,2935,3644,3559,3655,3496
3280,3542,2790,3231,3324,2617,3280,3397,3322,3118,3606,3697,3677,3562,3528,3668,3582,3511,3041,2935,3644,3559,3655,3496
3281,3548,2784,3228,3331,2603,3294,3402,3322,3108,3596,3697,3677,3562,3528,3668,3582,3511,3041,2934,3647,3562,3662,3496
3280,3544,2787,3228,3331,2603,3294,3402,3322,3108,3596,3692,3680,3568,3518,3665,3584,3508,3040,2935,3647,3567,3659,3496
3280,3544,2787,3236,3329,2609,3299,3402,3316,3105,3599,3699,3679,3569,3519,3660,3580,3511,3042,2933,3643,3560,3656,3496
3280,3531,2781,3230,3312,2606,3296,3387,3318,3112,3597,3702,3677,3554,3526,3660,3580,3511,3042,2933,3643,3560,3656,3497
3281,3543,2775,3230,3334,2597,3290,3387,3318,3112,3597,3702,3677,3554,3526,3665,3576,3511,3040,2933,3646,3561,3662,3499
3281,3543,2775,3230,3334,2597,3290,3398,3324,3109,3602,3697,3679,3568,3512,3668,3582,3511,3044,2932,3613,3573,3660,3501
3278,3542,2766,3220,3327,2577,3280,3394,3312,3105,3605,3699,3677,3564,3519,3667,3582,3508,3038,2932,3613,3573,3660,3501
3280,3538,2762,3222,3328,2571,3275,3392,3315,3102,3600,3699,3677,3564,3519,3667,3582,3508,3038,2932,3646,3560,3660,3496
3277,3546,2762,3222,3328,2571,3275,3392,3315,3102,3600,3696,3677,3561,3524,3663,3580,3512,3042,2928,3642,3572,3658,3487
3277,3546,2762,3224,3329,2576,3275,3387,3317,3106,3601,3697,3682,3559,3527,3664,3583,3505,3040,2934,3647,3569,3663,3487
3278,3542,2770,3230,3331,2574,3282,3393,3317,3111,3607,3694,3671,3564,3528,3664,3583,3505,3040,2934,3647,3569,3663,3491
3277,3541,2777,3234,3334,2575,3273,3393,3317,3111,3607,3694,3671,3564,3528,3664,3579,3513,3015,2933,3652,3572,3657,3496
3277,3541,2777,3234,3334,2575,3273,3391,3314,3105,3602,3691,3670,3559,3526,3662,3580,3518,3041,2933,3646,3570,3656,3500
3279,3545,2770,3227,3327,2557,3264,3386,3309,3100,3598,3681,3677,3565,3525,3656,3578,3511,3040,2933,3646,3570,3656,3500
3284,3542,2761,3220,3317,2554,3243,3382,3304,3090,3600,3681,3677,3565,3525,3656,3578,3511,3040,2932,3647,3559,3657,3492
3279,3546,2762,3220,3317,2554,3243,3382,3304,3090,3600,3702,3671,3563,3515,3660,3576,3509,3038,2933,3648,3564,3664,3494
3279,3546,2762,3222,3321,2552,3263,3381,3304,3092,3597,3692,3675,3567,3523,3671,3586,3513,3044,2932,3651,3570,3655,3494
3278,3542,2776,3228,3320,2569,3264,3386,3307,3104,3599,3698,3671,3566,3525,3671,3586,3513,3044,2932,3651,3570,3655,3492
3280,3547,2785,3230,3329,2586,3282,3386,3307,3104,3599,3698,3671,3566,3525,3666,3587,3508,3046,2932,3648,3553,3662,3501
3280,3547,2785,3230,3329,2586,3282,3377,3312,3107,3596,3701,3679,3561,3518,3655,3579,3510,3040,2935,3649,3564,3664,3500
3277,3536,2788,3245,3320,2607,3287,3376,3318,3111,3602,3699,3674,3561,3530,3660,3580,3522,3041,2935,3649,3564,3664,3500
3278,3540,2798,3242,3341,2617,3293,3393,3317,3112,3603,3699,3674,3561,3530,3660,3580,3522,3041,2931,3652,3575,3657,3502
3280,3538,2806,3242,3341,2617,3293,3393,3317,3112,3603,3701,3672,3564,3527,3663,3580,3509,3039,2928,3648,3566,3665,3502
3280,3538,2806,3246,3337,2618,3289,3387,3314,3107,3603,3702,3675,3560,3521,3668,3584,3512,3042,2935,3652,3578,3661,3502
3278,3537,2804,3251,3333,2611,3288,3382,3312,3106,3604,3699,3680,3559,3528,3668,3584,3512,3042,2935,3652,3578,3661,3493
3284,3544,2805,3253,3332,2612,3286,3382,3312,3106,3604,3699,3680,3559,3528,3670,3582,3516,3045,2929,3649,3573,3660,3493
3284,3544,2805,3253,3332,2612,3286,3381,3310,3105,3602,3696,3664,3563,3524,3666,3583,3509,3040,2933,3647,3574,3651,3499
3283,3542,2806,3248,3335,2613,3283,3386,3309,3102,3604,3691,3673,3572,3530,3662,3582,3505,3039,2933,3647,3574,3651,3499
3283,3545,2812,3256,3341,2621,3289,3382,3313,3105,3599,3691,3673,3572,3530,3662,3582,3505,3039,2930,3649,3573,3661,3500
3284,3547,2808,3256,3341,2621,3289,3382,3313,3105,3599,3688,3678,3569,3521,3665,3578,3502,3045,2929,3650,3573,3667,3495
3284,3547,2808,3255,3337,2619,3289,3385,3307,3097,3598,3697,3673,3564,3528,3654,3577,3510,3046,2932,3647,3573,3662,3495
3282,3550,2804,3256,3333,2618,3290,3385,3308,3102,3601,3686,3678,3570,3530,3654,3577,3510,3046,2932,3647,3573,3662,3500
3284,3549,2804,3259,3333,2608,3286,3385,3308,3102,3601,3686,3678,3570,3530,3662,3585,3506,3039,2933,3647,3571,3660,3499
3284,3549,2804,3259,3333,2608,3286,3384,3310,3104,3600,3698,3678,3565,3519,3662,3583,3517,3040,2933,3649,3577,3662,3501
3277,3544,2794,3247,3337,2609,3286,3383,3306,3089,3598,3697,3674,3558,3524,3657,3579,3510,3042,2933,3649,3577,3662,3501
3276,3543,2794,3248,3327,2605,3285,3378,3304,3104,3598,3697,3674,3558,3524,3657,3579,3510,3042,2926,3649,3573,3652,3502
3275,3539,2783,3248,3327,2605,3285,3378,3304,3104,3598,3700,3676,3558,3530,3668,3580,3517,3046,2930,3648,3570,3662,3500
3275,3539,2783,3242,3334,2603,3280,3379,3300,3103,3600,3701,3675,3565,3521,3666,3581,3513,3045,2934,3646,3577,3658,3500
3271,3534,2770,3233,3330,2591,3270,3378,3302,3098,3600,3697,3674,3558,3521,3666,3581,3513,3045,2934,3646,3577,3658,3500
3268,3527,2752,3229,3327,2572,3261,3378,3302,3098,3600,3697,3674,3558,3521,3667,3580,3512,3046,2921,3644,3566,3659,3498
3268,3527,2752,3229,3327,2572,3261,3373,3291,3089,3608,3697,3672,3558,3524,3664,3582,3508,3046,2930,3644,3570,3663,3498
3274,3539,2745,3223,3323,2569,3262,3363,3293,3085,3600,3696,3646,3563,3522,3665,3580,3510,3038,2930,3644,3570,3663,3498
3261,3533,2737,3217,3322,2564,3252,3368,3292,3087,3603,3696,3646,3563,3522,3665,3580,3510,3038,2935,3649,3566,3663,3496
3266,3527,2735,3217,3322,2564,3252,3368,3292,3087,3603,3699,3677,3567,3524,3665,3583,3498,3040,2930,3646,3566,3664,3493
3266,3527,2735,3213,3328,2565,3253,3369,3294,3090,3601,3689,3674,3568,3526,3664,3580,3498,3042,2938,3645,3555,3659,3493
3263,3536,2725,3212,3323,2564,3257,3369,3287,3095,3600,3694,3678,3563,3522,3664,3580,3498,3042,2938,3645,3555,3659,3493
3263,3534,2720,3208,3321,2566,3258,3369,3287,3095,3600,3694,3678,3563,3522,3668,3582,3506,3047,2935,3650,3563,3654,3496
3263,3534,2720,3208,3321,2566,3258,3368,3292,3089,3562,3700,3675,3563,3528,3667,3580,3499,3041,2936,3643,3571,3658,3491
3264,3530,2721,3205,3322,2561,3261,3365,3298,3084,3596,3681,3673,3569,3524,3666,3585,3505,3043,2936,3643,3571,3658,3491
3264,3538,2718,3205,3328,2563,3263,3366,3292,3081,3597,3681,3673,3569,3524,3666,3585,3505,3043,2935,3644,3570,3664,3497
3264,3532,2719,3205,3328,2563,3263,3366,3292,3081,3597,3696,3678,3563,3523,3657,3581,3506,3045,2933,3647,3549,3660,3507
3264,3532,2719,3217,3327,2565,3262,3365,3291,3090,3597,3698,3676,3558,3514,3662,3579,3511,3043,2930,3654,3573,3661,3507
3270,3540,2730,3220,3337,2570,3266,3368,3286,3076,3600,3700,3671,3563,3527,3662,3579,3511,3043,2930,3654,3573,3661,3496
3281,3540,2741,3227,3338,2582,3276,3368,3286,3076,3600,3700,3671,3563,3527,3658,3583,3510,3043,2932,3652,3579,3664,3496
3281,3540,2741,3227,3338,2582,3276,3369,3294,3087,3602,3698,3670,3563,3530,3662,3586,3504,3039,2924,3652,3571,3664,3503
3275,3534,2749,3230,3337,2582,3272,3355,3295,3087,3597,3691,3672,3565,3518,3662,3586,3496,3043,2924,3652,3571,3664,3503
3246,3538,2750,3230,3336,2581,3274,3369,3294,3088,3599,3691,3672,3565,3518,3662,3586,3496,3043,2932,3646,3569,3666,3496
3272,3534,2753,3230,3336,2581,3274,3369,3294,3088,3599,3699,3682,3563,3528,3662,3581,3503,3037,2934,3649,3571,3665,3501
3272,3534,2753,3232,3334,2580,3263,3374,3296,3090,3603,3698,3674,3571,3522,3663,3590,3507,3045,2933,3649,3573,3661,3501
3273,3532,2749,3226,3332,2572,3264,3370,3292,3083,3604,3697,3672,3564,3525,3663,3590,3507,3045,2933,3649,3573,3661,3494
3271,3538,2744,3215,3330,2569,3253,3370,3292,3083,3604,3697,3672,3564,3525,3669,3583,3491,3040,2932,3645,3560,3663,3499
3271,3538,2744,3215,3330,2569,3253,3365,3289,3084,3603,3698,3676,3565,3522,3664,3583,3502,3044,2931,3650,3563,3658,3497
3275,3544,2733,3219,3337,2559,3261,3361,3285,3078,3593,3703,3675,3575,3520,3668,3578,3504,3040,2931,3650,3563,3658,3497
3275,3543,2734,3218,3332,2566,3257,3358,3280,3078,3603,3703,3675,3575,3520,3668,3578,3504,3040,2933,3644,3571,3665,3497
3275,3542,2734,3218,3332,2566,3257,3358,3280,3078,3603,3703,3678,3566,3517,3658,3582,3499,3042,2933,3648,3560,3658,3500
3275,3542,2734,3220,3334,2567,3259,3356,3288,3069,3605,3699,3677,3566,3520,3660,3580,3507,3044,2929,3646,3567,3666,3500
3277,3538,2747,3220,3331,2576,3265,3364,3290,3074,3604,3699,3673,3560,3529,3660,3580,3507,3044,2929,3646,3567,3666,3501
3278,3540,2750,3233,3336,2578,3270,3364,3290,3074,3604,3699,3673,3560,3529,3664,3583,3504,3044,2928,3650,3575,3657,3502
3278,3540,2750,3233,3336,2578,3270,3366,3282,3085,3604,3698,3646,3565,3523,3659,3582,3511,3033,2932,3652,3563,3661,3501
3282,3540,2766,3235,3343,2583,3280,3360,3289,3080,3600,3703,3672,3565,3523,3664,3580,3511,3043,2932,3652,3563,3661,3501
3280,3540,2778,3245,3343,2595,3284,3369,3295,3092,3600,3703,3672,3565,3523,3664,3580,3511,3043,2934,3657,3572,3666,3503
3284,3545,2782,3245,3343,2595,3284,3369,3295,3092,3600,3694,3675,3565,3526,3662,3579,3508,3041,2917,3653,3577,3662,3502
3284,3545,2782,3248,3345,2597,3280,3376,3293,3088,3600,3695,3670,3566,3525,3664,3583,3505,3043,2934,3650,3575,3667,3502
3285,3537,2790,3251,3341,2604,3278,3358,3298,3090,3602,3699,3673,3564,3531,3664,3583,3505,3043,2934,3650,3575,3667,3502
3281,3547,2793,3250,3344,2609,3284,3358,3298,3090,3602,3699,3673,3564,3531,3662,3584,3504,3041,2936,3650,3577,3668,3504
3281,3547,2793,3250,3344,2609,3284,3372,3299,3087,3598,3703,3673,3564,3523,3662,3581,3492,3041,2934,3653,3576,3666,3500
