ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3089,3339,3017,3316,2869,3160,3194,2843,3027,2622,2978,3334,2966,3136,2899,2894,3140,2779,2746,2515,3374,3351,3328,3078,3383,3618,3241,3498,3472,3141,3535,3479,3421,3235,3552,3691,3601,3543,3538,3583,3569,3520,3032,2894,3676,3636,3668,3547,3090,3357,3153,3343,3284,3083,3405,3268,3195,2813,2969,3323,2873,3191,3240,2986,3218,3208,2767,2579,3368,3369,3365,3296
3087,3329,3021,3298,2877,3168,3195,2841,3029,2633,2987,3334,2966,3136,2899,2894,3140,2779,2746,2515,3377,3342,3331,3090,3378,3622,3239,3498,3471,3138,3541,3479,3425,3243,3553,3691,3601,3543,3538,3583,3569,3520,3032,2892,3675,3643,3666,3548,3088,3354,3149,3346,3286,3082,3399,3269,3199,2810,2968,3323,2873,3191,3240,2986,3218,3208,2767,2586,3375,3375,3369,3293
3097,3341,3020,3298,2877,3168,3195,2841,3029,2633,2987,3342,2969,3135,2895,2906,3143,2775,2741,2516,3373,3350,3335,3089,3377,3621,3234,3498,3471,3138,3541,3479,3425,3243,3553,3694,3604,3546,3541,3587,3559,3520,3030,2893,3673,3632,3670,3543,3096,3355,3145,3346,3286,3082,3399,3269,3199,2810,2968,3335,2872,3198,3248,2990,3218,3208,2772,2585,3368,3383,3369,3284
3097,3341,3020,3315,2863,3155,3198,2845,3031,2636,2983,3333,2959,3136,2897,2888,3139,2773,2731,2517,3376,3340,3331,3089,3377,3621,3234,3506,3483,3134,3535,3483,3421,3230,3549,3687,3604,3544,3533,3576,3564,3520,3032,2895,3674,3612,3674,3543,3096,3355,3145,3344,3285,3078,3403,3266,3196,2809,2970,3333,2874,3194,3246,2986,3212,3212,2766,2581,3376,3376,3362,3284
3091,3334,3020,3318,2838,3165,3186,2834,3032,2631,2985,3340,2965,3135,2898,2888,3139,2773,2731,2517,3376,3340,3331,3084,3377,3609,3229,3499,3473,3127,3537,3475,3421,3230,3557,3694,3605,3546,3538,3576,3564,3520,3032,2895,3674,3612,3674,3546,3096,3348,3151,3342,3283,3078,3409,3274,3192,2811,2966,3323,2870,3197,3244,2986,3212,3212,2766,2581,3376,3376,3362,3295
3091,3328,3018,3316,2879,3154,3178,2834,3032,2631,2985,3340,2965,3135,2898,2908,3143,2772,2742,2516,3376,3332,3338,3080,3375,3615,3233,3491,3478,3122,3532,3475,3421,3230,3557,3694,3605,3546,3538,3593,3562,3516,3030,2895,3674,3637,3677,3551,3092,3358,3154,3342,3285,3078,3408,3274,3192,2811,2966,3323,2870,3197,3244,2986,3212,3215,2768,2584,3375,3378,3366,3294
3091,3328,3018,3316,2879,3154,3178,2845,3031,2634,2983,3331,2966,3138,2895,2904,3149,2767,2739,2513,3374,3345,3341,3079,3375,3615,3233,3491,3478,3122,3532,3478,3387,3232,3552,3692,3613,3546,3534,3591,3565,3516,3033,2894,3668,3640,3677,3546,3092,3358,3154,3342,3285,3078,3408,3272,3196,2809,2968,3324,2871,3192,3247,2989,3218,3203,2766,2583,3374,3376,3368,3296
3090,3341,3019,3315,2876,3164,3189,2841,3036,2630,2986,3337,2962,3139,2899,2903,3143,2774,2747,2513,3374,3345,3341,3079,3375,3619,3226,3497,3475,3116,3525,3471,3416,3229,3554,3689,3617,3540,3535,3588,3564,3521,3036,2894,3668,3640,3677,3546,3096,3353,3156,3344,3280,3074,3406,3270,3199,2807,2966,3331,2869,3189,3243,2984,3218,3214,2772,2583,3374,3376,3368,3296
3084,3334,3018,3315,2881,3163,3186,2849,3031,2625,2985,3337,2962,3139,2899,2903,3143,2774,2747,2516,3376,3331,3328,3081,3377,3616,3224,3489,3476,3113,3531,3464,3419,3227,3557,3689,3617,3540,3535,3588,3564,3521,3036,2891,3672,3633,3669,3545,3092,3358,3145,3339,3283,3084,3408,3270,3199,2799,2967,3331,2869,3189,3243,2984,3218,3214,2772,2585,3374,3381,3373,3286
3087,3339,3014,3315,2881,3163,3186,2849,3031,2625,2985,3329,2951,3145,2881,2898,3136,2772,2740,2482,3370,3350,3334,3082,3373,3610,3220,3489,3476,3113,3531,3464,3419,3227,3557,3694,3609,3535,3530,3592,3572,3520,3037,2896,3673,3640,3676,3542,3095,3359,3154,3339,3283,3084,3408,3270,3199,2799,2967,3327,2869,3193,3248,2990,3216,3216,2772,2583,3371,3378,3362,3294
