ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3305,3567,2653,3120,2955,2431,3080,3227,3265,3064,3636,3706,3700,3571,3403,3700,3581,3447,3036,2941,3652,3541,3649,3413
3303,3569,2669,3134,2967,2444,3097,3225,3274,3071,3631,3708,3704,3563,3408,3700,3581,3447,3036,2941,3652,3541,3649,3411
3304,3563,2682,3142,2976,2461,3101,3225,3274,3071,3631,3708,3704,3563,3408,3696,3583,3448,3039,2944,3652,3551,3654,3414
3304,3563,2682,3142,2976,2461,3101,3227,3277,3077,3629,3712,3699,3563,3405,3698,3579,3450,3038,2948,3648,3557,3651,3405
3301,3563,2686,3143,2976,2464,3111,3237,3279,3080,3629,3707,3706,3579,3410,3697,3578,3451,3044,2948,3648,3557,3651,3405
3305,3561,2678,3139,2975,2453,3077,3228,3269,3066,3630,3707,3706,3579,3410,3697,3578,3451,3044,2942,3656,3551,3648,3408
3302,3562,2662,3139,2975,2453,3077,3228,3269,3066,3630,3685,3698,3571,3408,3696,3584,3449,3038,2949,3651,3551,3652,3411
3302,3562,2662,3130,2960,2429,3072,3217,3262,3058,3633,3694,3698,3570,3405,3690,3585,3454,3035,2946,3647,3539,3647,3411
3298,3562,2651,3114,2961,2423,3060,3214,3254,3042,3626,3711,3705,3575,3403,3690,3585,3454,3035,2946,3647,3539,3647,3409
3298,3559,2647,3118,2961,2419,3055,3214,3254,3042,3626,3711,3705,3575,3403,3696,3586,3442,3038,2947,3655,3545,3651,3416
3298,3559,2647,3118,2961,2419,3055,3214,3253,3042,3632,3713,3709,3572,3409,3696,3573,3441,3043,2948,3652,3546,3648,3412
3297,3557,2643,3118,2955,2418,3051,3212,3247,3041,3634,3704,3710,3572,3400,3693,3584,3444,3037,2948,3652,3546,3648,3412
3298,3560,2641,3100,2965,2417,3051,3211,3249,3045,3626,3704,3710,3572,3400,3693,3584,3444,3037,2947,3646,3537,3648,3412
3296,3560,2635,3100,2965,2417,3051,3211,3249,3045,3626,3710,3704,3565,3402,3708,3573,3446,3043,2947,3647,3541,3649,3416
3296,3560,2635,3104,2962,2416,3046,3213,3247,3038,3630,3708,3710,3572,3417,3697,3579,3449,3041,2945,3649,3544,3650,3416
3292,3553,2622,3100,2956,2408,3029,3205,3243,3027,3633,3710,3700,3571,3408,3697,3579,3449,3041,2945,3649,3544,3650,3414
3286,3542,2608,3082,2949,2400,3027,3205,3243,3027,3633,3710,3700,3571,3408,3696,3583,3446,3037,2948,3643,3537,3647,3417
3286,3542,2608,3082,2949,2400,3027,3196,3233,3024,3625,3713,3698,3576,3406,3695,3579,3450,3040,2949,3651,3536,3648,3411
3282,3536,2591,3071,2943,2384,3001,3182,3231,3020,3628,3697,3705,3572,3400,3703,3585,3442,3040,2949,3651,3536,3648,3411
3278,3544,2574,3062,2936,2369,2978,3180,3221,3001,3633,3697,3705,3572,3400,3703,3585,3442,3040,2946,3650,3542,3654,3404
3281,3543,2562,3062,2936,2369,2978,3180,3221,3001,3633,3705,3716,3577,3407,3705,3579,3438,3039,2948,3645,3538,3646,3412
3281,3543,2562,3047,2934,2360,2968,3163,3213,2993,3635,3710,3707,3574,3410,3704,3583,3443,3036,2945,3644,3541,3651,3412
3273,3538,2553,3037,2920,2353,2952,3170,3209,2983,3631,3708,3709,3574,3408,3704,3583,3443,3036,2945,3644,3541,3651,3413
3269,3542,2545,3027,2926,2346,2943,3170,3209,2983,3631,3708,3709,3574,3408,3709,3576,3440,3038,2946,3645,3522,3647,3410
3269,3542,2545,3027,2926,2346,2943,3169,3201,2983,3635,3702,3709,3579,3413,3704,3581,3445,3041,2950,3646,3534,3650,3407
3274,3539,2541,3032,2928,2347,2944,3162,3200,2979,3635,3708,3710,3576,3414,3700,3566,3447,3033,2950,3646,3534,3650,3407
3272,3539,2537,3031,2925,2351,2947,3159,3203,2980,3629,3708,3710,3576,3414,3700,3566,3447,3033,2949,3641,3532,3618,3410
3268,3539,2536,3031,2925,2351,2947,3159,3203,2980,3629,3707,3707,3571,3413,3696,3575,3437,3037,2947,3641,3524,3643,3407
3268,3539,2536,3028,2931,2347,2946,3155,3196,2975,3636,3712,3707,3572,3410,3693,3580,3439,3042,2947,3639,3525,3643,3407
3270,3539,2532,3025,2933,2343,2932,3152,3194,2959,3637,3706,3711,3567,3408,3693,3580,3439,3042,2947,3639,3525,3643,3415
3266,3536,2526,3021,2930,2340,2929,3152,3194,2959,3637,3706,3711,3567,3408,3700,3577,3439,3036,2940,3644,3533,3642,3411
3266,3536,2526,3021,2930,2340,2929,3148,3190,2962,3627,3715,3703,3574,3418,3698,3584,3439,3036,2947,3645,3524,3644,3411
3271,3534,2527,3021,2935,2342,2936,3156,3190,2951,3636,3706,3717,3576,3408,3700,3583,3445,3038,2947,3645,3524,3644,3411
3269,3522,2532,3027,2939,2347,2939,3145,3195,2973,3638,3706,3717,3576,3408,3700,3583,3445,3038,2949,3642,3532,3645,3410
3266,3540,2538,3027,2939,2347,2939,3145,3195,2973,3638,3699,3708,3569,3408,3703,3576,3435,3037,2948,3641,3535,3647,3409
