ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3518,3690,3503,3631,3508,3452,3641,3361,3380,3117,3560,3686,3548,3500,3448,3479,3408,2591,2737,2520,3698,3677,3674,3539
3515,3686,3506,3636,3513,3451,3641,3360,3377,3109,3565,3698,3546,3500,3448,3479,3408,2591,2737,2520,3698,3678,3677,3546
3516,3684,3500,3628,3513,3451,3641,3360,3377,3109,3565,3698,3546,3501,3442,3478,3412,2602,2740,2512,3694,3681,3664,3548
3516,3684,3500,3628,3513,3449,3642,3361,3371,3128,3560,3689,3552,3499,3444,3487,3410,2620,2746,2518,3705,3678,3672,3541
3520,3679,3502,3634,3514,3448,3644,3365,3370,3130,3562,3697,3543,3504,3447,3480,3414,2620,2746,2518,3705,3678,3672,3541
3521,3685,3491,3633,3517,3450,3640,3367,3382,3130,3562,3697,3543,3504,3447,3480,3414,2630,2748,2519,3699,3653,3676,3545
3518,3685,3491,3633,3517,3450,3640,3367,3382,3127,3561,3692,3538,3498,3445,3482,3414,2639,2747,2515,3697,3680,3672,3544
3518,3668,3501,3631,3512,3449,3640,3348,3381,3131,3564,3684,3544,3501,3442,3481,3411,2633,2743,2516,3693,3680,3672,3544
3520,3681,3500,3636,3511,3453,3650,3362,3385,3135,3562,3694,3550,3501,3442,3481,3411,2633,2743,2516,3693,3685,3674,3545
3515,3683,3501,3633,3511,3453,3650,3362,3385,3135,3562,3694,3550,3503,3448,3481,3410,2636,2746,2516,3697,3676,3675,3542
3515,3683,3501,3633,3511,3455,3635,3364,3383,3135,3556,3693,3544,3494,3449,3480,3407,2637,2742,2505,3698,3676,3675,3547
3519,3680,3501,3628,3513,3448,3636,3367,3381,3131,3561,3691,3543,3498,3450,3484,3409,2637,2742,2505,3698,3676,3675,3547
3511,3677,3504,3633,3507,3446,3646,3364,3385,3131,3561,3691,3543,3498,3450,3484,3409,2642,2742,2512,3696,3683,3671,3529
3521,3677,3504,3633,3507,3446,3646,3364,3385,3124,3558,3690,3535,3499,3444,3476,3414,2633,2746,2514,3695,3669,3671,3542
3521,3690,3504,3630,3509,3450,3638,3361,3383,3129,3560,3695,3542,3500,3446,3481,3418,2634,2743,2514,3695,3669,3671,3542
3518,3683,3503,3632,3514,3446,3644,3363,3382,3128,3561,3682,3545,3500,3446,3481,3418,2634,2743,2514,3695,3677,3668,3545
3517,3686,3500,3631,3508,3446,3644,3363,3382,3128,3561,3682,3545,3498,3448,3487,3405,2622,2743,2511,3700,3678,3673,3551
3517,3686,3500,3631,3508,3449,3642,3362,3379,3130,3562,3687,3546,3502,3443,3477,3407,2610,2739,2512,3694,3666,3673,3548
