ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3544,3701,3571,3672,3518,3532,3695,3504,3506,3376,3567,3702,3555,3485,3222,3483,3425,3333,2957,2781,3711,3689,3673,3521
3544,3701,3571,3672,3518,3532,3697,3503,3499,3357,3573,3706,3549,3484,3215,3476,3433,3344,2961,2780,3707,3674,3665,3524
3542,3696,3565,3667,3514,3534,3691,3495,3482,3376,3572,3710,3549,3484,3216,3477,3435,3344,2961,2780,3707,3674,3665,3524
3543,3701,3571,3668,3524,3539,3695,3501,3491,3376,3572,3710,3549,3484,3216,3477,3435,3344,2959,2777,3708,3689,3667,3519
3550,3701,3571,3668,3524,3539,3695,3501,3491,3366,3576,3707,3557,3480,3209,3477,3435,3340,2953,2780,3709,3679,3666,3520
3550,3707,3565,3672,3526,3535,3689,3496,3502,3368,3570,3705,3553,3480,3210,3474,3434,3338,2955,2775,3708,3679,3666,3520
3545,3695,3569,3670,3518,3540,3691,3490,3500,3369,3577,3694,3555,3480,3210,3474,3434,3338,2955,2775,3708,3682,3666,3516
3544,3700,3571,3670,3516,3540,3691,3490,3500,3369,3577,3694,3555,3476,3215,3482,3434,3348,2955,2774,3703,3690,3670,3520
3544,3700,3571,3670,3516,3541,3689,3495,3502,3370,3571,3696,3545,3480,3214,3480,3436,3337,2949,2779,3707,3689,3669,3514
3547,3702,3570,3668,3519,3533,3685,3497,3506,3370,3566,3704,3546,3475,3209,3477,3425,3337,2949,2779,3707,3689,3669,3514
3541,3708,3570,3666,3525,3538,3684,3496,3503,3370,3566,3704,3546,3475,3209,3477,3425,3342,2958,2773,3710,3690,3672,3516
3548,3708,3570,3666,3525,3538,3684,3496,3503,3372,3567,3712,3546,3486,3214,3476,3432,3341,2957,2778,3712,3686,3668,3506
3548,3702,3574,3669,3523,3527,3690,3505,3504,3374,3572,3690,3546,3482,3213,3474,3434,3345,2955,2780,3706,3686,3668,3506
3545,3712,3568,3669,3525,3540,3697,3499,3504,3374,3569,3705,3545,3482,3213,3474,3434,3345,2955,2780,3706,3681,3664,3514
3544,3707,3575,3671,3510,3540,3697,3499,3504,3374,3569,3705,3545,3483,3214,3476,3446,3339,2956,2784,3707,3683,3670,3516
3544,3707,3575,3671,3510,3538,3694,3501,3506,3371,3564,3707,3547,3478,3216,3479,3432,3345,2957,2782,3707,3689,3667,3512
3545,3706,3581,3666,3518,3533,3693,3500,3502,3375,3572,3710,3545,3479,3218,3475,3432,3345,2957,2782,3707,3689,3667,3512
3547,3693,3568,3668,3512,3539,3694,3499,3502,3375,3572,3710,3545,3479,3218,3475,3432,3351,2961,2781,3707,3674,3664,3512
3546,3693,3568,3668,3512,3539,3694,3499,3502,3368,3566,3701,3547,3484,3214,3469,3438,3349,2959,2779,3707,3691,3673,3516
3546,3697,3568,3668,3515,3540,3691,3499,3499,3372,3572,3707,3546,3474,3218,3480,3442,3349,2958,2784,3711,3691,3673,3516
3548,3707,3563,3665,3520,3541,3684,3499,3506,3371,3570,3701,3549,3474,3218,3480,3442,3349,2958,2784,3711,3689,3668,3518
3548,3705,3569,3669,3522,3541,3684,3499,3506,3371,3570,3701,3549,3478,3217,3476,3442,3349,2960,2784,3708,3688,3666,3513
3548,3705,3569,3669,3522,3536,3690,3504,3510,3374,3570,3702,3545,3468,3218,3480,3438,3350,2963,2780,3707,3690,3671,3516
3549,3690,3571,3677,3519,3531,3690,3502,3504,3383,3575,3692,3546,3478,3212,3480,3442,3350,2963,2780,3707,3690,3671,3516
3544,3709,3571,3670,3517,3536,3699,3505,3504,3383,3575,3692,3546,3478,3212,3480,3442,3353,2960,2780,3716,3686,3664,3519
3542,3709,3571,3670,3517,3536,3699,3505,3504,3375,3567,3699,3549,3480,3215,3477,3439,3348,2951,2787,3704,3688,3670,3513
3542,3704,3579,3672,3522,3538,3691,3507,3506,3375,3572,3705,3546,3479,3217,3478,3444,3348,2964,2781,3706,3688,3670,3513
3547,3700,3570,3670,3519,3537,3694,3504,3506,3375,3576,3696,3550,3479,3217,3478,3444,3348,2964,2781,3706,3693,3668,3505
3547,3707,3570,3670,3514,3537,3694,3504,3506,3375,3576,3696,3550,3478,3215,3476,3443,3355,2960,2786,3705,3661,3664,3506
3547,3707,3570,3670,3514,3534,3696,3508,3504,3378,3568,3695,3550,3481,3212,3484,3440,3359,2958,2786,3706,3684,3659,3515
3546,3707,3571,3670,3520,3543,3694,3506,3512,3375,3573,3709,3552,3481,3212,3474,3442,3359,2958,2786,3706,3684,3659,3515
3547,3706,3574,3669,3523,3540,3693,3502,3515,3375,3573,3709,3552,3481,3212,3474,3442,3361,2964,2784,3706,3690,3655,3504
3546,3706,3574,3669,3523,3540,3693,3502,3515,3379,3568,3700,3547,3475,3221,3480,3438,3354,2967,2783,3707,3690,3667,3511
3546,3710,3571,3672,3523,3542,3693,3500,3504,3374,3572,3704,3550,3482,3210,3468,3440,3365,2967,2779,3704,3690,3667,3511
3548,3693,3574,3668,3512,3537,3696,3497,3515,3375,3570,3701,3547,3482,3210,3468,3440,3365,2967,2779,3704,3686,3658,3512
3545,3702,3576,3668,3516,3537,3696,3497,3515,3375,3570,3701,3547,3480,3210,3474,3438,3363,2967,2784,3710,3684,3661,3514
3545,3702,3576,3668,3516,3539,3691,3500,3494,3371,3573,3706,3546,3480,3204,3478,3444,3365,2962,2781,3706,3693,3665,3508
