ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3126,3356,3054,3326,3034,3193,3231,2761,3013,2727,3017,3358,3000,3165,2976,2941,3152,2295,2750,2561,3396,3369,3360,3206,3511,3685,3505,3643,3540,3446,3675,3530,3502,3335,3557,3698,3540,3513,3516,3473,3524,3505,3002,2808,3703,3688,3678,3568,3125,3371,3182,3360,3301,3104,3418,3284,3207,2828,2994,3347,2908,3212,3260,3014,3223,3225,2779,2594,3385,3390,3385,3305
3131,3349,3054,3342,3031,3189,3216,2753,3037,2698,3016,3358,3000,3165,2976,2941,3152,2295,2750,2562,3403,3375,3367,3205,3509,3683,3503,3626,3551,3450,3676,3539,3497,3326,3557,3698,3540,3513,3516,3473,3524,3505,3002,2807,3698,3683,3680,3564,3126,3374,3170,3358,3287,3110,3421,3289,3195,2830,2995,3347,2908,3212,3260,3014,3223,3225,2779,2594,3388,3388,3360,3293
3125,3356,3051,3342,3031,3189,3216,2753,3037,2698,3016,3354,2985,3161,2969,2935,3147,2297,2747,2564,3400,3380,3356,3197,3508,3684,3494,3626,3551,3450,3676,3539,3497,3326,3557,3698,3542,3506,3520,3474,3520,3500,2998,2805,3702,3685,3672,3566,3123,3367,3179,3358,3287,3110,3421,3289,3195,2830,2995,3346,2902,3212,3255,3014,3231,3224,2779,2597,3390,3392,3376,3302
3125,3356,3051,3330,3029,3190,3228,2764,3035,2722,3016,3346,2999,3163,2985,2941,3146,2287,2752,2562,3397,3375,3361,3197,3508,3684,3494,3642,3547,3452,3672,3528,3490,3331,3556,3694,3539,3513,3515,3478,3522,3500,2999,2807,3702,3679,3681,3566,3123,3367,3179,3363,3296,3101,3422,3280,3202,2833,2998,3333,2910,3210,3244,3013,3228,3225,2779,2599,3382,3389,3382,3302
3119,3350,3055,3354,3039,3175,3230,2747,3035,2701,3018,3351,2998,3154,2986,2941,3146,2287,2752,2562,3397,3375,3361,3209,3512,3683,3501,3634,3542,3462,3674,3531,3488,3335,3558,3694,3544,3514,3519,3478,3522,3500,2999,2807,3702,3679,3681,3566,3126,3369,3180,3357,3295,3103,3417,3278,3202,2830,2996,3343,2908,3206,3253,3013,3228,3225,2779,2599,3382,3389,3382,3300
3130,3364,3054,3346,3028,3184,3232,2747,3035,2701,3018,3351,2998,3154,2986,2943,3152,2296,2751,2564,3398,3380,3359,3209,3508,3676,3504,3637,3546,3449,3672,3531,3488,3335,3558,3694,3544,3514,3519,3479,3525,3506,3003,2809,3698,3682,3680,3565,3126,3370,3183,3359,3298,3108,3423,3278,3202,2830,2996,3343,2908,3206,3253,3010,3230,3224,2781,2597,3387,3393,3379,3307
3130,3364,3054,3346,3028,3184,3232,2760,3035,2730,3020,3351,2992,3157,2984,2929,3153,2294,2742,2560,3399,3377,3365,3203,3508,3676,3504,3637,3546,3449,3672,3537,3497,3330,3561,3693,3544,3511,3523,3476,3522,3499,3002,2807,3703,3681,3681,3569,3126,3370,3183,3359,3298,3108,3423,3286,3208,2834,3000,3349,2908,3212,3255,3009,3227,3224,2781,2596,3386,3381,3380,3304
3121,3355,3056,3343,3032,3188,3231,2760,3038,2719,3026,3351,2997,3163,2986,2938,3156,2291,2752,2560,3399,3377,3365,3203,3509,3682,3491,3641,3547,3438,3662,3535,3487,3327,3559,3698,3547,3515,3521,3492,3526,3506,2999,2807,3703,3681,3681,3569,3123,3376,3177,3363,3294,3099,3420,3287,3196,2835,2993,3352,2908,3203,3254,3014,3231,3220,2782,2596,3386,3381,3380,3304
3118,3359,3052,3346,3038,3188,3223,2747,3034,2724,3019,3351,2997,3163,2986,2938,3156,2291,2752,2562,3397,3375,3356,3206,3511,3682,3496,3637,3542,3442,3673,3534,3492,3322,3561,3698,3547,3515,3521,3492,3526,3506,2999,2805,3700,3684,3676,3570,3124,3366,3177,3361,3300,3105,3422,3282,3210,2837,2997,3352,2908,3203,3254,3014,3231,3220,2782,2596,3379,3393,3373,3290
3120,3359,3057,3346,3038,3188,3223,2747,3034,2724,3019,3348,2998,3155,2989,2943,3160,2282,2748,2558,3400,3376,3369,3197,3505,3682,3504,3637,3542,3442,3673,3534,3492,3322,3561,3691,3540,3520,3519,3485,3531,3502,3001,2812,3701,3683,3686,3565,3126,3374,3180,3361,3300,3105,3422,3282,3210,2837,2997,3344,2907,3207,3257,3017,3230,3223,2775,2598,3385,3395,3385,3304
