ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3546,3694,3531,3627,3453,3473,3610,3199,3283,2924,3594,3704,3581,3502,3362,3506,3414,2846,2777,2478,3708,3678,3672,3532
3546,3690,3533,3636,3454,3467,3611,3192,3259,2934,3592,3706,3583,3506,3362,3512,3411,2843,2776,2485,3709,3678,3672,3532
3545,3699,3528,3629,3454,3467,3610,3197,3280,2940,3595,3708,3584,3506,3362,3512,3411,2843,2776,2485,3709,3681,3680,3532
3549,3688,3530,3631,3455,3467,3610,3197,3280,2940,3595,3708,3584,3509,3352,3519,3416,2838,2778,2487,3704,3680,3678,3530
3549,3688,3530,3631,3455,3467,3607,3194,3290,2942,3595,3712,3580,3502,3360,3507,3418,2844,2774,2490,3706,3681,3678,3530
3545,3692,3531,3634,3455,3460,3611,3201,3288,2940,3598,3707,3579,3505,3357,3511,3413,2844,2774,2490,3706,3681,3678,3530
3542,3690,3533,3633,3452,3457,3603,3208,3284,2940,3598,3707,3579,3505,3357,3511,3413,2850,2777,2485,3704,3681,3673,3531
3541,3690,3533,3633,3452,3457,3603,3208,3284,2935,3594,3708,3564,3507,3361,3514,3417,2853,2783,2491,3707,3680,3675,3526
3541,3691,3527,3634,3452,3460,3604,3203,3287,2930,3566,3699,3586,3504,3355,3513,3420,2855,2779,2496,3704,3680,3675,3526
3539,3686,3527,3634,3459,3461,3603,3224,3287,2932,3596,3707,3586,3504,3355,3513,3420,2855,2779,2496,3704,3678,3679,3533
3540,3698,3529,3625,3455,3461,3603,3224,3287,2932,3596,3707,3586,3510,3356,3514,3413,2860,2785,2503,3707,3678,3673,3515
3540,3698,3529,3625,3455,3461,3600,3223,3289,2924,3598,3703,3580,3509,3355,3518,3411,2862,2788,2512,3705,3680,3680,3525
3541,3694,3527,3633,3452,3460,3612,3225,3286,2933,3600,3702,3583,3507,3356,3514,3418,2862,2788,2512,3705,3680,3680,3525
3542,3693,3527,3633,3449,3464,3609,3218,3284,2933,3600,3702,3583,3507,3356,3514,3418,2862,2783,2508,3703,3681,3674,3530
3549,3693,3527,3633,3449,3464,3609,3218,3284,2938,3592,3700,3582,3507,3348,3512,3418,2866,2788,2509,3710,3672,3672,3524
3549,3700,3532,3634,3456,3457,3612,3223,3287,2941,3598,3709,3584,3505,3357,3504,3414,2875,2788,2510,3704,3672,3672,3524
