ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3083,3315,2992,3303,2976,3139,3177,2690,2982,2641,2954,3299,2860,3099,2941,2843,3104,2252,2709,2516,3351,3317,3309,3163,3560,3687,3529,3603,3292,3443,3581,3318,3358,3093,3622,3710,3607,3511,3232,3546,3479,3327,2936,2728,3692,3644,3645,3412,3088,3346,3139,3333,3266,3069,3392,3251,3181,2780,2950,3313,2861,3182,3227,2970,3200,3186,2755,2564,3363,3363,3353,3280
3079,3313,2994,3304,2980,3139,3173,2705,2984,2645,2948,3298,2909,3109,2940,2859,3102,2252,2709,2516,3351,3317,3309,3163,3559,3683,3526,3611,3288,3436,3576,3321,3350,3093,3628,3706,3606,3501,3246,3547,3473,3327,2936,2728,3692,3644,3645,3412,3090,3347,3146,3332,3257,3064,3390,3251,3181,2781,2947,3322,2861,3179,3225,2968,3199,3186,2755,2564,3363,3363,3353,3280
3069,3321,2985,3296,2976,3143,3167,2698,2978,2645,2948,3298,2909,3109,2940,2859,3102,2258,2718,2510,3353,3323,3311,3157,3557,3688,3525,3606,3282,3431,3573,3323,3350,3093,3628,3706,3606,3501,3246,3547,3473,3326,2940,2721,3697,3650,3647,3405,3081,3347,3144,3336,3271,3068,3394,3257,3179,2781,2947,3322,2861,3179,3225,2968,3199,3196,2758,2568,3360,3360,3351,3275
3071,3321,2985,3296,2976,3143,3167,2698,2978,2650,2959,3306,2906,3099,2940,2842,3106,2255,2721,2497,3350,3330,3316,3157,3554,3688,3525,3606,3282,3431,3573,3323,3350,3088,3626,3711,3611,3506,3257,3547,3477,3324,2939,2728,3696,3646,3650,3416,3086,3347,3144,3336,3271,3068,3394,3257,3179,2784,2956,3311,2862,3177,3225,2970,3195,3197,2759,2566,3359,3371,3357,3275
3071,3311,2996,3304,2985,3137,3179,2706,2983,2644,2956,3298,2916,3112,2940,2858,3108,2264,2720,2510,3352,3330,3316,3157,3554,3688,3525,3600,3274,3431,3574,3308,3348,3081,3621,3708,3614,3499,3263,3544,3479,3330,2937,2730,3694,3646,3650,3416,3086,3351,3139,3326,3269,3062,3382,3254,3174,2775,2955,3320,2855,3178,3223,2968,3197,3198,2754,2563,3364,3371,3357,3275
3077,3315,2993,3301,2969,3135,3177,2704,2986,2646,2952,3306,2907,3112,2940,2858,3108,2264,2720,2510,3352,3331,3311,3161,3558,3691,3531,3602,3276,3435,3570,3319,3347,3078,3621,3695,3612,3499,3263,3544,3479,3330,2937,2730,3694,3652,3653,3419,3090,3340,3139,3329,3269,3066,3394,3256,3179,2777,2956,3316,2858,3178,3223,2968,3197,3198,2754,2563,3364,3370,3359,3272
3068,3319,2990,3304,2987,3135,3177,2704,2986,2646,2952,3306,2907,3114,2941,2852,3112,2263,2720,2513,3353,3332,3318,3158,3558,3691,3526,3596,3274,3435,3570,3319,3347,3078,3621,3695,3612,3509,3263,3546,3480,3322,2940,2724,3694,3653,3653,3402,3086,3346,3141,3331,3268,3066,3394,3256,3179,2777,2956,3316,2858,3179,3229,2963,3196,3192,2759,2564,3365,3372,3362,3270
3068,3319,2990,3304,2987,3139,3169,2706,2971,2649,2955,3300,2902,3105,2934,2855,3096,2255,2716,2492,3354,3338,3307,3156,3558,3691,3526,3596,3274,3427,3568,3322,3347,3071,3620,3709,3606,3507,3267,3542,3476,3322,2935,2725,3690,3652,3650,3415,3086,3346,3141,3331,3268,3062,3393,3256,3173,2780,2957,3320,2860,3182,3225,2965,3199,3195,2751,2564,3364,3358,3356,3279
3074,3320,2990,3298,2987,3145,3175,2706,2982,2649,2957,3305,2904,3111,2941,2854,3098,2255,2716,2492,3354,3338,3307,3156,3558,3699,3527,3605,3278,3434,3573,3325,3346,3076,3626,3708,3610,3511,3264,3544,3478,3322,2935,2725,3690,3652,3650,3415,3084,3341,3139,3333,3271,3069,3370,3244,3179,2784,2957,3320,2859,3184,3233,2969,3199,3195,2751,2564,3364,3358,3356,3279
3065,3311,3001,3292,2988,3147,3173,2699,2973,2649,2957,3305,2904,3111,2941,2854,3098,2264,2719,2512,3352,3328,3306,3153,3558,3697,3523,3606,3272,3430,3572,3324,3339,3076,3626,3708,3610,3511,3264,3544,3478,3327,2939,2724,3690,3645,3643,3420,3084,3346,3140,3328,3271,3064,3387,3258,3178,2784,2957,3320,2859,3184,3233,2969,3199,3198,2758,2564,3361,3365,3355,3280
3068,3311,3001,3292,2988,3147,3173,2699,2973,2646,2960,3281,2907,3112,2928,2854,3102,2258,2707,2523,3352,3337,3318,3163,3557,3697,3523,3606,3272,3430,3572,3324,3339,3077,3619,3707,3616,3510,3263,3544,3477,3325,2937,2724,3696,3640,3645,3420,3089,3346,3140,3328,3271,3064,3387,3258,3178,2771,2955,3316,2853,3182,3233,2923,3196,3196,2753,2567,3359,3361,3357,3282
3068,3314,2993,3303,2989,3149,3167,2705,2984,2650,2955,3290,2902,3107,2940,2854,3108,2255,2716,2514,3355,3337,3318,3163,3557,3693,3520,3608,3286,3426,3576,3326,3346,3076,3624,3711,3610,3508,3271,3553,3479,3331,2937,2723,3690,3640,3645,3420,3089,3353,3140,3323,3271,3061,3392,3258,3180,2782,2959,3311,2862,3179,3232,2966,3195,3196,2751,2564,3359,3361,3357,3282
3075,3309,2988,3294,2990,3133,3175,2702,2983,2628,2955,3282,2902,3107,2940,2854,3108,2255,2716,2514,3355,3332,3303,3157,3554,3692,3519,3607,3288,3426,3574,3326,3350,3072,3622,3717,3612,3508,3271,3553,3479,3331,2937,2723,3690,3633,3648,3422,3088,3346,3133,3337,3266,3066,3389,3255,3173,2785,2957,3316,2853,3179,3232,2966,3195,3196,2751,2564,3359,3370,3357,3280
3075,3308,3000,3300,2989,3133,3175,2702,2983,2628,2955,3282,2902,3110,2943,2852,3104,2256,2720,2512,3354,3332,3318,3162,3552,3685,3517,3602,3285,3426,3574,3326,3350,3072,3622,3717,3612,3502,3274,3542,3476,3335,2940,2718,3696,3651,3650,3429,3087,3350,3143,3333,3266,3066,3389,3255,3173,2785,2957,3316,2853,3175,3232,2960,3194,3195,2750,2566,3363,3367,3359,3278
3075,3308,3000,3300,2989,3147,3166,2700,2989,2650,2957,3303,2906,3102,2928,2859,3112,2240,2713,2507,3346,3331,3322,3150,3552,3685,3517,3602,3285,3425,3577,3330,3350,3071,3622,3714,3611,3506,3280,3550,3478,3335,2940,2724,3692,3651,3651,3428,3087,3350,3143,3333,3266,3063,3395,3252,3179,2784,2956,3309,2858,3176,3234,2967,3197,3195,2752,2566,3362,3358,3354,3280
3079,3309,2993,3301,2987,3149,3175,2704,2978,2646,2958,3305,2901,3109,2943,2857,3110,2240,2713,2507,3346,3331,3322,3150,3553,3688,3517,3583,3294,3421,3579,3330,3340,3073,3623,3712,3613,3511,3277,3552,3481,3335,2940,2724,3692,3651,3651,3428,3089,3348,3144,3337,3272,3062,3395,3256,3181,2778,2953,3316,2857,3181,3233,2967,3198,3195,2752,2566,3362,3358,3354,3280
3074,3307,2988,3306,2975,3144,3172,2701,2976,2646,2958,3305,2901,3109,2943,2857,3110,2261,2714,2506,3355,3333,3320,3162,3550,3696,3519,3603,3292,3424,3569,3329,3349,3073,3623,3712,3613,3511,3277,3552,3481,3340,2933,2722,3693,3651,3656,3425,3084,3348,3140,3328,3267,3066,3383,3259,3177,2778,2953,3316,2857,3181,3233,2967,3198,3196,2755,2567,3364,3366,3349,3277
3076,3307,2988,3306,2975,3144,3172,2701,2976,2641,2956,3303,2896,3104,2940,2851,3110,2263,2718,2505,3346,3325,3322,3163,3547,3696,3519,3603,3292,3424,3569,3329,3349,3068,3621,3711,3613,3494,3280,3550,3482,3339,2939,2724,3696,3652,3652,3413,3089,3348,3140,3328,3267,3066,3383,3259,3177,2772,2956,3317,2847,3182,3227,2968,3198,3193,2760,2566,3359,3366,3352,3281
3076,3322,2994,3301,2988,3150,3173,2711,2978,2645,2959,3300,2903,3109,2940,2858,3112,2260,2720,2510,3352,3325,3322,3163,3547,3695,3510,3602,3294,3411,3568,3332,3338,3067,3622,3711,3613,3504,3275,3550,3480,3342,2941,2729,3688,3652,3652,3413,3089,3350,3142,3334,3266,3060,3384,3251,3173,2783,2953,3316,2857,3177,3233,2967,3195,3193,2758,2563,3364,3366,3352,3281
3075,3297,2991,3296,2992,3147,3161,2701,2975,2651,2959,3302,2904,3109,2940,2858,3112,2260,2720,2510,3352,3329,3317,3096,3552,3684,3522,3604,3287,3418,3574,3328,3342,3072,3620,3711,3611,3504,3275,3550,3480,3342,2941,2729,3688,3651,3649,3412,3089,3350,3144,3339,3269,3063,3391,3256,3180,2770,2953,3320,2851,3177,3233,2967,3195,3193,2758,2563,3364,3368,3352,3276
3074,3318,2984,3300,2988,3147,3161,2701,2975,2651,2959,3302,2904,3110,2931,2851,3112,2250,2721,2510,3346,3329,3320,3155,3553,3685,3519,3600,3284,3418,3574,3328,3342,3072,3620,3711,3611,3509,3270,3549,3485,3333,2935,2724,3700,3647,3659,3417,3089,3350,3145,3335,3270,3063,3391,3256,3180,2770,2953,3320,2851,3182,3232,2968,3192,3195,2758,2564,3364,3366,3354,3280
3074,3318,2984,3300,2988,3146,3175,2690,2977,2645,2958,3300,2906,3107,2936,2857,3113,2262,2708,2506,3353,3330,3318,3165,3553,3685,3519,3600,3284,3414,3571,3321,3343,3064,3626,3718,3615,3511,3266,3555,3484,3331,2935,2722,3698,3647,3651,3420,3089,3350,3145,3335,3270,3063,3390,3253,3179,2783,2957,3322,2859,3178,3231,2962,3197,3191,2758,2564,3359,3359,3357,3270
3075,3318,2987,3303,2988,3147,3174,2698,2983,2649,2957,3293,2906,3104,2942,2856,3111,2262,2708,2506,3353,3330,3318,3165,3553,3694,3516,3600,3293,3417,3571,3324,3344,3057,3622,3698,3613,3507,3257,3550,3473,3331,2935,2722,3698,3647,3651,3420,3077,3352,3145,3334,3269,3060,3394,3255,3176,2782,2956,3322,2858,3172,3230,2965,3197,3191,2758,2564,3359,3359,3357,3270
3078,3302,2987,3299,2971,3145,3176,2707,2974,2649,2957,3293,2906,3104,2942,2856,3111,2251,2719,2510,3352,3335,3319,3164,3554,3695,3520,3593,3293,3420,3563,3330,3341,3057,3622,3698,3613,3507,3257,3550,3473,3316,2939,2725,3694,3641,3649,3408,3083,3350,3135,3324,3268,3061,3382,3259,3168,2782,2956,3322,2858,3172,3230,2965,3197,3194,2759,2563,3359,3367,3358,3275
3076,3302,2987,3299,2971,3145,3176,2707,2974,2627,2961,3304,2908,3093,2937,2855,3103,2255,2721,2510,3344,3322,3311,3166,3551,3695,3520,3593,3293,3420,3563,3330,3341,3054,3620,3712,3620,3509,3253,3557,3480,3322,2939,2726,3696,3645,3641,3406,3085,3350,3135,3324,3268,3061,3382,3259,3168,2785,2958,3321,2849,3184,3231,2971,3199,3194,2758,2561,3360,3368,3346,3280
3076,3316,2981,3300,2986,3145,3175,2705,2973,2649,2956,3305,2906,3109,2941,2851,3110,2266,2722,2493,3353,3322,3311,3166,3551,3696,3519,3600,3296,3417,3576,3328,3345,3059,3618,3716,3614,3508,3247,3549,3471,3319,2938,2724,3695,3645,3641,3406,3085,3347,3139,3334,3261,3064,3393,3258,3177,2784,2955,3317,2859,3181,3229,2971,3202,3186,2756,2566,3360,3368,3346,3280
3076,3312,2993,3288,2973,3144,3177,2709,2980,2636,2963,3306,2905,3109,2941,2851,3110,2266,2722,2493,3353,3322,3316,3162,3555,3695,3520,3605,3292,3426,3576,3329,3343,3052,3625,3711,3615,3508,3247,3549,3471,3319,2938,2724,3695,3651,3639,3401,3086,3345,3138,3330,3264,3068,3388,3252,3180,2780,2952,3316,2857,3181,3229,2971,3202,3186,2756,2566,3360,3369,3352,3271
3076,3319,2995,3299,2984,3144,3177,2709,2980,2636,2963,3306,2905,3109,2929,2852,3119,2256,2718,2509,3351,3327,3322,3153,3550,3695,3513,3594,3295,3426,3576,3329,3343,3052,3625,3711,3615,3512,3250,3555,3478,3320,2936,2727,3693,3642,3652,3398,3090,3348,3140,3338,3271,3068,3388,3252,3180,2780,2952,3316,2857,3178,3229,2973,3199,3196,2759,2566,3360,3368,3348,3280
3076,3319,2995,3299,2984,3145,3179,2682,2975,2649,2958,3303,2909,3108,2934,2855,3109,2256,2719,2495,3346,3326,3317,3160,3550,3695,3513,3594,3295,3415,3572,3332,3342,3050,3630,3711,3620,3512,3244,3549,3478,3330,2936,2729,3690,3642,3646,3396,3090,3348,3140,3338,3271,3064,3392,3252,3176,2785,2954,3322,2858,3178,3227,2963,3201,3197,2754,2563,3358,3366,3358,3278
3079,3318,2994,3301,2978,3162,3174,2702,2982,2635,2950,3306,2904,3109,2930,2855,3104,2256,2719,2495,3346,3326,3317,3160,3558,3695,3518,3594,3291,3421,3572,3330,3342,3063,3628,3715,3621,3506,3231,3554,3476,3330,2936,2729,3690,3642,3646,3396,3079,3349,3146,3332,3268,3067,3393,3258,3178,2781,2950,3319,2859,3180,3228,2971,3191,3197,2754,2563,3358,3366,3358,3278
