ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
2921,3192,2799,3165,2819,3007,3020,2574,2819,2435,2805,3176,2708,2958,2771,2651,2966,2102,2620,2362,3226,3210,3179,3025,3368,3525,3401,3467,3179,3364,3501,3259,3325,3130,3416,3506,3419,3265,2863,3364,3316,3184,2872,2684,3447,3428,3240,3112,2904,3221,2974,3201,3148,2888,3270,3130,3054,2574,2753,3183,2657,3056,3114,2780,3070,3080,2664,2428,3237,3249,3225,3146
2928,3187,2806,3169,2815,3015,3003,2573,2821,2433,2800,3183,2710,2974,2770,2654,2977,2102,2620,2362,3226,3210,3179,3025,3370,3523,3398,3475,3178,3358,3494,3257,3321,3130,3419,3514,3423,3271,2867,3364,3316,3184,2872,2684,3447,3428,3240,3112,2899,3224,2973,3206,3138,2890,3272,3132,3050,2573,2758,3182,2651,3054,3117,2770,3079,3080,2664,2428,3237,3249,3225,3146
2927,3192,2803,3162,2820,2998,3024,2472,2824,2433,2800,3183,2710,2974,2770,2654,2977,2092,2621,2363,3232,3206,3188,3025,3371,3525,3401,3462,3179,3358,3491,3251,3315,3130,3419,3514,3423,3271,2867,3364,3316,3193,2875,2681,3455,3415,3255,3125,2908,3214,2976,3203,3146,2886,3278,3120,3051,2573,2758,3182,2651,3054,3117,2770,3079,3072,2663,2427,3237,3223,3220,3163
2927,3192,2803,3162,2820,2998,3024,2472,2824,2427,2798,3179,2699,2970,2763,2647,2979,2092,2617,2362,3228,3198,3175,3019,3368,3525,3401,3462,3179,3358,3491,3251,3315,3135,3419,3513,3419,3270,2867,3368,3314,3183,2873,2677,3455,3434,3260,3130,2906,3214,2976,3203,3146,2886,3278,3120,3051,2577,2753,3185,2659,3053,3116,2773,3079,3073,2663,2425,3238,3242,3222,3162
2927,3172,2804,3164,2822,3005,3022,2551,2820,2429,2802,3176,2710,2976,2764,2650,2976,2095,2622,2366,3223,3198,3175,3019,3368,3525,3397,3473,3169,3356,3492,3257,3320,3126,3420,3516,3385,3280,2872,3362,3311,3186,2870,2680,3461,3434,3260,3130,2906,3222,2973,3205,3146,2886,3270,3127,3052,2577,2755,3181,2648,3052,3117,2778,3073,3072,2662,2423,3234,3242,3222,3162
2920,3192,2793,3164,2812,3005,3012,2575,2824,2427,2801,3148,2708,2976,2764,2650,2976,2095,2622,2366,3223,3209,3188,3024,3375,3516,3398,3465,3170,3356,3499,3244,3310,3137,3421,3517,3420,3280,2872,3362,3311,3186,2870,2680,3461,3437,3284,3135,2904,3217,2974,3205,3143,2878,3276,3125,3052,2578,2756,3183,2656,3052,3117,2778,3073,3072,2662,2423,3234,3244,3219,3160
2927,3193,2810,3158,2807,3005,3012,2575,2824,2427,2801,3148,2708,2953,2775,2648,2970,2098,2612,2367,3227,3206,3187,3021,3366,3519,3401,3469,3166,3356,3499,3244,3310,3137,3421,3517,3420,3279,2867,3367,3308,3178,2862,2683,3462,3442,3292,3136,2906,3224,2972,3206,3141,2878,3276,3125,3052,2578,2756,3183,2656,3053,3116,2782,3081,3071,2664,2426,3235,3243,3226,3158
2927,3193,2810,3158,2807,3011,3022,2569,2827,2426,2810,3172,2709,2971,2777,2641,2966,2098,2619,2366,3228,3190,3190,3021,3366,3519,3401,3469,3166,3350,3495,3252,3319,3139,3418,3511,3422,3279,2860,3369,3307,3175,2869,2676,3470,3442,3303,3136,2906,3224,2972,3206,3141,2885,3279,3131,3052,2573,2755,3186,2656,3047,3117,2781,3068,3075,2661,2427,3239,3246,3222,3160
2922,3181,2804,3163,2820,3016,3020,2570,2828,2431,2798,3180,2707,2969,2755,2649,2969,2098,2619,2366,3228,3190,3190,3021,3347,3531,3395,3471,3162,3350,3490,3257,3310,3132,3420,3519,3424,3288,2863,3369,3305,3175,2869,2676,3470,3442,3303,3136,2909,3219,2974,3207,3141,2886,3276,3124,3053,2573,2754,3181,2654,3053,3118,2775,3080,3075,2661,2427,3239,3246,3222,3160
2918,3192,2803,3168,2812,3007,3021,2579,2827,2431,2798,3180,2707,2969,2755,2649,2969,2100,2622,2364,3231,3204,3187,3025,3366,3518,3402,3472,3163,3352,3491,3239,3319,3132,3420,3519,3424,3288,2863,3369,3305,3169,2869,2674,3472,3443,3313,3145,2906,3224,2976,3201,3148,2889,3270,3129,3051,2573,2754,3181,2654,3053,3118,2775,3080,3071,2664,2426,3235,3248,3227,3162
2923,3192,2803,3168,2812,3007,3021,2579,2827,2431,2789,3186,2705,2973,2776,2645,2967,2101,2613,2363,3234,3202,3181,3033,3368,3518,3402,3472,3163,3352,3491,3239,3319,3132,3428,3524,3419,3283,2855,3365,3306,3170,2866,2674,3476,3444,3318,3141,2901,3224,2976,3201,3148,2889,3270,3129,3051,2578,2759,3184,2651,3051,3115,2779,3074,3074,2661,2427,3239,3244,3212,3160
2923,3190,2808,3165,2818,3013,3017,2568,2827,2407,2800,3171,2708,2969,2773,2639,2972,2101,2622,2360,3224,3202,3181,3033,3368,3533,3400,3469,3164,3361,3494,3248,3318,3129,3420,3525,3423,3287,2850,3364,3304,3154,2866,2669,3480,3444,3318,3141,2901,3217,2971,3205,3146,2887,3270,3134,3049,2575,2757,3185,2655,3053,3116,2777,3077,3074,2663,2427,3234,3244,3212,3160
2920,3109,2809,3178,2818,3006,3024,2574,2822,2429,2798,3173,2713,2969,2773,2639,2972,2101,2622,2360,3224,3207,3179,3028,3361,3534,3397,3470,3158,3344,3494,3248,3314,3128,3427,3520,3423,3287,2850,3364,3304,3154,2866,2669,3480,3448,3334,3145,2905,3226,2976,3204,3144,2890,3277,3126,3054,2576,2757,3187,2657,3053,3116,2777,3077,3074,2663,2427,3234,3232,3230,3158
2924,3190,2808,3153,2816,3006,3024,2574,2822,2429,2798,3173,2713,2969,2772,2649,2965,2096,2624,2354,3226,3207,3186,3023,3373,3529,3395,3468,3160,3344,3494,3248,3314,3128,3427,3520,3423,3288,2845,3361,3300,3162,2865,2673,3485,3433,3339,3147,2905,3225,2972,3197,3147,2890,3277,3126,3054,2576,2757,3187,2657,3047,3118,2778,3082,3075,2659,2420,3238,3235,3228,3158
2924,3190,2808,3153,2816,3008,3019,2569,2828,2410,2795,3179,2710,2970,2776,2652,2963,2097,2621,2365,3232,3206,3173,3024,3373,3529,3395,3468,3160,3357,3492,3251,3315,3125,3427,3524,3420,3291,2849,3358,3294,3166,2858,2670,3483,3450,3335,3159,2905,3225,2972,3197,3147,2888,3275,3128,3052,2580,2756,3182,2651,3050,3117,2776,3082,3074,2655,2424,3237,3244,3222,3159
2917,3177,2805,3166,2823,3007,3013,2578,2827,2428,2804,3165,2703,2978,2777,2649,2966,2097,2621,2365,3232,3206,3173,3024,3370,3526,3394,3474,3152,3357,3490,3243,3318,3123,3421,3533,3418,3293,2854,3356,3300,3166,2858,2670,3483,3450,3335,3159,2908,3224,2977,3207,3137,2881,3276,3129,3051,2580,2753,3174,2656,3052,3117,2780,3080,3074,2655,2424,3237,3244,3222,3159
2920,3192,2804,3161,2799,2996,3020,2575,2824,2428,2804,3165,2703,2978,2777,2649,2966,2084,2616,2367,3221,3207,3186,3020,3368,3531,3396,3469,3155,3351,3491,3247,3312,3123,3421,3533,3418,3293,2854,3356,3300,3160,2862,2666,3491,3449,3363,3156,2910,3216,2970,3205,3136,2888,3274,3124,3050,2580,2753,3174,2656,3052,3117,2780,3080,3073,2661,2427,3236,3244,3229,3162
2921,3192,2804,3161,2799,2996,3020,2575,2824,2431,2800,3172,2713,2969,2773,2654,2976,2091,2615,2364,3230,3205,3189,3017,3369,3531,3396,3469,3155,3351,3491,3247,3312,3124,3424,3527,3418,3284,2855,3354,3301,3163,2861,2667,3488,3450,3370,3167,2909,3216,2970,3205,3136,2888,3274,3124,3050,2580,2756,3186,2656,3046,3118,2774,3075,3071,2667,2426,3236,3241,3228,3160
