ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3364,3547,3373,3451,3109,3310,3452,3174,3246,2976,3438,3574,3425,3342,2847,3358,3298,3121,2822,2584,3548,3496,3491,3202
3361,3548,3379,3471,3107,3310,3452,3174,3248,2981,3433,3570,3434,3342,2847,3358,3298,3121,2822,2584,3548,3502,3488,3199
3373,3547,3380,3462,3102,3310,3452,3174,3248,2981,3433,3570,3434,3344,2837,3354,3300,3126,2826,2588,3543,3487,3492,3193
3373,3547,3380,3462,3102,3309,3458,3184,3250,2982,3435,3567,3437,3349,2853,3356,3304,3137,2823,2586,3542,3499,3486,3190
3366,3552,3379,3462,3099,3308,3452,3177,3247,2980,3436,3563,3430,3335,2863,3358,3306,3137,2823,2586,3542,3499,3486,3190
3366,3547,3372,3464,3096,3311,3451,3185,3247,2980,3436,3563,3430,3335,2863,3358,3306,3130,2826,2587,3544,3498,3490,3174
3375,3547,3372,3464,3096,3311,3451,3185,3247,2984,3434,3568,3432,3340,2864,3355,3311,3145,2833,2590,3547,3489,3485,3172
3375,3552,3374,3468,3094,3306,3440,3195,3251,2981,3436,3568,3424,3345,2871,3355,3307,3149,2823,2591,3548,3489,3485,3172
3371,3549,3380,3463,3090,3301,3454,3190,3248,2973,3438,3565,3432,3345,2871,3355,3307,3149,2823,2591,3548,3493,3482,3164
3371,3557,3376,3464,3092,3301,3454,3190,3248,2973,3438,3565,3432,3337,2874,3356,3311,3155,2835,2589,3546,3488,3476,3150
3371,3557,3376,3464,3092,3302,3457,3202,3251,2970,3439,3572,3428,3344,2873,3354,3307,3158,2835,2590,3547,3482,3469,3137
3372,3548,3376,3463,3094,3310,3457,3216,3254,2974,3444,3568,3440,3344,2870,3354,3306,3158,2835,2590,3547,3482,3469,3137
3370,3547,3380,3453,3078,3309,3457,3217,3254,2974,3444,3568,3440,3344,2870,3354,3306,3164,2835,2592,3546,3482,3456,3130
3374,3547,3380,3453,3078,3309,3457,3217,3254,2985,3442,3559,3435,3344,2862,3356,3312,3169,2836,2596,3547,3478,3452,3111
3374,3547,3381,3455,3086,3305,3457,3228,3256,2979,3450,3566,3438,3338,2869,3359,3313,3188,2837,2597,3537,3478,3452,3111
3381,3546,3378,3453,3094,3304,3460,3221,3254,2981,3446,3566,3438,3338,2869,3359,3313,3188,2837,2597,3537,3460,3451,3110
3377,3539,3372,3461,3087,3304,3460,3221,3254,2981,3446,3566,3438,3336,2863,3354,3312,3200,2842,2591,3508,3472,3452,3101
3377,3539,3372,3461,3087,3306,3456,3237,3263,2989,3448,3565,3439,3333,2870,3354,3308,3204,2844,2595,3531,3462,3448,3093
3369,3544,3379,3454,3090,3306,3455,3239,3258,2977,3444,3564,3437,3335,2861,3355,3312,3204,2844,2595,3531,3462,3448,3093
3379,3550,3379,3458,3092,3308,3458,3234,3263,2977,3444,3564,3437,3335,2861,3355,3312,3204,2846,2597,3533,3468,3440,3075
3377,3550,3379,3458,3092,3308,3458,3234,3263,2993,3447,3566,3434,3331,2864,3355,3312,3209,2844,2589,3531,3463,3432,3053
3377,3544,3380,3466,3094,3306,3460,3249,3259,2993,3447,3557,3435,3327,2869,3353,3312,3197,2845,2598,3535,3463,3432,3053
3384,3551,3382,3457,3095,3310,3466,3253,3270,2997,3447,3562,3441,3327,2869,3353,3312,3197,2845,2598,3535,3462,3427,3049
3375,3549,3379,3456,3101,3310,3466,3253,3270,2997,3447,3562,3441,3326,2873,3357,3316,3214,2833,2604,3526,3454,3421,3028
3375,3549,3379,3456,3101,3313,3460,3263,3267,2996,3447,3562,3433,3321,2881,3353,3319,3218,2846,2599,3528,3448,3411,3012
3385,3551,3384,3456,3096,3312,3467,3268,3273,3004,3454,3558,3433,3323,2885,3356,3320,3218,2846,2599,3528,3448,3411,3012
3387,3550,3383,3458,3097,3308,3473,3272,3272,3004,3454,3558,3433,3323,2885,3356,3320,3226,2851,2608,3519,3439,3402,3000
3389,3550,3383,3458,3097,3308,3473,3272,3272,3003,3451,3556,3436,3326,2899,3353,3327,3237,2851,2607,3516,3430,3387,2982
3389,3548,3384,3452,3092,3307,3467,3272,3277,3002,3443,3569,3430,3323,2875,3353,3323,3235,2851,2610,3507,3430,3387,2982
3385,3541,3386,3444,3098,3307,3469,3278,3280,2997,3450,3552,3437,3323,2875,3353,3323,3235,2851,2610,3507,3426,3377,2936
3388,3541,3379,3438,3104,3307,3469,3278,3280,2997,3450,3552,3437,3315,2930,3357,3326,3247,2857,2613,3507,3419,3356,2909
3388,3541,3379,3438,3104,3307,3472,3288,3280,3006,3452,3558,3439,3306,2944,3356,3322,3254,2859,2615,3503,3408,3334,2855
3387,3528,3384,3449,3117,3310,3476,3282,3281,3022,3455,3556,3440,3306,2956,3353,3327,3254,2859,2615,3503,3408,3334,2855
3388,3538,3378,3446,3125,3312,3474,3291,3279,3022,3455,3556,3440,3306,2956,3353,3327,3258,2860,2620,3496,3390,3311,2811
3394,3538,3378,3446,3125,3312,3474,3291,3279,3020,3452,3556,3435,3311,2976,3348,3337,3264,2860,2628,3485,3380,3282,2758
