ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3494,3674,3445,3602,3462,3360,3591,3343,3355,3089,3582,3697,3592,3522,3444,3565,3493,3275,2945,2764,3693,3668,3672,3532
3494,3668,3450,3600,3470,3360,3591,3343,3355,3089,3582,3697,3592,3520,3438,3563,3492,3269,2939,2765,3692,3667,3666,3529
3494,3668,3450,3600,3470,3361,3585,3343,3358,3092,3578,3696,3594,3521,3440,3563,3492,3271,2947,2763,3692,3662,3678,3526
3493,3669,3449,3601,3466,3350,3595,3343,3360,3108,3582,3697,3600,3523,3443,3566,3494,3271,2947,2763,3692,3662,3678,3526
3494,3675,3444,3598,3470,3359,3594,3345,3360,3108,3582,3697,3600,3523,3443,3566,3494,3274,2947,2771,3694,3663,3670,3524
3492,3675,3444,3598,3470,3359,3594,3345,3360,3098,3576,3697,3601,3523,3442,3565,3504,3281,2946,2771,3691,3659,3673,3522
3492,3673,3446,3595,3463,3365,3588,3353,3360,3103,3572,3701,3608,3525,3434,3571,3493,3273,2946,2774,3688,3659,3673,3522
3490,3675,3427,3588,3464,3353,3585,3344,3358,3092,3581,3692,3602,3525,3434,3571,3493,3273,2946,2774,3688,3662,3672,3527
3485,3670,3440,3591,3456,3353,3585,3344,3358,3092,3581,3692,3602,3521,3437,3567,3490,3277,2948,2779,3686,3661,3672,3529
3485,3670,3440,3591,3456,3355,3584,3315,3354,3090,3581,3704,3604,3519,3435,3574,3496,3277,2951,2781,3694,3654,3675,3530
3483,3666,3436,3596,3459,3352,3586,3336,3351,3095,3581,3701,3610,3526,3441,3580,3500,3277,2951,2781,3694,3654,3675,3530
3486,3675,3436,3587,3457,3352,3580,3337,3345,3095,3581,3701,3610,3526,3441,3580,3500,3280,2950,2777,3696,3661,3669,3530
3492,3675,3436,3587,3457,3352,3580,3337,3345,3086,3576,3709,3607,3524,3434,3574,3498,3282,2952,2786,3690,3652,3673,3528
3492,3674,3432,3592,3457,3347,3580,3344,3351,3093,3582,3700,3605,3528,3444,3571,3497,3288,2948,2770,3687,3652,3673,3528
3484,3674,3432,3593,3462,3346,3584,3347,3346,3097,3578,3698,3604,3528,3444,3571,3497,3288,2948,2770,3687,3664,3672,3526
3482,3670,3433,3593,3458,3346,3584,3347,3346,3097,3578,3698,3604,3524,3440,3576,3502,3299,2950,2778,3696,3661,3670,3526
