ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3074,3325,2997,3298,2815,3136,3172,2879,3017,2622,2934,3297,2920,3107,2851,2863,3121,2820,2734,2500,3350,3317,3292,2972,3521,3662,3494,3620,3494,3436,3595,2999,3164,2712,3569,3691,3534,3498,3479,3459,3479,3177,2817,2458,3688,3666,3671,3541,3083,3350,3141,3331,3270,3065,3391,3258,3180,2785,2957,3324,2852,3181,3232,2959,3196,3201,2758,2568,3365,3366,3342,3275
3069,3325,2997,3298,2815,3136,3172,2879,3017,2619,2929,3308,2926,3109,2853,2862,3125,2827,2730,2498,3349,3318,3307,2977,3521,3662,3494,3620,3494,3436,3595,2999,3164,2713,3571,3684,3531,3501,3475,3463,3477,3162,2819,2466,3686,3670,3665,3543,3074,3350,3141,3331,3270,3065,3391,3258,3180,2784,2955,3316,2850,3184,3232,2960,3199,3199,2759,2565,3362,3361,3359,3272
3069,3330,3003,3295,2837,3149,3166,2869,3022,2623,2933,3303,2920,3104,2847,2863,3110,2825,2731,2486,3348,3318,3307,2977,3521,3672,3494,3622,3489,3432,3587,3033,3148,2709,3569,3688,3539,3503,3476,3464,3477,3168,2814,2471,3697,3670,3665,3543,3074,3351,3138,3338,3266,3063,3391,3260,3179,2783,2952,3319,2851,3182,3230,2957,3202,3193,2754,2563,3366,3361,3359,3272
3072,3322,3000,3296,2815,3147,3167,2880,3017,2626,2930,3315,2919,3104,2847,2863,3110,2825,2731,2486,3348,3325,3304,2970,3520,3679,3494,3624,3491,3432,3588,3029,3163,2705,3573,3695,3535,3503,3476,3464,3477,3168,2814,2471,3697,3667,3666,3536,3081,3349,3142,3328,3272,3063,3386,3258,3175,2770,2956,3321,2843,3182,3230,2957,3202,3193,2754,2563,3366,3373,3358,3277
3073,3320,3000,3289,2837,3147,3167,2880,3017,2626,2930,3315,2919,3104,2848,2864,3126,2825,2730,2498,3350,3321,3308,2972,3518,3674,3492,3622,3489,3432,3588,3029,3163,2705,3573,3695,3535,3513,3482,3471,3480,3170,2815,2469,3696,3667,3666,3533,3082,3352,3141,3329,3265,3063,3386,3258,3175,2770,2956,3321,2843,3179,3224,2963,3200,3200,2754,2566,3365,3366,3355,3282
3073,3320,3000,3289,2837,3125,3171,2871,2993,2623,2932,3312,2919,3100,2852,2857,3121,2832,2723,2491,3348,3325,3310,2983,3518,3674,3492,3622,3489,3439,3591,3032,3162,2706,3571,3697,3537,3510,3480,3466,3478,3168,2818,2471,3690,3667,3666,3530,3082,3352,3141,3329,3265,3065,3393,3256,3180,2784,2948,3320,2847,3182,3232,2964,3196,3193,2757,2565,3364,3374,3355,3270
3069,3318,3004,3298,2834,3144,3166,2875,3016,2623,2936,3308,2915,3111,2850,2865,3121,2832,2723,2491,3348,3325,3310,2983,3517,3678,3496,3610,3485,3434,3600,3039,3165,2707,3569,3687,3536,3506,3478,3470,3478,3168,2818,2471,3690,3667,3666,3530,3083,3349,3141,3329,3272,3060,3395,3254,3180,2777,2951,3323,2853,3180,3230,2962,3199,3193,2757,2565,3364,3374,3355,3270
3074,3319,3007,3280,2837,3136,3178,2869,3023,2623,2936,3308,2915,3111,2850,2865,3121,2825,2727,2503,3345,3320,3313,2971,3523,3681,3495,3616,3495,3435,3594,3034,3168,2707,3569,3687,3536,3506,3478,3470,3478,3160,2820,2469,3686,3661,3661,3538,3083,3348,3139,3335,3270,3056,3395,3254,3182,2777,2951,3323,2853,3180,3230,2962,3199,3195,2760,2567,3363,3372,3355,3280
3078,3319,3007,3280,2837,3136,3178,2869,3023,2603,2934,3310,2921,3109,2849,2865,3121,2831,2726,2502,3349,3320,3303,2979,3521,3681,3495,3616,3495,3435,3594,3034,3168,2711,3570,3691,3538,3503,3474,3468,3476,3167,2820,2467,3691,3672,3667,3535,3073,3348,3139,3335,3270,3056,3395,3254,3182,2780,2953,3315,2848,3179,3232,2962,3199,3196,2760,2566,3363,3368,3361,3284
3078,3317,3011,3302,2836,3147,3176,2867,3016,2620,2935,3322,2924,3102,2783,2861,3123,2813,2726,2500,3346,3320,3303,2979,3521,3677,3490,3626,3495,3433,3597,3042,3162,2711,3568,3688,3540,3503,3482,3461,3473,3162,2825,2468,3694,3672,3667,3535,3073,3349,3145,3329,3276,3062,3398,3254,3178,2783,2955,3323,2846,3182,3232,2961,3202,3199,2752,2568,3366,3368,3361,3284
3068,3327,3001,3298,2833,3150,3180,2874,3024,2623,2937,3307,2922,3102,2783,2861,3123,2813,2726,2500,3346,3319,3312,2981,3522,3677,3496,3622,3496,3434,3601,3041,3170,2705,3568,3693,3536,3503,3482,3461,3473,3162,2825,2468,3694,3661,3660,3542,3081,3350,3135,3323,3275,3056,3392,3260,3178,2767,2958,3312,2850,3182,3232,2961,3202,3199,2752,2568,3366,3371,3360,3281
3076,3322,2997,3296,2831,3150,3180,2874,3024,2623,2937,3307,2922,3104,2851,2861,3122,2828,2737,2501,3352,3323,3310,2978,3526,3678,3496,3615,3493,3434,3601,3041,3170,2705,3568,3693,3536,3504,3474,3456,3475,3169,2823,2467,3693,3664,3669,3543,3084,3345,3140,3330,3269,3056,3392,3260,3178,2767,2958,3312,2850,3179,3234,2960,3201,3194,2759,2563,3363,3371,3353,3282
3076,3322,2997,3296,2831,3146,3158,2873,3014,2596,2933,3312,2920,3100,2851,2854,3122,2831,2733,2494,3348,3328,3309,2985,3526,3678,3496,3615,3493,3438,3592,3042,3168,2690,3572,3696,3536,3502,3479,3464,3476,3170,2825,2465,3688,3674,3663,3542,3084,3345,3140,3330,3269,3065,3397,3249,3177,2779,2956,3323,2852,3180,3231,2963,3197,3198,2754,2561,3367,3368,3358,3282
3075,3312,2997,3296,2836,3142,3169,2876,3016,2622,2930,3308,2921,3100,2851,2863,3123,2831,2733,2494,3348,3328,3309,2985,3519,3675,3501,3619,3497,3434,3571,3038,3164,2695,3572,3697,3537,3506,3476,3459,3481,3170,2825,2465,3688,3674,3663,3542,3078,3349,3134,3332,3269,3066,3389,3249,3178,2783,2952,3325,2854,3183,3229,2964,3199,3198,2754,2561,3367,3368,3358,3282
3068,3303,2999,3293,2821,3137,3161,2879,3007,2622,2930,3308,2921,3100,2851,2863,3123,2831,2724,2500,3348,3320,3304,2964,3522,3670,3492,3616,3489,3433,3597,3036,3162,2695,3572,3697,3537,3506,3476,3459,3481,3166,2819,2473,3690,3665,3667,3538,3079,3351,3137,3335,3273,3062,3397,3260,3180,2783,2952,3325,2854,3183,3229,2964,3199,3190,2760,2566,3365,3368,3355,3279
3073,3303,2999,3293,2821,3137,3161,2879,3007,2606,2934,3310,2926,3110,2843,2861,3119,2828,2730,2499,3337,3326,3310,2976,3519,3670,3492,3616,3489,3433,3597,3036,3162,2709,3576,3698,3537,3506,3483,3466,3479,3164,2822,2477,3688,3670,3670,3540,3084,3351,3137,3335,3273,3062,3397,3260,3180,2781,2950,3326,2852,3183,3233,2958,3194,3195,2754,2566,3361,3373,3352,3274
