ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3523,3698,3521,3641,3502,3471,3660,3476,3453,3291,3583,3710,3588,3535,3473,3542,3529,3444,2990,2809,3711,3691,3694,3552
3523,3698,3521,3645,3508,3468,3658,3476,3470,3294,3587,3711,3585,3521,3474,3543,3526,3442,2995,2798,3711,3689,3693,3552
3526,3693,3516,3645,3502,3468,3658,3473,3470,3293,3583,3712,3588,3529,3483,3543,3526,3442,2995,2798,3711,3689,3693,3543
3529,3695,3526,3652,3503,3470,3661,3473,3470,3293,3583,3712,3588,3529,3483,3536,3523,3443,2996,2806,3699,3693,3696,3549
3529,3695,3526,3652,3503,3470,3661,3475,3469,3299,3584,3713,3588,3535,3476,3538,3526,3441,2985,2810,3709,3690,3697,3549
3526,3699,3530,3651,3494,3479,3659,3473,3471,3296,3585,3713,3588,3537,3472,3541,3529,3436,2992,2810,3709,3690,3697,3549
3528,3702,3531,3652,3504,3473,3661,3465,3468,3298,3583,3713,3588,3537,3472,3541,3529,3436,2992,2806,3710,3691,3687,3542
3535,3701,3531,3652,3504,3473,3661,3465,3468,3298,3583,3708,3592,3534,3466,3536,3522,3432,2994,2811,3714,3665,3696,3542
3535,3701,3531,3649,3494,3476,3660,3461,3466,3295,3587,3709,3589,3536,3466,3544,3522,3437,2992,2810,3713,3690,3696,3542
3532,3700,3525,3645,3480,3473,3657,3459,3464,3288,3591,3718,3593,3541,3464,3544,3522,3437,2992,2810,3713,3690,3696,3546
3531,3700,3532,3637,3485,3468,3655,3459,3464,3288,3591,3718,3593,3541,3464,3549,3525,3424,2991,2808,3710,3689,3692,3541
3531,3700,3532,3637,3485,3468,3655,3459,3459,3282,3585,3708,3592,3534,3466,3551,3526,3434,2988,2809,3710,3693,3695,3546
3530,3699,3526,3641,3489,3474,3660,3458,3457,3278,3587,3716,3601,3534,3468,3540,3530,3434,2990,2809,3710,3693,3695,3546
3529,3703,3524,3640,3494,3481,3656,3459,3457,3284,3587,3716,3601,3534,3468,3540,3530,3434,2990,2806,3712,3690,3695,3552
3526,3704,3533,3640,3494,3481,3656,3459,3457,3284,3587,3713,3592,3532,3470,3545,3526,3428,2990,2803,3721,3695,3698,3550
3526,3704,3533,3636,3488,3474,3638,3457,3462,3276,3588,3713,3590,3534,3473,3542,3528,3435,2989,2808,3710,3691,3692,3550
3534,3701,3523,3643,3493,3472,3661,3469,3456,3287,3587,3714,3591,3539,3473,3542,3528,3435,2989,2808,3710,3691,3692,3551
3533,3686,3525,3645,3496,3469,3658,3469,3456,3287,3587,3714,3591,3539,3473,3545,3525,3435,2990,2809,3714,3690,3696,3548
3533,3686,3525,3645,3496,3469,3658,3464,3462,3289,3588,3708,3594,3533,3465,3550,3523,3434,2990,2807,3714,3695,3694,3556
3524,3698,3519,3647,3494,3466,3657,3466,3464,3287,3586,3714,3594,3533,3471,3551,3526,3432,2984,2807,3714,3695,3694,3556
3524,3693,3527,3646,3505,3465,3648,3460,3463,3281,3591,3714,3594,3533,3471,3551,3526,3432,2984,2809,3719,3698,3690,3551
3527,3702,3519,3646,3505,3465,3648,3460,3463,3281,3591,3721,3594,3540,3468,3554,3523,3432,2992,2814,3712,3690,3688,3544
3527,3702,3519,3644,3492,3461,3651,3463,3465,3283,3594,3705,3593,3535,3469,3544,3529,3431,2983,2814,3712,3685,3690,3544
3524,3701,3522,3643,3492,3462,3656,3459,3457,3283,3590,3713,3603,3536,3470,3544,3529,3431,2983,2814,3712,3685,3690,3549
3524,3702,3517,3640,3495,3460,3656,3459,3457,3283,3590,3713,3603,3536,3470,3559,3531,3430,2989,2817,3714,3692,3695,3549
3524,3702,3517,3640,3495,3460,3656,3461,3457,3279,3583,3722,3602,3539,3468,3556,3524,3426,2993,2816,3711,3689,3680,3547
3527,3703,3520,3646,3485,3463,3650,3454,3452,3272,3590,3713,3607,3540,3464,3550,3527,3423,2990,2816,3711,3689,3680,3547
3527,3697,3516,3640,3488,3459,3653,3456,3453,3269,3592,3713,3607,3540,3464,3550,3527,3423,2990,2815,3713,3674,3693,3545
3528,3702,3518,3640,3488,3459,3653,3456,3453,3269,3592,3717,3604,3530,3456,3556,3534,3422,2995,2815,3715,3673,3694,3553
3528,3702,3518,3634,3490,3460,3649,3455,3456,3273,3594,3712,3606,3535,3459,3561,3528,3427,2990,2812,3717,3686,3694,3553
3531,3698,3508,3646,3493,3465,3649,3454,3426,3278,3597,3718,3602,3537,3453,3561,3528,3427,2990,2812,3717,3686,3694,3548
3533,3690,3518,3640,3493,3464,3649,3454,3426,3278,3597,3718,3602,3537,3453,3556,3532,3420,2993,2813,3712,3689,3698,3548
3533,3690,3518,3640,3493,3464,3649,3461,3456,3278,3592,3716,3604,3540,3460,3564,3530,3420,2988,2815,3716,3690,3693,3549
3523,3694,3518,3643,3491,3465,3646,3448,3455,3279,3600,3720,3602,3534,3455,3564,3524,3417,2993,2815,3716,3690,3693,3549
3524,3700,3516,3648,3491,3459,3644,3453,3456,3283,3594,3720,3602,3534,3455,3564,3524,3417,2993,2812,3718,3690,3700,3542
3526,3693,3519,3648,3491,3459,3644,3453,3456,3283,3594,3714,3605,3544,3457,3562,3529,3414,2995,2814,3710,3689,3696,3548
