ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3096,3331,3023,3306,2878,3174,3202,2846,3036,2643,2987,3342,2971,3139,2831,2904,3142,2775,2744,2523,3381,3338,3333,3094,3569,3714,3582,3669,3526,3536,3694,3489,3492,3306,3587,3709,3538,3473,3194,3420,3360,3292,2908,2686,3717,3697,3675,3526,3092,3354,3151,3339,3281,3084,3406,3278,3197,2812,2966,3328,2876,3192,3244,2995,3216,3214,2775,2561,3376,3376,3371,3295
3099,3341,3027,3306,2878,3174,3202,2846,3036,2643,2987,3346,2968,3143,2901,2912,3147,2782,2746,2523,3377,3351,3338,3095,3568,3714,3578,3669,3526,3536,3694,3489,3492,3306,3587,3717,3536,3471,3197,3416,3364,3306,2908,2690,3715,3697,3677,3531,3091,3355,3149,3339,3281,3084,3406,3278,3197,2812,2966,3330,2869,3192,3243,2994,3216,3219,2771,2587,3370,3379,3366,3278
3099,3341,3027,3322,2876,3161,3192,2840,3032,2620,2988,3344,2958,3141,2904,2903,3138,2779,2738,2519,3381,3355,3331,3095,3568,3714,3578,3668,3529,3539,3688,3491,3488,3323,3586,3712,3535,3460,3191,3411,3359,3312,2912,2689,3713,3697,3676,3531,3091,3355,3149,3345,3287,3085,3408,3276,3199,2820,2963,3330,2877,3192,3248,2993,3210,3216,2775,2589,3376,3380,3355,3278
3097,3344,3024,3313,2883,3164,3201,2848,3036,2640,2994,3340,2970,3138,2906,2903,3138,2779,2738,2519,3381,3355,3331,3081,3572,3707,3574,3674,3526,3543,3692,3490,3480,3336,3585,3712,3535,3464,3196,3411,3359,3312,2912,2689,3713,3697,3676,3531,3095,3355,3135,3346,3287,3089,3406,3275,3196,2815,2966,3330,2869,3193,3250,2993,3210,3216,2775,2589,3376,3380,3355,3293
3091,3339,3023,3324,2863,3153,3198,2848,3036,2640,2994,3340,2970,3138,2906,2906,3141,2775,2747,2524,3376,3348,3341,3089,3570,3713,3578,3669,3528,3535,3683,3490,3480,3336,3585,3712,3535,3464,3196,3413,3368,3318,2909,2689,3716,3695,3675,3530,3093,3350,3156,3349,3286,3080,3406,3275,3196,2815,2966,3330,2869,3193,3250,2990,3220,3217,2770,2588,3375,3376,3368,3288
3091,3339,3023,3324,2863,3153,3198,2829,3036,2643,2994,3331,2965,3136,2906,2908,3149,2766,2743,2521,3378,3352,3346,3080,3570,3713,3578,3669,3528,3535,3683,3492,3489,3323,3587,3711,3534,3469,3184,3410,3367,3321,2910,2690,3710,3696,3672,3530,3093,3350,3156,3349,3286,3080,3406,3276,3205,2818,2969,3331,2871,3191,3244,2985,3221,3214,2766,2588,3369,3374,3368,3295
3094,3345,3023,3319,2871,3178,3200,2854,3034,2645,2991,3332,2964,3143,2902,2898,3145,2771,2743,2521,3378,3352,3346,3080,3570,3717,3583,3676,3529,3535,3688,3500,3488,3337,3584,3715,3528,3458,3193,3404,3371,3319,2907,2690,3710,3696,3672,3530,3088,3355,3156,3345,3282,3087,3408,3277,3200,2817,2968,3333,2875,3192,3243,2994,3218,3219,2771,2588,3369,3374,3368,3295
3087,3345,3017,3324,2875,3170,3189,2834,3037,2638,2996,3332,2964,3143,2902,2898,3145,2771,2743,2519,3379,3343,3331,3092,3568,3713,3575,3676,3533,3534,3683,3498,3488,3333,3583,3715,3528,3458,3193,3404,3371,3319,2907,2685,3717,3695,3674,3521,3087,3358,3150,3338,3284,3086,3402,3279,3204,2813,2969,3333,2875,3192,3243,2994,3218,3219,2771,2587,3376,3377,3368,3289
3089,3342,3024,3324,2875,3170,3189,2834,3037,2638,2996,3340,2963,3150,2903,2904,3148,2764,2740,2525,3376,3351,3331,3083,3570,3713,3581,3676,3533,3534,3683,3498,3488,3333,3583,3703,3528,3470,3191,3399,3375,3324,2914,2690,3703,3703,3671,3515,3095,3350,3155,3338,3284,3086,3402,3279,3204,2813,2969,3334,2871,3195,3245,2991,3218,3212,2770,2587,3371,3386,3370,3293
3089,3342,3024,3320,2816,3162,3192,2848,3034,2642,2987,3346,2971,3142,2903,2915,3149,2769,2739,2521,3378,3349,3342,3083,3570,3713,3581,3679,3527,3535,3695,3497,3492,3334,3582,3712,3532,3467,3196,3405,3374,3326,2904,2692,3722,3697,3672,3515,3095,3350,3155,3342,3278,3085,3401,3271,3198,2812,2966,3335,2867,3190,3241,2994,3216,3219,2775,2589,3369,3383,3372,3293
3096,3342,3026,3322,2876,3169,3196,2848,3037,2637,2994,3309,2967,3143,2901,2915,3149,2769,2739,2521,3378,3349,3342,3083,3573,3714,3582,3672,3523,3538,3691,3495,3494,3336,3587,3713,3527,3467,3199,3405,3374,3326,2904,2692,3722,3697,3672,3528,3090,3357,3152,3345,3286,3077,3408,3274,3204,2820,2970,3323,2864,3198,3247,2994,3216,3219,2775,2589,3369,3383,3372,3292
