ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3583,3718,3589,3659,3412,3553,3654,3280,3435,3295,3615,3724,3611,3528,3370,3547,3476,3252,2941,2766,3726,3695,3693,3528
3583,3718,3589,3659,3412,3552,3658,3274,3437,3292,3617,3732,3612,3529,3373,3554,3475,3258,2942,2763,3720,3688,3695,3530
3573,3728,3592,3659,3415,3556,3656,3271,3433,3300,3613,3732,3617,3523,3368,3552,3468,3258,2942,2763,3720,3688,3695,3530
3582,3717,3589,3664,3413,3554,3657,3281,3434,3300,3613,3732,3617,3523,3368,3552,3468,3258,2942,2762,3725,3698,3692,3531
3580,3717,3589,3664,3413,3554,3657,3281,3434,3304,3615,3733,3604,3531,3369,3549,3473,3257,2947,2769,3730,3687,3691,3537
3580,3722,3586,3664,3414,3552,3658,3268,3429,3298,3614,3728,3611,3530,3365,3553,3473,3262,2942,2766,3726,3687,3691,3537
3578,3716,3586,3663,3413,3552,3655,3270,3436,3304,3621,3720,3612,3530,3365,3553,3473,3262,2942,2766,3726,3696,3690,3528
3574,3718,3593,3667,3412,3552,3655,3270,3436,3304,3621,3720,3612,3525,3371,3556,3474,3253,2942,2764,3726,3704,3693,3524
3574,3718,3593,3667,3412,3552,3656,3283,3433,3300,3617,3725,3616,3530,3372,3553,3477,3262,2950,2766,3722,3702,3693,3534
3571,3711,3588,3664,3416,3552,3647,3282,3434,3301,3614,3732,3610,3529,3374,3556,3479,3262,2950,2766,3722,3702,3693,3534
3580,3714,3586,3664,3415,3549,3654,3279,3434,3301,3614,3732,3610,3529,3374,3556,3479,3265,2946,2769,3722,3695,3689,3528
3579,3714,3586,3664,3415,3549,3654,3279,3434,3302,3619,3732,3609,3527,3374,3554,3475,3260,2948,2764,3724,3694,3693,3521
3579,3720,3589,3655,3411,3549,3649,3279,3434,3289,3620,3722,3614,3533,3378,3560,3481,3265,2946,2768,3722,3694,3693,3521
3577,3722,3586,3662,3412,3547,3656,3288,3433,3295,3620,3731,3611,3533,3378,3560,3481,3265,2946,2768,3722,3698,3692,3526
3578,3715,3583,3668,3418,3547,3656,3288,3433,3295,3620,3731,3611,3537,3380,3554,3474,3269,2947,2769,3721,3693,3694,3534
3578,3715,3583,3668,3418,3549,3654,3280,3430,3298,3614,3721,3615,3528,3380,3547,3476,3264,2944,2767,3731,3689,3686,3512
3579,3726,3587,3667,3412,3554,3655,3284,3437,3298,3617,3725,3611,3533,3377,3555,3481,3264,2944,2767,3731,3689,3686,3512
3577,3720,3582,3671,3416,3552,3651,3285,3435,3298,3617,3725,3611,3533,3377,3555,3481,3270,2948,2769,3724,3692,3692,3530
3580,3720,3582,3671,3416,3552,3651,3285,3435,3296,3618,3727,3611,3527,3377,3554,3478,3274,2950,2762,3727,3700,3690,3535
3580,3717,3588,3667,3413,3551,3654,3280,3438,3299,3620,3728,3611,3527,3390,3553,3486,3272,2950,2768,3721,3700,3690,3535
3581,3714,3581,3664,3415,3550,3657,3281,3429,3296,3617,3726,3614,3527,3390,3553,3486,3272,2950,2768,3721,3685,3691,3530
3582,3721,3589,3662,3420,3550,3657,3281,3429,3296,3617,3726,3614,3530,3361,3557,3482,3275,2945,2769,3720,3699,3695,3529
3582,3721,3589,3662,3420,3552,3658,3277,3431,3296,3622,3728,3610,3517,3374,3557,3482,3262,2952,2767,3722,3697,3694,3520
3574,3712,3582,3664,3415,3533,3654,3277,3439,3294,3617,3725,3611,3527,3386,3558,3485,3262,2952,2767,3722,3697,3694,3520
3585,3718,3587,3668,3414,3544,3640,3286,3437,3294,3617,3725,3611,3527,3386,3558,3485,3273,2952,2773,3724,3700,3691,3525
3579,3718,3587,3668,3414,3544,3640,3286,3437,3299,3617,3725,3602,3530,3385,3555,3485,3277,2942,2771,3727,3694,3694,3530
3579,3724,3586,3664,3412,3542,3651,3275,3439,3296,3616,3722,3619,3527,3385,3554,3477,3276,2947,2770,3717,3694,3694,3530
3583,3721,3585,3661,3413,3536,3651,3280,3440,3288,3620,3728,3583,3527,3385,3554,3477,3276,2947,2770,3717,3699,3695,3530
3577,3722,3582,3662,3420,3536,3651,3280,3440,3288,3620,3728,3583,3532,3384,3518,3485,3274,2947,2772,3726,3697,3690,3525
3577,3722,3582,3662,3420,3540,3651,3280,3434,3293,3613,3731,3611,3532,3385,3550,3484,3274,2949,2772,3728,3692,3677,3531
3578,3722,3583,3662,3418,3544,3654,3279,3429,3295,3621,3722,3613,3531,3377,3558,3484,3274,2949,2772,3728,3692,3677,3531
3578,3722,3590,3664,3415,3544,3658,3281,3433,3295,3621,3722,3613,3531,3377,3558,3484,3273,2953,2773,3730,3696,3691,3530
3574,3722,3590,3664,3415,3544,3658,3281,3433,3297,3622,3726,3611,3532,3388,3557,3487,3274,2953,2774,3726,3681,3694,3524
3574,3724,3585,3654,3417,3544,3655,3272,3434,3297,3616,3732,3612,3527,3386,3556,3487,3282,2948,2766,3727,3681,3694,3524
3578,3716,3576,3666,3412,3544,3654,3274,3436,3300,3614,3732,3611,3527,3386,3556,3487,3282,2948,2766,3727,3701,3688,3530
3576,3724,3584,3654,3416,3544,3654,3274,3436,3300,3614,3732,3611,3526,3394,3562,3487,3284,2951,2772,3716,3696,3700,3536
3576,3724,3584,3654,3416,3544,3658,3284,3431,3295,3616,3728,3616,3532,3390,3561,3491,3278,2954,2772,3720,3703,3691,3531
3571,3722,3582,3661,3416,3545,3652,3243,3431,3293,3617,3726,3608,3524,3391,3555,3481,3278,2954,2772,3720,3703,3691,3531
3574,3716,3575,3663,3418,3534,3651,3281,3426,3293,3617,3726,3608,3524,3391,3555,3481,3283,2948,2760,3721,3694,3691,3526
3579,3716,3575,3663,3418,3534,3651,3281,3426,3295,3619,3730,3614,3530,3395,3556,3486,3283,2954,2768,3725,3699,3690,3539
3579,3725,3581,3667,3419,3547,3659,3279,3436,3295,3614,3726,3582,3540,3403,3555,3488,3278,2952,2774,3728,3699,3690,3539
3566,3724,3587,3660,3416,3545,3645,3283,3434,3298,3612,3728,3612,3540,3403,3555,3488,3278,2952,2774,3728,3699,3693,3535
3576,3715,3581,3664,3425,3545,3645,3283,3434,3298,3612,3728,3612,3528,3401,3558,3492,3273,2954,2770,3723,3695,3696,3530
3576,3715,3581,3664,3425,3549,3656,3278,3435,3294,3614,3722,3609,3532,3397,3563,3493,3273,2952,2778,3722,3695,3695,3523
3576,3724,3578,3666,3423,3535,3652,3285,3439,3296,3614,3707,3612,3533,3395,3552,3484,3273,2952,2778,3722,3695,3695,3523
3569,3720,3579,3660,3418,3539,3656,3278,3433,3296,3614,3707,3612,3533,3395,3552,3484,3285,2954,2777,3726,3692,3688,3526
