ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3523,3688,3544,3653,3540,3530,3693,3470,3493,3356,3548,3700,3533,3502,3465,3475,3456,3194,2913,2745,3702,3690,3693,3562
3523,3688,3544,3653,3540,3530,3693,3472,3494,3365,3537,3692,3536,3506,3455,3485,3461,3211,2922,2760,3705,3698,3682,3563
3519,3688,3548,3658,3539,3527,3686,3468,3493,3367,3546,3695,3537,3501,3461,3484,3461,3199,2924,2760,3705,3698,3682,3563
3526,3700,3540,3663,3540,3519,3682,3475,3487,3368,3546,3695,3537,3501,3461,3484,3461,3199,2924,2754,3707,3693,3685,3552
3522,3696,3551,3663,3540,3519,3682,3475,3487,3368,3546,3700,3533,3504,3458,3484,3461,3205,2923,2749,3712,3693,3682,3561
3522,3696,3551,3668,3537,3522,3689,3477,3492,3363,3551,3693,3530,3507,3456,3487,3459,3192,2919,2754,3707,3692,3680,3561
3527,3692,3547,3667,3534,3523,3684,3464,3490,3366,3550,3699,3530,3508,3454,3487,3459,3192,2919,2754,3707,3692,3680,3564
3525,3692,3547,3664,3537,3530,3685,3464,3490,3366,3550,3699,3530,3508,3454,3482,3461,3187,2914,2746,3706,3691,3688,3553
3525,3692,3547,3664,3537,3530,3685,3466,3489,3358,3549,3688,3536,3510,3457,3481,3458,3176,2916,2753,3712,3690,3680,3556
3520,3695,3549,3666,3537,3520,3691,3472,3486,3354,3551,3694,3537,3508,3458,3471,3451,3180,2906,2753,3712,3690,3680,3556
3534,3701,3556,3664,3538,3526,3679,3468,3488,3356,3554,3694,3537,3508,3458,3471,3451,3180,2906,2731,3709,3686,3681,3562
3522,3695,3553,3664,3538,3526,3679,3468,3488,3356,3554,3697,3536,3508,3465,3488,3454,3187,2915,2750,3708,3692,3682,3562
3522,3695,3553,3668,3536,3526,3683,3464,3491,3360,3546,3709,3539,3508,3453,3497,3469,3207,2929,2768,3706,3690,3685,3562
3520,3693,3546,3652,3539,3518,3688,3461,3490,3341,3552,3700,3549,3501,3462,3497,3469,3207,2929,2768,3706,3690,3685,3560
