ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3120,3351,3044,3324,3028,3183,3222,2757,3020,2713,3006,3328,2978,3149,2984,2920,3141,2289,2748,2551,3391,3360,3350,3209,3531,3690,3526,3652,3538,3474,3680,3516,3500,3330,3587,3705,3568,3446,3277,3496,3376,3404,2972,2796,3696,3684,3656,3534,3120,3374,3170,3354,3287,3099,3412,3277,3205,2821,2997,3337,2905,3202,3254,3008,3225,3219,2776,2592,3387,3388,3377,3302
3120,3351,3044,3324,3028,3183,3222,2747,3026,2707,3009,3348,2972,3145,2968,2914,3148,2285,2745,2553,3388,3362,3349,3197,3531,3690,3526,3652,3538,3474,3680,3509,3498,3344,3584,3705,3568,3446,3284,3488,3378,3418,2971,2803,3697,3657,3664,3533,3120,3374,3170,3354,3287,3099,3412,3281,3201,2819,2993,3347,2904,3205,3254,3007,3216,3223,2774,2594,3385,3387,3369,3298
3121,3345,3044,3336,3020,3190,3220,2757,3030,2716,3008,3344,2973,3150,2983,2920,3148,2292,2746,2553,3388,3362,3349,3197,3523,3689,3516,3653,3534,3473,3684,3520,3498,3346,3586,3709,3560,3436,3290,3486,3371,3414,2967,2803,3697,3657,3664,3533,3120,3371,3167,3356,3291,3094,3411,3282,3193,2823,2992,3346,2904,3208,3234,3011,3213,3221,2772,2594,3385,3387,3369,3298
3125,3345,3046,3336,3032,3177,3229,2750,3023,2690,3008,3344,2973,3150,2983,2920,3148,2292,2746,2554,3386,3360,3355,3198,3523,3691,3524,3650,3536,3484,3682,3491,3501,3351,3577,3709,3560,3436,3290,3486,3371,3414,2967,2796,3700,3679,3656,3533,3122,3361,3175,3358,3292,3100,3412,3267,3201,2820,2993,3346,2904,3208,3234,3011,3213,3221,2772,2589,3382,3387,3376,3298
3115,3348,3044,3336,3032,3177,3229,2750,3023,2690,3008,3341,2968,3148,2985,2923,3140,2279,2741,2552,3382,3370,3349,3191,3522,3689,3521,3650,3536,3484,3682,3491,3501,3351,3577,3700,3552,3433,3298,3479,3360,3412,2968,2803,3698,3682,3664,3525,3120,3368,3173,3358,3292,3100,3412,3267,3201,2820,2993,3333,2904,3209,3248,3007,3226,3213,2776,2592,3373,3388,3380,3302
3115,3348,3044,3331,3029,3176,3217,2753,3026,2710,3012,3343,2979,3153,2985,2919,3142,2302,2745,2549,3390,3367,3355,3191,3522,3689,3521,3658,3535,3478,3681,3513,3501,3354,3575,3701,3548,3420,3298,3475,3348,3414,2971,2802,3699,3682,3655,3525,3120,3368,3173,3357,3291,3095,3412,3276,3203,2825,2995,3348,2902,3207,3251,3009,3224,3216,2777,2591,3387,3391,3378,3302
3116,3335,3046,3338,3019,3173,3222,2736,3025,2716,3013,3334,2973,3148,2981,2919,3142,2302,2745,2549,3390,3367,3355,3197,3526,3688,3521,3651,3542,3478,3669,3522,3502,3354,3580,3701,3547,3426,3306,3475,3348,3414,2971,2802,3699,3682,3655,3528,3117,3373,3169,3356,3294,3092,3414,3282,3203,2817,2992,3340,2906,3205,3252,3009,3224,3216,2777,2591,3387,3391,3378,3292
3117,3353,3038,3337,3019,3177,3217,2736,3025,2716,3013,3334,2973,3148,2981,2918,3132,2287,2747,2541,3382,3367,3349,3197,3523,3687,3524,3650,3545,3481,3675,3522,3502,3354,3580,3701,3547,3426,3306,3463,3350,3423,2966,2801,3700,3680,3652,3538,3122,3371,3173,3354,3294,3088,3406,3282,3203,2817,2992,3340,2906,3205,3252,2999,3224,3218,2773,2593,3385,3386,3379,3303
3117,3353,3038,3337,3019,3177,3217,2754,3027,2715,3012,3336,2976,3148,2985,2919,3141,2297,2744,2555,3385,3368,3355,3200,3523,3687,3524,3650,3545,3481,3675,3523,3502,3357,3576,3688,3534,3406,3305,3461,3342,3422,2970,2800,3698,3682,3659,3536,3122,3371,3173,3354,3294,3088,3406,3281,3187,2821,2990,3344,2903,3208,3247,3009,3226,3222,2778,2595,3384,3385,3377,3291
3110,3340,3040,3336,3028,3188,3208,2738,3027,2708,3016,3344,2965,3161,2982,2921,3145,2282,2740,2555,3385,3368,3355,3200,3517,3689,3521,3648,3535,3472,3684,3527,3506,3356,3569,3690,3533,3416,3309,3447,3346,3430,2976,2800,3698,3682,3659,3536,3121,3365,3174,3358,3293,3093,3418,3262,3203,2818,2995,3338,2904,3206,3249,3004,3222,3220,2770,2595,3384,3385,3377,3291
3116,3350,3038,3338,3007,3167,3211,2756,3028,2713,3009,3344,2965,3161,2982,2921,3145,2282,2740,2555,3385,3365,3348,3197,3524,3694,3524,3651,3533,3484,3682,3528,3504,3352,3573,3690,3533,3416,3309,3447,3346,3430,2976,2804,3695,3678,3654,3532,3121,3374,3165,3354,3294,3091,3415,3278,3193,2823,2995,3338,2904,3206,3249,3004,3222,3220,2770,2594,3387,3386,3376,3298
3118,3355,3045,3338,3007,3167,3211,2756,3028,2713,3009,3345,2979,3154,2984,2922,3149,2282,2740,2552,3389,3366,3358,3191,3521,3694,3531,3651,3533,3484,3682,3528,3504,3352,3573,3700,3522,3401,3310,3436,3349,3431,2976,2800,3697,3678,3656,3538,3120,3373,3171,3354,3294,3091,3415,3278,3193,2823,2995,3327,2904,3208,3251,3011,3224,3216,2777,2593,3381,3389,3378,3303
3118,3355,3045,3334,3028,3183,3216,2753,3025,2709,3017,3336,2972,3152,2982,2909,3146,2280,2748,2552,3387,3373,3359,3191,3521,3694,3531,3646,3552,3483,3685,3526,3512,3361,3560,3686,3513,3398,3314,3427,3318,3434,2974,2798,3701,3680,3652,3538,3120,3373,3171,3359,3296,3094,3412,3277,3201,2826,2994,3344,2903,3208,3250,3008,3218,3219,2775,2591,3384,3392,3354,3303
3114,3349,3032,3336,3026,3177,3210,2755,3012,2712,3014,3347,2967,3146,2985,2909,3146,2280,2748,2552,3387,3373,3359,3195,3520,3691,3527,3652,3547,3485,3691,3525,3504,3360,3563,3698,3509,3395,3316,3427,3318,3434,2974,2798,3701,3680,3652,3538,3117,3372,3174,3355,3292,3095,3408,3275,3203,2826,2994,3343,2902,3203,3257,3008,3218,3219,2775,2591,3384,3392,3354,3296
3117,3350,3041,3335,3028,3177,3218,2755,3012,2712,3014,3347,2967,3146,2985,2921,3147,2287,2739,2557,3390,3369,3356,3186,3519,3689,3531,3646,3544,3489,3689,3525,3504,3360,3563,3698,3509,3395,3316,3420,3329,3434,2970,2798,3696,3679,3658,3532,3122,3370,3175,3357,3289,3093,3408,3275,3203,2826,2994,3343,2902,3203,3257,3005,3224,3218,2778,2591,3387,3390,3379,3299
3117,3350,3041,3335,3028,3177,3218,2749,3025,2714,3019,3337,2974,3153,2977,2917,3137,2293,2744,2549,3388,3365,3351,3194,3519,3689,3531,3646,3544,3489,3689,3522,3505,3369,3562,3695,3505,3381,3318,3408,3330,3434,2974,2794,3694,3672,3648,3535,3122,3370,3175,3357,3289,3093,3408,3282,3203,2826,2995,3338,2904,3205,3256,3010,3221,3210,2776,2587,3379,3388,3375,3299
3121,3340,3040,3332,3029,3187,3218,2744,3021,2713,3010,3345,2979,3147,2993,2923,3149,2292,2737,2549,3388,3365,3351,3194,3523,3690,3537,3653,3550,3494,3685,3532,3512,3368,3561,3688,3487,3374,3322,3394,3326,3438,2968,2794,3694,3672,3648,3535,3117,3373,3174,3356,3291,3099,3411,3276,3197,2824,2993,3347,2902,3207,3255,3010,3227,3220,2778,2587,3379,3388,3375,3299
3116,3349,3044,3338,3029,3167,3211,2746,3033,2709,3013,3345,2979,3147,2993,2923,3149,2292,2737,2547,3397,3361,3359,3200,3523,3689,3531,3658,3544,3497,3681,3536,3510,3360,3555,3688,3487,3374,3322,3394,3326,3438,2968,2786,3701,3678,3652,3539,3118,3372,3163,3357,3282,3096,3415,3278,3199,2820,2994,3347,2902,3207,3255,3010,3227,3220,2778,2589,3382,3382,3380,3300
3124,3345,3037,3338,3029,3167,3211,2746,3033,2709,3013,3333,2965,3148,2987,2916,3147,2299,2740,2553,3390,3368,3360,3199,3517,3682,3537,3658,3544,3497,3681,3536,3510,3360,3555,3689,3476,3369,3317,3378,3323,3433,2971,2782,3694,3674,3647,3533,3119,3369,3174,3357,3282,3096,3415,3278,3199,2820,2994,3346,2898,3202,3249,3003,3224,3218,2770,2593,3387,3389,3381,3298
3124,3345,3037,3318,3019,3182,3215,2748,3027,2680,3011,3326,2977,3145,2978,2924,3139,2292,2749,2552,3389,3368,3359,3199,3517,3682,3537,3656,3550,3500,3685,3536,3512,3365,3554,3691,3476,3368,3321,3367,3319,3435,2966,2782,3692,3678,3647,3533,3119,3369,3174,3356,3289,3096,3415,3265,3202,2820,2994,3342,2906,3194,3259,3009,3223,3220,2779,2595,3381,3390,3381,3298
3110,3350,3041,3340,3024,3185,3220,2745,3015,2716,3015,3342,2979,3140,2975,2924,3139,2292,2749,2552,3389,3368,3359,3204,3521,3686,3539,3659,3544,3497,3684,3537,3510,3371,3551,3682,3466,3362,3323,3367,3319,3435,2966,2782,3692,3678,3647,3536,3115,3370,3173,3356,3290,3102,3410,3281,3198,2825,2994,3346,2902,3203,3255,3009,3223,3220,2779,2595,3381,3390,3381,3303
3117,3351,3042,3335,3027,3178,3200,2745,3015,2716,3015,3342,2979,3140,2975,2920,3149,2283,2745,2547,3399,3368,3359,3195,3524,3688,3538,3658,3543,3498,3683,3537,3510,3371,3551,3682,3466,3362,3323,3363,3318,3426,2964,2778,3691,3680,3649,3529,3123,3375,3173,3356,3296,3097,3411,3281,3198,2825,2994,3346,2902,3203,3255,3008,3224,3213,2775,2595,3380,3393,3381,3285
