ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3089,3338,3009,3315,2869,3169,3180,2840,3031,2629,2979,3278,2962,3125,2898,2892,3148,2756,2742,2515,3362,3345,3338,3086,3588,3719,3526,3613,3442,3409,3526,3245,3174,2704,3648,3738,3647,3548,3467,3588,3501,3314,2905,2678,3718,3677,3688,3549,3093,3352,3144,3344,3280,3076,3402,3275,3193,2800,2966,3330,2860,3189,3240,2980,3211,3208,2761,2581,3370,3380,3365,3291
3091,3339,3007,3306,2873,3162,3188,2840,3031,2627,2986,3278,2962,3125,2898,2892,3148,2756,2742,2503,3366,3348,3330,3086,3583,3714,3532,3607,3433,3401,3530,3238,3175,2667,3648,3738,3647,3548,3467,3588,3501,3314,2905,2667,3721,3684,3697,3539,3092,3356,3146,3344,3283,3075,3403,3269,3192,2807,2965,3330,2860,3189,3240,2980,3211,3208,2761,2577,3365,3378,3368,3290
3090,3340,3019,3306,2873,3162,3188,2840,3031,2627,2986,3336,2964,3138,2904,2893,3141,2770,2739,2515,3377,3336,3349,3086,3585,3714,3536,3607,3433,3401,3530,3238,3175,2667,3648,3742,3645,3544,3472,3584,3506,3311,2897,2654,3725,3694,3694,3542,3090,3352,3149,3344,3283,3075,3403,3269,3192,2807,2965,3317,2867,3188,3245,2979,3211,3208,2762,2581,3364,3364,3363,3286
3090,3340,3019,3318,2870,3164,3190,2846,3006,2632,2978,3345,2961,3139,2900,2899,3144,2774,2746,2512,3373,3340,3342,3086,3585,3714,3536,3608,3434,3410,3533,3236,3168,2684,3654,3734,3645,3534,3465,3587,3491,3313,2899,2648,3722,3683,3700,3542,3090,3352,3149,3346,3278,3078,3405,3271,3193,2805,2966,3330,2867,3193,3244,2983,3208,3203,2764,2583,3370,3379,3366,3286
3088,3336,3016,3309,2872,3171,3153,2839,3035,2628,2976,3339,2954,3139,2882,2899,3144,2774,2746,2512,3373,3340,3342,3085,3587,3708,3529,3616,3436,3411,3529,3231,3160,2691,3649,3736,3642,3544,3462,3587,3491,3313,2899,2648,3722,3683,3700,3545,3085,3355,3152,3330,3275,3081,3393,3272,3193,2795,2963,3325,2869,3188,3244,2983,3208,3203,2764,2583,3370,3379,3366,3294
3089,3344,3024,3304,2875,3162,3192,2839,3035,2628,2976,3339,2954,3139,2882,2898,3142,2747,2740,2513,3371,3340,3341,3078,3586,3715,3525,3625,3432,3415,3530,3231,3160,2691,3649,3736,3642,3544,3462,3588,3498,3317,2889,2641,3722,3685,3694,3544,3092,3355,3141,3340,3283,3077,3400,3272,3193,2795,2963,3325,2869,3188,3244,2978,3212,3211,2769,2581,3369,3373,3361,3288
3089,3344,3024,3304,2875,3162,3192,2841,3028,2635,2979,3339,2966,3139,2909,2903,3142,2771,2743,2513,3380,3335,3336,3085,3586,3715,3525,3625,3432,3415,3530,3233,3161,2688,3650,3738,3644,3541,3468,3583,3496,3314,2896,2642,3719,3686,3698,3542,3092,3355,3141,3340,3283,3077,3400,3273,3187,2804,2963,3330,2869,3191,3245,2983,3210,3208,2769,2579,3369,3378,3368,3286
3094,3328,3016,3313,2868,3154,3188,2839,3030,2607,2975,3340,2951,3134,2884,2900,3132,2778,2730,2513,3380,3335,3336,3085,3591,3720,3537,3617,3432,3417,3530,3235,3166,2692,3652,3734,3637,3536,3466,3583,3500,3309,2888,2642,3719,3686,3698,3542,3092,3353,3144,3335,3277,3073,3391,3267,3197,2796,2967,3329,2859,3186,3244,2981,3214,3210,2763,2579,3369,3378,3368,3286
3090,3341,3018,3310,2867,3157,3195,2843,3026,2617,2976,3340,2951,3134,2884,2900,3132,2778,2730,2518,3380,3346,3326,3076,3588,3697,3542,3620,3435,3412,3534,3238,3166,2709,3652,3734,3637,3536,3466,3583,3500,3309,2888,2635,3721,3680,3702,3542,3092,3353,3146,3339,3282,3078,3408,3266,3194,2801,2964,3329,2859,3186,3244,2981,3214,3210,2763,2582,3368,3374,3363,3287
3081,3314,3020,3310,2867,3157,3195,2843,3026,2617,2976,3334,2961,3133,2898,2902,3139,2774,2742,2514,3368,3345,3336,3089,3595,3717,3539,3620,3435,3412,3534,3238,3166,2709,3652,3726,3637,3543,3453,3585,3493,3310,2892,2630,3724,3687,3694,3540,3095,3352,3147,3339,3282,3078,3408,3266,3194,2801,2964,3329,2866,3192,3240,2975,3211,3200,2769,2581,3366,3364,3364,3283
3081,3314,3020,3299,2871,3146,3188,2826,3028,2615,2982,3339,2959,3134,2899,2904,3140,2778,2745,2514,3372,3341,3334,3089,3595,3717,3539,3622,3431,3415,3533,3240,3162,2680,3654,3734,3644,3548,3460,3577,3494,3305,2873,2621,3721,3686,3699,3540,3095,3352,3147,3339,3280,3077,3401,3268,3192,2805,2967,3328,2870,3186,3242,2976,3210,3208,2769,2564,3368,3374,3367,3283
3094,3337,3018,3312,2866,3153,3198,2842,3028,2636,2977,3335,2960,3135,2899,2904,3140,2778,2745,2514,3372,3341,3334,3086,3587,3714,3537,3623,3423,3410,3528,3233,3155,2660,3657,3742,3641,3546,3459,3577,3494,3305,2873,2621,3721,3686,3699,3539,3083,3355,3142,3334,3280,3076,3391,3274,3187,2809,2963,3328,2865,3194,3236,2976,3210,3208,2769,2564,3368,3374,3367,3292
3087,3341,3018,3309,2878,3162,3191,2842,3028,2636,2977,3335,2960,3135,2899,2890,3136,2776,2732,2515,3377,3340,3327,3092,3584,3713,3535,3618,3432,3411,3526,3233,3155,2660,3657,3742,3641,3546,3459,3581,3493,3307,2883,2615,3726,3688,3691,3536,3089,3347,3146,3337,3285,3076,3400,3274,3187,2809,2963,3328,2865,3194,3236,2978,3212,3211,2769,2572,3368,3374,3360,3290
