ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3578,3723,3576,3656,3516,3514,3642,3366,3325,2997,3616,3724,3575,3511,3461,3465,3446,3297,2808,2450,3720,3700,3692,3560
3578,3723,3576,3656,3516,3514,3642,3366,3313,2995,3614,3721,3579,3505,3468,3459,3436,3296,2810,2451,3727,3699,3694,3562
3580,3715,3573,3662,3516,3514,3635,3359,3315,2997,3617,3712,3574,3509,3467,3463,3439,3299,2810,2451,3727,3699,3694,3562
3580,3711,3581,3664,3513,3517,3637,3371,3327,3012,3615,3712,3574,3509,3467,3463,3439,3299,2810,2446,3722,3697,3695,3562
3583,3716,3578,3664,3513,3517,3637,3371,3327,3012,3615,3718,3572,3513,3463,3462,3434,3293,2806,2457,3719,3700,3696,3557
3583,3716,3578,3664,3512,3514,3632,3373,3327,3018,3613,3719,3567,3512,3461,3465,3428,3296,2812,2453,3718,3701,3695,3557
3582,3723,3579,3661,3514,3521,3633,3365,3328,3011,3613,3723,3574,3513,3469,3465,3428,3296,2812,2453,3718,3701,3695,3557
3583,3720,3580,3661,3506,3509,3631,3365,3328,3011,3613,3723,3574,3513,3469,3462,3439,3304,2817,2456,3723,3701,3693,3563
3583,3720,3580,3661,3506,3509,3631,3375,3321,3004,3609,3715,3578,3519,3462,3462,3435,3292,2810,2453,3720,3695,3690,3559
3587,3715,3578,3655,3509,3518,3635,3371,3326,2999,3620,3726,3575,3514,3472,3459,3442,3290,2809,2453,3720,3695,3690,3559
3583,3716,3577,3661,3501,3512,3631,3371,3325,2993,3610,3726,3575,3514,3472,3459,3442,3290,2809,2442,3720,3699,3701,3556
3591,3718,3572,3661,3501,3512,3631,3371,3325,2993,3610,3718,3580,3514,3469,3473,3441,3296,2812,2443,3724,3699,3688,3561
3591,3718,3572,3656,3509,3513,3632,3366,3311,2982,3613,3723,3582,3521,3471,3470,3444,3296,2812,2444,3720,3684,3692,3561
3588,3707,3577,3661,3502,3510,3631,3358,3318,2980,3615,3725,3581,3517,3464,3470,3444,3296,2812,2444,3720,3684,3692,3558
3584,3719,3578,3660,3514,3511,3628,3358,3318,2980,3615,3725,3581,3517,3464,3469,3444,3288,2805,2437,3720,3692,3699,3561
3584,3719,3578,3660,3514,3511,3628,3366,3321,2979,3618,3722,3581,3510,3451,3474,3437,3288,2808,2435,3717,3701,3695,3560
3582,3719,3581,3659,3509,3506,3627,3362,3310,2976,3620,3723,3580,3512,3468,3464,3443,3295,2806,2435,3717,3701,3695,3560
3584,3712,3578,3656,3509,3514,3630,3362,3320,2977,3620,3723,3580,3512,3468,3464,3443,3295,2806,2434,3723,3694,3698,3554
3581,3722,3580,3656,3509,3514,3630,3362,3320,2977,3620,3721,3577,3508,3465,3464,3445,3292,2805,2428,3718,3699,3694,3550
3581,3722,3580,3662,3509,3509,3632,3358,3315,2977,3616,3731,3583,3506,3472,3469,3435,3293,2806,2432,3723,3699,3693,3550
3584,3714,3578,3662,3510,3505,3630,3365,3305,2956,3620,3724,3572,3514,3474,3469,3435,3293,2806,2432,3723,3699,3693,3552
3587,3709,3572,3658,3518,3509,3632,3365,3305,2956,3620,3724,3572,3514,3474,3467,3445,3298,2814,2424,3725,3698,3689,3559
3587,3709,3572,3658,3518,3509,3632,3364,3316,2967,3619,3714,3577,3509,3467,3468,3440,3299,2807,2431,3726,3699,3694,3561
3588,3717,3572,3658,3513,3499,3627,3365,3318,2968,3616,3715,3581,3522,3474,3462,3439,3297,2800,2431,3726,3699,3694,3561
3581,3722,3571,3663,3507,3514,3626,3374,3318,2964,3612,3715,3581,3522,3474,3462,3439,3297,2800,2431,3720,3700,3691,3556
3583,3717,3574,3663,3507,3514,3626,3374,3318,2964,3612,3726,3574,3516,3472,3462,3440,3301,2808,2434,3726,3696,3696,3562
3583,3717,3574,3657,3513,3509,3633,3376,3319,2973,3612,3715,3578,3513,3444,3460,3441,3288,2804,2426,3725,3692,3695,3562
