ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24
3579,3702,3517,3591,3365,3438,3613,3461,3451,3248,3654,3729,3649,3547,3477,3596,3557,3489,3007,2825,3691,3613,3666,3455
3581,3699,3526,3592,3371,3433,3618,3476,3456,3257,3652,3729,3649,3547,3477,3596,3557,3489,3007,2835,3692,3618,3668,3454
3580,3691,3523,3592,3371,3433,3618,3476,3456,3257,3652,3727,3651,3551,3466,3596,3553,3493,3008,2838,3698,3618,3669,3455
3580,3691,3523,3589,3358,3435,3607,3475,3455,3254,3654,3731,3643,3550,3465,3598,3554,3501,3015,2836,3695,3618,3666,3455
3581,3703,3524,3584,3342,3425,3615,3474,3455,3251,3654,3721,3652,3550,3464,3598,3554,3501,3015,2836,3695,3618,3666,3455
3581,3703,3524,3587,3338,3431,3600,3474,3455,3251,3654,3721,3652,3550,3464,3598,3554,3475,3010,2837,3691,3615,3666,3457
3581,3703,3524,3587,3338,3431,3600,3480,3450,3249,3654,3728,3655,3552,3462,3597,3553,3491,3007,2833,3702,3624,3676,3461
3580,3705,3524,3591,3328,3430,3610,3473,3449,3240,3644,3723,3650,3551,3460,3596,3541,3485,3010,2833,3702,3624,3676,3461
3579,3703,3530,3594,3330,3430,3613,3474,3440,3227,3652,3723,3650,3551,3460,3596,3541,3485,3010,2831,3698,3632,3668,3461
3581,3707,3531,3594,3330,3430,3613,3474,3440,3227,3652,3734,3649,3552,3457,3590,3550,3487,3013,2827,3698,3629,3670,3460
3581,3707,3531,3572,3330,3440,3613,3474,3446,3228,3650,3734,3648,3542,3456,3592,3541,3486,3011,2823,3697,3621,3672,3460
3578,3708,3533,3595,3329,3442,3613,3479,3448,3235,3648,3731,3648,3550,3459,3592,3541,3486,3011,2823,3697,3621,3672,3459
3579,3700,3522,3606,3321,3446,3614,3479,3448,3235,3648,3731,3648,3550,3459,3595,3551,3490,3009,2824,3698,3645,3672,3461
3579,3700,3522,3606,3321,3446,3614,3478,3432,3234,3642,3734,3644,3550,3455,3588,3555,3487,3002,2823,3704,3635,3672,3449
3578,3693,3534,3598,3315,3439,3613,3472,3441,3223,3647,3736,3647,3545,3452,3593,3548,3485,3007,2823,3704,3635,3672,3449
3569,3701,3531,3602,3309,3437,3606,3468,3441,3230,3648,3736,3647,3545,3452,3593,3548,3485,3007,2822,3700,3640,3672,3443
3568,3710,3531,3602,3309,3437,3606,3468,3441,3230,3648,3725,3650,3550,3455,3595,3542,3489,3007,2821,3701,3639,3670,3426
3568,3710,3531,3603,3302,3434,3612,3477,3444,3230,3650,3734,3649,3552,3453,3592,3550,3481,3014,2824,3705,3642,3672,3426
3568,3699,3534,3600,3293,3435,3615,3463,3445,3238,3651,3733,3647,3550,3447,3592,3550,3481,3014,2824,3705,3642,3672,3420
3578,3707,3534,3595,3300,3443,3610,3463,3445,3238,3651,3733,3647,3550,3447,3597,3552,3492,3006,2824,3702,3637,3677,3417
3578,3707,3534,3595,3300,3443,3610,3474,3450,3241,3642,3715,3647,3556,3445,3594,3550,3481,3014,2824,3700,3630,3670,3414
