ff_e1,ff_e2,ff_e3,ff_e4,ff_e5,ff_e6,ff_e7,ff_e8,ff_e9,ff_e10,ff_e11,ff_e12,ff_e13,ff_e14,ff_e15,ff_e16,ff_e17,ff_e18,ff_e19,ff_e20,ff_e21,ff_e22,ff_e23,ff_e24,mf_e1,mf_e2,mf_e3,mf_e4,mf_e5,mf_e6,mf_e7,mf_e8,mf_e9,mf_e10,mf_e11,mf_e12,mf_e13,mf_e14,mf_e15,mf_e16,mf_e17,mf_e18,mf_e19,mf_e20,mf_e21,mf_e22,mf_e23,mf_e24,th_e1,th_e2,th_e3,th_e4,th_e5,th_e6,th_e7,th_e8,th_e9,th_e10,th_e11,th_e12,th_e13,th_e14,th_e15,th_e16,th_e17,th_e18,th_e19,th_e20,th_e21,th_e22,th_e23,th_e24
3099,3331,2998,3312,2999,3159,3185,2721,2998,2671,2984,3317,2933,3116,2958,2879,3128,2270,2729,2525,3364,3348,3337,3170,3312,3584,3506,3600,3433,3562,3671,3411,3556,3560,3358,3588,3525,3461,3300,3585,3490,3138,3029,2976,3626,3609,3606,3467,3093,3359,3148,3334,3279,3074,3392,3265,3183,2792,2970,3329,2878,3190,3236,2985,3209,3201,2763,2577,3366,3377,3364,3290
3096,3314,3000,3307,2985,3156,3190,2710,2992,2671,2984,3317,2933,3116,2958,2879,3128,2252,2726,2519,3368,3348,3334,3172,3306,3588,3503,3594,3433,3558,3671,3410,3552,3560,3358,3588,3525,3461,3300,3585,3490,3126,3029,2976,3630,3597,3602,3462,3096,3355,3153,3341,3277,3072,3397,3265,3188,2792,2970,3329,2878,3190,3236,2985,3209,3203,2767,2577,3369,3378,3361,3281
3089,3314,3000,3307,2985,3156,3190,2710,2992,2669,2984,3323,2934,3129,2950,2872,3124,2265,2731,2526,3360,3350,3334,3171,3310,3588,3503,3594,3433,3558,3671,3410,3552,3550,3354,3607,3526,3465,3301,3585,3492,3137,3032,2981,3627,3613,3601,3458,3100,3355,3153,3341,3277,3072,3397,3265,3188,2781,2971,3321,2881,3190,3239,2986,3210,3203,2767,2578,3374,3373,3368,3286
3089,3327,3008,3307,3002,3161,3191,2721,2986,2669,2985,3318,2934,3122,2953,2880,3126,2266,2729,2469,3366,3350,3334,3171,3310,3585,3508,3601,3440,3556,3679,3409,3554,3556,3357,3597,3529,3460,3304,3583,3476,3132,3028,2983,3628,3613,3601,3458,3100,3352,3146,3340,3275,3074,3401,3264,3180,2790,2968,3326,2872,3188,3240,2977,3212,3203,2758,2576,3369,3373,3368,3286
3097,3328,3009,3304,2985,3145,3193,2722,2998,2658,2986,3326,2932,3122,2953,2880,3126,2266,2729,2469,3366,3345,3334,3178,3307,3583,3505,3606,3429,3561,3680,3409,3550,3560,3350,3605,3528,3460,3304,3583,3476,3132,3028,2983,3628,3606,3591,3467,3094,3333,3153,3344,3276,3072,3395,3261,3189,2795,2970,3330,2877,3188,3240,2977,3212,3203,2758,2576,3369,3360,3362,3288
3093,3331,3006,3308,3002,3145,3193,2722,2998,2658,2986,3326,2932,3126,2955,2873,3132,2264,2728,2527,3358,3336,3342,3167,3311,3584,3507,3606,3436,3561,3680,3409,3550,3560,3350,3605,3528,3462,3301,3579,3490,3135,3028,2977,3622,3600,3602,3463,3093,3353,3149,3333,3276,3072,3395,3261,3189,2795,2970,3330,2877,3193,3237,2983,3209,3207,2764,2577,3370,3377,3363,3289
3093,3331,3006,3308,3002,3163,3192,2699,2991,2666,2987,3317,2935,3117,2948,2874,3125,2267,2728,2529,3357,3343,3331,3177,3311,3584,3507,3606,3436,3557,3676,3417,3550,3554,3350,3602,3528,3461,3302,3573,3488,3135,3031,2977,3630,3603,3601,3472,3093,3353,3149,3333,3276,3076,3390,3260,3188,2797,2973,3328,2874,3192,3238,2982,3208,3204,2766,2576,3373,3376,3363,3280
3097,3329,3013,3314,2989,3166,3183,2714,3003,2681,2979,3327,2935,3124,2946,2870,3117,2267,2728,2529,3357,3343,3331,3177,3311,3585,3506,3595,3438,3558,3675,3414,3554,3561,3354,3603,3530,3460,3278,3584,3488,3135,3031,2977,3630,3603,3601,3472,3099,3359,3148,3338,3277,3048,3397,3262,3185,2793,2970,3321,2875,3188,3242,2987,3207,3204,2766,2576,3373,3376,3363,3280
3096,3331,2996,3307,2995,3160,3188,2723,2990,2681,2979,3327,2935,3124,2946,2870,3117,2274,2723,2526,3360,3337,3330,3166,3306,3582,3504,3606,3433,3560,3681,3410,3557,3561,3354,3603,3530,3460,3278,3584,3488,3136,3027,2974,3626,3613,3599,3466,3090,3358,3148,3339,3274,3072,3393,3268,3188,2793,2970,3321,2875,3188,3242,2987,3207,3208,2766,2578,3373,3372,3364,3288
3095,3331,2996,3307,2995,3160,3188,2723,2990,2661,2991,3316,2934,3125,2958,2872,3114,2271,2730,2528,3363,3336,3339,3176,3307,3582,3504,3606,3433,3560,3681,3410,3557,3558,3352,3600,3528,3462,3294,3553,3488,3130,3032,2976,3620,3598,3601,3469,3100,3358,3148,3339,3274,3072,3393,3268,3188,2795,2971,3328,2875,3190,3237,2987,3208,3201,2763,2576,3370,3377,3366,3282
3095,3331,3010,3312,2998,3165,3189,2650,3000,2654,2982,3315,2931,3120,2960,2879,3126,2269,2728,2528,3360,3336,3339,3176,3307,3583,3498,3601,3435,3557,3680,3409,3539,3565,3352,3602,3533,3467,3306,3582,3487,3130,3021,2978,3624,3598,3601,3469,3100,3355,3146,3346,3276,3064,3395,3266,3187,2783,2971,3332,2870,3193,3230,2980,3209,3203,2755,2577,3367,3377,3366,3282
3095,3326,3010,3314,2992,3148,3183,2721,2997,2667,2976,3312,2935,3120,2960,2879,3126,2269,2728,2528,3360,3345,3339,3173,3305,3589,3504,3605,3436,3557,3678,3405,3554,3563,3354,3607,3531,3467,3306,3582,3487,3130,3021,2978,3624,3605,3607,3467,3099,3360,3149,3341,3274,3075,3395,3261,3186,2794,2968,3332,2878,3193,3230,2980,3209,3203,2755,2577,3367,3375,3362,3288
3097,3331,3011,3309,2991,3148,3183,2721,2997,2667,2976,3312,2935,3127,2955,2879,3117,2265,2728,2526,3367,3338,3331,3180,3304,3589,3499,3601,3437,3557,3678,3405,3554,3563,3354,3607,3531,3448,3308,3582,3487,3127,3029,2973,3622,3612,3601,3459,3092,3359,3152,3335,3279,3075,3395,3261,3186,2794,2968,3332,2878,3193,3237,2986,3207,3202,2765,2575,3372,3374,3365,3278
3097,3331,3011,3309,2991,3155,3191,2721,2974,2667,2978,3323,2933,3126,2943,2881,3122,2268,2729,2528,3370,3340,3332,3175,3304,3589,3499,3601,3437,3557,3683,3410,3553,3562,3356,3600,3528,3455,3304,3589,3487,3123,3035,2980,3624,3609,3602,3461,3092,3359,3152,3335,3279,3072,3399,3262,3184,2791,2970,3331,2877,3187,3238,2986,3208,3201,2762,2573,3369,3376,3358,3287
3093,3335,3006,3311,3001,3153,3198,2717,2998,2675,2981,3314,2940,3127,2956,2877,3117,2268,2729,2528,3370,3340,3332,3175,3310,3582,3503,3605,3432,3559,3680,3412,3556,3562,3356,3600,3518,3463,3307,3590,3482,3123,3035,2980,3624,3609,3602,3461,3100,3358,3148,3339,3274,3075,3400,3263,3185,2792,2969,3330,2877,3193,3236,2983,3212,3201,2762,2573,3369,3376,3358,3287
3101,3333,3009,3298,2997,3156,3189,2712,3003,2675,2981,3314,2940,3127,2956,2877,3117,2271,2728,2518,3369,3343,3330,3171,3306,3576,3501,3598,3439,3553,3673,3411,3554,3562,3356,3600,3518,3463,3307,3590,3482,3120,3029,2974,3628,3611,3595,3468,3095,3356,3152,3330,3275,3073,3392,3264,3186,2792,2969,3330,2877,3193,3236,2983,3212,3202,2765,2577,3371,3377,3365,3286
3087,3333,3009,3298,2997,3156,3189,2712,3003,2665,2976,3317,2933,3124,2955,2882,3114,2262,2729,2527,3369,3347,3327,3179,3301,3576,3501,3598,3439,3553,3673,3411,3554,3559,3348,3593,3527,3469,3306,3583,3486,3124,3033,2979,3627,3612,3597,3474,3099,3356,3152,3330,3275,3073,3392,3264,3186,2793,2971,3330,2875,3192,3238,2987,3210,3202,2757,2573,3368,3371,3364,3287
3087,3326,3002,3312,3003,3150,3182,2722,3002,2669,2982,3311,2933,3119,2956,2876,3122,2268,2727,2529,3366,3347,3327,3179,3301,3593,3503,3605,3437,3548,3678,3413,3554,3561,3359,3596,3530,3464,3305,3581,3493,3119,3024,2977,3625,3612,3597,3474,3099,3360,3150,3334,3281,3068,3399,3265,3183,2779,2974,3321,2874,3190,3236,2982,3212,3204,2762,2577,3367,3371,3364,3287
3095,3334,3006,3314,3003,3148,3182,2722,2998,2668,2989,3313,2932,3119,2956,2876,3122,2268,2727,2529,3366,3352,3332,3169,3308,3584,3504,3598,3435,3552,3679,3412,3552,3555,3354,3603,3516,3464,3305,3581,3493,3119,3024,2977,3625,3604,3601,3463,3101,3346,3150,3341,3279,3075,3401,3253,3188,2795,2970,3327,2876,3190,3236,2982,3212,3204,2762,2577,3367,3378,3355,3283
3097,3327,3007,3312,2984,3148,3182,2722,2998,2668,2989,3313,2932,3128,2955,2881,3124,2266,2735,2526,3368,3345,3327,3170,3310,3585,3501,3604,3440,3552,3679,3412,3552,3555,3354,3603,3516,3470,3306,3585,3496,3118,3029,2977,3627,3607,3611,3466,3094,3356,3146,3342,3280,3075,3401,3253,3188,2795,2970,3327,2876,3189,3237,2989,3207,3205,2765,2575,3372,3380,3361,3289
